Date,Open,High,Low,Close,Volume
7-Oct-16,1.84,1.84,1.80,1.81,124900
6-Oct-16,1.83,1.85,1.82,1.83,55600
5-Oct-16,1.87,1.87,1.83,1.83,149600
4-Oct-16,1.87,1.88,1.85,1.85,56000
30-Sep-16,1.86,1.88,1.84,1.84,117200
29-Sep-16,1.90,1.90,1.85,1.85,451200
28-Sep-16,1.89,1.90,1.89,1.89,75600
27-Sep-16,1.91,1.91,1.89,1.89,84800
26-Sep-16,1.89,1.91,1.89,1.91,128100
23-Sep-16,1.90,1.92,1.89,1.89,58500
22-Sep-16,1.90,1.91,1.90,1.90,18500
21-Sep-16,1.90,1.91,1.89,1.90,68600
20-Sep-16,1.88,1.92,1.88,1.88,25000
19-Sep-16,1.91,1.92,1.90,1.90,53100
15-Sep-16,1.92,1.92,1.91,1.92,34500
14-Sep-16,1.94,1.94,1.91,1.92,21400
13-Sep-16,1.93,1.94,1.90,1.94,73800
9-Sep-16,1.94,1.96,1.94,1.96,109600
8-Sep-16,1.94,1.94,1.92,1.93,53000
7-Sep-16,1.94,1.96,1.92,1.94,82700
6-Sep-16,1.91,1.96,1.91,1.94,229200
5-Sep-16,1.89,1.91,1.89,1.91,80300
2-Sep-16,1.88,1.89,1.87,1.87,84600
1-Sep-16,1.86,1.89,1.86,1.88,79600
30-Aug-16,1.90,1.90,1.86,1.86,56200
29-Aug-16,1.86,1.92,1.86,1.90,176200
26-Aug-16,1.86,1.86,1.83,1.84,293900
25-Aug-16,1.86,1.88,1.83,1.83,364000
24-Aug-16,1.87,1.88,1.86,1.86,76700
23-Aug-16,1.89,1.90,1.86,1.87,84900
22-Aug-16,1.87,1.92,1.86,1.88,433900
19-Aug-16,1.95,1.95,1.83,1.85,1379500
18-Aug-16,1.99,1.99,1.93,1.93,599300
17-Aug-16,1.96,2.00,1.96,1.96,306200
16-Aug-16,2.00,2.04,1.92,1.95,1535300
15-Aug-16,2.19,2.19,1.99,2.00,2711900
12-Aug-16,2.22,2.23,2.18,2.19,295000
11-Aug-16,2.22,2.27,2.20,2.21,329000
10-Aug-16,2.27,2.28,2.18,2.20,1184800
9-Aug-16,2.38,2.39,2.23,2.26,1504500
8-Aug-16,2.40,2.41,2.36,2.37,124100
5-Aug-16,2.48,2.48,2.45,2.46,565500
4-Aug-16,2.48,2.53,2.45,2.48,1162400
3-Aug-16,2.38,2.48,2.36,2.48,5467000
2-Aug-16,2.25,2.40,2.25,2.34,569400
1-Aug-16,2.25,2.27,2.24,2.25,239000
29-Jul-16,2.31,2.31,2.22,2.23,135500
28-Jul-16,2.29,2.29,2.25,2.26,213300
27-Jul-16,2.32,2.35,2.29,2.29,159800
26-Jul-16,2.32,2.38,2.29,2.30,220800
25-Jul-16,2.38,2.40,2.29,2.31,400000
22-Jul-16,2.28,2.44,2.28,2.38,727800
21-Jul-16,2.20,2.31,2.20,2.30,503900
20-Jul-16,2.24,2.24,2.18,2.19,1425000
19-Jul-16,2.28,2.28,2.24,2.24,272400
18-Jul-16,2.35,2.35,2.28,2.28,5323700
15-Jul-16,2.43,2.43,2.27,2.35,611300
14-Jul-16,2.48,2.48,2.43,2.43,5281000
13-Jul-16,2.50,2.51,2.48,2.48,1087100
12-Jul-16,2.50,2.65,2.48,2.49,690300
11-Jul-16,12.30,12.32,12.24,12.24,87800
8-Jul-16,12.30,12.32,12.28,12.28,16100
5-Jul-16,12.36,12.38,12.26,12.30,19300
4-Jul-16,12.34,12.48,12.34,12.48,1400
1-Jul-16,12.50,12.50,12.30,12.48,4000
30-Jun-16,12.36,12.50,12.30,12.50,5900
29-Jun-16,12.60,12.60,12.40,12.56,5400
28-Jun-16,12.28,12.60,12.20,12.60,3800
27-Jun-16,12.44,12.46,12.44,12.44,16800
24-Jun-16,12.80,12.80,12.40,12.44,4100
23-Jun-16,12.54,12.54,12.40,12.44,4200
21-Jun-16,12.70,12.84,12.60,12.60,8100
20-Jun-16,12.80,12.80,12.60,12.70,9500
17-Jun-16,12.88,12.90,12.78,12.86,12200
16-Jun-16,12.88,12.88,12.72,12.72,1200
15-Jun-16,12.90,12.90,12.88,12.88,1000
14-Jun-16,13.00,13.00,12.90,12.90,3500
13-Jun-16,13.00,13.00,12.88,12.92,6300
10-Jun-16,13.10,13.10,13.06,13.08,3500
9-Jun-16,13.02,13.56,13.02,13.38,75100
8-Jun-16,-,-,-,13.40,0
7-Jun-16,-,-,-,13.40,0
6-Jun-16,12.96,13.50,12.96,13.40,14700
3-Jun-16,12.70,12.90,12.70,12.90,16200
2-Jun-16,12.72,12.78,12.68,12.78,47900
1-Jun-16,12.18,12.72,12.18,12.72,23000
31-May-16,12.00,12.68,11.92,12.68,250400
30-May-16,13.00,13.00,11.72,12.00,687700
27-May-16,13.14,13.14,13.10,13.14,12700
26-May-16,13.10,13.26,13.08,13.24,12000
25-May-16,13.20,13.32,13.08,13.10,140900
24-May-16,13.24,13.24,13.10,13.20,8000
23-May-16,13.30,13.34,13.24,13.30,8300
20-May-16,13.30,13.48,13.30,13.30,8500
19-May-16,13.36,13.36,13.10,13.34,26700
18-May-16,13.06,13.08,13.06,13.08,5000
17-May-16,13.06,13.10,13.06,13.06,11000
16-May-16,13.06,13.06,13.00,13.04,10500
13-May-16,13.08,13.20,13.08,13.20,31100
12-May-16,13.02,13.20,13.02,13.08,693300
11-May-16,13.00,13.30,12.98,12.98,477600
10-May-16,12.98,12.98,12.90,12.90,495600
9-May-16,13.00,13.02,12.90,12.96,503000
6-May-16,13.18,13.18,12.90,13.00,5500
5-May-16,13.02,13.02,13.00,13.00,16500
4-May-16,13.06,13.10,12.90,13.06,34500
3-May-16,13.10,13.10,13.00,13.04,14000
29-Apr-16,13.00,13.06,13.00,13.04,8500
28-Apr-16,13.06,13.06,13.00,13.00,11800
27-Apr-16,13.02,13.10,12.90,13.06,103200
26-Apr-16,13.30,13.30,13.06,13.10,12500
25-Apr-16,13.42,13.42,13.30,13.30,12500
22-Apr-16,13.44,13.64,13.44,13.60,40100
21-Apr-16,13.42,13.42,13.40,13.40,80600
20-Apr-16,13.34,13.44,13.34,13.44,2000
19-Apr-16,13.36,13.36,13.34,13.34,2700
18-Apr-16,13.34,13.34,13.34,13.34,300
15-Apr-16,13.46,13.46,13.46,13.46,3000
14-Apr-16,13.60,13.60,13.36,13.46,37000
13-Apr-16,13.50,14.10,13.50,13.60,41000
12-Apr-16,13.14,13.14,13.14,13.14,6100
11-Apr-16,13.12,13.12,13.12,13.12,800
8-Apr-16,13.20,13.20,13.10,13.10,13000
7-Apr-16,13.20,13.30,13.10,13.20,47200
6-Apr-16,13.40,13.40,13.28,13.30,15300
5-Apr-16,13.50,13.50,13.40,13.46,108700
4-Apr-16,13.36,13.50,13.22,13.50,10000
1-Apr-16,13.40,13.40,13.20,13.40,16300
31-Mar-16,13.50,13.50,13.50,13.50,2200
30-Mar-16,13.50,13.70,13.48,13.62,74700
29-Mar-16,11.98,13.74,11.98,13.56,317700
28-Mar-16,11.60,11.92,11.60,11.92,3300
25-Mar-16,-,-,-,12.00,0
24-Mar-16,12.00,12.14,11.90,12.00,2800
23-Mar-16,12.10,12.12,12.00,12.00,4400
22-Mar-16,-,-,-,12.30,0
21-Mar-16,12.00,12.30,12.00,12.30,59800
18-Mar-16,11.64,12.20,11.64,12.10,157200
17-Mar-16,11.50,11.68,11.50,11.68,183600
16-Mar-16,11.40,11.50,11.40,11.50,35500
15-Mar-16,11.22,11.40,11.22,11.36,64300
14-Mar-16,11.10,11.20,11.00,11.12,35200
11-Mar-16,11.00,11.10,11.00,11.10,24700
10-Mar-16,11.00,11.06,10.98,11.00,36400
9-Mar-16,10.48,11.06,10.48,11.00,259100
8-Mar-16,10.56,10.56,10.40,10.48,23600
7-Mar-16,10.50,10.62,10.48,10.48,15100
4-Mar-16,10.50,10.62,10.48,10.60,6300
