Date,Open,High,Low,Close,Volume
7-Oct-16,0.22,0.24,0.22,0.24,14000
6-Oct-16,0.24,0.25,0.23,0.23,22500
5-Oct-16,0.23,0.23,0.23,0.23,49000
4-Oct-16,0.23,0.24,0.23,0.23,75200
30-Sep-16,0.23,0.24,0.23,0.23,42000
29-Sep-16,0.24,0.24,0.23,0.23,65000
28-Sep-16,-,-,-,0.24,0
27-Sep-16,0.24,0.24,0.24,0.24,18000
26-Sep-16,0.22,0.22,0.22,0.22,32600
23-Sep-16,0.23,0.24,0.23,0.24,24100
22-Sep-16,0.22,0.23,0.22,0.22,33200
21-Sep-16,0.22,0.22,0.22,0.22,10000
20-Sep-16,-,-,-,0.22,0
19-Sep-16,0.23,0.25,0.22,0.22,233000
15-Sep-16,0.22,0.22,0.22,0.22,20000
14-Sep-16,0.22,0.22,0.22,0.22,8000
13-Sep-16,-,-,-,0.23,0
9-Sep-16,0.22,0.23,0.22,0.23,94800
8-Sep-16,-,-,-,0.22,0
7-Sep-16,0.22,0.22,0.22,0.22,19000
6-Sep-16,0.22,0.23,0.22,0.23,25000
5-Sep-16,0.22,0.23,0.22,0.22,34000
2-Sep-16,0.21,0.22,0.21,0.22,12000
1-Sep-16,-,-,-,0.24,0
30-Aug-16,0.22,0.24,0.22,0.24,52000
29-Aug-16,0.22,0.24,0.22,0.24,22000
26-Aug-16,0.22,0.22,0.22,0.22,1000
25-Aug-16,0.24,0.24,0.22,0.23,11000
24-Aug-16,0.22,0.22,0.22,0.22,1000
23-Aug-16,0.22,0.24,0.22,0.24,38000
22-Aug-16,0.23,0.23,0.22,0.22,22000
19-Aug-16,0.23,0.23,0.22,0.22,172500
18-Aug-16,0.22,0.23,0.22,0.23,69000
17-Aug-16,0.22,0.22,0.21,0.21,97000
16-Aug-16,0.21,0.23,0.21,0.22,472800
15-Aug-16,0.22,0.22,0.21,0.22,86000
12-Aug-16,0.21,0.21,0.20,0.20,6000
11-Aug-16,0.20,0.22,0.20,0.21,50000
10-Aug-16,0.20,0.20,0.20,0.20,2000
9-Aug-16,0.20,0.21,0.20,0.21,18000
8-Aug-16,0.21,0.21,0.20,0.20,8000
5-Aug-16,0.21,0.21,0.20,0.21,12500
4-Aug-16,0.20,0.20,0.20,0.20,42000
3-Aug-16,-,-,-,0.22,0
2-Aug-16,0.20,0.22,0.20,0.22,17000
1-Aug-16,0.20,0.20,0.20,0.20,30000
29-Jul-16,0.20,0.20,0.20,0.20,36400
28-Jul-16,0.20,0.20,0.20,0.20,2000
27-Jul-16,0.20,0.20,0.20,0.20,170000
26-Jul-16,0.20,0.20,0.20,0.20,1000
25-Jul-16,0.22,0.22,0.19,0.20,323000
22-Jul-16,0.22,0.22,0.22,0.22,1000
21-Jul-16,0.22,0.22,0.22,0.22,2000
