Date,Open,High,Low,Close,Volume
7-Oct-16,-,-,-,0.95,0
6-Oct-16,-,-,-,0.95,0
5-Oct-16,0.95,0.95,0.95,0.95,10000
4-Oct-16,-,-,-,0.92,0
30-Sep-16,-,-,-,0.92,0
29-Sep-16,0.92,0.92,0.92,0.92,5000
28-Sep-16,0.92,0.92,0.92,0.92,10000
27-Sep-16,0.93,0.93,0.92,0.92,10000
26-Sep-16,-,-,-,0.93,0
23-Sep-16,-,-,-,0.93,0
22-Sep-16,0.93,0.93,0.93,0.93,100
21-Sep-16,-,-,-,0.93,0
20-Sep-16,0.93,0.93,0.93,0.93,9900
19-Sep-16,-,-,-,0.93,0
15-Sep-16,-,-,-,0.93,0
14-Sep-16,-,-,-,0.93,0
13-Sep-16,-,-,-,0.93,0
9-Sep-16,-,-,-,0.93,0
8-Sep-16,-,-,-,0.93,0
7-Sep-16,0.95,0.95,0.93,0.93,5000
6-Sep-16,-,-,-,0.95,0
5-Sep-16,0.95,0.95,0.95,0.95,2500
2-Sep-16,0.95,0.95,0.95,0.95,200
1-Sep-16,0.96,0.96,0.96,0.96,100
30-Aug-16,-,-,-,0.96,0
29-Aug-16,-,-,-,0.96,0
26-Aug-16,-,-,-,0.96,0
25-Aug-16,-,-,-,0.96,0
24-Aug-16,-,-,-,0.96,0
23-Aug-16,-,-,-,0.96,0
22-Aug-16,0.99,0.99,0.96,0.96,15000
19-Aug-16,-,-,-,0.99,0
18-Aug-16,0.99,0.99,0.99,0.99,2000
17-Aug-16,-,-,-,1.00,0
16-Aug-16,-,-,-,1.00,0
15-Aug-16,-,-,-,1.00,0
12-Aug-16,-,-,-,1.00,0
11-Aug-16,1.00,1.00,1.00,1.00,5100
10-Aug-16,-,-,-,0.99,0
9-Aug-16,-,-,-,0.99,0
8-Aug-16,-,-,-,0.99,0
5-Aug-16,-,-,-,0.99,0
4-Aug-16,-,-,-,0.99,0
3-Aug-16,-,-,-,0.99,0
2-Aug-16,-,-,-,0.99,0
1-Aug-16,-,-,-,0.99,0
29-Jul-16,-,-,-,0.99,0
28-Jul-16,-,-,-,0.99,0
27-Jul-16,-,-,-,0.99,0
26-Jul-16,-,-,-,0.99,0
25-Jul-16,-,-,-,0.99,0
22-Jul-16,-,-,-,0.99,0
21-Jul-16,-,-,-,0.99,0
20-Jul-16,-,-,-,0.99,0
19-Jul-16,-,-,-,0.99,0
18-Jul-16,-,-,-,0.99,0
15-Jul-16,-,-,-,0.99,0
14-Jul-16,0.99,0.99,0.99,0.99,4000
13-Jul-16,-,-,-,0.98,0
12-Jul-16,-,-,-,0.98,0
11-Jul-16,-,-,-,0.98,0
8-Jul-16,-,-,-,0.98,0
5-Jul-16,-,-,-,0.98,0
4-Jul-16,-,-,-,0.98,0
1-Jul-16,-,-,-,0.98,0
30-Jun-16,0.98,0.98,0.98,0.98,200
29-Jun-16,-,-,-,1.00,0
28-Jun-16,-,-,-,1.00,0
27-Jun-16,-,-,-,1.00,0
24-Jun-16,-,-,-,1.00,0
23-Jun-16,1.00,1.00,1.00,1.00,1000
21-Jun-16,-,-,-,0.98,0
20-Jun-16,-,-,-,0.98,0
17-Jun-16,0.98,0.98,0.98,0.98,4000
16-Jun-16,0.98,0.98,0.98,0.98,200
15-Jun-16,-,-,-,0.98,0
14-Jun-16,-,-,-,0.98,0
13-Jun-16,-,-,-,0.98,0
10-Jun-16,-,-,-,0.98,0
9-Jun-16,-,-,-,0.98,0
8-Jun-16,-,-,-,0.98,0
7-Jun-16,0.98,0.98,0.98,0.98,5000
6-Jun-16,-,-,-,0.98,0
3-Jun-16,-,-,-,0.98,0
2-Jun-16,-,-,-,0.98,0
1-Jun-16,-,-,-,0.98,0
31-May-16,-,-,-,0.98,0
30-May-16,0.98,0.98,0.98,0.98,200
27-May-16,-,-,-,0.99,0
26-May-16,0.99,0.99,0.99,0.99,10000
25-May-16,1.00,1.00,1.00,1.00,5000
24-May-16,1.00,1.00,1.00,1.00,5000
23-May-16,1.00,1.00,1.00,1.00,4800
20-May-16,1.00,1.00,1.00,1.00,3000
19-May-16,-,-,-,1.00,0
18-May-16,-,-,-,1.00,0
17-May-16,-,-,-,1.00,0
16-May-16,-,-,-,1.00,0
13-May-16,-,-,-,1.00,0
12-May-16,1.00,1.00,1.00,1.00,100
11-May-16,-,-,-,1.01,0
10-May-16,-,-,-,1.01,0
9-May-16,1.01,1.01,1.00,1.01,30000
6-May-16,1.01,1.01,1.01,1.01,1000
5-May-16,1.01,1.01,1.01,1.01,4000
4-May-16,-,-,-,1.02,0
3-May-16,1.02,1.02,1.02,1.02,10600
29-Apr-16,-,-,-,1.02,0
28-Apr-16,1.02,1.02,1.02,1.02,4000
27-Apr-16,-,-,-,1.02,0
26-Apr-16,1.02,1.02,1.02,1.02,100
25-Apr-16,-,-,-,1.03,0
22-Apr-16,-,-,-,1.03,0
21-Apr-16,-,-,-,1.03,0
20-Apr-16,-,-,-,1.03,0
19-Apr-16,-,-,-,1.03,0
18-Apr-16,1.03,1.03,1.03,1.03,5000
15-Apr-16,-,-,-,1.01,0
14-Apr-16,-,-,-,1.01,0
13-Apr-16,-,-,-,1.01,0
12-Apr-16,1.01,1.01,1.01,1.01,10000
11-Apr-16,1.03,1.03,1.03,1.03,10000
8-Apr-16,-,-,-,1.03,0
7-Apr-16,-,-,-,1.03,0
6-Apr-16,-,-,-,1.03,0
5-Apr-16,1.03,1.03,1.03,1.03,20000
4-Apr-16,-,-,-,1.03,0
1-Apr-16,-,-,-,1.03,0
31-Mar-16,-,-,-,1.03,0
30-Mar-16,-,-,-,1.03,0
29-Mar-16,-,-,-,1.03,0
28-Mar-16,1.02,1.03,1.02,1.03,15000
25-Mar-16,-,-,-,1.03,0
24-Mar-16,-,-,-,1.03,0
23-Mar-16,-,-,-,1.03,0
22-Mar-16,-,-,-,1.03,0
21-Mar-16,1.03,1.03,1.03,1.03,10000
18-Mar-16,-,-,-,1.00,0
17-Mar-16,-,-,-,1.00,0
16-Mar-16,-,-,-,1.00,0
15-Mar-16,-,-,-,1.00,0
14-Mar-16,-,-,-,1.00,0
11-Mar-16,-,-,-,1.00,0
10-Mar-16,1.00,1.00,1.00,1.00,4000
9-Mar-16,-,-,-,1.02,0
8-Mar-16,-,-,-,1.02,0
7-Mar-16,-,-,-,1.02,0
4-Mar-16,-,-,-,1.02,0
3-Mar-16,-,-,-,1.02,0
2-Mar-16,1.02,1.02,1.02,1.02,5000
1-Mar-16,-,-,-,1.02,0
29-Feb-16,-,-,-,1.02,0
26-Feb-16,1.02,1.02,1.02,1.02,4000
25-Feb-16,-,-,-,1.00,0
24-Feb-16,-,-,-,1.00,0
23-Feb-16,-,-,-,1.00,0
22-Feb-16,-,-,-,1.00,0
19-Feb-16,-,-,-,1.00,0
18-Feb-16,-,-,-,1.00,0
17-Feb-16,-,-,-,1.00,0
16-Feb-16,-,-,-,1.00,0
15-Feb-16,1.01,1.01,0.95,1.00,52000
12-Feb-16,-,-,-,1.00,0
11-Feb-16,1.05,1.05,1.00,1.00,15000
10-Feb-16,-,-,-,1.01,0
5-Feb-16,-,-,-,1.01,0
4-Feb-16,-,-,-,1.01,0
3-Feb-16,-,-,-,1.01,0
2-Feb-16,-,-,-,1.01,0
29-Jan-16,1.01,1.01,1.01,1.01,5000
28-Jan-16,-,-,-,1.00,0
27-Jan-16,-,-,-,1.00,0
26-Jan-16,-,-,-,1.00,0
22-Jan-16,1.00,1.00,1.00,1.00,6000
21-Jan-16,1.01,1.01,1.01,1.01,4500
20-Jan-16,-,-,-,1.00,0
19-Jan-16,-,-,-,1.00,0
18-Jan-16,-,-,-,1.00,0
15-Jan-16,1.02,1.02,1.00,1.00,8000
14-Jan-16,-,-,-,1.05,0
13-Jan-16,-,-,-,1.05,0
12-Jan-16,-,-,-,1.05,0
11-Jan-16,1.05,1.05,1.05,1.05,11000
8-Jan-16,1.05,1.05,1.00,1.05,8000
7-Jan-16,1.08,1.08,1.05,1.05,2100
6-Jan-16,1.08,1.08,1.08,1.08,15000
5-Jan-16,1.08,1.08,1.08,1.08,2000
4-Jan-16,1.08,1.08,1.08,1.08,6000
31-Dec-15,1.02,1.08,1.02,1.08,4000
30-Dec-15,1.06,1.06,1.06,1.06,5000
29-Dec-15,1.08,1.08,1.06,1.06,4000
28-Dec-15,1.17,1.17,1.05,1.13,16000
23-Dec-15,1.20,1.20,1.19,1.19,7000
22-Dec-15,0.98,1.22,0.98,1.22,54500
21-Dec-15,0.93,0.95,0.93,0.95,2000
18-Dec-15,0.90,0.90,0.90,0.90,3000
17-Dec-15,-,-,-,0.86,0
16-Dec-15,-,-,-,0.86,0
15-Dec-15,-,-,-,0.86,0
14-Dec-15,-,-,-,0.86,0
11-Dec-15,-,-,-,0.86,0
10-Dec-15,-,-,-,0.86,0
9-Dec-15,-,-,-,0.86,0
8-Dec-15,-,-,-,0.86,0
7-Dec-15,-,-,-,0.86,0
4-Dec-15,-,-,-,0.86,0
3-Dec-15,-,-,-,0.86,0
2-Dec-15,-,-,-,0.86,0
1-Dec-15,-,-,-,0.86,0
30-Nov-15,-,-,-,0.86,0
27-Nov-15,-,-,-,0.86,0
26-Nov-15,-,-,-,0.86,0
25-Nov-15,-,-,-,0.86,0
24-Nov-15,-,-,-,0.86,0
23-Nov-15,-,-,-,0.86,0
20-Nov-15,-,-,-,0.86,0
19-Nov-15,-,-,-,0.86,0
18-Nov-15,-,-,-,0.86,0
17-Nov-15,-,-,-,0.86,0
16-Nov-15,-,-,-,0.86,0
13-Nov-15,-,-,-,0.86,0
12-Nov-15,0.86,0.86,0.86,0.86,10000
11-Nov-15,-,-,-,0.85,0
9-Nov-15,-,-,-,0.85,0
6-Nov-15,-,-,-,0.85,0
5-Nov-15,-,-,-,0.85,0
4-Nov-15,-,-,-,0.85,0
3-Nov-15,-,-,-,0.85,0
2-Nov-15,-,-,-,0.85,0
30-Oct-15,0.85,0.85,0.85,0.85,5000
29-Oct-15,-,-,-,0.86,0
28-Oct-15,-,-,-,0.86,0
27-Oct-15,-,-,-,0.86,0
26-Oct-15,0.86,0.86,0.86,0.86,5500
23-Oct-15,-,-,-,0.86,0
22-Oct-15,-,-,-,0.86,0
21-Oct-15,-,-,-,0.86,0
20-Oct-15,-,-,-,0.86,0
19-Oct-15,-,-,-,0.86,0
16-Oct-15,-,-,-,0.86,0
15-Oct-15,-,-,-,0.86,0
13-Oct-15,-,-,-,0.86,0
12-Oct-15,-,-,-,0.86,0
