Date,Open,High,Low,Close,Volume
7-Oct-16,4.29,4.32,4.26,4.32,777800
6-Oct-16,4.26,4.30,4.26,4.29,605600
5-Oct-16,4.26,4.30,4.26,4.29,328600
4-Oct-16,4.29,4.30,4.28,4.29,794100
30-Sep-16,4.30,4.30,4.25,4.29,449400
29-Sep-16,4.22,4.33,4.22,4.29,1345900
28-Sep-16,4.23,4.24,4.22,4.23,331200
27-Sep-16,4.26,4.26,4.24,4.24,760300
26-Sep-16,4.30,4.30,4.21,4.28,1401500
23-Sep-16,4.22,4.26,4.20,4.25,1378000
22-Sep-16,4.20,4.23,4.20,4.21,967100
21-Sep-16,4.12,4.22,4.12,4.20,1348100
20-Sep-16,4.20,4.20,4.11,4.16,1092400
19-Sep-16,4.30,4.30,4.16,4.20,1922500
15-Sep-16,4.09,4.33,4.07,4.33,2577000
14-Sep-16,4.02,4.12,4.01,4.09,6032800
13-Sep-16,4.10,4.10,4.00,4.10,3359300
9-Sep-16,4.06,4.13,4.06,4.13,1415800
8-Sep-16,3.96,4.12,3.96,4.04,3303700
7-Sep-16,4.09,4.09,3.96,3.96,2770700
6-Sep-16,4.12,4.14,4.09,4.09,1685000
5-Sep-16,4.15,4.15,4.12,4.12,1377000
2-Sep-16,4.19,4.19,4.15,4.17,1498400
1-Sep-16,4.18,4.18,4.15,4.18,598000
30-Aug-16,4.18,4.20,4.15,4.18,1412000
29-Aug-16,4.19,4.19,4.17,4.18,1407600
26-Aug-16,4.14,4.21,4.14,4.18,765100
25-Aug-16,4.15,4.17,4.10,4.13,2475600
24-Aug-16,4.28,4.28,4.00,4.16,2191500
23-Aug-16,4.27,4.30,4.23,4.25,1587500
22-Aug-16,4.28,4.31,4.24,4.27,960600
19-Aug-16,4.29,4.31,4.28,4.30,536500
18-Aug-16,4.30,4.33,4.28,4.29,658200
17-Aug-16,4.34,4.44,4.23,4.28,3325900
16-Aug-16,4.28,4.32,4.25,4.30,929200
15-Aug-16,4.29,4.29,4.25,4.29,611600
12-Aug-16,4.28,4.32,4.27,4.28,935800
11-Aug-16,4.23,4.29,4.21,4.29,1874100
10-Aug-16,4.16,4.23,4.15,4.22,1418200
9-Aug-16,4.12,4.16,4.11,4.16,1472600
8-Aug-16,4.12,4.16,4.11,4.11,1012000
5-Aug-16,4.17,4.18,4.12,4.12,740800
4-Aug-16,4.17,4.19,4.16,4.18,1661900
3-Aug-16,4.16,4.19,4.14,4.17,1434500
2-Aug-16,4.20,4.24,4.15,4.15,523200
1-Aug-16,4.17,4.25,4.17,4.20,1512800
29-Jul-16,4.13,4.19,4.13,4.17,3688200
28-Jul-16,4.14,4.19,4.11,4.18,1651800
27-Jul-16,4.17,4.18,4.10,4.16,389000
26-Jul-16,4.08,4.20,4.06,4.17,1630800
25-Jul-16,4.11,4.15,4.06,4.07,513900
22-Jul-16,4.15,4.15,4.06,4.11,823100
21-Jul-16,4.14,4.17,4.04,4.17,1116000
20-Jul-16,4.15,4.18,4.11,4.15,1041800
19-Jul-16,4.19,4.20,4.11,4.15,1050700
18-Jul-16,4.04,4.20,4.04,4.18,2725600
15-Jul-16,3.93,4.05,3.93,4.03,1878200
14-Jul-16,3.90,3.99,3.90,3.95,1424400
13-Jul-16,3.94,3.98,3.89,3.90,1629000
12-Jul-16,4.00,4.03,3.93,3.93,4036200
11-Jul-16,3.94,3.99,3.92,3.94,2346600
8-Jul-16,3.85,3.92,3.85,3.91,1455000
5-Jul-16,3.80,3.87,3.80,3.84,1785800
4-Jul-16,3.80,3.83,3.76,3.80,1440800
1-Jul-16,3.70,3.81,3.70,3.76,4316600
30-Jun-16,3.75,3.80,3.61,3.68,2208000
29-Jun-16,3.45,3.78,3.45,3.74,6792700
28-Jun-16,3.34,3.46,3.34,3.43,686600
27-Jun-16,3.33,3.36,3.24,3.35,2286100
24-Jun-16,3.44,3.44,3.25,3.36,2335300
23-Jun-16,3.35,3.46,3.35,3.43,3200600
21-Jun-16,3.30,3.36,3.30,3.36,1780500
20-Jun-16,3.30,3.30,3.26,3.30,923400
17-Jun-16,3.28,3.29,3.24,3.29,1372500
16-Jun-16,3.26,3.29,3.22,3.25,2099500
15-Jun-16,3.20,3.26,3.20,3.25,817600
14-Jun-16,3.23,3.28,3.16,3.26,1375900
13-Jun-16,3.30,3.30,3.20,3.23,472900
10-Jun-16,3.30,3.34,3.22,3.27,1705900
9-Jun-16,3.13,3.31,3.13,3.28,6939400
8-Jun-16,2.99,3.13,2.99,3.13,2510700
7-Jun-16,2.99,2.99,2.95,2.99,514300
6-Jun-16,2.97,2.99,2.93,2.97,289900
3-Jun-16,2.99,2.99,2.93,2.98,546100
2-Jun-16,3.02,3.02,2.95,2.97,152700
1-Jun-16,3.02,3.02,2.98,3.00,434900
31-May-16,2.90,3.02,2.89,2.97,2015300
30-May-16,2.86,2.90,2.84,2.90,1123100
27-May-16,2.87,2.88,2.85,2.86,614400
26-May-16,2.90,2.90,2.83,2.85,1070600
25-May-16,2.93,2.95,2.89,2.89,492200
24-May-16,3.01,3.01,2.91,2.91,1396600
23-May-16,3.06,3.07,3.00,3.01,353700
20-May-16,3.08,3.08,3.03,3.06,745600
19-May-16,3.07,3.08,3.02,3.07,1110300
18-May-16,3.05,3.09,3.00,3.08,814400
17-May-16,3.05,3.10,2.99,3.09,1640900
16-May-16,3.09,3.09,3.02,3.05,1240600
13-May-16,3.14,3.14,3.08,3.12,3066600
12-May-16,3.14,3.14,3.11,3.14,435600
11-May-16,3.13,3.14,3.11,3.13,246600
10-May-16,3.14,3.16,3.12,3.15,663000
9-May-16,3.15,3.20,3.09,3.12,2193000
6-May-16,3.11,3.14,3.09,3.13,1073400
5-May-16,3.08,3.16,3.08,3.11,2950300
4-May-16,2.95,3.07,2.95,3.07,2002600
3-May-16,2.96,2.96,2.92,2.94,1275600
29-Apr-16,2.96,2.99,2.90,2.93,2193700
28-Apr-16,2.99,3.04,2.96,2.97,1553800
27-Apr-16,3.00,3.03,2.96,2.96,1737900
26-Apr-16,3.05,3.10,2.96,2.99,1913800
25-Apr-16,3.06,3.14,3.05,3.07,2844800
22-Apr-16,3.04,3.10,3.01,3.08,1558000
21-Apr-16,2.98,3.09,2.98,3.03,2989200
20-Apr-16,2.88,2.97,2.87,2.96,2479100
19-Apr-16,2.85,2.89,2.84,2.86,310000
18-Apr-16,2.92,2.92,2.81,2.85,1176800
15-Apr-16,2.92,2.93,2.85,2.87,689500
14-Apr-16,2.86,2.93,2.86,2.91,2032000
13-Apr-16,2.81,2.88,2.81,2.86,1885800
12-Apr-16,2.72,2.80,2.71,2.79,1450300
11-Apr-16,2.70,2.72,2.70,2.72,529200
8-Apr-16,2.67,2.72,2.67,2.71,685800
7-Apr-16,2.62,2.69,2.62,2.68,1691100
6-Apr-16,2.63,2.64,2.60,2.62,304800
5-Apr-16,2.63,2.65,2.62,2.63,1214200
4-Apr-16,2.63,2.66,2.61,2.62,265400
1-Apr-16,2.68,2.70,2.61,2.65,661100
31-Mar-16,2.64,2.68,2.55,2.65,1580600
30-Mar-16,2.60,2.65,2.60,2.64,1218200
29-Mar-16,2.61,2.66,2.60,2.61,1425600
28-Mar-16,2.50,2.62,2.50,2.61,2324000
25-Mar-16,2.44,2.53,2.42,2.48,2237200
24-Mar-16,2.50,2.51,2.37,2.42,3403200
23-Mar-16,2.62,2.63,2.41,2.52,2668500
22-Mar-16,2.68,2.71,2.64,2.65,636600
21-Mar-16,2.73,2.73,2.68,2.68,916900
18-Mar-16,2.73,2.74,2.68,2.74,2550700
17-Mar-16,2.65,2.76,2.64,2.72,3499000
16-Mar-16,2.76,2.78,2.64,2.64,3494900
15-Mar-16,2.78,2.83,2.74,2.78,2477100
14-Mar-16,2.60,2.82,2.57,2.77,7516700
11-Mar-16,2.36,2.54,2.32,2.54,3326100
10-Mar-16,2.31,2.35,2.27,2.35,1013100
9-Mar-16,2.37,2.39,2.28,2.30,1834600
