Date,Open,High,Low,Close,Volume
7-Oct-16,3.85,3.85,3.78,3.85,691800
6-Oct-16,3.70,3.85,3.69,3.85,1494000
5-Oct-16,3.76,3.76,3.66,3.69,908800
4-Oct-16,3.85,3.85,3.75,3.77,924400
30-Sep-16,3.87,3.89,3.81,3.85,929300
29-Sep-16,3.95,3.96,3.85,3.87,2021100
28-Sep-16,3.80,3.95,3.78,3.95,2151600
27-Sep-16,3.90,3.98,3.75,3.82,3318500
26-Sep-16,3.92,3.98,3.90,3.90,355500
23-Sep-16,3.96,4.01,3.90,3.97,3466300
22-Sep-16,3.86,3.96,3.83,3.95,5256800
21-Sep-16,3.72,3.82,3.65,3.80,3711400
20-Sep-16,3.74,3.77,3.65,3.73,1803200
19-Sep-16,3.40,3.75,3.40,3.74,3028600
15-Sep-16,3.27,3.45,3.20,3.40,2464100
14-Sep-16,3.25,3.25,3.18,3.20,841000
13-Sep-16,3.35,3.35,3.25,3.26,229400
9-Sep-16,3.33,3.38,3.31,3.34,877800
8-Sep-16,3.28,3.35,3.27,3.35,379600
7-Sep-16,3.39,3.39,3.29,3.29,391100
6-Sep-16,3.40,3.48,3.39,3.42,998400
5-Sep-16,3.45,3.54,3.40,3.43,1808600
2-Sep-16,3.35,3.45,3.35,3.43,1327400
1-Sep-16,3.30,3.36,3.26,3.33,1394500
30-Aug-16,3.28,3.35,3.27,3.30,2420900
29-Aug-16,3.24,3.34,3.24,3.28,1538700
26-Aug-16,3.29,3.29,3.20,3.22,1164100
25-Aug-16,3.27,3.31,3.20,3.20,1749500
24-Aug-16,3.28,3.33,3.24,3.27,1271000
23-Aug-16,3.32,3.38,3.26,3.28,1551500
22-Aug-16,3.12,3.32,3.12,3.32,3350200
19-Aug-16,3.36,3.38,3.10,3.10,4690200
18-Aug-16,3.33,3.43,3.31,3.34,3031900
17-Aug-16,3.40,3.45,3.36,3.38,2250900
16-Aug-16,3.42,3.47,3.36,3.38,1967300
15-Aug-16,3.36,3.47,3.36,3.42,4102500
12-Aug-16,3.26,3.38,3.23,3.33,2100200
11-Aug-16,3.18,3.30,3.15,3.25,1318900
10-Aug-16,3.22,3.46,3.17,3.18,7193100
9-Aug-16,3.05,3.24,3.05,3.19,2530000
8-Aug-16,3.00,3.06,2.98,3.05,562900
5-Aug-16,3.01,3.08,2.98,3.00,3064500
4-Aug-16,2.92,3.06,2.89,3.00,6913400
3-Aug-16,2.85,2.98,2.82,2.90,8538400
2-Aug-16,2.81,2.87,2.80,2.84,1064700
1-Aug-16,2.85,2.85,2.81,2.81,847700
29-Jul-16,2.86,2.86,2.83,2.85,83000
28-Jul-16,2.86,2.89,2.83,2.84,219600
27-Jul-16,2.84,2.90,2.84,2.87,2493300
26-Jul-16,2.85,2.85,2.79,2.80,129500
25-Jul-16,2.80,2.84,2.80,2.83,95600
22-Jul-16,2.76,2.82,2.76,2.80,73900
21-Jul-16,2.89,2.89,2.79,2.79,328400
20-Jul-16,2.86,2.90,2.84,2.88,2969600
19-Jul-16,2.91,2.91,2.81,2.83,385200
18-Jul-16,2.84,2.92,2.84,2.88,2175700
15-Jul-16,2.82,2.88,2.82,2.84,5548600
14-Jul-16,2.79,2.83,2.75,2.82,1224500
13-Jul-16,2.77,2.85,2.77,2.83,1461200
12-Jul-16,2.71,2.82,2.71,2.77,340100
11-Jul-16,2.66,2.81,2.66,2.80,977900
8-Jul-16,2.66,2.71,2.60,2.64,1087500
5-Jul-16,2.68,2.69,2.66,2.69,73800
4-Jul-16,2.68,2.75,2.65,2.67,185000
1-Jul-16,2.81,2.83,2.68,2.69,913700
30-Jun-16,2.80,2.94,2.78,2.81,2397600
29-Jun-16,2.57,2.79,2.56,2.78,2087900
28-Jun-16,2.53,2.57,2.53,2.56,162600
27-Jun-16,2.50,2.56,2.50,2.53,248800
24-Jun-16,2.60,2.67,2.50,2.57,249500
23-Jun-16,2.53,2.63,2.53,2.61,234600
21-Jun-16,2.56,2.60,2.52,2.60,256200
20-Jun-16,2.60,2.60,2.55,2.56,68000
17-Jun-16,2.54,2.63,2.51,2.63,218700
16-Jun-16,2.53,2.54,2.50,2.51,297800
15-Jun-16,2.52,2.54,2.50,2.52,329600
14-Jun-16,2.58,2.58,2.50,2.52,318900
13-Jun-16,2.62,2.62,2.55,2.56,216200
10-Jun-16,2.64,2.65,2.61,2.61,628900
9-Jun-16,2.69,2.70,2.63,2.63,644700
8-Jun-16,2.73,2.74,2.69,2.69,542400
