Date,Open,High,Low,Close,Volume
7-Oct-16,2.14,2.15,2.13,2.14,17500
6-Oct-16,2.13,2.14,2.13,2.14,12000
5-Oct-16,2.14,2.14,2.13,2.13,12600
4-Oct-16,2.14,2.14,2.14,2.14,8000
30-Sep-16,2.17,2.17,2.15,2.15,25200
29-Sep-16,2.18,2.18,2.17,2.17,33000
28-Sep-16,2.18,2.18,2.18,2.18,15000
27-Sep-16,2.18,2.18,2.18,2.18,8200
26-Sep-16,2.18,2.19,2.17,2.19,34300
23-Sep-16,2.20,2.20,2.19,2.19,3000
22-Sep-16,2.18,2.22,2.18,2.20,8000
21-Sep-16,2.17,2.20,2.17,2.20,49300
20-Sep-16,2.16,2.20,2.16,2.20,49500
19-Sep-16,2.16,2.16,2.16,2.16,4900
15-Sep-16,2.18,2.19,2.15,2.19,106100
14-Sep-16,2.22,2.22,2.20,2.20,23000
13-Sep-16,2.26,2.26,2.22,2.23,46000
9-Sep-16,2.27,2.27,2.27,2.27,2900
8-Sep-16,-,-,-,2.26,0
7-Sep-16,2.27,2.27,2.26,2.26,9500
6-Sep-16,-,-,-,2.27,0
5-Sep-16,2.27,2.28,2.27,2.27,10900
2-Sep-16,2.31,2.32,2.26,2.26,72400
1-Sep-16,2.36,2.36,2.27,2.28,103100
30-Aug-16,2.45,2.45,2.43,2.43,21000
29-Aug-16,2.49,2.50,2.40,2.49,111000
26-Aug-16,2.30,2.48,2.30,2.48,111200
25-Aug-16,2.30,2.30,2.30,2.30,12200
24-Aug-16,2.24,2.30,2.24,2.30,18200
23-Aug-16,-,-,-,2.30,0
22-Aug-16,2.30,2.30,2.30,2.30,13200
19-Aug-16,2.30,2.30,2.26,2.30,10500
18-Aug-16,2.26,2.30,2.26,2.30,3000
17-Aug-16,-,-,-,2.30,0
16-Aug-16,2.30,2.30,2.30,2.30,2000
15-Aug-16,2.36,2.36,2.29,2.29,9000
12-Aug-16,2.28,2.32,2.26,2.32,20200
11-Aug-16,2.27,2.27,2.27,2.27,7000
10-Aug-16,2.33,2.33,2.31,2.33,11000
9-Aug-16,2.36,2.36,2.30,2.30,7000
8-Aug-16,2.32,2.38,2.32,2.35,38800
5-Aug-16,-,-,-,2.30,0
4-Aug-16,2.20,2.30,2.20,2.30,15300
3-Aug-16,2.27,2.27,2.26,2.27,3400
2-Aug-16,2.26,2.37,2.26,2.37,2100
1-Aug-16,2.39,2.39,2.39,2.39,1000
29-Jul-16,2.40,2.41,2.40,2.40,14700
28-Jul-16,2.18,2.59,2.18,2.40,87600
27-Jul-16,2.17,2.18,2.17,2.18,4100
26-Jul-16,2.17,2.17,2.17,2.17,2000
25-Jul-16,2.17,2.17,2.17,2.17,25000
22-Jul-16,2.16,2.17,2.15,2.15,31700
21-Jul-16,2.17,2.18,2.16,2.18,27100
20-Jul-16,2.16,2.17,2.15,2.16,31800
19-Jul-16,2.17,2.18,2.17,2.18,4500
18-Jul-16,-,-,-,2.18,0
15-Jul-16,2.18,2.18,2.18,2.18,10000
14-Jul-16,2.19,2.19,2.16,2.19,13100
13-Jul-16,2.15,2.18,2.15,2.18,13500
12-Jul-16,2.16,2.18,2.16,2.18,4000
11-Jul-16,2.15,2.16,2.15,2.16,5300
8-Jul-16,-,-,-,2.15,0
5-Jul-16,-,-,-,2.15,0
4-Jul-16,2.16,2.16,2.15,2.15,10800
1-Jul-16,-,-,-,2.17,0
30-Jun-16,2.18,2.18,2.16,2.17,27900
29-Jun-16,2.17,2.17,2.16,2.17,30300
28-Jun-16,2.19,2.19,2.16,2.16,25700
27-Jun-16,2.17,2.20,2.17,2.20,14300
24-Jun-16,2.21,2.21,2.20,2.20,8000
23-Jun-16,2.21,2.21,2.21,2.21,1000
21-Jun-16,2.23,2.23,2.23,2.23,10000
20-Jun-16,2.25,2.25,2.24,2.24,11000
17-Jun-16,2.28,2.28,2.26,2.26,17600
16-Jun-16,2.28,2.29,2.28,2.29,14500
15-Jun-16,2.30,2.31,2.29,2.29,16400
14-Jun-16,-,-,-,2.35,0
