Date,Open,High,Low,Close,Volume
7-Oct-16,1.50,1.55,1.50,1.53,377000
6-Oct-16,1.53,1.53,1.50,1.50,152200
5-Oct-16,1.55,1.55,1.53,1.54,126300
4-Oct-16,1.54,1.56,1.52,1.55,1212700
30-Sep-16,1.54,1.57,1.51,1.54,2082500
29-Sep-16,1.48,1.49,1.47,1.49,62100
28-Sep-16,1.46,1.48,1.46,1.48,150200
27-Sep-16,1.48,1.52,1.46,1.49,549200
26-Sep-16,1.46,1.49,1.43,1.49,300900
23-Sep-16,1.47,1.47,1.45,1.45,159100
22-Sep-16,1.48,1.49,1.46,1.46,385200
21-Sep-16,1.46,1.49,1.46,1.47,394600
20-Sep-16,1.39,1.46,1.39,1.44,463800
19-Sep-16,1.39,1.40,1.39,1.40,92200
15-Sep-16,1.39,1.40,1.38,1.40,45800
14-Sep-16,1.38,1.40,1.38,1.40,36000
13-Sep-16,1.41,1.41,1.38,1.38,36500
9-Sep-16,1.43,1.43,1.41,1.41,79500
8-Sep-16,1.44,1.48,1.42,1.43,467200
7-Sep-16,1.37,1.42,1.37,1.42,132400
6-Sep-16,1.35,1.36,1.35,1.36,9600
5-Sep-16,1.36,1.36,1.35,1.36,139900
2-Sep-16,1.34,1.36,1.34,1.34,50900
1-Sep-16,1.36,1.36,1.33,1.33,13900
30-Aug-16,1.36,1.39,1.35,1.35,148600
29-Aug-16,1.33,1.36,1.32,1.36,77900
26-Aug-16,1.30,1.31,1.30,1.31,24000
25-Aug-16,1.33,1.34,1.28,1.31,505800
24-Aug-16,1.40,1.40,1.31,1.34,894000
23-Aug-16,1.39,1.39,1.38,1.38,112500
22-Aug-16,1.40,1.42,1.39,1.39,88500
19-Aug-16,1.40,1.40,1.40,1.40,102800
18-Aug-16,1.43,1.43,1.39,1.40,68100
17-Aug-16,1.43,1.43,1.42,1.42,119000
16-Aug-16,1.43,1.45,1.43,1.43,147300
15-Aug-16,1.45,1.45,1.45,1.45,11300
12-Aug-16,1.47,1.47,1.45,1.46,52700
11-Aug-16,1.44,1.48,1.41,1.46,267800
10-Aug-16,1.42,1.43,1.40,1.42,200400
9-Aug-16,1.45,1.45,1.43,1.44,107500
8-Aug-16,1.45,1.46,1.45,1.45,63900
5-Aug-16,1.47,1.47,1.46,1.47,93900
4-Aug-16,1.46,1.46,1.45,1.45,13500
3-Aug-16,1.43,1.46,1.43,1.44,34100
2-Aug-16,1.48,1.48,1.44,1.44,70600
1-Aug-16,-,-,-,1.48,0
29-Jul-16,1.46,1.48,1.45,1.48,15800
28-Jul-16,1.46,1.46,1.45,1.45,12900
27-Jul-16,1.48,1.48,1.45,1.45,10600
26-Jul-16,1.47,1.48,1.47,1.48,12400
25-Jul-16,1.49,1.50,1.48,1.50,73800
22-Jul-16,1.47,1.50,1.46,1.50,26500
21-Jul-16,1.53,1.53,1.48,1.48,80900
20-Jul-16,1.49,1.52,1.49,1.52,326300
19-Jul-16,1.49,1.50,1.48,1.50,19700
18-Jul-16,1.50,1.50,1.49,1.49,310000
15-Jul-16,1.47,1.52,1.47,1.51,289100
14-Jul-16,1.49,1.49,1.46,1.47,127900
13-Jul-16,1.43,1.50,1.42,1.49,494100
12-Jul-16,1.43,1.43,1.43,1.43,113800
11-Jul-16,1.42,1.45,1.42,1.43,104200
8-Jul-16,1.41,1.42,1.41,1.42,65500
5-Jul-16,1.41,1.43,1.41,1.43,20700
4-Jul-16,1.42,1.43,1.41,1.43,81900
1-Jul-16,1.42,1.46,1.40,1.46,227200
30-Jun-16,1.46,1.46,1.45,1.45,180500
29-Jun-16,1.41,1.48,1.41,1.46,577700
28-Jun-16,1.40,1.41,1.40,1.40,225800
27-Jun-16,1.42,1.42,1.39,1.41,94000
24-Jun-16,1.44,1.44,1.37,1.42,377100
23-Jun-16,1.45,1.47,1.45,1.46,76000
21-Jun-16,1.46,1.48,1.44,1.47,538200
20-Jun-16,1.46,1.48,1.43,1.46,829000
17-Jun-16,1.48,1.50,1.47,1.48,304500
