Date,Open,High,Low,Close,Volume
7-Oct-16,4.48,4.48,4.45,4.46,195000
6-Oct-16,4.45,4.50,4.44,4.50,495600
5-Oct-16,4.46,4.46,4.44,4.45,257000
4-Oct-16,4.42,4.46,4.42,4.46,864500
30-Sep-16,4.43,4.45,4.42,4.43,401700
29-Sep-16,4.41,4.44,4.41,4.44,195300
28-Sep-16,4.40,4.44,4.40,4.42,452100
27-Sep-16,4.34,4.42,4.34,4.40,349700
26-Sep-16,4.41,4.43,4.40,4.40,141800
23-Sep-16,4.40,4.42,4.39,4.41,108600
22-Sep-16,4.36,4.41,4.36,4.41,567700
21-Sep-16,4.24,4.37,4.24,4.37,34100
20-Sep-16,4.28,4.35,4.28,4.35,130800
19-Sep-16,4.40,4.40,4.29,4.33,94100
15-Sep-16,4.25,4.40,4.17,4.40,1282500
14-Sep-16,4.28,4.28,4.26,4.26,48200
13-Sep-16,4.33,4.36,4.33,4.35,269100
9-Sep-16,4.34,4.34,4.33,4.34,609600
8-Sep-16,4.35,4.35,4.35,4.35,791700
7-Sep-16,4.32,4.38,4.32,4.35,680400
6-Sep-16,4.32,4.33,4.31,4.33,391900
5-Sep-16,4.29,4.31,4.28,4.31,199400
2-Sep-16,4.35,4.35,4.28,4.30,59400
1-Sep-16,4.34,4.37,4.33,4.34,133200
30-Aug-16,4.35,4.43,4.33,4.43,472900
29-Aug-16,4.39,4.40,4.37,4.40,255400
26-Aug-16,4.39,4.39,4.37,4.39,256500
25-Aug-16,4.38,4.40,4.38,4.39,182200
24-Aug-16,4.42,4.42,4.38,4.38,427300
23-Aug-16,4.41,4.41,4.40,4.40,56500
22-Aug-16,4.39,4.42,4.38,4.42,108400
19-Aug-16,4.39,4.40,4.39,4.40,728300
18-Aug-16,4.44,4.44,4.39,4.39,644300
17-Aug-16,4.39,4.45,4.39,4.44,34300
16-Aug-16,4.41,4.43,4.39,4.40,423000
15-Aug-16,4.38,4.41,4.38,4.41,26400
12-Aug-16,4.41,4.45,4.39,4.41,139100
11-Aug-16,4.41,4.43,4.41,4.42,608200
10-Aug-16,4.42,4.43,4.41,4.42,532300
9-Aug-16,4.42,4.46,4.42,4.46,434700
8-Aug-16,4.41,4.42,4.40,4.42,618900
5-Aug-16,4.42,4.42,4.40,4.42,44200
4-Aug-16,4.40,4.42,4.40,4.42,251000
3-Aug-16,4.40,4.40,4.40,4.40,647300
2-Aug-16,4.40,4.42,4.40,4.40,339700
1-Aug-16,4.40,4.44,4.38,4.43,694000
29-Jul-16,4.40,4.41,4.36,4.36,387000
28-Jul-16,4.42,4.44,4.39,4.39,544600
27-Jul-16,4.43,4.43,4.43,4.43,525200
26-Jul-16,4.42,4.42,4.41,4.42,500000
25-Jul-16,4.42,4.42,4.41,4.42,831000
22-Jul-16,4.37,4.42,4.36,4.42,744300
21-Jul-16,4.40,4.40,4.36,4.40,81700
20-Jul-16,4.44,4.45,4.39,4.41,877100
19-Jul-16,4.39,4.45,4.39,4.45,673000
18-Jul-16,4.39,4.41,4.38,4.41,114900
15-Jul-16,4.38,4.44,4.38,4.40,1012100
14-Jul-16,4.46,4.46,4.35,4.38,224300
13-Jul-16,4.35,4.47,4.35,4.46,412800
12-Jul-16,4.39,4.43,4.38,4.41,695800
11-Jul-16,4.39,4.43,4.35,4.39,758800
8-Jul-16,4.44,4.44,4.35,4.40,67000
5-Jul-16,4.37,4.44,4.36,4.44,29100
4-Jul-16,4.37,4.38,4.36,4.38,31700
1-Jul-16,-,-,-,4.37,0
30-Jun-16,4.44,4.44,4.35,4.37,43400
29-Jun-16,4.40,4.45,4.39,4.45,713700
28-Jun-16,4.33,4.42,4.33,4.39,14800
27-Jun-16,4.40,4.40,4.33,4.33,15600
24-Jun-16,4.35,4.45,4.35,4.45,447200
23-Jun-16,4.40,4.43,4.39,4.42,1688500
21-Jun-16,4.41,4.42,4.39,4.42,259200
20-Jun-16,4.39,4.41,4.36,4.41,293000
17-Jun-16,4.34,4.39,4.34,4.39,462700
16-Jun-16,4.36,4.37,4.30,4.34,158600
15-Jun-16,4.28,4.40,4.28,4.39,112800
14-Jun-16,4.33,4.33,4.26,4.28,760800
13-Jun-16,4.35,4.35,4.33,4.33,162200
10-Jun-16,4.35,4.41,4.33,4.39,264900
9-Jun-16,4.34,4.40,4.33,4.35,286000
8-Jun-16,4.40,4.42,4.40,4.41,174600
7-Jun-16,4.40,4.42,4.35,4.42,191100
6-Jun-16,4.33,4.42,4.33,4.40,53400
3-Jun-16,4.41,4.43,4.41,4.43,116000
2-Jun-16,4.41,4.42,4.40,4.41,90000
1-Jun-16,4.40,4.41,4.39,4.41,183000
31-May-16,4.36,4.44,4.29,4.41,694400
30-May-16,4.40,4.43,4.35,4.43,355400
27-May-16,4.33,4.40,4.33,4.40,622000
26-May-16,4.36,4.36,4.30,4.35,481000
25-May-16,4.32,4.36,4.32,4.34,1401000
24-May-16,4.35,4.36,4.35,4.36,46200
23-May-16,4.33,4.36,4.33,4.36,324600
20-May-16,4.26,4.35,4.24,4.35,90400
19-May-16,4.34,4.34,4.25,4.30,71800
18-May-16,4.25,4.30,4.25,4.30,824800
17-May-16,4.25,4.30,4.25,4.26,957400
16-May-16,4.21,4.30,4.21,4.30,1349200
