Date,Open,High,Low,Close,Volume
7-Oct-16,-,-,-,0.00,0
6-Oct-16,-,-,-,0.00,0
5-Oct-16,-,-,-,0.00,0
4-Oct-16,-,-,-,0.00,0
30-Sep-16,-,-,-,0.00,0
29-Sep-16,-,-,-,0.00,0
28-Sep-16,-,-,-,0.00,0
27-Sep-16,-,-,-,0.00,0
26-Sep-16,-,-,-,0.00,0
23-Sep-16,-,-,-,0.00,0
22-Sep-16,-,-,-,0.00,0
21-Sep-16,-,-,-,0.00,0
20-Sep-16,-,-,-,0.00,0
19-Sep-16,-,-,-,0.00,0
15-Sep-16,-,-,-,0.00,0
14-Sep-16,-,-,-,0.00,0
13-Sep-16,0.00,0.00,0.00,0.00,1050000
9-Sep-16,0.00,0.00,0.00,0.00,270100
8-Sep-16,0.00,0.00,0.00,0.00,502500
7-Sep-16,0.00,0.00,0.00,0.00,2071500
6-Sep-16,0.00,0.00,0.00,0.00,11706100
5-Sep-16,0.01,0.01,0.01,0.01,45500
2-Sep-16,-,-,-,0.01,0
1-Sep-16,-,-,-,0.01,0
30-Aug-16,0.01,0.01,0.01,0.01,30000
29-Aug-16,0.00,0.00,0.00,0.00,52000
26-Aug-16,-,-,-,0.01,0
25-Aug-16,0.01,0.01,0.01,0.01,500
24-Aug-16,0.01,0.01,0.00,0.01,230200
23-Aug-16,0.01,0.01,0.00,0.00,149400
22-Aug-16,0.00,0.01,0.00,0.01,620900
19-Aug-16,0.00,0.00,0.00,0.00,700000
18-Aug-16,0.01,0.01,0.00,0.00,900000
17-Aug-16,0.00,0.01,0.00,0.01,1120100
16-Aug-16,0.00,0.01,0.00,0.01,29100
15-Aug-16,0.00,0.01,0.00,0.01,325100
12-Aug-16,0.01,0.01,0.01,0.01,1390000
11-Aug-16,0.00,0.01,0.00,0.01,1190100
10-Aug-16,0.01,0.01,0.01,0.01,600
9-Aug-16,0.01,0.01,0.01,0.01,290000
8-Aug-16,0.01,0.02,0.00,0.01,22601000
5-Aug-16,0.01,0.01,0.00,0.00,2090100
4-Aug-16,0.01,0.01,0.01,0.01,100
3-Aug-16,0.00,0.00,0.00,0.00,10900
2-Aug-16,0.01,0.01,0.01,0.01,500000
1-Aug-16,0.01,0.02,0.01,0.01,9457000
29-Jul-16,-,-,-,0.01,0
28-Jul-16,-,-,-,0.01,0
27-Jul-16,0.00,0.01,0.00,0.01,3240000
26-Jul-16,0.00,0.00,0.00,0.00,1400000
25-Jul-16,0.00,0.00,0.00,0.00,30000
22-Jul-16,-,-,-,0.01,0
21-Jul-16,-,-,-,0.01,0
20-Jul-16,0.00,0.02,0.00,0.01,4655500
19-Jul-16,0.01,0.01,0.00,0.01,240000
18-Jul-16,0.00,0.00,0.00,0.00,20000
15-Jul-16,0.00,0.00,0.00,0.00,50000
14-Jul-16,-,-,-,0.01,0
13-Jul-16,-,-,-,0.01,0
12-Jul-16,0.00,0.01,0.00,0.01,105400
11-Jul-16,0.01,0.01,0.01,0.01,938300
8-Jul-16,0.00,0.01,0.00,0.01,150000
5-Jul-16,-,-,-,0.01,0
4-Jul-16,0.00,0.01,0.00,0.01,120000
1-Jul-16,0.01,0.01,0.01,0.01,100000
30-Jun-16,-,-,-,0.01,0
29-Jun-16,0.01,0.01,0.01,0.01,61700
28-Jun-16,0.01,0.01,0.01,0.01,50000
27-Jun-16,0.01,0.01,0.01,0.01,408300
24-Jun-16,0.01,0.01,0.01,0.01,230000
23-Jun-16,0.01,0.01,0.01,0.01,399700
21-Jun-16,0.02,0.02,0.01,0.01,633100
20-Jun-16,0.01,0.01,0.01,0.01,30000
17-Jun-16,0.01,0.01,0.01,0.01,1480500
16-Jun-16,0.01,0.01,0.01,0.01,1805000
15-Jun-16,0.01,0.01,0.01,0.01,325400
14-Jun-16,0.02,0.02,0.01,0.01,729600
13-Jun-16,0.01,0.02,0.01,0.02,650200
10-Jun-16,0.01,0.02,0.01,0.01,2188200
9-Jun-16,0.01,0.02,0.01,0.01,10451400
8-Jun-16,0.01,0.01,0.01,0.01,573300
7-Jun-16,0.01,0.01,0.01,0.01,1914400
6-Jun-16,0.01,0.01,0.01,0.01,2860000
3-Jun-16,0.01,0.02,0.01,0.01,2460000
2-Jun-16,0.01,0.01,0.01,0.01,500000
1-Jun-16,0.01,0.01,0.01,0.01,300000
31-May-16,0.01,0.01,0.01,0.01,201100
30-May-16,0.01,0.01,0.01,0.01,230000
27-May-16,0.02,0.02,0.01,0.02,620000
26-May-16,0.02,0.02,0.02,0.02,260000
25-May-16,0.01,0.02,0.01,0.02,1110100
24-May-16,0.01,0.01,0.01,0.01,1190000
23-May-16,0.01,0.01,0.01,0.01,1130000
20-May-16,0.01,0.01,0.01,0.01,108000
19-May-16,0.01,0.02,0.01,0.01,650200
18-May-16,0.01,0.01,0.01,0.01,1165000
17-May-16,0.01,0.01,0.01,0.01,1350200
16-May-16,0.01,0.02,0.01,0.01,230100
13-May-16,0.01,0.02,0.01,0.01,1934300
12-May-16,0.01,0.02,0.01,0.01,2236500
11-May-16,0.01,0.02,0.01,0.02,1145200
10-May-16,0.02,0.02,0.01,0.02,5020200
9-May-16,0.01,0.02,0.00,0.01,29225900
6-May-16,0.02,0.02,0.00,0.01,57958900
5-May-16,0.02,0.02,0.01,0.02,28933800
4-May-16,0.00,0.01,0.00,0.01,16176900
3-May-16,0.00,0.00,0.00,0.00,1000000
29-Apr-16,-,-,-,0.00,0
28-Apr-16,-,-,-,0.00,0
27-Apr-16,0.00,0.00,0.00,0.00,1520000
26-Apr-16,-,-,-,0.00,0
25-Apr-16,0.00,0.00,0.00,0.00,5984600
22-Apr-16,0.00,0.00,0.00,0.00,100
21-Apr-16,-,-,-,0.00,0
20-Apr-16,0.00,0.00,0.00,0.00,400000
19-Apr-16,-,-,-,0.00,0
18-Apr-16,-,-,-,0.00,0
15-Apr-16,-,-,-,0.00,0
14-Apr-16,-,-,-,0.00,0
13-Apr-16,-,-,-,0.00,0
12-Apr-16,0.00,0.00,0.00,0.00,200000
11-Apr-16,0.00,0.00,0.00,0.00,220000
8-Apr-16,-,-,-,0.00,0
7-Apr-16,0.00,0.00,0.00,0.00,600000
6-Apr-16,-,-,-,0.00,0
5-Apr-16,0.00,0.00,0.00,0.00,200000
4-Apr-16,0.00,0.00,0.00,0.00,350000
1-Apr-16,-,-,-,0.00,0
31-Mar-16,-,-,-,0.00,0
30-Mar-16,-,-,-,0.00,0
29-Mar-16,0.00,0.00,0.00,0.00,430000
28-Mar-16,-,-,-,0.00,0
25-Mar-16,0.00,0.00,0.00,0.00,100
24-Mar-16,0.00,0.00,0.00,0.00,20000
23-Mar-16,0.00,0.00,0.00,0.00,290000
22-Mar-16,0.00,0.00,0.00,0.00,100000
21-Mar-16,0.00,0.00,0.00,0.00,3695000
18-Mar-16,0.00,0.00,0.00,0.00,1000000
17-Mar-16,-,-,-,0.00,0
16-Mar-16,0.00,0.00,0.00,0.00,551100
15-Mar-16,0.00,0.00,0.00,0.00,770000
14-Mar-16,0.00,0.01,0.00,0.00,5751100
11-Mar-16,0.00,0.00,0.00,0.00,992200
10-Mar-16,0.00,0.00,0.00,0.00,980000
9-Mar-16,0.00,0.00,0.00,0.00,500000
