Date,Open,High,Low,Close,Volume
7-Oct-16,0.96,0.96,0.95,0.95,111700
6-Oct-16,0.96,0.96,0.96,0.96,21300
5-Oct-16,0.98,0.98,0.96,0.96,112300
4-Oct-16,0.97,0.98,0.97,0.98,210400
30-Sep-16,0.95,0.98,0.94,0.97,451900
29-Sep-16,0.95,0.95,0.94,0.94,53900
28-Sep-16,0.94,0.95,0.94,0.95,137000
27-Sep-16,0.94,0.95,0.94,0.94,203200
26-Sep-16,0.94,0.94,0.94,0.94,11300
23-Sep-16,0.94,0.94,0.93,0.94,155400
22-Sep-16,0.94,0.94,0.93,0.94,271700
21-Sep-16,0.93,0.94,0.93,0.94,73800
20-Sep-16,0.93,0.93,0.92,0.93,195300
19-Sep-16,0.95,0.95,0.94,0.94,127100
15-Sep-16,0.95,0.95,0.94,0.95,98200
14-Sep-16,0.95,0.96,0.94,0.95,756400
13-Sep-16,0.96,0.97,0.95,0.95,292500
9-Sep-16,0.98,0.98,0.97,0.98,392400
8-Sep-16,0.97,1.00,0.96,0.98,973800
7-Sep-16,0.99,1.00,0.96,0.98,929100
6-Sep-16,0.99,1.00,0.99,1.00,492600
5-Sep-16,1.00,1.02,0.99,0.99,1612700
2-Sep-16,0.97,1.00,0.97,1.00,603600
1-Sep-16,0.96,0.98,0.96,0.97,547900
30-Aug-16,0.95,0.96,0.95,0.96,149000
29-Aug-16,0.95,0.96,0.95,0.96,63100
26-Aug-16,0.96,0.96,0.95,0.95,138100
25-Aug-16,0.96,0.96,0.94,0.95,579000
24-Aug-16,0.96,0.96,0.95,0.95,207900
23-Aug-16,0.96,0.96,0.95,0.95,168600
22-Aug-16,0.95,0.96,0.95,0.96,41600
19-Aug-16,0.96,0.96,0.96,0.96,22100
18-Aug-16,0.98,0.98,0.97,0.97,150700
17-Aug-16,0.98,0.98,0.96,0.98,281300
16-Aug-16,0.96,0.97,0.96,0.96,182600
15-Aug-16,0.97,0.97,0.96,0.96,138900
12-Aug-16,0.96,0.97,0.96,0.97,557500
11-Aug-16,0.95,0.96,0.95,0.96,104300
10-Aug-16,0.95,0.95,0.94,0.95,179200
9-Aug-16,0.96,0.96,0.94,0.95,365500
8-Aug-16,0.93,0.96,0.93,0.95,1435100
5-Aug-16,0.89,0.90,0.89,0.90,81400
4-Aug-16,0.89,0.90,0.88,0.90,31000
3-Aug-16,0.90,0.90,0.88,0.89,491100
2-Aug-16,0.91,0.92,0.88,0.89,266100
1-Aug-16,0.90,0.91,0.90,0.91,27100
29-Jul-16,0.90,0.90,0.90,0.90,78500
28-Jul-16,0.89,0.92,0.89,0.90,6100
27-Jul-16,0.90,0.92,0.90,0.90,286500
26-Jul-16,0.90,0.90,0.90,0.90,75400
25-Jul-16,0.90,0.90,0.90,0.90,85800
22-Jul-16,0.91,0.91,0.90,0.91,123000
