Date,Open,High,Low,Close,Volume
7-Oct-16,5.74,5.75,5.74,5.75,11500
6-Oct-16,5.75,5.75,5.74,5.75,22300
5-Oct-16,5.74,5.75,5.74,5.75,25000
4-Oct-16,5.74,5.75,5.74,5.75,57000
30-Sep-16,5.74,5.75,5.74,5.75,70000
29-Sep-16,5.75,5.75,5.75,5.75,8000
28-Sep-16,-,-,-,5.75,0
27-Sep-16,5.75,5.75,5.75,5.75,12000
26-Sep-16,5.74,5.75,5.74,5.75,20000
23-Sep-16,5.74,5.75,5.73,5.75,59500
22-Sep-16,5.75,5.75,5.75,5.75,45000
21-Sep-16,5.75,5.75,5.75,5.75,27300
20-Sep-16,5.75,5.75,5.75,5.75,80000
19-Sep-16,-,-,-,5.75,0
15-Sep-16,5.75,5.75,5.75,5.75,84000
14-Sep-16,5.75,5.75,5.75,5.75,87300
13-Sep-16,5.69,5.75,5.69,5.75,105000
9-Sep-16,5.68,5.75,5.68,5.75,100000
8-Sep-16,-,-,-,5.69,0
7-Sep-16,-,-,-,5.69,0
6-Sep-16,-,-,-,5.69,0
5-Sep-16,-,-,-,5.69,0
2-Sep-16,-,-,-,5.69,0
1-Sep-16,-,-,-,5.69,0
30-Aug-16,-,-,-,5.69,0
29-Aug-16,-,-,-,5.69,0
26-Aug-16,-,-,-,5.69,0
25-Aug-16,5.45,5.69,5.45,5.69,2200
24-Aug-16,-,-,-,5.75,0
23-Aug-16,-,-,-,5.75,0
22-Aug-16,-,-,-,5.75,0
19-Aug-16,-,-,-,5.75,0
18-Aug-16,-,-,-,5.75,0
17-Aug-16,-,-,-,5.75,0
16-Aug-16,5.60,5.75,5.60,5.75,4100
15-Aug-16,-,-,-,5.76,0
12-Aug-16,5.60,5.76,5.52,5.76,82200
11-Aug-16,-,-,-,5.75,0
10-Aug-16,5.60,5.75,5.55,5.75,6000
9-Aug-16,-,-,-,5.79,0
8-Aug-16,-,-,-,5.79,0
5-Aug-16,-,-,-,5.79,0
4-Aug-16,5.58,5.79,5.58,5.79,6400
3-Aug-16,5.58,5.80,5.58,5.58,10700
2-Aug-16,-,-,-,5.80,0
1-Aug-16,5.56,5.80,5.55,5.80,4000
29-Jul-16,5.86,5.86,5.86,5.86,4000
28-Jul-16,-,-,-,5.81,0
27-Jul-16,5.58,5.81,5.58,5.81,2100
26-Jul-16,-,-,-,5.79,0
25-Jul-16,-,-,-,5.79,0
22-Jul-16,-,-,-,5.79,0
21-Jul-16,5.75,5.79,5.74,5.79,251000
20-Jul-16,-,-,-,5.85,0
