Date,Open,High,Low,Close,Volume
7-Oct-16,0.72,0.72,0.71,0.72,1804000
6-Oct-16,0.70,0.72,0.70,0.72,3201300
5-Oct-16,0.70,0.70,0.70,0.70,3212500
4-Oct-16,0.71,0.72,0.70,0.70,1068300
30-Sep-16,0.71,0.71,0.70,0.70,177900
29-Sep-16,0.70,0.72,0.70,0.71,740500
28-Sep-16,0.70,0.71,0.70,0.71,1226800
27-Sep-16,0.69,0.70,0.69,0.70,377300
26-Sep-16,0.69,0.70,0.69,0.69,472600
23-Sep-16,0.70,0.70,0.69,0.69,205800
22-Sep-16,0.69,0.69,0.69,0.69,192400
21-Sep-16,0.69,0.69,0.69,0.69,8386700
20-Sep-16,0.68,0.70,0.68,0.69,1359800
19-Sep-16,0.68,0.68,0.68,0.68,262300
15-Sep-16,0.68,0.68,0.68,0.68,925500
14-Sep-16,0.69,0.69,0.68,0.68,114900
13-Sep-16,0.68,0.68,0.68,0.68,105100
9-Sep-16,0.68,0.68,0.68,0.68,551700
8-Sep-16,0.69,0.69,0.68,0.68,55000
7-Sep-16,0.70,0.70,0.69,0.69,302900
6-Sep-16,0.69,0.70,0.69,0.69,228000
5-Sep-16,0.68,0.69,0.68,0.69,594000
2-Sep-16,0.68,0.69,0.68,0.68,350900
1-Sep-16,0.68,0.68,0.68,0.68,652500
30-Aug-16,0.69,0.69,0.68,0.69,790400
29-Aug-16,0.69,0.70,0.69,0.69,200000
26-Aug-16,0.68,0.70,0.68,0.70,4887800
25-Aug-16,0.69,0.70,0.68,0.69,14444000
24-Aug-16,0.68,0.69,0.68,0.69,663000
23-Aug-16,0.68,0.68,0.68,0.68,1114500
22-Aug-16,0.68,0.68,0.68,0.68,23900
19-Aug-16,0.68,0.68,0.68,0.68,338600
18-Aug-16,0.68,0.68,0.68,0.68,75200
17-Aug-16,0.68,0.68,0.68,0.68,21300
16-Aug-16,0.68,0.68,0.68,0.68,460200
15-Aug-16,0.68,0.68,0.68,0.68,629800
12-Aug-16,0.68,0.68,0.68,0.68,204000
11-Aug-16,0.68,0.68,0.68,0.68,18500
10-Aug-16,0.68,0.69,0.68,0.69,169700
9-Aug-16,0.68,0.68,0.68,0.68,203200
8-Aug-16,0.68,0.68,0.68,0.68,687500
5-Aug-16,0.68,0.68,0.68,0.68,105000
4-Aug-16,0.68,0.68,0.68,0.68,6000
3-Aug-16,-,-,-,0.68,0
2-Aug-16,0.68,0.68,0.68,0.68,321800
1-Aug-16,0.68,0.68,0.68,0.68,52000
29-Jul-16,0.68,0.68,0.68,0.68,1728600
28-Jul-16,0.68,0.68,0.68,0.68,1553000
27-Jul-16,0.68,0.68,0.68,0.68,1059500
26-Jul-16,0.68,0.68,0.68,0.68,2215000
25-Jul-16,0.68,0.68,0.68,0.68,2413000
22-Jul-16,0.68,0.68,0.68,0.68,693000
21-Jul-16,0.68,0.68,0.68,0.68,139300
20-Jul-16,0.68,0.68,0.68,0.68,1051400
19-Jul-16,0.68,0.68,0.67,0.67,1383400
18-Jul-16,0.68,0.68,0.68,0.68,95000
15-Jul-16,0.68,0.68,0.68,0.68,34200
14-Jul-16,0.68,0.68,0.68,0.68,14000
13-Jul-16,0.68,0.68,0.68,0.68,202000
12-Jul-16,0.68,0.68,0.67,0.68,740600
11-Jul-16,0.68,0.68,0.68,0.68,323000
8-Jul-16,0.68,0.68,0.68,0.68,20000
5-Jul-16,-,-,-,0.68,0
4-Jul-16,-,-,-,0.68,0
1-Jul-16,0.68,0.68,0.68,0.68,553500
30-Jun-16,0.68,0.68,0.68,0.68,283000
29-Jun-16,0.68,0.68,0.68,0.68,1278500
28-Jun-16,0.68,0.68,0.68,0.68,1919900
27-Jun-16,0.68,0.68,0.68,0.68,2036000
24-Jun-16,0.68,0.68,0.68,0.68,2143600
23-Jun-16,0.68,0.68,0.68,0.68,2081000
21-Jun-16,0.68,0.68,0.68,0.68,2000000
20-Jun-16,0.68,0.68,0.68,0.68,2105200
17-Jun-16,0.68,0.68,0.68,0.68,1995500
16-Jun-16,0.68,0.68,0.68,0.68,2305000
15-Jun-16,0.68,0.68,0.68,0.68,2146000
14-Jun-16,0.68,0.68,0.68,0.68,2000000
13-Jun-16,0.68,0.68,0.68,0.68,2015000
10-Jun-16,0.68,0.68,0.68,0.68,2020000
9-Jun-16,0.68,0.68,0.68,0.68,2012000
8-Jun-16,0.68,0.68,0.68,0.68,2020000
7-Jun-16,0.68,0.68,0.68,0.68,74700
6-Jun-16,0.68,0.68,0.68,0.68,125000
3-Jun-16,0.68,0.68,0.68,0.68,1104200
2-Jun-16,0.68,0.68,0.68,0.68,1010200
1-Jun-16,0.68,0.68,0.68,0.68,1027000
31-May-16,0.68,0.68,0.68,0.68,2448000
30-May-16,0.69,0.69,0.68,0.68,2941500
27-May-16,0.69,0.69,0.68,0.69,953400
26-May-16,0.69,0.69,0.68,0.69,951300
25-May-16,0.69,0.69,0.68,0.69,1057400
