Date,Open,High,Low,Close,Volume
7-Oct-16,0.46,0.48,0.46,0.48,702400
6-Oct-16,0.45,0.46,0.45,0.46,651500
5-Oct-16,0.46,0.46,0.44,0.45,1085700
4-Oct-16,0.48,0.48,0.46,0.46,836200
30-Sep-16,0.50,0.50,0.46,0.48,5177000
29-Sep-16,0.50,0.50,0.49,0.50,10631000
28-Sep-16,0.49,0.50,0.48,0.50,13023300
27-Sep-16,0.46,0.50,0.46,0.49,7505800
26-Sep-16,0.45,0.45,0.45,0.45,863000
23-Sep-16,0.45,0.46,0.44,0.45,295200
22-Sep-16,0.45,0.45,0.44,0.45,319000
21-Sep-16,0.46,0.46,0.46,0.46,50000
20-Sep-16,0.46,0.46,0.46,0.46,108800
19-Sep-16,0.46,0.47,0.46,0.47,66000
15-Sep-16,0.46,0.48,0.46,0.48,21000
14-Sep-16,0.48,0.48,0.48,0.48,1000
13-Sep-16,0.47,0.47,0.46,0.47,622500
9-Sep-16,0.47,0.47,0.47,0.47,220000
8-Sep-16,0.48,0.48,0.47,0.47,156600
7-Sep-16,0.48,0.48,0.48,0.48,143300
6-Sep-16,0.48,0.49,0.48,0.48,645200
5-Sep-16,0.47,0.48,0.47,0.48,457000
2-Sep-16,0.46,0.48,0.46,0.46,433200
1-Sep-16,0.48,0.48,0.47,0.47,61000
30-Aug-16,0.47,0.48,0.47,0.48,492000
29-Aug-16,0.46,0.46,0.46,0.46,232200
26-Aug-16,0.47,0.47,0.46,0.46,149200
25-Aug-16,0.48,0.48,0.47,0.47,38000
24-Aug-16,0.48,0.48,0.47,0.48,147000
23-Aug-16,0.48,0.48,0.46,0.48,287400
22-Aug-16,0.48,0.48,0.47,0.48,360500
19-Aug-16,0.48,0.48,0.48,0.48,243500
18-Aug-16,0.48,0.50,0.48,0.48,230000
17-Aug-16,0.48,0.50,0.47,0.48,261000
16-Aug-16,0.48,0.50,0.48,0.49,6506100
15-Aug-16,0.48,0.48,0.47,0.48,274600
12-Aug-16,0.49,0.50,0.48,0.48,4424400
11-Aug-16,0.44,0.50,0.44,0.48,5180300
10-Aug-16,0.44,0.44,0.44,0.44,75000
9-Aug-16,0.44,0.44,0.44,0.44,71000
8-Aug-16,0.44,0.44,0.44,0.44,163700
5-Aug-16,0.42,0.45,0.42,0.44,767700
4-Aug-16,0.42,0.43,0.42,0.43,73800
3-Aug-16,0.42,0.44,0.42,0.42,32700
2-Aug-16,0.42,0.42,0.42,0.42,4000
1-Aug-16,0.42,0.42,0.42,0.42,10000
29-Jul-16,0.42,0.42,0.42,0.42,70000
28-Jul-16,-,-,-,0.42,0
27-Jul-16,0.42,0.42,0.42,0.42,3000
26-Jul-16,0.42,0.43,0.42,0.43,112900
25-Jul-16,0.41,0.43,0.41,0.43,66100
22-Jul-16,0.41,0.42,0.41,0.42,83500
21-Jul-16,0.42,0.42,0.41,0.41,156700
20-Jul-16,0.44,0.44,0.42,0.42,201600
19-Jul-16,0.42,0.44,0.42,0.44,79300
18-Jul-16,0.42,0.42,0.42,0.42,50000
15-Jul-16,0.42,0.43,0.42,0.42,263200
14-Jul-16,0.43,0.43,0.43,0.43,192500
13-Jul-16,0.44,0.44,0.43,0.43,21600
12-Jul-16,0.46,0.46,0.44,0.44,862800
11-Jul-16,0.42,0.46,0.42,0.45,2188900
8-Jul-16,0.42,0.42,0.42,0.42,25000
5-Jul-16,0.42,0.42,0.42,0.42,40000
4-Jul-16,0.42,0.42,0.42,0.42,1700
1-Jul-16,-,-,-,0.42,0
30-Jun-16,0.42,0.44,0.42,0.42,89900
29-Jun-16,0.41,0.41,0.41,0.41,133000
28-Jun-16,0.40,0.41,0.40,0.41,81000
27-Jun-16,0.41,0.41,0.41,0.41,24900
24-Jun-16,0.41,0.42,0.40,0.42,216300
23-Jun-16,0.42,0.44,0.42,0.42,47100
21-Jun-16,0.42,0.42,0.42,0.42,253000
20-Jun-16,0.42,0.44,0.42,0.42,418400
17-Jun-16,-,-,-,0.44,0
16-Jun-16,-,-,-,0.44,0
15-Jun-16,0.46,0.46,0.44,0.44,156900
14-Jun-16,0.42,0.46,0.42,0.46,963100
13-Jun-16,0.42,0.42,0.40,0.41,141000
10-Jun-16,0.43,0.44,0.43,0.44,58500
9-Jun-16,0.45,0.45,0.45,0.45,20000
8-Jun-16,0.47,0.48,0.44,0.44,197500
7-Jun-16,0.43,0.47,0.43,0.46,303500
6-Jun-16,0.43,0.44,0.42,0.43,427600
3-Jun-16,0.44,0.44,0.40,0.40,366200
2-Jun-16,0.42,0.45,0.42,0.44,255000
1-Jun-16,0.40,0.44,0.39,0.43,844000
31-May-16,0.43,0.44,0.42,0.42,532100
30-May-16,0.46,0.46,0.42,0.44,868500
27-May-16,0.46,0.47,0.46,0.46,352100
26-May-16,0.48,0.48,0.45,0.48,667200
25-May-16,0.52,0.52,0.48,0.49,2824500
24-May-16,0.48,0.52,0.48,0.51,8130300
23-May-16,0.45,0.49,0.45,0.48,1432700
20-May-16,0.44,0.45,0.44,0.45,111400
19-May-16,0.46,0.46,0.46,0.46,50000
18-May-16,0.46,0.46,0.44,0.46,116000
17-May-16,0.45,0.46,0.45,0.46,159500
16-May-16,0.47,0.47,0.45,0.45,72900
13-May-16,0.46,0.46,0.45,0.46,441000
12-May-16,0.44,0.48,0.44,0.47,758900
11-May-16,0.46,0.46,0.44,0.44,574200
10-May-16,0.40,0.46,0.40,0.44,957000
9-May-16,0.38,0.41,0.38,0.40,559700
6-May-16,0.34,0.38,0.34,0.38,304200
5-May-16,0.34,0.35,0.34,0.35,61000
