Date,Open,High,Low,Close,Volume
7-Oct-16,6.99,6.99,6.91,6.99,10100
6-Oct-16,6.99,6.99,6.93,6.95,8000
5-Oct-16,7.00,7.00,6.91,6.99,14400
4-Oct-16,6.99,7.18,6.99,7.01,9600
30-Sep-16,7.00,7.00,6.93,6.93,31700
29-Sep-16,7.00,7.03,7.00,7.02,102900
28-Sep-16,7.01,7.08,7.01,7.02,88000
27-Sep-16,7.08,7.08,7.02,7.02,43700
26-Sep-16,6.98,7.09,6.98,7.04,126400
23-Sep-16,6.98,7.00,6.97,6.98,172400
22-Sep-16,6.88,6.98,6.88,6.98,93800
21-Sep-16,6.84,6.90,6.84,6.89,124000
20-Sep-16,6.90,6.90,6.88,6.89,83200
19-Sep-16,6.85,6.90,6.85,6.90,190800
15-Sep-16,6.89,6.92,6.87,6.87,62400
14-Sep-16,6.90,6.90,6.87,6.87,9900
13-Sep-16,6.95,6.95,6.90,6.91,34400
9-Sep-16,7.08,7.18,6.96,6.96,33200
8-Sep-16,6.85,7.08,6.85,7.08,81600
7-Sep-16,6.86,6.86,6.82,6.85,9100
6-Sep-16,6.75,6.85,6.73,6.85,52800
5-Sep-16,6.79,6.79,6.75,6.76,22200
2-Sep-16,6.69,6.75,6.66,6.75,55200
1-Sep-16,6.79,6.79,6.66,6.66,30000
30-Aug-16,6.68,6.78,6.65,6.78,22000
29-Aug-16,6.68,6.70,6.65,6.70,73900
26-Aug-16,6.75,6.78,6.68,6.68,32700
25-Aug-16,6.75,6.75,6.73,6.75,47100
24-Aug-16,6.80,6.80,6.76,6.80,114900
23-Aug-16,6.93,6.93,6.80,6.80,87000
22-Aug-16,6.65,6.91,6.54,6.91,354600
19-Aug-16,6.80,6.84,6.69,6.69,803400
18-Aug-16,7.00,7.02,6.90,6.90,1118100
17-Aug-16,7.52,7.52,7.48,7.50,41600
16-Aug-16,7.50,7.56,7.50,7.52,150500
15-Aug-16,7.58,7.58,7.47,7.50,81900
12-Aug-16,7.51,7.58,7.50,7.58,108600
11-Aug-16,7.50,7.59,7.50,7.52,9600
10-Aug-16,7.49,7.59,7.45,7.59,116400
9-Aug-16,7.50,7.64,7.49,7.50,54100
8-Aug-16,7.61,7.61,7.49,7.50,165900
5-Aug-16,7.56,7.70,7.55,7.60,157600
4-Aug-16,7.30,7.54,7.30,7.54,114500
3-Aug-16,7.40,7.40,7.24,7.32,156200
2-Aug-16,7.40,7.40,7.25,7.30,244600
1-Aug-16,7.53,7.53,7.42,7.42,263800
29-Jul-16,7.70,7.70,7.57,7.57,156800
28-Jul-16,7.80,7.80,7.64,7.67,176000
27-Jul-16,7.82,7.83,7.70,7.80,89500
26-Jul-16,7.74,7.94,7.74,7.80,141900
25-Jul-16,7.90,7.92,7.80,7.82,143500
22-Jul-16,7.96,7.96,7.90,7.92,99800
21-Jul-16,7.67,7.98,7.63,7.93,408800
20-Jul-16,7.50,7.62,7.43,7.62,392900
19-Jul-16,7.50,7.54,7.40,7.51,141500
18-Jul-16,7.93,7.96,7.90,7.91,303800
15-Jul-16,7.85,7.93,7.81,7.93,252700
14-Jul-16,7.91,7.91,7.86,7.88,247200
13-Jul-16,7.91,7.91,7.88,7.89,208200
12-Jul-16,7.90,7.92,7.90,7.90,122000
11-Jul-16,7.89,7.93,7.89,7.90,175500
8-Jul-16,7.90,7.92,7.88,7.90,66200
5-Jul-16,7.97,7.97,7.88,7.89,128000
4-Jul-16,7.92,7.99,7.92,7.95,119900
1-Jul-16,7.76,7.92,7.73,7.92,101600
30-Jun-16,7.92,7.92,7.79,7.82,260600
29-Jun-16,7.80,7.91,7.79,7.89,207400
28-Jun-16,7.63,7.76,7.63,7.76,359500
27-Jun-16,7.45,7.65,7.44,7.60,254400
24-Jun-16,7.67,7.70,7.35,7.52,459500
23-Jun-16,7.46,7.65,7.46,7.65,267400
21-Jun-16,7.45,7.48,7.40,7.46,145900
20-Jun-16,7.41,7.48,7.40,7.45,128000
17-Jun-16,7.44,7.48,7.35,7.44,108100
16-Jun-16,7.40,7.47,7.37,7.39,85900
15-Jun-16,7.45,7.47,7.40,7.40,84600
14-Jun-16,7.31,7.50,7.30,7.48,158200
13-Jun-16,7.50,7.50,7.35,7.35,208800
10-Jun-16,7.41,7.50,7.41,7.45,187200
9-Jun-16,7.41,7.50,7.30,7.41,677000
8-Jun-16,6.95,7.09,6.95,7.07,274700
7-Jun-16,6.82,6.96,6.82,6.96,188100
6-Jun-16,6.76,6.84,6.76,6.81,152300
3-Jun-16,6.88,7.09,6.77,6.80,562200
2-Jun-16,6.64,6.87,6.64,6.85,334000
1-Jun-16,6.46,6.66,6.46,6.64,328500
31-May-16,6.51,6.52,6.45,6.47,59700
30-May-16,6.48,6.61,6.45,6.50,411500
27-May-16,6.45,6.45,6.29,6.45,105300
26-May-16,6.40,6.40,6.29,6.30,60500
25-May-16,6.38,6.39,6.35,6.35,23300
24-May-16,6.36,6.40,6.36,6.39,63000
23-May-16,6.50,6.50,6.34,6.41,97900
20-May-16,6.47,6.56,6.41,6.44,279700
19-May-16,6.30,6.37,6.30,6.32,51900
18-May-16,6.18,6.31,6.18,6.30,75800
17-May-16,6.11,6.14,6.11,6.14,48100
16-May-16,6.22,6.22,6.08,6.11,17300
13-May-16,6.25,6.25,6.10,6.14,124600
12-May-16,6.15,6.15,6.11,6.11,155600
11-May-16,6.28,6.28,6.11,6.12,61700
10-May-16,6.29,6.29,6.13,6.15,146800
9-May-16,6.20,6.27,6.15,6.15,124600
6-May-16,6.24,6.24,6.18,6.18,98700
5-May-16,6.22,6.24,6.22,6.24,17700
4-May-16,6.23,6.28,6.22,6.25,26800
3-May-16,6.39,6.39,6.22,6.30,173500
29-Apr-16,6.22,6.30,6.20,6.30,61500
28-Apr-16,6.35,6.35,6.26,6.27,519900
27-Apr-16,6.30,6.33,6.28,6.30,103500
26-Apr-16,6.49,6.49,6.22,6.26,189100
25-Apr-16,6.58,6.58,6.36,6.37,54700
22-Apr-16,6.49,6.49,6.45,6.45,164700
21-Apr-16,6.45,6.52,6.43,6.51,167500
20-Apr-16,6.27,6.48,6.27,6.45,474400
19-Apr-16,6.24,6.28,6.17,6.27,506300
18-Apr-16,6.14,6.22,6.14,6.16,321800
15-Apr-16,6.06,6.15,6.02,6.11,229500
14-Apr-16,6.28,6.28,5.92,6.00,680400
13-Apr-16,6.19,6.37,6.19,6.31,141100
12-Apr-16,6.21,6.22,6.13,6.19,34000
11-Apr-16,6.22,6.23,6.10,6.21,116500
8-Apr-16,6.47,6.47,6.22,6.22,156700
7-Apr-16,6.57,6.57,6.28,6.30,149400
6-Apr-16,6.58,6.58,6.36,6.36,112700
5-Apr-16,6.40,6.58,6.40,6.40,21100
4-Apr-16,6.39,6.50,6.39,6.48,35100
1-Apr-16,6.47,6.47,6.35,6.36,7300
31-Mar-16,6.55,6.55,6.32,6.39,64100
30-Mar-16,6.55,6.55,6.46,6.49,62700
29-Mar-16,6.57,6.57,6.50,6.50,14000
28-Mar-16,6.63,6.63,6.50,6.50,52600
25-Mar-16,6.64,6.64,6.59,6.63,121200
24-Mar-16,6.70,6.70,6.49,6.59,10100
