Date,Open,High,Low,Close,Volume
7-Oct-16,0.42,0.42,0.41,0.41,16100
6-Oct-16,0.42,0.42,0.42,0.42,10000
5-Oct-16,0.41,0.41,0.41,0.41,65900
4-Oct-16,0.41,0.41,0.41,0.41,25000
30-Sep-16,0.41,0.41,0.41,0.41,44000
29-Sep-16,0.42,0.42,0.41,0.41,120000
28-Sep-16,0.41,0.42,0.41,0.42,25100
27-Sep-16,0.42,0.42,0.41,0.41,30000
26-Sep-16,0.42,0.42,0.41,0.41,20000
23-Sep-16,0.42,0.42,0.42,0.42,20000
22-Sep-16,0.41,0.41,0.41,0.41,3000
21-Sep-16,0.41,0.42,0.41,0.42,8600
20-Sep-16,0.41,0.41,0.41,0.41,63000
19-Sep-16,-,-,-,0.40,0
15-Sep-16,-,-,-,0.40,0
14-Sep-16,-,-,-,0.40,0
13-Sep-16,0.40,0.40,0.40,0.40,50000
9-Sep-16,-,-,-,0.40,0
8-Sep-16,-,-,-,0.40,0
7-Sep-16,0.40,0.40,0.40,0.40,79800
6-Sep-16,0.42,0.42,0.40,0.40,7800
5-Sep-16,0.42,0.42,0.40,0.42,12000
2-Sep-16,0.42,0.42,0.42,0.42,1300
1-Sep-16,0.42,0.42,0.42,0.42,1900
30-Aug-16,-,-,-,0.42,0
29-Aug-16,-,-,-,0.42,0
26-Aug-16,-,-,-,0.42,0
25-Aug-16,0.40,0.42,0.40,0.42,22100
24-Aug-16,0.42,0.43,0.42,0.43,10000
23-Aug-16,-,-,-,0.43,0
22-Aug-16,0.40,0.43,0.40,0.43,18200
19-Aug-16,-,-,-,0.44,0
18-Aug-16,-,-,-,0.44,0
17-Aug-16,-,-,-,0.44,0
16-Aug-16,0.42,0.44,0.42,0.44,19400
15-Aug-16,-,-,-,0.42,0
12-Aug-16,0.40,0.42,0.40,0.42,20100
11-Aug-16,-,-,-,0.42,0
10-Aug-16,0.40,0.42,0.40,0.42,9100
9-Aug-16,0.40,0.42,0.40,0.42,2900
8-Aug-16,0.40,0.42,0.40,0.42,15200
5-Aug-16,-,-,-,0.44,0
4-Aug-16,-,-,-,0.44,0
3-Aug-16,0.44,0.44,0.44,0.44,100
2-Aug-16,0.40,0.40,0.40,0.40,3000
1-Aug-16,-,-,-,0.43,0
29-Jul-16,-,-,-,0.43,0
28-Jul-16,-,-,-,0.43,0
