Date,Open,High,Low,Close,Volume
7-Oct-16,0.11,0.12,0.11,0.12,190000
6-Oct-16,0.11,0.11,0.11,0.11,32500
5-Oct-16,0.11,0.11,0.11,0.11,200
4-Oct-16,-,-,-,0.11,0
30-Sep-16,0.12,0.12,0.11,0.11,30000
29-Sep-16,0.11,0.12,0.11,0.12,369000
28-Sep-16,0.11,0.11,0.11,0.11,60000
27-Sep-16,-,-,-,0.11,0
26-Sep-16,0.11,0.11,0.11,0.11,5000
23-Sep-16,-,-,-,0.11,0
22-Sep-16,-,-,-,0.11,0
21-Sep-16,-,-,-,0.11,0
20-Sep-16,0.11,0.11,0.11,0.11,5000
19-Sep-16,-,-,-,0.12,0
15-Sep-16,0.11,0.12,0.11,0.12,325100
14-Sep-16,-,-,-,0.11,0
13-Sep-16,-,-,-,0.11,0
9-Sep-16,0.11,0.11,0.11,0.11,3000
8-Sep-16,0.11,0.11,0.11,0.11,20000
7-Sep-16,0.11,0.11,0.11,0.11,12000
6-Sep-16,-,-,-,0.11,0
5-Sep-16,0.11,0.11,0.11,0.11,60000
2-Sep-16,0.11,0.11,0.11,0.11,28000
1-Sep-16,0.12,0.12,0.12,0.12,40000
30-Aug-16,-,-,-,0.12,0
29-Aug-16,0.12,0.12,0.12,0.12,170000
26-Aug-16,0.12,0.12,0.12,0.12,116100
25-Aug-16,0.12,0.12,0.12,0.12,180000
24-Aug-16,-,-,-,0.12,0
23-Aug-16,0.12,0.12,0.12,0.12,266000
22-Aug-16,0.12,0.12,0.12,0.12,129000
19-Aug-16,-,-,-,0.12,0
18-Aug-16,0.12,0.12,0.12,0.12,2000
17-Aug-16,0.12,0.12,0.12,0.12,40000
16-Aug-16,0.12,0.14,0.12,0.12,1027100
15-Aug-16,0.12,0.12,0.12,0.12,13000
12-Aug-16,-,-,-,0.12,0
11-Aug-16,0.12,0.12,0.12,0.12,1000
10-Aug-16,0.12,0.12,0.12,0.12,55000
9-Aug-16,0.12,0.12,0.12,0.12,214000
8-Aug-16,0.12,0.12,0.12,0.12,5000
5-Aug-16,0.12,0.12,0.12,0.12,90000
4-Aug-16,0.12,0.12,0.12,0.12,28000
3-Aug-16,0.12,0.12,0.12,0.12,120000
2-Aug-16,0.12,0.12,0.12,0.12,80000
1-Aug-16,0.12,0.12,0.12,0.12,15000
29-Jul-16,0.12,0.12,0.12,0.12,28000
28-Jul-16,0.12,0.12,0.12,0.12,8700
27-Jul-16,0.12,0.12,0.12,0.12,106800
26-Jul-16,0.11,0.11,0.11,0.11,35000
25-Jul-16,0.12,0.12,0.12,0.12,8300
22-Jul-16,-,-,-,0.12,0
21-Jul-16,0.12,0.12,0.12,0.12,281000
20-Jul-16,0.12,0.12,0.12,0.12,5000
19-Jul-16,0.12,0.12,0.12,0.12,21000
18-Jul-16,0.12,0.12,0.12,0.12,48800
15-Jul-16,-,-,-,0.11,0
14-Jul-16,0.11,0.11,0.11,0.11,13000
13-Jul-16,0.11,0.11,0.11,0.11,88000
12-Jul-16,0.11,0.11,0.11,0.11,7000
11-Jul-16,0.11,0.11,0.11,0.11,20000
8-Jul-16,0.11,0.11,0.11,0.11,10000
5-Jul-16,0.11,0.11,0.11,0.11,70000
4-Jul-16,0.11,0.11,0.11,0.11,15000
1-Jul-16,-,-,-,0.10,0
30-Jun-16,0.10,0.10,0.10,0.10,5000
29-Jun-16,-,-,-,0.10,0
28-Jun-16,0.10,0.10,0.10,0.10,17000
27-Jun-16,-,-,-,0.12,0
24-Jun-16,-,-,-,0.12,0
23-Jun-16,-,-,-,0.12,0
21-Jun-16,-,-,-,0.12,0
20-Jun-16,0.12,0.12,0.12,0.12,46200
17-Jun-16,-,-,-,0.11,0
16-Jun-16,0.11,0.11,0.11,0.11,110200
15-Jun-16,0.11,0.11,0.11,0.11,38800
14-Jun-16,0.12,0.12,0.12,0.12,7000
13-Jun-16,0.12,0.12,0.12,0.12,25000
10-Jun-16,0.12,0.12,0.12,0.12,68200
9-Jun-16,0.12,0.12,0.12,0.12,107800
8-Jun-16,0.12,0.12,0.12,0.12,55000
7-Jun-16,-,-,-,0.12,0
6-Jun-16,0.12,0.12,0.12,0.12,10000
3-Jun-16,0.12,0.12,0.12,0.12,10000
2-Jun-16,0.12,0.12,0.12,0.12,15000
1-Jun-16,-,-,-,0.12,0
31-May-16,0.12,0.12,0.12,0.12,25000
30-May-16,-,-,-,0.12,0
27-May-16,0.12,0.12,0.12,0.12,29100
26-May-16,0.12,0.12,0.12,0.12,23500
25-May-16,-,-,-,0.12,0
24-May-16,-,-,-,0.12,0
23-May-16,0.12,0.12,0.12,0.12,179100
20-May-16,0.12,0.12,0.12,0.12,6000
19-May-16,0.12,0.12,0.12,0.12,68700
18-May-16,0.12,0.12,0.12,0.12,163900
17-May-16,0.12,0.12,0.12,0.12,35200
16-May-16,0.12,0.12,0.12,0.12,50000
13-May-16,0.12,0.12,0.12,0.12,60000
12-May-16,0.12,0.12,0.12,0.12,245200
11-May-16,0.12,0.13,0.12,0.12,165000
10-May-16,0.12,0.12,0.12,0.12,133100
9-May-16,0.12,0.12,0.12,0.12,307600
6-May-16,0.12,0.14,0.12,0.12,3634500
5-May-16,0.11,0.11,0.11,0.11,10000
4-May-16,-,-,-,0.11,0
3-May-16,-,-,-,0.11,0
29-Apr-16,-,-,-,0.11,0
28-Apr-16,0.11,0.11,0.11,0.11,43000
27-Apr-16,0.11,0.11,0.11,0.11,2000
26-Apr-16,0.12,0.12,0.12,0.12,110000
