Date,Open,High,Low,Close,Volume
7-Oct-16,-,-,-,3.00,0
6-Oct-16,-,-,-,3.00,0
5-Oct-16,-,-,-,3.00,0
4-Oct-16,3.10,3.10,3.00,3.00,2200
30-Sep-16,-,-,-,3.10,0
29-Sep-16,-,-,-,3.10,0
28-Sep-16,-,-,-,3.10,0
27-Sep-16,-,-,-,3.10,0
26-Sep-16,-,-,-,3.10,0
23-Sep-16,3.10,3.10,3.10,3.10,3000
22-Sep-16,-,-,-,3.10,0
21-Sep-16,-,-,-,3.10,0
20-Sep-16,-,-,-,3.10,0
19-Sep-16,-,-,-,3.10,0
15-Sep-16,-,-,-,3.10,0
14-Sep-16,-,-,-,3.10,0
13-Sep-16,3.10,3.13,3.10,3.10,6500
9-Sep-16,3.09,3.09,3.09,3.09,3600
8-Sep-16,3.10,3.10,3.09,3.09,35700
7-Sep-16,-,-,-,3.07,0
6-Sep-16,3.07,3.07,3.07,3.07,5700
5-Sep-16,3.08,3.08,3.07,3.07,19500
2-Sep-16,3.05,3.05,3.05,3.05,2500
1-Sep-16,-,-,-,3.01,0
30-Aug-16,-,-,-,3.01,0
29-Aug-16,-,-,-,3.01,0
26-Aug-16,3.01,3.02,3.01,3.01,3000
25-Aug-16,3.08,3.08,3.07,3.07,20800
24-Aug-16,3.09,3.11,3.09,3.11,4200
23-Aug-16,-,-,-,3.08,0
22-Aug-16,3.06,3.09,3.06,3.08,15200
19-Aug-16,-,-,-,3.05,0
18-Aug-16,3.02,3.05,3.02,3.05,3000
17-Aug-16,-,-,-,3.02,0
16-Aug-16,-,-,-,3.02,0
15-Aug-16,3.00,3.02,3.00,3.02,28400
12-Aug-16,-,-,-,2.95,0
11-Aug-16,2.95,2.95,2.95,2.95,3000
10-Aug-16,3.00,3.00,2.95,2.95,1100
9-Aug-16,-,-,-,3.02,0
8-Aug-16,-,-,-,3.02,0
5-Aug-16,-,-,-,3.02,0
4-Aug-16,3.02,3.02,3.02,3.02,3000
3-Aug-16,-,-,-,3.09,0
2-Aug-16,-,-,-,3.09,0
1-Aug-16,-,-,-,3.09,0
29-Jul-16,-,-,-,3.09,0
28-Jul-16,-,-,-,3.09,0
27-Jul-16,-,-,-,3.09,0
26-Jul-16,-,-,-,3.09,0
25-Jul-16,-,-,-,3.09,0
22-Jul-16,3.09,3.09,3.09,3.09,9000
21-Jul-16,3.09,3.10,3.09,3.09,20700
20-Jul-16,3.09,3.11,3.09,3.11,5300
19-Jul-16,-,-,-,3.09,0
18-Jul-16,3.10,3.10,3.09,3.09,24000
15-Jul-16,3.06,3.12,3.06,3.12,35000
14-Jul-16,2.97,3.05,2.97,3.04,58800
13-Jul-16,2.95,2.95,2.95,2.95,4000
12-Jul-16,-,-,-,2.95,0
11-Jul-16,2.95,2.95,2.95,2.95,10000
8-Jul-16,-,-,-,2.95,0
5-Jul-16,-,-,-,2.95,0
4-Jul-16,-,-,-,2.95,0
1-Jul-16,-,-,-,2.95,0
30-Jun-16,-,-,-,2.95,0
29-Jun-16,-,-,-,2.95,0
28-Jun-16,2.95,2.95,2.95,2.95,1000
27-Jun-16,-,-,-,3.01,0
24-Jun-16,3.00,3.01,2.96,3.01,13000
23-Jun-16,2.99,3.02,2.99,3.02,7000
21-Jun-16,-,-,-,2.98,0
20-Jun-16,2.98,2.98,2.98,2.98,200
17-Jun-16,-,-,-,3.00,0
16-Jun-16,2.98,3.00,2.98,3.00,11000
15-Jun-16,-,-,-,2.99,0
