Date,Open,High,Low,Close,Volume
7-Oct-16,0.24,0.24,0.24,0.24,99400
6-Oct-16,0.25,0.25,0.24,0.24,338700
5-Oct-16,0.24,0.26,0.24,0.24,5466000
4-Oct-16,0.24,0.24,0.24,0.24,964700
30-Sep-16,0.24,0.24,0.24,0.24,635300
29-Sep-16,0.23,0.24,0.23,0.24,270800
28-Sep-16,0.24,0.24,0.23,0.23,455900
27-Sep-16,0.24,0.24,0.24,0.24,186000
26-Sep-16,0.24,0.24,0.24,0.24,704600
23-Sep-16,0.24,0.24,0.24,0.24,1186000
22-Sep-16,0.24,0.24,0.24,0.24,398000
21-Sep-16,0.24,0.24,0.24,0.24,229600
20-Sep-16,0.24,0.24,0.24,0.24,315400
19-Sep-16,0.24,0.24,0.24,0.24,1849600
15-Sep-16,0.24,0.24,0.24,0.24,547300
14-Sep-16,0.24,0.24,0.23,0.24,130100
13-Sep-16,0.24,0.24,0.24,0.24,140000
9-Sep-16,-,-,-,0.24,0
8-Sep-16,-,-,-,0.24,0
7-Sep-16,0.24,0.24,0.24,0.24,233500
6-Sep-16,0.24,0.24,0.24,0.24,675000
5-Sep-16,0.24,0.24,0.24,0.24,340000
2-Sep-16,0.24,0.24,0.24,0.24,329500
1-Sep-16,0.24,0.24,0.24,0.24,96400
30-Aug-16,0.24,0.24,0.24,0.24,149300
29-Aug-16,0.24,0.24,0.24,0.24,1001100
26-Aug-16,0.24,0.24,0.24,0.24,300000
25-Aug-16,0.24,0.24,0.24,0.24,762200
24-Aug-16,0.24,0.24,0.24,0.24,367900
23-Aug-16,0.24,0.24,0.24,0.24,401600
22-Aug-16,0.24,0.24,0.24,0.24,1952100
19-Aug-16,0.24,0.24,0.24,0.24,1076900
18-Aug-16,0.24,0.24,0.24,0.24,2224400
17-Aug-16,0.25,0.25,0.24,0.24,1131100
16-Aug-16,0.25,0.26,0.24,0.25,13892000
15-Aug-16,0.25,0.25,0.24,0.24,4634200
