Date,Open,High,Low,Close,Volume
7-Oct-16,0.62,0.62,0.62,0.62,6700
6-Oct-16,0.64,0.64,0.64,0.64,16200
5-Oct-16,0.66,0.66,0.66,0.66,5000
4-Oct-16,-,-,-,0.66,0
30-Sep-16,0.66,0.66,0.66,0.66,2000
29-Sep-16,-,-,-,0.68,0
28-Sep-16,-,-,-,0.68,0
27-Sep-16,0.68,0.68,0.68,0.68,5000
26-Sep-16,-,-,-,0.68,0
23-Sep-16,-,-,-,0.68,0
22-Sep-16,-,-,-,0.68,0
21-Sep-16,-,-,-,0.68,0
20-Sep-16,0.68,0.68,0.68,0.68,5000
19-Sep-16,0.68,0.68,0.68,0.68,20000
15-Sep-16,0.68,0.68,0.68,0.68,38000
14-Sep-16,-,-,-,0.68,0
13-Sep-16,0.68,0.68,0.68,0.68,12000
9-Sep-16,-,-,-,0.67,0
8-Sep-16,-,-,-,0.67,0
7-Sep-16,0.68,0.68,0.67,0.67,35000
6-Sep-16,0.68,0.68,0.68,0.68,1000
5-Sep-16,0.68,0.68,0.68,0.68,11000
2-Sep-16,-,-,-,0.68,0
1-Sep-16,0.72,0.72,0.68,0.68,30800
30-Aug-16,0.72,0.72,0.72,0.72,13500
29-Aug-16,0.73,0.73,0.72,0.72,24900
26-Aug-16,0.73,0.73,0.73,0.73,20000
25-Aug-16,0.72,0.73,0.71,0.73,7700
24-Aug-16,0.71,0.71,0.71,0.71,5800
23-Aug-16,0.71,0.71,0.70,0.70,2800
22-Aug-16,-,-,-,0.72,0
19-Aug-16,0.72,0.72,0.72,0.72,2000
18-Aug-16,0.72,0.72,0.71,0.71,53200
17-Aug-16,-,-,-,0.72,0
16-Aug-16,0.72,0.72,0.72,0.72,33500
15-Aug-16,0.72,0.72,0.72,0.72,8300
12-Aug-16,0.72,0.72,0.72,0.72,11700
11-Aug-16,0.72,0.72,0.72,0.72,3200
10-Aug-16,-,-,-,0.72,0
9-Aug-16,-,-,-,0.72,0
8-Aug-16,0.72,0.72,0.72,0.72,15000
5-Aug-16,0.71,0.71,0.71,0.71,7900
4-Aug-16,0.71,0.71,0.71,0.71,2200
3-Aug-16,-,-,-,0.70,0
2-Aug-16,0.68,0.70,0.68,0.70,15000
1-Aug-16,-,-,-,0.70,0
29-Jul-16,-,-,-,0.70,0
28-Jul-16,0.70,0.70,0.70,0.70,2000
27-Jul-16,-,-,-,0.70,0
26-Jul-16,-,-,-,0.70,0
25-Jul-16,0.70,0.70,0.70,0.70,11000
22-Jul-16,0.70,0.70,0.70,0.70,8700
21-Jul-16,0.70,0.72,0.70,0.72,47500
20-Jul-16,-,-,-,0.70,0
19-Jul-16,-,-,-,0.70,0
18-Jul-16,0.77,0.77,0.70,0.70,14400
15-Jul-16,0.72,0.73,0.72,0.73,17000
14-Jul-16,0.72,0.72,0.72,0.72,27600
13-Jul-16,0.69,0.71,0.69,0.71,21000
12-Jul-16,0.68,0.69,0.68,0.68,54000
11-Jul-16,0.70,0.72,0.69,0.69,26000
8-Jul-16,-,-,-,0.73,0
5-Jul-16,-,-,-,0.73,0
4-Jul-16,-,-,-,0.73,0
1-Jul-16,0.72,0.73,0.72,0.73,20000
30-Jun-16,0.72,0.72,0.72,0.72,3400
29-Jun-16,0.71,0.71,0.71,0.71,50200
28-Jun-16,-,-,-,0.70,0
27-Jun-16,-,-,-,0.70,0
24-Jun-16,0.70,0.70,0.70,0.70,10100
23-Jun-16,0.72,0.72,0.71,0.71,49800
21-Jun-16,0.72,0.74,0.72,0.72,10000
20-Jun-16,0.74,0.75,0.74,0.75,19900
17-Jun-16,0.71,0.75,0.71,0.75,30000
16-Jun-16,0.71,0.71,0.71,0.71,9500
15-Jun-16,0.73,0.73,0.71,0.71,19700
14-Jun-16,0.70,0.70,0.70,0.70,9000
13-Jun-16,-,-,-,0.72,0
10-Jun-16,0.72,0.72,0.72,0.72,49000
9-Jun-16,0.71,0.72,0.71,0.72,43200
8-Jun-16,0.71,0.72,0.71,0.72,50000
7-Jun-16,0.73,0.73,0.73,0.73,50000
6-Jun-16,0.68,0.73,0.68,0.73,85000
3-Jun-16,-,-,-,0.69,0
2-Jun-16,0.70,0.71,0.68,0.69,51900
1-Jun-16,-,-,-,0.66,0
31-May-16,0.67,0.67,0.66,0.66,17000
30-May-16,-,-,-,0.70,0
27-May-16,0.70,0.70,0.70,0.70,10000
26-May-16,0.70,0.70,0.69,0.69,14000
25-May-16,-,-,-,0.70,0
24-May-16,-,-,-,0.70,0
23-May-16,0.70,0.70,0.70,0.70,30000
20-May-16,0.70,0.70,0.70,0.70,3200
19-May-16,0.72,0.72,0.72,0.72,27400
18-May-16,0.72,0.74,0.72,0.74,40100
17-May-16,0.72,0.77,0.72,0.77,76200
16-May-16,0.72,0.72,0.72,0.72,500
13-May-16,-,-,-,0.77,0
12-May-16,0.77,0.77,0.77,0.77,1000
11-May-16,-,-,-,0.78,0
10-May-16,0.78,0.78,0.78,0.78,15000
