Date,Open,High,Low,Close,Volume
7-Oct-16,0.12,0.13,0.12,0.12,1625700
6-Oct-16,0.12,0.14,0.12,0.13,4002400
5-Oct-16,0.13,0.13,0.12,0.12,802100
4-Oct-16,0.13,0.13,0.13,0.13,970900
30-Sep-16,0.14,0.14,0.13,0.13,2481200
29-Sep-16,0.13,0.14,0.13,0.14,1202000
28-Sep-16,0.13,0.13,0.12,0.12,1330100
27-Sep-16,0.13,0.14,0.13,0.13,616000
26-Sep-16,0.14,0.14,0.13,0.13,261500
23-Sep-16,0.13,0.14,0.13,0.13,155500
22-Sep-16,0.13,0.14,0.12,0.13,1818900
21-Sep-16,0.13,0.13,0.12,0.12,426900
20-Sep-16,0.13,0.13,0.12,0.13,890900
19-Sep-16,0.13,0.14,0.13,0.13,952000
15-Sep-16,0.13,0.14,0.13,0.13,341200
14-Sep-16,0.13,0.14,0.13,0.13,1048300
13-Sep-16,0.14,0.14,0.14,0.14,788100
9-Sep-16,0.14,0.14,0.14,0.14,1496900
8-Sep-16,0.14,0.14,0.14,0.14,605800
7-Sep-16,0.14,0.14,0.13,0.14,1317100
6-Sep-16,0.14,0.14,0.13,0.14,3431200
5-Sep-16,0.14,0.14,0.14,0.14,689900
2-Sep-16,0.14,0.14,0.14,0.14,1101800
1-Sep-16,0.14,0.14,0.14,0.14,1330700
30-Aug-16,0.14,0.14,0.14,0.14,2059400
29-Aug-16,0.14,0.14,0.14,0.14,564500
26-Aug-16,0.14,0.14,0.14,0.14,579200
25-Aug-16,0.14,0.14,0.14,0.14,1653700
24-Aug-16,0.14,0.15,0.14,0.14,1052800
23-Aug-16,0.15,0.15,0.14,0.14,607900
22-Aug-16,0.14,0.15,0.14,0.14,1723300
19-Aug-16,0.15,0.16,0.14,0.14,826600
18-Aug-16,0.15,0.16,0.14,0.15,2012500
17-Aug-16,0.15,0.16,0.14,0.15,2026800
16-Aug-16,0.15,0.16,0.14,0.15,12614800
15-Aug-16,0.15,0.15,0.14,0.14,1368900
12-Aug-16,0.14,0.15,0.14,0.15,2523000
11-Aug-16,0.15,0.15,0.14,0.14,1287200
10-Aug-16,0.15,0.15,0.14,0.15,8994800
9-Aug-16,0.15,0.16,0.14,0.15,3341400
8-Aug-16,0.15,0.15,0.14,0.14,990900
5-Aug-16,0.15,0.16,0.14,0.14,1741600
4-Aug-16,0.15,0.16,0.15,0.15,648800
3-Aug-16,0.15,0.16,0.14,0.14,1624100
2-Aug-16,0.15,0.16,0.15,0.15,400700
1-Aug-16,0.15,0.16,0.15,0.15,1142900
29-Jul-16,0.16,0.16,0.15,0.15,673100
28-Jul-16,0.16,0.16,0.15,0.16,948300
27-Jul-16,0.16,0.16,0.16,0.16,782700
26-Jul-16,0.16,0.16,0.15,0.16,1021900
25-Jul-16,0.16,0.16,0.15,0.16,2029700
22-Jul-16,0.16,0.16,0.15,0.16,1860300
21-Jul-16,0.16,0.16,0.16,0.16,701900
20-Jul-16,0.16,0.16,0.16,0.16,275100
19-Jul-16,0.16,0.16,0.16,0.16,369600
18-Jul-16,0.16,0.16,0.16,0.16,2042000
15-Jul-16,0.16,0.16,0.16,0.16,865600
14-Jul-16,0.16,0.16,0.16,0.16,295000
13-Jul-16,0.16,0.16,0.15,0.16,596300
12-Jul-16,0.15,0.16,0.15,0.15,102000
11-Jul-16,0.16,0.16,0.15,0.16,862100
8-Jul-16,0.16,0.16,0.15,0.16,2157100
5-Jul-16,0.16,0.16,0.16,0.16,396300
4-Jul-16,0.16,0.16,0.16,0.16,502700
1-Jul-16,0.16,0.16,0.16,0.16,171800
30-Jun-16,0.16,0.16,0.16,0.16,1029500
