Date,Open,High,Low,Close,Volume
7-Oct-16,0.18,0.18,0.18,0.18,85500
6-Oct-16,0.18,0.19,0.18,0.18,115000
5-Oct-16,0.18,0.18,0.18,0.18,153000
4-Oct-16,0.18,0.18,0.18,0.18,67500
30-Sep-16,0.18,0.18,0.18,0.18,157500
29-Sep-16,0.18,0.19,0.18,0.19,644300
28-Sep-16,0.18,0.18,0.18,0.18,18000
27-Sep-16,0.18,0.18,0.18,0.18,165600
26-Sep-16,0.17,0.18,0.17,0.18,73500
23-Sep-16,0.18,0.18,0.18,0.18,159500
22-Sep-16,0.18,0.18,0.17,0.18,1300600
21-Sep-16,0.18,0.18,0.18,0.18,371200
20-Sep-16,0.18,0.18,0.18,0.18,123100
19-Sep-16,0.18,0.18,0.18,0.18,115800
15-Sep-16,0.18,0.18,0.18,0.18,284900
14-Sep-16,0.18,0.18,0.18,0.18,333000
13-Sep-16,0.18,0.18,0.18,0.18,195800
9-Sep-16,0.18,0.18,0.18,0.18,48000
8-Sep-16,0.18,0.18,0.18,0.18,515300
7-Sep-16,0.18,0.18,0.18,0.18,68100
6-Sep-16,0.18,0.18,0.18,0.18,821000
5-Sep-16,0.18,0.18,0.18,0.18,1329100
2-Sep-16,0.18,0.18,0.18,0.18,367000
1-Sep-16,0.18,0.18,0.18,0.18,768700
30-Aug-16,0.19,0.19,0.18,0.18,576800
29-Aug-16,0.19,0.19,0.19,0.19,240000
26-Aug-16,0.19,0.20,0.18,0.20,1364500
25-Aug-16,0.20,0.20,0.19,0.19,821100
24-Aug-16,0.20,0.20,0.20,0.20,380800
23-Aug-16,0.20,0.20,0.20,0.20,514600
22-Aug-16,0.20,0.21,0.20,0.20,3367000
19-Aug-16,0.20,0.20,0.20,0.20,997000
18-Aug-16,0.20,0.20,0.20,0.20,260000
17-Aug-16,0.20,0.20,0.20,0.20,23000
16-Aug-16,0.20,0.20,0.20,0.20,1614700
15-Aug-16,0.20,0.20,0.20,0.20,935500
12-Aug-16,0.20,0.20,0.20,0.20,582600
11-Aug-16,0.20,0.20,0.20,0.20,273900
10-Aug-16,0.20,0.22,0.20,0.20,950200
9-Aug-16,0.20,0.20,0.20,0.20,48300
8-Aug-16,0.20,0.20,0.20,0.20,59500
5-Aug-16,0.20,0.20,0.20,0.20,452400
4-Aug-16,0.20,0.20,0.20,0.20,126000
3-Aug-16,0.20,0.20,0.20,0.20,32400
2-Aug-16,0.20,0.20,0.20,0.20,61000
1-Aug-16,0.20,0.20,0.20,0.20,379800
29-Jul-16,0.21,0.21,0.20,0.20,447400
28-Jul-16,0.20,0.21,0.20,0.21,320500
27-Jul-16,0.20,0.20,0.20,0.20,317100
26-Jul-16,0.20,0.20,0.20,0.20,180000
25-Jul-16,0.20,0.20,0.20,0.20,547800
22-Jul-16,0.20,0.20,0.20,0.20,250800
21-Jul-16,0.20,0.20,0.20,0.20,222600
20-Jul-16,0.20,0.20,0.20,0.20,57000
19-Jul-16,0.20,0.20,0.20,0.20,314600
18-Jul-16,0.20,0.21,0.20,0.20,136200
15-Jul-16,0.20,0.20,0.20,0.20,158800
14-Jul-16,0.20,0.20,0.20,0.20,79000
13-Jul-16,0.20,0.20,0.20,0.20,519000
12-Jul-16,0.20,0.20,0.20,0.20,159500
11-Jul-16,0.20,0.20,0.20,0.20,527900
8-Jul-16,0.20,0.20,0.20,0.20,805000
5-Jul-16,0.20,0.20,0.20,0.20,53200
4-Jul-16,0.20,0.20,0.20,0.20,52000
