Date,Open,High,Low,Close,Volume
7-Oct-16,0.18,0.18,0.18,0.18,70000
6-Oct-16,-,-,-,0.17,0
5-Oct-16,0.17,0.17,0.17,0.17,170000
4-Oct-16,0.20,0.20,0.18,0.18,54000
30-Sep-16,0.18,0.18,0.18,0.18,120200
29-Sep-16,0.18,0.19,0.18,0.19,347400
28-Sep-16,0.17,0.18,0.17,0.18,41000
27-Sep-16,0.18,0.18,0.17,0.18,225000
26-Sep-16,0.16,0.18,0.16,0.18,75000
23-Sep-16,0.16,0.16,0.16,0.16,19000
22-Sep-16,0.16,0.17,0.16,0.17,35000
21-Sep-16,-,-,-,0.16,0
20-Sep-16,0.16,0.16,0.16,0.16,35000
19-Sep-16,0.16,0.16,0.16,0.16,71300
15-Sep-16,0.16,0.16,0.16,0.16,27700
14-Sep-16,0.16,0.16,0.16,0.16,100000
13-Sep-16,-,-,-,0.16,0
9-Sep-16,0.15,0.16,0.15,0.16,627800
8-Sep-16,0.15,0.16,0.15,0.16,150000
7-Sep-16,0.14,0.16,0.14,0.15,101000
6-Sep-16,-,-,-,0.15,0
5-Sep-16,0.15,0.15,0.15,0.15,3000
2-Sep-16,0.15,0.15,0.15,0.15,60000
1-Sep-16,0.15,0.16,0.15,0.16,45900
30-Aug-16,0.15,0.16,0.15,0.16,100000
29-Aug-16,0.15,0.16,0.15,0.16,170000
26-Aug-16,0.16,0.17,0.16,0.17,35300
25-Aug-16,-,-,-,0.17,0
24-Aug-16,0.16,0.17,0.16,0.17,523300
23-Aug-16,0.14,0.14,0.14,0.14,50000
22-Aug-16,-,-,-,0.14,0
19-Aug-16,0.14,0.14,0.14,0.14,48000
18-Aug-16,-,-,-,0.14,0
17-Aug-16,-,-,-,0.14,0
16-Aug-16,0.14,0.14,0.14,0.14,100000
15-Aug-16,-,-,-,0.14,0
12-Aug-16,-,-,-,0.14,0
11-Aug-16,0.15,0.15,0.14,0.14,87300
10-Aug-16,-,-,-,0.16,0
9-Aug-16,-,-,-,0.16,0
8-Aug-16,0.16,0.16,0.16,0.16,60000
5-Aug-16,0.14,0.18,0.14,0.16,787200
4-Aug-16,0.14,0.14,0.14,0.14,110000
3-Aug-16,0.14,0.14,0.12,0.14,85500
2-Aug-16,-,-,-,0.14,0
1-Aug-16,0.14,0.14,0.14,0.14,10000
29-Jul-16,0.14,0.14,0.14,0.14,10000
28-Jul-16,-,-,-,0.14,0
27-Jul-16,0.14,0.14,0.14,0.14,10000
26-Jul-16,0.13,0.14,0.13,0.14,30000
25-Jul-16,-,-,-,0.14,0
22-Jul-16,-,-,-,0.14,0
21-Jul-16,-,-,-,0.14,0
20-Jul-16,-,-,-,0.14,0
19-Jul-16,-,-,-,0.14,0
18-Jul-16,-,-,-,0.14,0
15-Jul-16,0.14,0.14,0.14,0.14,20000
14-Jul-16,-,-,-,0.14,0
13-Jul-16,0.14,0.14,0.14,0.14,10000
12-Jul-16,0.14,0.14,0.14,0.14,5000
11-Jul-16,0.14,0.14,0.14,0.14,30000
8-Jul-16,0.14,0.14,0.14,0.14,72000
5-Jul-16,0.14,0.14,0.14,0.14,10000
4-Jul-16,-,-,-,0.14,0
1-Jul-16,-,-,-,0.14,0
30-Jun-16,0.14,0.14,0.14,0.14,65000
29-Jun-16,0.14,0.14,0.14,0.14,32900
28-Jun-16,0.14,0.14,0.14,0.14,10000
27-Jun-16,-,-,-,0.14,0
24-Jun-16,0.15,0.15,0.14,0.14,290900
23-Jun-16,-,-,-,0.16,0
21-Jun-16,0.14,0.16,0.14,0.16,3500
20-Jun-16,0.14,0.14,0.14,0.14,2000
17-Jun-16,-,-,-,0.15,0
16-Jun-16,0.15,0.15,0.14,0.15,140000
15-Jun-16,-,-,-,0.16,0
14-Jun-16,0.16,0.16,0.16,0.16,10000
13-Jun-16,0.16,0.16,0.16,0.16,30000
10-Jun-16,0.16,0.16,0.16,0.16,92500
9-Jun-16,0.16,0.16,0.16,0.16,30000
8-Jun-16,0.16,0.16,0.16,0.16,2000
7-Jun-16,0.16,0.16,0.16,0.16,19000
6-Jun-16,0.16,0.16,0.16,0.16,10000
3-Jun-16,0.16,0.16,0.16,0.16,83100
2-Jun-16,-,-,-,0.16,0
1-Jun-16,-,-,-,0.16,0
31-May-16,0.16,0.16,0.16,0.16,141100
30-May-16,0.15,0.16,0.14,0.14,331100
27-May-16,0.16,0.16,0.16,0.16,215100
26-May-16,0.17,0.17,0.17,0.17,74000
25-May-16,0.17,0.18,0.16,0.17,203300
24-May-16,0.16,0.18,0.16,0.18,1404800
23-May-16,0.16,0.16,0.16,0.16,222000
20-May-16,0.16,0.17,0.16,0.16,311000
19-May-16,0.16,0.17,0.16,0.17,100000
18-May-16,0.19,0.19,0.17,0.18,1749700
17-May-16,0.16,0.21,0.16,0.21,4932200
16-May-16,0.14,0.16,0.14,0.16,12000
13-May-16,-,-,-,0.15,0
12-May-16,0.15,0.15,0.15,0.15,5000
11-May-16,-,-,-,0.14,0
10-May-16,0.15,0.15,0.14,0.14,100000
9-May-16,0.15,0.16,0.15,0.15,195000
6-May-16,-,-,-,0.15,0
5-May-16,-,-,-,0.15,0
4-May-16,-,-,-,0.15,0
3-May-16,-,-,-,0.15,0
29-Apr-16,-,-,-,0.15,0
28-Apr-16,-,-,-,0.15,0
27-Apr-16,-,-,-,0.15,0
26-Apr-16,-,-,-,0.15,0
25-Apr-16,0.15,0.15,0.15,0.15,20000
22-Apr-16,-,-,-,0.15,0
21-Apr-16,-,-,-,0.15,0
20-Apr-16,-,-,-,0.15,0
19-Apr-16,0.15,0.15,0.15,0.15,20000
18-Apr-16,-,-,-,0.14,0
15-Apr-16,0.14,0.14,0.14,0.14,15100
14-Apr-16,-,-,-,0.18,0
13-Apr-16,-,-,-,0.18,0
12-Apr-16,-,-,-,0.18,0
11-Apr-16,0.15,0.20,0.15,0.18,271000
8-Apr-16,-,-,-,0.14,0
7-Apr-16,0.14,0.14,0.14,0.14,120000
6-Apr-16,-,-,-,0.14,0
5-Apr-16,-,-,-,0.14,0
4-Apr-16,-,-,-,0.14,0
1-Apr-16,-,-,-,0.14,0
31-Mar-16,-,-,-,0.14,0
30-Mar-16,-,-,-,0.14,0
29-Mar-16,0.14,0.14,0.14,0.14,10000
28-Mar-16,-,-,-,0.15,0
25-Mar-16,0.15,0.15,0.15,0.15,30500
24-Mar-16,-,-,-,0.14,0
23-Mar-16,-,-,-,0.14,0
22-Mar-16,0.14,0.14,0.14,0.14,70000
21-Mar-16,-,-,-,0.14,0
18-Mar-16,0.14,0.14,0.14,0.14,99000
17-Mar-16,-,-,-,0.14,0
16-Mar-16,0.13,0.14,0.13,0.14,140000
15-Mar-16,-,-,-,0.15,0
14-Mar-16,0.14,0.15,0.14,0.15,50000
11-Mar-16,-,-,-,0.15,0
10-Mar-16,-,-,-,0.15,0
9-Mar-16,-,-,-,0.15,0
8-Mar-16,0.14,0.15,0.14,0.15,9000
7-Mar-16,0.13,0.13,0.13,0.13,3000
4-Mar-16,0.14,0.14,0.14,0.14,5000
3-Mar-16,-,-,-,0.14,0
2-Mar-16,-,-,-,0.14,0
1-Mar-16,-,-,-,0.14,0
29-Feb-16,-,-,-,0.14,0
26-Feb-16,-,-,-,0.14,0
25-Feb-16,-,-,-,0.14,0
24-Feb-16,-,-,-,0.14,0
23-Feb-16,0.13,0.14,0.13,0.14,36100
22-Feb-16,-,-,-,0.14,0
19-Feb-16,-,-,-,0.14,0
18-Feb-16,0.14,0.14,0.14,0.14,56500
17-Feb-16,-,-,-,0.14,0
16-Feb-16,0.14,0.14,0.14,0.14,1000
15-Feb-16,-,-,-,0.14,0
12-Feb-16,-,-,-,0.14,0
11-Feb-16,0.14,0.14,0.14,0.14,70000
10-Feb-16,-,-,-,0.14,0
5-Feb-16,-,-,-,0.14,0
4-Feb-16,0.14,0.14,0.14,0.14,1000
3-Feb-16,-,-,-,0.14,0
2-Feb-16,-,-,-,0.14,0
29-Jan-16,-,-,-,0.14,0
28-Jan-16,-,-,-,0.14,0
27-Jan-16,-,-,-,0.14,0
26-Jan-16,-,-,-,0.14,0
22-Jan-16,-,-,-,0.14,0
21-Jan-16,-,-,-,0.14,0
20-Jan-16,0.14,0.14,0.14,0.14,30000
19-Jan-16,-,-,-,0.14,0
18-Jan-16,-,-,-,0.14,0
15-Jan-16,0.14,0.14,0.14,0.14,10000
14-Jan-16,-,-,-,0.14,0
13-Jan-16,-,-,-,0.14,0
12-Jan-16,0.14,0.14,0.14,0.14,10000
11-Jan-16,-,-,-,0.14,0
8-Jan-16,0.14,0.14,0.14,0.14,115000
7-Jan-16,0.15,0.15,0.14,0.14,120000
6-Jan-16,0.16,0.16,0.16,0.16,100000
5-Jan-16,-,-,-,0.16,0
4-Jan-16,0.16,0.16,0.16,0.16,30000
31-Dec-15,-,-,-,0.16,0
30-Dec-15,-,-,-,0.16,0
29-Dec-15,0.16,0.16,0.16,0.16,100000
28-Dec-15,0.16,0.16,0.16,0.16,27000
23-Dec-15,-,-,-,0.16,0
22-Dec-15,-,-,-,0.16,0
21-Dec-15,-,-,-,0.16,0
18-Dec-15,0.16,0.16,0.16,0.16,19900
17-Dec-15,-,-,-,0.16,0
16-Dec-15,0.16,0.16,0.16,0.16,10000
15-Dec-15,-,-,-,0.16,0
14-Dec-15,0.16,0.16,0.16,0.16,30000
11-Dec-15,-,-,-,0.17,0
10-Dec-15,-,-,-,0.17,0
9-Dec-15,-,-,-,0.17,0
8-Dec-15,0.17,0.17,0.17,0.17,100000
7-Dec-15,-,-,-,0.17,0
4-Dec-15,-,-,-,0.17,0
3-Dec-15,0.17,0.17,0.17,0.17,30000
2-Dec-15,0.18,0.18,0.18,0.18,10000
1-Dec-15,-,-,-,0.18,0
30-Nov-15,-,-,-,0.18,0
27-Nov-15,-,-,-,0.18,0
26-Nov-15,0.17,0.18,0.17,0.18,45200
25-Nov-15,0.17,0.17,0.17,0.17,45800
24-Nov-15,-,-,-,0.16,0
23-Nov-15,0.16,0.16,0.16,0.16,10000
20-Nov-15,-,-,-,0.17,0
19-Nov-15,-,-,-,0.17,0
18-Nov-15,-,-,-,0.17,0
17-Nov-15,-,-,-,0.17,0
16-Nov-15,-,-,-,0.17,0
13-Nov-15,0.17,0.18,0.17,0.17,50100
12-Nov-15,-,-,-,0.16,0
11-Nov-15,0.17,0.17,0.16,0.16,213000
9-Nov-15,0.18,0.18,0.18,0.18,10000
6-Nov-15,0.17,0.20,0.17,0.19,272500
5-Nov-15,0.17,0.17,0.17,0.17,10000
4-Nov-15,0.16,0.16,0.16,0.16,20000
3-Nov-15,-,-,-,0.16,0
2-Nov-15,0.16,0.16,0.16,0.16,20000
30-Oct-15,0.16,0.16,0.16,0.16,93200
29-Oct-15,0.16,0.16,0.16,0.16,10300
28-Oct-15,-,-,-,0.16,0
27-Oct-15,-,-,-,0.16,0
26-Oct-15,-,-,-,0.16,0
23-Oct-15,0.16,0.16,0.16,0.16,40000
22-Oct-15,-,-,-,0.16,0
21-Oct-15,-,-,-,0.16,0
20-Oct-15,-,-,-,0.16,0
19-Oct-15,0.16,0.16,0.16,0.16,60000
16-Oct-15,-,-,-,0.16,0
15-Oct-15,-,-,-,0.16,0
13-Oct-15,0.16,0.16,0.16,0.16,281000
12-Oct-15,0.16,0.16,0.16,0.16,30000
