Date,Open,High,Low,Close,Volume
7-Oct-16,0.26,0.27,0.26,0.26,29000
6-Oct-16,-,-,-,0.26,0
5-Oct-16,0.25,0.26,0.25,0.26,61200
4-Oct-16,-,-,-,0.28,0
30-Sep-16,-,-,-,0.28,0
29-Sep-16,0.28,0.28,0.28,0.28,25000
28-Sep-16,-,-,-,0.26,0
27-Sep-16,-,-,-,0.26,0
26-Sep-16,-,-,-,0.26,0
23-Sep-16,0.26,0.26,0.26,0.26,10000
22-Sep-16,0.26,0.26,0.26,0.26,29100
21-Sep-16,0.26,0.30,0.26,0.26,50100
20-Sep-16,0.26,0.26,0.25,0.25,110000
19-Sep-16,0.26,0.27,0.26,0.27,59900
15-Sep-16,-,-,-,0.26,0
14-Sep-16,0.26,0.26,0.26,0.26,161700
13-Sep-16,0.28,0.28,0.28,0.28,10000
9-Sep-16,0.27,0.28,0.26,0.28,98600
8-Sep-16,0.27,0.27,0.27,0.27,41300
7-Sep-16,0.27,0.29,0.27,0.28,75000
6-Sep-16,0.28,0.28,0.28,0.28,30000
5-Sep-16,-,-,-,0.28,0
2-Sep-16,0.29,0.29,0.28,0.28,16300
1-Sep-16,0.28,0.30,0.28,0.30,28500
30-Aug-16,-,-,-,0.29,0
29-Aug-16,0.30,0.30,0.28,0.29,62000
26-Aug-16,-,-,-,0.32,0
25-Aug-16,0.32,0.32,0.32,0.32,60000
24-Aug-16,0.32,0.32,0.32,0.32,20000
23-Aug-16,-,-,-,0.32,0
22-Aug-16,0.32,0.32,0.32,0.32,18000
19-Aug-16,0.32,0.32,0.32,0.32,900
18-Aug-16,0.32,0.32,0.32,0.32,8000
17-Aug-16,0.32,0.34,0.32,0.32,382100
16-Aug-16,0.32,0.32,0.32,0.32,31000
15-Aug-16,0.32,0.32,0.32,0.32,80000
12-Aug-16,0.32,0.33,0.32,0.32,48400
11-Aug-16,-,-,-,0.32,0
10-Aug-16,0.28,0.32,0.28,0.32,39300
9-Aug-16,-,-,-,0.30,0
8-Aug-16,0.31,0.31,0.30,0.30,41700
5-Aug-16,0.29,0.29,0.29,0.29,9600
4-Aug-16,0.31,0.31,0.31,0.31,15000
3-Aug-16,0.30,0.30,0.30,0.30,14700
2-Aug-16,-,-,-,0.28,0
1-Aug-16,-,-,-,0.28,0
29-Jul-16,0.28,0.30,0.28,0.28,8300
28-Jul-16,0.30,0.30,0.30,0.30,19700
27-Jul-16,0.29,0.30,0.29,0.30,14000
26-Jul-16,-,-,-,0.30,0
25-Jul-16,-,-,-,0.30,0
22-Jul-16,0.30,0.30,0.30,0.30,19700
21-Jul-16,-,-,-,0.30,0
20-Jul-16,0.30,0.31,0.30,0.30,163000
19-Jul-16,0.32,0.32,0.30,0.30,162200
18-Jul-16,0.31,0.32,0.31,0.32,24500
15-Jul-16,-,-,-,0.34,0
14-Jul-16,0.31,0.34,0.30,0.34,18500
13-Jul-16,0.30,0.30,0.30,0.30,100
12-Jul-16,0.30,0.30,0.30,0.30,800
11-Jul-16,0.30,0.30,0.30,0.30,5000
8-Jul-16,0.30,0.30,0.30,0.30,3000
5-Jul-16,-,-,-,0.30,0
4-Jul-16,-,-,-,0.30,0
1-Jul-16,0.33,0.33,0.30,0.30,40000
