Date,Open,High,Low,Close,Volume
7-Oct-16,0.46,0.47,0.46,0.46,1367800
6-Oct-16,0.48,0.48,0.46,0.46,1229900
5-Oct-16,0.48,0.48,0.47,0.48,721000
4-Oct-16,0.48,0.49,0.48,0.48,1353400
30-Sep-16,0.49,0.49,0.47,0.48,1849500
29-Sep-16,0.49,0.50,0.48,0.48,3096100
28-Sep-16,0.49,0.49,0.48,0.48,1930900
27-Sep-16,0.50,0.50,0.49,0.49,1900100
26-Sep-16,0.50,0.50,0.50,0.50,3479600
23-Sep-16,0.50,0.52,0.50,0.50,3075200
22-Sep-16,0.50,0.52,0.50,0.50,5067500
21-Sep-16,0.52,0.52,0.50,0.50,5790000
20-Sep-16,0.52,0.53,0.51,0.52,8210900
19-Sep-16,0.48,0.54,0.48,0.52,17614700
15-Sep-16,0.46,0.48,0.46,0.47,2584200
14-Sep-16,0.44,0.46,0.44,0.45,691700
13-Sep-16,0.46,0.46,0.44,0.44,1709500
9-Sep-16,0.47,0.48,0.46,0.46,610700
8-Sep-16,0.47,0.47,0.46,0.47,907900
7-Sep-16,0.47,0.48,0.46,0.46,2673300
6-Sep-16,0.48,0.50,0.47,0.47,9357700
5-Sep-16,0.43,0.47,0.43,0.46,625400
2-Sep-16,0.42,0.43,0.42,0.43,306000
1-Sep-16,0.44,0.44,0.42,0.42,214100
30-Aug-16,0.42,0.43,0.40,0.42,1087800
29-Aug-16,0.44,0.44,0.44,0.44,98000
26-Aug-16,0.44,0.44,0.43,0.44,135000
25-Aug-16,0.43,0.44,0.42,0.44,747600
24-Aug-16,0.46,0.46,0.44,0.44,592900
23-Aug-16,0.46,0.46,0.46,0.46,208500
22-Aug-16,0.46,0.46,0.46,0.46,88000
19-Aug-16,0.46,0.46,0.46,0.46,128500
18-Aug-16,0.46,0.46,0.46,0.46,207500
17-Aug-16,0.46,0.46,0.45,0.46,603400
16-Aug-16,0.46,0.46,0.46,0.46,449500
15-Aug-16,0.46,0.46,0.46,0.46,256600
12-Aug-16,0.46,0.46,0.46,0.46,551000
11-Aug-16,0.46,0.46,0.46,0.46,632200
10-Aug-16,0.47,0.47,0.46,0.47,304300
9-Aug-16,0.47,0.47,0.46,0.47,524100
8-Aug-16,0.47,0.48,0.46,0.46,1778400
5-Aug-16,0.46,0.47,0.46,0.47,2688100
4-Aug-16,0.46,0.46,0.46,0.46,652600
3-Aug-16,0.46,0.46,0.46,0.46,103000
2-Aug-16,0.46,0.46,0.45,0.46,237800
1-Aug-16,0.46,0.46,0.46,0.46,400300
29-Jul-16,0.45,0.46,0.45,0.46,581600
28-Jul-16,0.46,0.46,0.45,0.45,525600
27-Jul-16,0.46,0.46,0.46,0.46,650100
26-Jul-16,0.46,0.46,0.46,0.46,801300
25-Jul-16,0.47,0.48,0.46,0.46,1267300
22-Jul-16,0.46,0.46,0.46,0.46,316900
21-Jul-16,0.46,0.46,0.46,0.46,1049000
20-Jul-16,0.46,0.47,0.46,0.47,413500
19-Jul-16,0.47,0.47,0.46,0.46,1010500
18-Jul-16,0.48,0.48,0.46,0.46,2139200
15-Jul-16,0.46,0.50,0.46,0.47,3215000
14-Jul-16,0.46,0.46,0.46,0.46,1302000
13-Jul-16,0.46,0.46,0.46,0.46,1236000
12-Jul-16,0.46,0.46,0.46,0.46,58500
11-Jul-16,0.46,0.46,0.46,0.46,261400
8-Jul-16,0.46,0.47,0.46,0.46,439300
5-Jul-16,0.46,0.46,0.45,0.46,775400
4-Jul-16,0.46,0.46,0.46,0.46,134300
1-Jul-16,0.47,0.47,0.46,0.46,104100
30-Jun-16,0.49,0.49,0.46,0.46,1597900
29-Jun-16,0.48,0.50,0.48,0.48,864600
28-Jun-16,0.48,0.48,0.48,0.48,406800
27-Jun-16,0.49,0.49,0.48,0.48,391900
24-Jun-16,0.49,0.50,0.48,0.49,627900
23-Jun-16,0.51,0.51,0.50,0.50,358100
21-Jun-16,0.52,0.52,0.50,0.51,1137100
20-Jun-16,0.54,0.54,0.52,0.52,340900
17-Jun-16,0.54,0.54,0.54,0.54,230200
16-Jun-16,0.55,0.55,0.53,0.54,421500
15-Jun-16,0.55,0.55,0.54,0.54,404500
14-Jun-16,0.58,0.58,0.56,0.56,347500
13-Jun-16,0.57,0.57,0.56,0.56,90000
10-Jun-16,0.60,0.60,0.58,0.58,851400
9-Jun-16,0.60,0.60,0.60,0.60,183300
8-Jun-16,0.60,0.60,0.60,0.60,215600
7-Jun-16,0.60,0.62,0.60,0.60,259200
6-Jun-16,0.62,0.62,0.60,0.60,351200
3-Jun-16,0.62,0.62,0.61,0.62,46000
2-Jun-16,0.62,0.63,0.61,0.62,213600
1-Jun-16,0.62,0.62,0.60,0.62,362900
31-May-16,0.60,0.63,0.60,0.63,320000
30-May-16,0.70,0.70,0.60,0.60,1032200
27-May-16,0.66,0.70,0.66,0.70,113300
26-May-16,0.66,0.67,0.66,0.66,62000
25-May-16,-,-,-,0.68,0
24-May-16,0.66,0.68,0.66,0.68,60000
23-May-16,-,-,-,0.68,0
20-May-16,0.68,0.68,0.67,0.68,28000
19-May-16,0.67,0.68,0.67,0.68,6800
18-May-16,0.68,0.68,0.67,0.67,9000
17-May-16,0.68,0.69,0.67,0.67,29600
16-May-16,0.68,0.68,0.67,0.68,15000
13-May-16,0.69,0.69,0.68,0.68,95800
12-May-16,0.69,0.70,0.69,0.70,37200
11-May-16,0.68,0.68,0.68,0.68,32000
10-May-16,0.68,0.68,0.67,0.68,83000
9-May-16,0.68,0.69,0.68,0.68,62000
6-May-16,0.68,0.70,0.68,0.70,35000
5-May-16,0.67,0.68,0.67,0.68,47000
4-May-16,0.66,0.67,0.66,0.67,68300
3-May-16,0.67,0.67,0.66,0.66,85900
29-Apr-16,0.68,0.68,0.67,0.68,55800
28-Apr-16,0.68,0.68,0.67,0.68,98500
27-Apr-16,0.69,0.70,0.68,0.68,231300
26-Apr-16,0.70,0.70,0.69,0.69,142000
25-Apr-16,0.71,0.71,0.70,0.70,74000
22-Apr-16,0.72,0.72,0.70,0.71,151500
21-Apr-16,0.70,0.72,0.70,0.72,78100
20-Apr-16,0.70,0.70,0.70,0.70,71000
19-Apr-16,0.70,0.70,0.70,0.70,89000
18-Apr-16,0.70,0.70,0.70,0.70,69600
15-Apr-16,0.70,0.70,0.70,0.70,35000
14-Apr-16,0.70,0.70,0.70,0.70,89000
13-Apr-16,0.70,0.70,0.70,0.70,97000
12-Apr-16,0.70,0.71,0.70,0.71,66400
11-Apr-16,0.72,0.72,0.70,0.70,112400
8-Apr-16,0.72,0.72,0.70,0.71,107700
7-Apr-16,0.72,0.72,0.70,0.70,114600
6-Apr-16,0.71,0.71,0.70,0.70,479800
5-Apr-16,0.72,0.72,0.71,0.71,402700
4-Apr-16,0.72,0.72,0.72,0.72,49800
1-Apr-16,0.72,0.72,0.72,0.72,37000
31-Mar-16,0.74,0.74,0.73,0.73,89900
30-Mar-16,0.73,0.74,0.72,0.73,140600
29-Mar-16,0.72,0.73,0.72,0.73,604100
28-Mar-16,0.72,0.73,0.72,0.72,180300
25-Mar-16,0.73,0.73,0.72,0.73,133100
24-Mar-16,0.74,0.74,0.72,0.73,284500
23-Mar-16,0.76,0.76,0.74,0.74,293300
22-Mar-16,0.76,0.77,0.76,0.76,822600
21-Mar-16,0.72,0.74,0.72,0.74,599200
18-Mar-16,0.70,0.72,0.70,0.72,64300
17-Mar-16,0.71,0.71,0.70,0.70,88100
16-Mar-16,0.71,0.71,0.70,0.70,37300
15-Mar-16,0.71,0.71,0.70,0.71,182300
14-Mar-16,0.70,0.72,0.70,0.70,165100
11-Mar-16,0.70,0.71,0.70,0.70,191000
10-Mar-16,0.69,0.69,0.68,0.68,29100
9-Mar-16,0.70,0.70,0.70,0.70,10200
8-Mar-16,0.70,0.70,0.69,0.69,88800
7-Mar-16,0.70,0.72,0.68,0.70,273300
4-Mar-16,0.70,0.71,0.70,0.70,226000
3-Mar-16,0.68,0.70,0.68,0.70,353800
2-Mar-16,0.68,0.68,0.68,0.68,191000
1-Mar-16,0.68,0.69,0.66,0.68,403900
29-Feb-16,0.72,0.72,0.69,0.69,80600
26-Feb-16,0.72,0.72,0.70,0.70,157500
25-Feb-16,0.72,0.72,0.72,0.72,50000
24-Feb-16,0.72,0.73,0.72,0.72,146600
23-Feb-16,0.74,0.74,0.73,0.73,171600
22-Feb-16,0.72,0.74,0.72,0.72,670900
