Date,Open,High,Low,Close,Volume
7-Oct-16,-,-,-,0.56,0
6-Oct-16,0.56,0.56,0.56,0.56,800
5-Oct-16,0.54,0.57,0.54,0.57,41200
4-Oct-16,-,-,-,0.58,0
30-Sep-16,-,-,-,0.58,0
29-Sep-16,-,-,-,0.58,0
28-Sep-16,0.58,0.58,0.58,0.58,40000
27-Sep-16,0.58,0.58,0.58,0.58,10000
26-Sep-16,-,-,-,0.56,0
23-Sep-16,0.56,0.56,0.56,0.56,4500
22-Sep-16,-,-,-,0.56,0
21-Sep-16,-,-,-,0.56,0
20-Sep-16,0.55,0.56,0.55,0.56,6000
19-Sep-16,0.50,0.55,0.50,0.55,36000
15-Sep-16,0.56,0.56,0.50,0.50,11000
14-Sep-16,-,-,-,0.55,0
13-Sep-16,-,-,-,0.55,0
9-Sep-16,0.55,0.58,0.55,0.55,21300
8-Sep-16,-,-,-,0.55,0
7-Sep-16,0.55,0.55,0.55,0.55,10000
6-Sep-16,0.55,0.55,0.55,0.55,10000
5-Sep-16,-,-,-,0.55,0
2-Sep-16,-,-,-,0.55,0
1-Sep-16,-,-,-,0.55,0
30-Aug-16,0.55,0.55,0.55,0.55,500
29-Aug-16,-,-,-,0.58,0
26-Aug-16,0.58,0.58,0.58,0.58,8000
25-Aug-16,0.57,0.57,0.56,0.56,25000
24-Aug-16,-,-,-,0.58,0
23-Aug-16,0.58,0.58,0.58,0.58,1000
22-Aug-16,0.59,0.59,0.59,0.59,7000
19-Aug-16,-,-,-,0.58,0
18-Aug-16,-,-,-,0.58,0
17-Aug-16,0.58,0.58,0.58,0.58,23800
16-Aug-16,0.56,0.58,0.56,0.58,10000
15-Aug-16,0.58,0.58,0.56,0.56,37000
12-Aug-16,-,-,-,0.58,0
11-Aug-16,0.56,0.58,0.56,0.58,15000
10-Aug-16,0.58,0.60,0.57,0.57,51000
9-Aug-16,0.57,0.57,0.57,0.57,30000
8-Aug-16,0.56,0.60,0.56,0.60,12100
5-Aug-16,0.56,0.56,0.55,0.56,5000
4-Aug-16,0.60,0.60,0.60,0.60,26000
3-Aug-16,0.60,0.60,0.60,0.60,3100
2-Aug-16,0.59,0.60,0.59,0.60,9000
1-Aug-16,0.54,0.54,0.54,0.54,2000
29-Jul-16,-,-,-,0.60,0
28-Jul-16,-,-,-,0.60,0
27-Jul-16,-,-,-,0.60,0
26-Jul-16,-,-,-,0.60,0
25-Jul-16,-,-,-,0.60,0
22-Jul-16,0.54,0.60,0.54,0.60,5000
21-Jul-16,0.56,0.56,0.56,0.56,10000
20-Jul-16,-,-,-,0.57,0
19-Jul-16,0.58,0.58,0.57,0.57,55000
18-Jul-16,-,-,-,0.57,0
15-Jul-16,-,-,-,0.57,0
14-Jul-16,-,-,-,0.57,0
13-Jul-16,0.60,0.60,0.57,0.57,87700
12-Jul-16,0.60,0.63,0.60,0.63,22400
11-Jul-16,0.58,0.60,0.58,0.60,84000
8-Jul-16,-,-,-,0.56,0
5-Jul-16,0.56,0.56,0.56,0.56,1000
4-Jul-16,0.56,0.56,0.56,0.56,7100
1-Jul-16,-,-,-,0.51,0
30-Jun-16,0.51,0.51,0.51,0.51,1000
29-Jun-16,0.52,0.56,0.52,0.56,10100
28-Jun-16,0.57,0.58,0.52,0.52,5300
27-Jun-16,-,-,-,0.51,0
24-Jun-16,0.51,0.51,0.51,0.51,1000
23-Jun-16,-,-,-,0.58,0
21-Jun-16,-,-,-,0.58,0
20-Jun-16,-,-,-,0.58,0
17-Jun-16,-,-,-,0.58,0
16-Jun-16,0.58,0.58,0.55,0.58,11600
15-Jun-16,-,-,-,0.58,0
14-Jun-16,-,-,-,0.58,0
13-Jun-16,-,-,-,0.58,0
10-Jun-16,0.58,0.58,0.58,0.58,3700
9-Jun-16,0.55,0.58,0.55,0.58,50300
8-Jun-16,-,-,-,0.56,0
7-Jun-16,-,-,-,0.56,0
6-Jun-16,0.56,0.56,0.56,0.56,1000
3-Jun-16,-,-,-,0.55,0
2-Jun-16,-,-,-,0.55,0
1-Jun-16,0.58,0.58,0.55,0.55,14700
31-May-16,-,-,-,0.57,0
30-May-16,0.57,0.57,0.57,0.57,10800
27-May-16,0.57,0.57,0.57,0.57,8000
26-May-16,0.60,0.60,0.56,0.56,15000
25-May-16,0.58,0.58,0.58,0.58,1000
24-May-16,-,-,-,0.57,0
23-May-16,-,-,-,0.57,0
20-May-16,0.57,0.57,0.57,0.57,2000
19-May-16,-,-,-,0.58,0
18-May-16,-,-,-,0.58,0
17-May-16,0.60,0.60,0.58,0.58,10300
16-May-16,-,-,-,0.56,0
13-May-16,0.56,0.56,0.56,0.56,6000
12-May-16,-,-,-,0.62,0
11-May-16,0.61,0.62,0.57,0.62,13500
10-May-16,0.61,0.61,0.61,0.61,4000
9-May-16,0.62,0.62,0.62,0.62,1000
6-May-16,0.64,0.64,0.64,0.64,8000
5-May-16,-,-,-,0.56,0
4-May-16,-,-,-,0.56,0
3-May-16,-,-,-,0.56,0
29-Apr-16,0.56,0.56,0.56,0.56,1000
28-Apr-16,-,-,-,0.61,0
27-Apr-16,-,-,-,0.61,0
26-Apr-16,-,-,-,0.61,0
25-Apr-16,0.65,0.65,0.61,0.61,30100
22-Apr-16,-,-,-,0.70,0
21-Apr-16,-,-,-,0.70,0
20-Apr-16,0.70,0.70,0.70,0.70,1000
19-Apr-16,-,-,-,0.68,0
18-Apr-16,0.68,0.68,0.68,0.68,3000
15-Apr-16,-,-,-,0.66,0
14-Apr-16,0.67,0.67,0.66,0.66,2100
13-Apr-16,0.65,0.65,0.65,0.65,20600
12-Apr-16,-,-,-,0.58,0
11-Apr-16,0.58,0.58,0.58,0.58,1000
8-Apr-16,0.45,0.60,0.45,0.55,11400
7-Apr-16,0.60,0.60,0.60,0.60,100
6-Apr-16,0.60,0.60,0.60,0.60,7000
5-Apr-16,-,-,-,0.60,0
4-Apr-16,-,-,-,0.60,0
1-Apr-16,-,-,-,0.60,0
31-Mar-16,0.57,0.60,0.57,0.60,300
30-Mar-16,-,-,-,0.56,0
29-Mar-16,-,-,-,0.56,0
28-Mar-16,0.60,0.60,0.56,0.56,2000
25-Mar-16,-,-,-,0.60,0
24-Mar-16,0.57,0.60,0.57,0.60,11000
23-Mar-16,-,-,-,0.60,0
22-Mar-16,-,-,-,0.60,0
21-Mar-16,-,-,-,0.60,0
18-Mar-16,-,-,-,0.60,0
17-Mar-16,-,-,-,0.60,0
16-Mar-16,-,-,-,0.60,0
15-Mar-16,-,-,-,0.60,0
14-Mar-16,0.60,0.60,0.60,0.60,5400
11-Mar-16,-,-,-,0.58,0
10-Mar-16,0.58,0.58,0.58,0.58,3300
9-Mar-16,-,-,-,0.57,0
8-Mar-16,0.56,0.57,0.56,0.57,10100
7-Mar-16,-,-,-,0.56,0
4-Mar-16,0.56,0.56,0.56,0.56,5000
3-Mar-16,0.62,0.62,0.62,0.62,2900
2-Mar-16,-,-,-,0.62,0
1-Mar-16,0.62,0.62,0.60,0.62,67100
29-Feb-16,-,-,-,0.56,0
26-Feb-16,0.58,0.58,0.56,0.56,15000
25-Feb-16,0.56,0.56,0.56,0.56,7000
24-Feb-16,0.56,0.56,0.56,0.56,100
23-Feb-16,0.57,0.58,0.57,0.58,5100
22-Feb-16,0.69,0.69,0.62,0.63,70300
19-Feb-16,0.76,0.82,0.72,0.72,39400
18-Feb-16,-,-,-,0.55,0
17-Feb-16,0.59,0.59,0.55,0.55,200
16-Feb-16,0.58,0.58,0.58,0.58,100
15-Feb-16,0.56,0.62,0.56,0.62,14300
12-Feb-16,0.58,0.62,0.58,0.62,25000
11-Feb-16,0.57,0.57,0.57,0.57,100
10-Feb-16,0.58,0.58,0.58,0.58,15100
5-Feb-16,-,-,-,0.58,0
4-Feb-16,0.58,0.58,0.58,0.58,1000
3-Feb-16,-,-,-,0.62,0
2-Feb-16,-,-,-,0.62,0
29-Jan-16,-,-,-,0.62,0
28-Jan-16,0.62,0.62,0.62,0.62,1000
27-Jan-16,-,-,-,0.62,0
26-Jan-16,-,-,-,0.62,0
22-Jan-16,-,-,-,0.62,0
21-Jan-16,-,-,-,0.62,0
20-Jan-16,-,-,-,0.62,0
19-Jan-16,-,-,-,0.62,0
18-Jan-16,0.62,0.62,0.62,0.62,5000
15-Jan-16,-,-,-,0.62,0
14-Jan-16,-,-,-,0.62,0
13-Jan-16,-,-,-,0.62,0
12-Jan-16,0.62,0.62,0.58,0.62,14500
11-Jan-16,0.58,0.58,0.58,0.58,6000
8-Jan-16,-,-,-,0.61,0
7-Jan-16,-,-,-,0.61,0
6-Jan-16,0.61,0.61,0.61,0.61,25700
5-Jan-16,-,-,-,0.60,0
4-Jan-16,-,-,-,0.60,0
31-Dec-15,0.60,0.60,0.60,0.60,3000
30-Dec-15,0.60,0.60,0.60,0.60,10000
29-Dec-15,0.60,0.60,0.60,0.60,43000
28-Dec-15,0.61,0.61,0.61,0.61,3000
23-Dec-15,-,-,-,0.61,0
22-Dec-15,0.60,0.62,0.60,0.61,22000
21-Dec-15,-,-,-,0.60,0
18-Dec-15,-,-,-,0.60,0
17-Dec-15,-,-,-,0.60,0
16-Dec-15,-,-,-,0.60,0
15-Dec-15,0.60,0.60,0.60,0.60,4000
14-Dec-15,-,-,-,0.61,0
11-Dec-15,0.58,0.62,0.58,0.61,10000
10-Dec-15,0.61,0.61,0.61,0.61,20000
9-Dec-15,0.62,0.62,0.62,0.62,15000
8-Dec-15,0.61,0.61,0.61,0.61,10000
7-Dec-15,0.62,0.63,0.61,0.61,3200
4-Dec-15,-,-,-,0.63,0
3-Dec-15,-,-,-,0.63,0
2-Dec-15,0.63,0.63,0.63,0.63,8000
1-Dec-15,-,-,-,0.63,0
30-Nov-15,-,-,-,0.63,0
27-Nov-15,-,-,-,0.63,0
26-Nov-15,0.63,0.63,0.63,0.63,3000
25-Nov-15,0.59,0.59,0.59,0.59,5000
24-Nov-15,-,-,-,0.60,0
23-Nov-15,0.60,0.60,0.60,0.60,11000
20-Nov-15,-,-,-,0.63,0
19-Nov-15,-,-,-,0.63,0
18-Nov-15,0.63,0.65,0.62,0.63,47000
17-Nov-15,0.61,0.61,0.61,0.61,10000
16-Nov-15,0.62,0.62,0.62,0.62,5200
13-Nov-15,-,-,-,0.65,0
12-Nov-15,0.61,0.65,0.61,0.65,5500
11-Nov-15,-,-,-,0.64,0
9-Nov-15,-,-,-,0.64,0
6-Nov-15,0.65,0.65,0.64,0.64,7100
5-Nov-15,0.65,0.65,0.65,0.65,5000
4-Nov-15,-,-,-,0.64,0
3-Nov-15,0.64,0.64,0.62,0.64,53200
2-Nov-15,-,-,-,0.65,0
30-Oct-15,0.65,0.65,0.61,0.65,55000
29-Oct-15,-,-,-,0.65,0
28-Oct-15,0.65,0.65,0.65,0.65,2000
27-Oct-15,-,-,-,0.61,0
26-Oct-15,-,-,-,0.61,0
23-Oct-15,-,-,-,0.61,0
22-Oct-15,-,-,-,0.61,0
21-Oct-15,-,-,-,0.61,0
20-Oct-15,0.61,0.61,0.61,0.61,20000
19-Oct-15,-,-,-,0.60,0
16-Oct-15,0.60,0.60,0.60,0.60,10000
15-Oct-15,-,-,-,0.60,0
13-Oct-15,0.59,0.60,0.58,0.60,6000
12-Oct-15,-,-,-,0.65,0
