Date,Open,High,Low,Close,Volume
7-Oct-16,2.99,2.99,2.97,2.97,12300
6-Oct-16,2.97,2.97,2.97,2.97,2400
5-Oct-16,-,-,-,2.96,0
4-Oct-16,2.97,2.99,2.96,2.96,8500
30-Sep-16,2.95,2.96,2.95,2.96,10300
29-Sep-16,2.93,2.97,2.93,2.95,20000
28-Sep-16,2.94,2.94,2.93,2.93,13000
27-Sep-16,2.95,2.95,2.94,2.94,8700
26-Sep-16,2.95,2.96,2.95,2.96,22400
23-Sep-16,2.95,2.95,2.92,2.92,41000
22-Sep-16,2.95,2.95,2.95,2.95,9600
21-Sep-16,2.95,2.95,2.94,2.94,14500
20-Sep-16,2.95,2.95,2.94,2.95,10000
19-Sep-16,2.96,2.96,2.95,2.95,7100
15-Sep-16,2.99,2.99,2.99,2.99,1200
14-Sep-16,3.05,3.05,2.98,3.00,13700
13-Sep-16,3.07,3.08,3.06,3.06,11400
9-Sep-16,3.09,3.09,3.09,3.09,1000
8-Sep-16,3.06,3.09,3.06,3.09,8000
7-Sep-16,3.05,3.05,3.05,3.05,18000
6-Sep-16,-,-,-,3.04,0
5-Sep-16,3.06,3.06,3.04,3.04,2000
2-Sep-16,-,-,-,3.06,0
1-Sep-16,3.07,3.07,3.06,3.06,10800
30-Aug-16,3.06,3.10,3.06,3.09,30000
29-Aug-16,3.10,3.10,3.10,3.10,9600
26-Aug-16,3.13,3.13,3.11,3.12,14400
25-Aug-16,3.13,3.13,3.13,3.13,4200
24-Aug-16,3.13,3.15,3.13,3.15,14400
23-Aug-16,3.15,3.15,3.15,3.15,12200
22-Aug-16,3.14,3.15,3.14,3.14,7500
19-Aug-16,3.14,3.14,3.13,3.14,32300
18-Aug-16,3.13,3.15,3.12,3.14,27100
17-Aug-16,3.13,3.14,3.13,3.14,7100
16-Aug-16,3.12,3.15,3.12,3.13,86700
15-Aug-16,3.10,3.10,3.10,3.10,2000
12-Aug-16,3.10,3.10,3.09,3.09,6200
11-Aug-16,3.10,3.10,3.10,3.10,68000
10-Aug-16,3.08,3.09,3.07,3.08,26500
9-Aug-16,3.08,3.08,3.06,3.06,2000
8-Aug-16,3.05,3.05,3.04,3.04,15500
5-Aug-16,3.04,3.08,3.04,3.04,64700
4-Aug-16,3.05,3.05,3.05,3.05,100
3-Aug-16,3.03,3.03,3.01,3.01,4600
2-Aug-16,3.03,3.03,3.00,3.01,75400
1-Aug-16,-,-,-,3.00,0
29-Jul-16,2.97,3.01,2.96,3.00,41500
28-Jul-16,2.98,3.03,2.98,3.03,5600
27-Jul-16,3.00,3.00,3.00,3.00,8200
26-Jul-16,3.00,3.00,3.00,3.00,1900
25-Jul-16,3.00,3.01,2.96,2.96,4300
22-Jul-16,-,-,-,2.97,0
21-Jul-16,2.96,2.97,2.96,2.97,23400
20-Jul-16,-,-,-,2.97,0
19-Jul-16,-,-,-,2.97,0
18-Jul-16,2.96,2.97,2.96,2.97,6300
15-Jul-16,3.02,3.02,2.96,2.96,6100
14-Jul-16,3.02,3.02,2.96,2.96,7000
13-Jul-16,2.96,3.01,2.96,3.01,19200
12-Jul-16,2.96,2.96,2.96,2.96,500
11-Jul-16,2.98,3.02,2.98,2.98,9700
8-Jul-16,2.98,2.98,2.95,2.98,12800
5-Jul-16,-,-,-,2.95,0
4-Jul-16,2.95,2.95,2.95,2.95,15300
1-Jul-16,2.92,2.95,2.92,2.95,7000
30-Jun-16,2.92,2.92,2.92,2.92,800
29-Jun-16,2.94,2.94,2.93,2.93,4900
28-Jun-16,2.90,2.90,2.90,2.90,10000
27-Jun-16,2.90,2.92,2.90,2.91,6500
24-Jun-16,2.93,2.93,2.91,2.91,11600
23-Jun-16,2.93,2.93,2.93,2.93,3000
21-Jun-16,2.93,2.93,2.93,2.93,1000
20-Jun-16,2.94,2.94,2.94,2.94,3000
17-Jun-16,2.93,2.96,2.93,2.96,3400
16-Jun-16,2.93,2.93,2.92,2.92,7300
15-Jun-16,2.93,2.93,2.92,2.92,12500
14-Jun-16,2.92,2.92,2.92,2.92,3500
13-Jun-16,2.98,2.98,2.93,2.93,9100
10-Jun-16,3.04,3.05,3.04,3.05,31000
9-Jun-16,3.03,3.05,3.03,3.05,17700
8-Jun-16,3.05,3.05,3.03,3.03,27000
7-Jun-16,3.01,3.01,3.01,3.01,800
6-Jun-16,3.00,3.03,3.00,3.03,4600
3-Jun-16,3.00,3.00,3.00,3.00,3000
2-Jun-16,3.04,3.04,3.04,3.04,12500
1-Jun-16,3.04,3.04,3.04,3.04,1000
31-May-16,3.04,3.04,2.98,3.00,8900
30-May-16,-,-,-,3.02,0
27-May-16,2.98,3.02,2.98,3.02,27800
26-May-16,3.00,3.00,3.00,3.00,7700
25-May-16,2.99,2.99,2.98,2.98,11900
24-May-16,2.98,2.98,2.98,2.98,5000
23-May-16,3.00,3.00,2.97,2.98,31400
20-May-16,-,-,-,3.00,0
19-May-16,-,-,-,3.00,0
18-May-16,2.99,3.00,2.98,3.00,11600
17-May-16,2.97,2.99,2.97,2.99,3800
16-May-16,2.98,2.98,2.97,2.97,10400
13-May-16,2.99,2.99,2.98,2.98,4700
12-May-16,3.00,3.00,2.99,2.99,11000
11-May-16,3.00,3.03,2.99,2.99,13900
10-May-16,2.98,3.00,2.98,3.00,25900
9-May-16,2.98,3.00,2.98,2.98,19100
6-May-16,2.96,2.97,2.96,2.96,7000
5-May-16,2.96,2.96,2.96,2.96,2000
4-May-16,2.96,2.97,2.96,2.96,38200
3-May-16,2.97,2.97,2.96,2.96,24800
29-Apr-16,2.97,2.97,2.95,2.95,2000
28-Apr-16,2.95,2.97,2.95,2.97,4600
27-Apr-16,2.95,2.95,2.94,2.94,6000
26-Apr-16,2.98,2.98,2.94,2.94,7900
25-Apr-16,2.94,2.99,2.94,2.99,16900
22-Apr-16,2.92,2.99,2.92,2.94,6800
21-Apr-16,2.93,2.93,2.93,2.93,2000
20-Apr-16,2.93,2.93,2.93,2.93,10000
19-Apr-16,2.93,2.93,2.93,2.93,2900
18-Apr-16,2.96,2.96,2.95,2.95,9000
15-Apr-16,2.97,2.97,2.97,2.97,11000
14-Apr-16,2.95,2.95,2.95,2.95,7100
13-Apr-16,2.98,2.98,2.93,2.95,16200
12-Apr-16,-,-,-,3.00,0
11-Apr-16,3.00,3.00,3.00,3.00,5500
8-Apr-16,3.10,3.10,2.94,3.00,5100
7-Apr-16,3.00,3.00,2.92,2.92,4600
6-Apr-16,3.00,3.00,3.00,3.00,700
5-Apr-16,3.02,3.02,3.02,3.02,10000
4-Apr-16,2.95,3.05,2.95,3.05,10100
1-Apr-16,2.94,3.00,2.94,2.94,14000
31-Mar-16,2.94,2.95,2.93,2.93,7700
30-Mar-16,2.93,2.93,2.93,2.93,1000
29-Mar-16,2.94,2.94,2.94,2.94,3500
28-Mar-16,2.93,2.95,2.92,2.95,3300
25-Mar-16,2.93,2.93,2.93,2.93,1000
24-Mar-16,2.96,2.96,2.90,2.92,4300
23-Mar-16,2.96,2.96,2.95,2.95,600
22-Mar-16,2.90,2.94,2.90,2.94,31000
21-Mar-16,2.90,2.90,2.90,2.90,700
18-Mar-16,2.86,2.90,2.86,2.90,600
17-Mar-16,2.85,2.90,2.85,2.85,66100
16-Mar-16,2.88,2.88,2.88,2.88,1000
15-Mar-16,2.85,2.86,2.85,2.86,1500
14-Mar-16,2.84,2.85,2.82,2.84,49700
11-Mar-16,2.84,2.84,2.84,2.84,1300
10-Mar-16,-,-,-,2.84,0
9-Mar-16,2.85,2.86,2.82,2.84,17600
8-Mar-16,2.84,2.85,2.84,2.85,9300
7-Mar-16,2.88,2.88,2.85,2.85,41000
4-Mar-16,2.89,2.89,2.89,2.89,1000
3-Mar-16,2.90,2.90,2.89,2.89,80100
2-Mar-16,2.91,2.91,2.89,2.89,109500
1-Mar-16,2.91,2.92,2.90,2.91,124200
29-Feb-16,2.94,2.94,2.90,2.91,105100
26-Feb-16,2.88,2.90,2.88,2.90,24200
25-Feb-16,2.90,2.90,2.86,2.86,9800
24-Feb-16,2.90,2.90,2.86,2.86,8000
23-Feb-16,2.83,2.89,2.83,2.86,100000
22-Feb-16,2.82,2.88,2.82,2.88,4500
19-Feb-16,2.80,2.87,2.80,2.84,25200
18-Feb-16,2.80,2.88,2.80,2.83,1300
17-Feb-16,2.85,2.85,2.80,2.82,5800
16-Feb-16,2.76,2.88,2.76,2.80,19400
15-Feb-16,2.75,2.81,2.75,2.81,400
12-Feb-16,2.75,2.79,2.75,2.79,28700
11-Feb-16,2.78,2.82,2.76,2.76,14800
10-Feb-16,2.78,2.80,2.78,2.78,1500
5-Feb-16,2.77,2.88,2.77,2.80,10400
4-Feb-16,2.77,2.80,2.77,2.80,2700
3-Feb-16,-,-,-,2.78,0
2-Feb-16,2.76,2.78,2.76,2.78,5900
29-Jan-16,2.75,2.75,2.75,2.75,5000
28-Jan-16,2.75,2.76,2.74,2.75,31600
27-Jan-16,2.80,2.80,2.75,2.75,33000
26-Jan-16,2.78,2.78,2.77,2.77,12100
22-Jan-16,2.78,2.78,2.78,2.78,3000
21-Jan-16,2.75,2.78,2.75,2.77,27700
20-Jan-16,2.80,2.80,2.78,2.79,34800
19-Jan-16,2.80,2.80,2.79,2.80,9000
18-Jan-16,2.78,2.78,2.76,2.78,14900
15-Jan-16,2.80,2.83,2.80,2.80,97300
14-Jan-16,2.88,2.88,2.80,2.80,156800
13-Jan-16,2.91,2.91,2.87,2.87,17900
12-Jan-16,2.90,2.91,2.90,2.90,28600
11-Jan-16,2.88,2.91,2.88,2.91,4700
8-Jan-16,2.88,2.89,2.88,2.88,24700
7-Jan-16,2.89,2.89,2.85,2.89,49000
6-Jan-16,2.94,2.94,2.89,2.89,19000
5-Jan-16,2.92,2.94,2.90,2.94,119000
4-Jan-16,2.90,2.93,2.89,2.92,158000
31-Dec-15,2.92,2.92,2.90,2.90,58500
30-Dec-15,2.92,2.95,2.90,2.92,122800
29-Dec-15,2.90,2.94,2.89,2.92,95700
28-Dec-15,2.89,2.90,2.89,2.90,25000
23-Dec-15,2.92,2.92,2.89,2.89,124400
22-Dec-15,2.95,2.95,2.91,2.91,16700
21-Dec-15,2.98,2.98,2.95,2.95,17000
18-Dec-15,2.95,2.98,2.93,2.98,74900
17-Dec-15,2.97,2.98,2.97,2.98,6000
16-Dec-15,2.99,2.99,2.99,2.99,2400
15-Dec-15,2.98,2.98,2.90,2.98,53500
14-Dec-15,3.00,3.00,2.98,2.98,11000
11-Dec-15,3.05,3.05,3.01,3.02,21900
10-Dec-15,3.09,3.12,3.09,3.12,49300
9-Dec-15,3.08,3.11,3.08,3.09,93900
8-Dec-15,3.07,3.10,3.07,3.10,98000
7-Dec-15,3.07,3.09,3.07,3.08,94100
4-Dec-15,3.06,3.09,3.06,3.09,92400
3-Dec-15,3.06,3.07,3.06,3.07,97000
2-Dec-15,3.05,3.07,3.05,3.05,77400
1-Dec-15,3.08,3.08,3.05,3.05,25600
30-Nov-15,3.09,3.10,3.07,3.07,59000
27-Nov-15,3.09,3.10,3.09,3.09,28800
26-Nov-15,3.03,3.10,3.03,3.09,42200
25-Nov-15,3.03,3.09,3.03,3.03,13500
24-Nov-15,3.09,3.09,3.06,3.07,18000
23-Nov-15,3.02,3.09,3.02,3.09,8300
20-Nov-15,3.07,3.07,3.02,3.02,50500
19-Nov-15,3.08,3.08,3.07,3.08,19000
18-Nov-15,3.08,3.08,3.06,3.06,5600
17-Nov-15,3.10,3.12,3.10,3.12,10000
16-Nov-15,3.12,3.12,3.10,3.10,5000
13-Nov-15,3.10,3.12,3.10,3.12,9700
12-Nov-15,3.12,3.13,3.12,3.13,26600
11-Nov-15,3.16,3.16,3.12,3.12,24000
9-Nov-15,3.20,3.20,3.16,3.16,22400
6-Nov-15,3.20,3.20,3.18,3.20,25800
5-Nov-15,3.10,3.18,3.10,3.18,35700
4-Nov-15,3.10,3.12,3.08,3.12,23200
3-Nov-15,3.09,3.09,3.08,3.08,9000
2-Nov-15,3.12,3.12,3.10,3.10,11500
30-Oct-15,3.13,3.13,3.12,3.12,12300
29-Oct-15,3.13,3.16,3.13,3.13,9800
28-Oct-15,3.18,3.18,3.13,3.13,30600
27-Oct-15,3.18,3.18,3.12,3.12,28100
26-Oct-15,3.13,3.14,3.13,3.14,12400
23-Oct-15,3.13,3.14,3.12,3.12,14000
