Date,Open,High,Low,Close,Volume
7-Oct-16,0.44,0.44,0.44,0.44,90000
6-Oct-16,0.43,0.44,0.42,0.44,89000
5-Oct-16,0.43,0.44,0.43,0.43,50000
4-Oct-16,0.43,0.43,0.42,0.42,20000
30-Sep-16,0.43,0.43,0.43,0.43,45000
29-Sep-16,0.43,0.43,0.43,0.43,10000
28-Sep-16,0.44,0.44,0.44,0.44,20000
27-Sep-16,0.43,0.43,0.43,0.43,25000
26-Sep-16,0.43,0.44,0.43,0.43,67500
23-Sep-16,-,-,-,0.44,0
22-Sep-16,0.44,0.44,0.43,0.44,140000
21-Sep-16,0.44,0.45,0.44,0.44,25600
20-Sep-16,0.44,0.44,0.44,0.44,10000
19-Sep-16,0.43,0.46,0.43,0.46,43100
15-Sep-16,0.46,0.46,0.46,0.46,70200
14-Sep-16,0.46,0.46,0.46,0.46,10000
13-Sep-16,0.46,0.47,0.46,0.46,153400
9-Sep-16,0.44,0.46,0.44,0.46,382100
8-Sep-16,0.44,0.44,0.44,0.44,22000
7-Sep-16,0.44,0.45,0.44,0.44,76600
6-Sep-16,0.44,0.44,0.44,0.44,9800
5-Sep-16,0.44,0.45,0.44,0.45,28300
2-Sep-16,0.45,0.46,0.44,0.44,20900
1-Sep-16,0.45,0.45,0.45,0.45,15000
30-Aug-16,0.46,0.46,0.46,0.46,53600
29-Aug-16,0.46,0.46,0.46,0.46,25000
26-Aug-16,0.46,0.47,0.46,0.47,15000
25-Aug-16,0.46,0.48,0.46,0.47,99800
24-Aug-16,0.48,0.48,0.46,0.46,45000
23-Aug-16,0.48,0.49,0.48,0.49,101000
22-Aug-16,0.48,0.50,0.47,0.48,464900
19-Aug-16,0.50,0.50,0.48,0.48,303700
18-Aug-16,0.50,0.52,0.50,0.52,146800
17-Aug-16,0.48,0.51,0.48,0.50,468400
16-Aug-16,0.48,0.48,0.48,0.48,81600
15-Aug-16,0.47,0.48,0.47,0.48,65600
12-Aug-16,-,-,-,0.46,0
11-Aug-16,0.47,0.47,0.46,0.46,21000
10-Aug-16,0.47,0.48,0.47,0.48,10100
9-Aug-16,0.48,0.48,0.48,0.48,95600
8-Aug-16,0.46,0.48,0.46,0.48,159500
5-Aug-16,0.46,0.46,0.46,0.46,20000
4-Aug-16,0.44,0.44,0.44,0.44,6000
3-Aug-16,0.46,0.46,0.44,0.44,99800
2-Aug-16,0.46,0.46,0.46,0.46,30000
1-Aug-16,0.46,0.46,0.46,0.46,20000
29-Jul-16,0.44,0.45,0.44,0.45,31000
28-Jul-16,0.44,0.44,0.44,0.44,5000
27-Jul-16,0.44,0.44,0.44,0.44,43700
26-Jul-16,0.44,0.44,0.44,0.44,5000
25-Jul-16,0.44,0.44,0.44,0.44,21000
22-Jul-16,0.43,0.44,0.43,0.44,59500
21-Jul-16,0.44,0.44,0.44,0.44,100000
20-Jul-16,0.43,0.45,0.43,0.44,108000
19-Jul-16,0.43,0.43,0.43,0.43,130000
18-Jul-16,0.43,0.43,0.43,0.43,55000
15-Jul-16,0.43,0.43,0.43,0.43,44000
14-Jul-16,0.43,0.43,0.43,0.43,68000
13-Jul-16,0.43,0.43,0.43,0.43,15000
12-Jul-16,0.43,0.45,0.43,0.44,52000
11-Jul-16,0.45,0.46,0.43,0.43,105000
8-Jul-16,-,-,-,0.44,0
5-Jul-16,-,-,-,0.44,0
4-Jul-16,-,-,-,0.44,0
1-Jul-16,0.44,0.44,0.44,0.44,18000
30-Jun-16,-,-,-,0.44,0
29-Jun-16,-,-,-,0.44,0
28-Jun-16,0.44,0.44,0.44,0.44,113000
27-Jun-16,-,-,-,0.44,0
24-Jun-16,0.44,0.44,0.44,0.44,6000
23-Jun-16,0.45,0.45,0.44,0.44,24200
21-Jun-16,0.44,0.44,0.44,0.44,1000
20-Jun-16,0.44,0.45,0.43,0.44,75000
17-Jun-16,0.44,0.45,0.44,0.44,40800
16-Jun-16,0.44,0.45,0.44,0.45,49000
15-Jun-16,-,-,-,0.44,0
14-Jun-16,0.44,0.44,0.44,0.44,14500
13-Jun-16,0.44,0.44,0.44,0.44,58000
10-Jun-16,0.44,0.44,0.44,0.44,8000
9-Jun-16,0.44,0.46,0.44,0.44,40000
8-Jun-16,0.45,0.46,0.44,0.45,38000
7-Jun-16,0.44,0.46,0.44,0.45,85000
6-Jun-16,0.46,0.46,0.46,0.46,18000
3-Jun-16,0.46,0.46,0.44,0.44,55000
2-Jun-16,0.48,0.48,0.46,0.46,8000
1-Jun-16,0.46,0.46,0.41,0.41,25000
31-May-16,-,-,-,0.46,0
30-May-16,0.45,0.46,0.45,0.46,24300
27-May-16,0.46,0.46,0.46,0.46,41900
26-May-16,0.46,0.47,0.46,0.46,91000
25-May-16,0.46,0.47,0.46,0.47,59600
24-May-16,-,-,-,0.47,0
23-May-16,0.48,0.48,0.47,0.47,102000
20-May-16,0.48,0.50,0.48,0.48,336000
19-May-16,0.44,0.47,0.44,0.47,87200
18-May-16,0.46,0.46,0.44,0.44,108200
17-May-16,0.47,0.47,0.46,0.46,3100
16-May-16,0.46,0.46,0.46,0.46,81000
13-May-16,0.46,0.47,0.46,0.47,52500
12-May-16,0.47,0.47,0.46,0.46,33000
11-May-16,0.48,0.48,0.47,0.47,20000
10-May-16,0.47,0.47,0.47,0.47,21200
9-May-16,0.47,0.48,0.46,0.47,78800
6-May-16,0.46,0.48,0.46,0.47,109000
5-May-16,0.48,0.48,0.48,0.48,12000
4-May-16,0.47,0.47,0.47,0.47,100000
3-May-16,0.48,0.48,0.47,0.47,4000
29-Apr-16,-,-,-,0.48,0
28-Apr-16,0.48,0.48,0.48,0.48,10000
27-Apr-16,0.48,0.48,0.48,0.48,13900
26-Apr-16,0.49,0.49,0.49,0.49,4000
25-Apr-16,0.48,0.49,0.48,0.48,95300
22-Apr-16,0.47,0.48,0.46,0.48,5800
21-Apr-16,0.48,0.48,0.48,0.48,8000
20-Apr-16,0.48,0.48,0.48,0.48,70000
19-Apr-16,0.47,0.48,0.47,0.48,60200
18-Apr-16,0.47,0.47,0.47,0.47,30000
15-Apr-16,0.48,0.48,0.47,0.47,48000
14-Apr-16,0.48,0.48,0.48,0.48,18000
13-Apr-16,-,-,-,0.48,0
12-Apr-16,0.49,0.49,0.48,0.48,28000
11-Apr-16,0.48,0.48,0.48,0.48,10000
8-Apr-16,0.48,0.49,0.48,0.49,15000
7-Apr-16,0.49,0.49,0.48,0.49,275400
6-Apr-16,0.49,0.49,0.48,0.49,234000
5-Apr-16,0.50,0.50,0.49,0.50,311000
4-Apr-16,0.51,0.52,0.50,0.50,80000
1-Apr-16,0.52,0.52,0.50,0.52,66100
31-Mar-16,0.52,0.52,0.52,0.52,127400
30-Mar-16,0.52,0.52,0.51,0.51,25000
29-Mar-16,0.52,0.52,0.52,0.52,55100
28-Mar-16,0.52,0.52,0.52,0.52,40000
25-Mar-16,0.52,0.52,0.52,0.52,24000
24-Mar-16,0.52,0.52,0.52,0.52,78000
23-Mar-16,0.52,0.53,0.52,0.52,77100
22-Mar-16,0.52,0.53,0.52,0.52,63000
21-Mar-16,0.54,0.54,0.52,0.53,126100
18-Mar-16,0.52,0.52,0.52,0.52,70000
17-Mar-16,0.52,0.54,0.52,0.54,31000
16-Mar-16,0.52,0.54,0.52,0.54,31100
15-Mar-16,0.54,0.54,0.52,0.54,11000
14-Mar-16,0.54,0.54,0.52,0.52,13500
11-Mar-16,-,-,-,0.54,0
10-Mar-16,0.52,0.54,0.51,0.54,151900
9-Mar-16,0.52,0.53,0.52,0.53,6000
8-Mar-16,0.53,0.54,0.52,0.53,105200
