Date,Open,High,Low,Close,Volume
7-Oct-16,0.84,0.84,0.82,0.82,1657900
6-Oct-16,0.89,0.89,0.85,0.85,1378700
5-Oct-16,0.91,0.91,0.88,0.90,1588600
4-Oct-16,0.92,0.92,0.90,0.91,299900
30-Sep-16,0.92,0.92,0.91,0.92,178400
29-Sep-16,0.92,0.92,0.92,0.92,191200
28-Sep-16,0.91,0.92,0.91,0.92,352300
27-Sep-16,0.92,0.92,0.91,0.91,373700
26-Sep-16,0.92,0.92,0.90,0.90,563000
23-Sep-16,0.94,0.94,0.92,0.92,340300
22-Sep-16,0.94,0.94,0.92,0.93,199600
21-Sep-16,0.94,0.94,0.92,0.93,224600
20-Sep-16,0.93,0.93,0.92,0.92,305200
19-Sep-16,0.93,0.94,0.92,0.92,277800
15-Sep-16,0.94,0.94,0.93,0.93,461000
14-Sep-16,0.94,0.94,0.94,0.94,465200
13-Sep-16,0.96,0.96,0.94,0.94,1711300
9-Sep-16,0.98,0.98,0.96,0.96,679700
8-Sep-16,0.96,1.00,0.96,0.98,2120800
7-Sep-16,0.96,0.96,0.96,0.96,529700
6-Sep-16,0.96,0.97,0.96,0.96,690100
5-Sep-16,0.97,0.97,0.96,0.96,782900
2-Sep-16,0.97,0.97,0.96,0.97,844000
1-Sep-16,0.98,0.98,0.96,0.97,1490200
30-Aug-16,0.98,1.00,0.98,0.98,1358500
29-Aug-16,0.98,0.98,0.95,0.96,689500
26-Aug-16,0.98,0.98,0.96,0.97,388100
25-Aug-16,0.98,0.98,0.98,0.98,771100
24-Aug-16,0.98,0.98,0.98,0.98,233700
23-Aug-16,0.98,0.98,0.98,0.98,308900
22-Aug-16,0.98,0.98,0.98,0.98,330900
19-Aug-16,0.99,0.99,0.98,0.98,224000
18-Aug-16,0.99,1.00,0.98,0.99,204600
17-Aug-16,0.99,1.00,0.99,0.99,175300
16-Aug-16,0.99,1.00,0.98,0.99,344100
15-Aug-16,1.00,1.00,0.98,0.98,239800
12-Aug-16,1.00,1.00,0.99,0.99,233000
11-Aug-16,0.99,1.00,0.98,1.00,187400
10-Aug-16,1.00,1.00,0.99,0.99,85400
9-Aug-16,1.00,1.00,0.98,1.00,206100
8-Aug-16,0.99,1.00,0.99,1.00,390100
5-Aug-16,0.99,1.00,0.98,0.98,1119400
4-Aug-16,1.00,1.00,0.98,0.98,386300
3-Aug-16,0.98,1.00,0.98,1.00,743400
2-Aug-16,0.98,0.99,0.98,0.98,131000
1-Aug-16,1.00,1.00,0.98,1.00,97600
29-Jul-16,0.99,1.00,0.98,1.00,598400
28-Jul-16,1.00,1.00,0.99,0.99,219500
27-Jul-16,1.00,1.00,1.00,1.00,212400
26-Jul-16,1.01,1.01,1.00,1.00,664300
