Date,Open,High,Low,Close,Volume
7-Oct-16,0.06,0.06,0.05,0.06,1713200
6-Oct-16,0.06,0.06,0.05,0.06,554000
5-Oct-16,0.06,0.06,0.05,0.06,1091000
4-Oct-16,0.06,0.06,0.05,0.06,1301000
30-Sep-16,0.06,0.06,0.05,0.06,512100
29-Sep-16,0.06,0.06,0.06,0.06,305000
28-Sep-16,0.06,0.06,0.06,0.06,837000
27-Sep-16,0.06,0.06,0.06,0.06,494400
26-Sep-16,0.06,0.06,0.06,0.06,526200
23-Sep-16,0.06,0.06,0.06,0.06,3145600
22-Sep-16,0.05,0.06,0.05,0.05,360000
21-Sep-16,-,-,-,0.05,0
20-Sep-16,0.05,0.05,0.05,0.05,180000
19-Sep-16,0.05,0.05,0.05,0.05,495000
15-Sep-16,0.05,0.05,0.05,0.05,60000
14-Sep-16,0.05,0.05,0.05,0.05,671200
13-Sep-16,0.05,0.05,0.05,0.05,794800
9-Sep-16,0.05,0.05,0.05,0.05,357600
8-Sep-16,0.05,0.06,0.05,0.06,150900
7-Sep-16,0.05,0.05,0.05,0.05,99700
6-Sep-16,0.05,0.05,0.05,0.05,400000
5-Sep-16,0.05,0.05,0.05,0.05,750000
2-Sep-16,0.04,0.05,0.04,0.05,831000
1-Sep-16,0.05,0.05,0.04,0.04,200000
30-Aug-16,0.05,0.05,0.05,0.05,100000
29-Aug-16,-,-,-,0.05,0
26-Aug-16,0.05,0.05,0.05,0.05,20000
25-Aug-16,0.05,0.05,0.05,0.05,20000
24-Aug-16,-,-,-,0.05,0
23-Aug-16,0.05,0.05,0.04,0.05,211000
22-Aug-16,0.04,0.05,0.04,0.05,340000
19-Aug-16,0.06,0.06,0.06,0.06,10000
18-Aug-16,0.05,0.05,0.05,0.05,300000
17-Aug-16,0.05,0.05,0.04,0.05,275000
16-Aug-16,0.04,0.06,0.04,0.06,123000
15-Aug-16,0.04,0.05,0.04,0.05,580000
12-Aug-16,-,-,-,0.05,0
11-Aug-16,0.05,0.05,0.05,0.05,954000
10-Aug-16,0.05,0.05,0.04,0.04,375100
9-Aug-16,0.05,0.05,0.05,0.05,10000
8-Aug-16,0.04,0.04,0.04,0.04,21000
5-Aug-16,0.04,0.05,0.04,0.05,161000
4-Aug-16,0.05,0.05,0.05,0.05,624200
3-Aug-16,-,-,-,0.06,0
2-Aug-16,0.05,0.06,0.05,0.06,601000
1-Aug-16,0.05,0.06,0.05,0.06,61000
29-Jul-16,0.05,0.06,0.04,0.06,252900
28-Jul-16,0.05,0.06,0.05,0.06,1608600
27-Jul-16,0.04,0.05,0.04,0.05,50500
26-Jul-16,0.04,0.05,0.04,0.05,83600
25-Jul-16,0.05,0.05,0.05,0.05,192000
22-Jul-16,0.05,0.06,0.05,0.06,450600
21-Jul-16,0.05,0.06,0.05,0.06,1729500
20-Jul-16,-,-,-,0.05,0
19-Jul-16,0.05,0.05,0.05,0.05,108000
18-Jul-16,0.05,0.05,0.05,0.05,595000
15-Jul-16,0.04,0.04,0.04,0.04,90000
14-Jul-16,0.04,0.04,0.04,0.04,60000
13-Jul-16,0.04,0.05,0.04,0.04,85000
12-Jul-16,0.04,0.05,0.04,0.05,416800
11-Jul-16,0.04,0.05,0.04,0.05,507700
8-Jul-16,0.04,0.04,0.04,0.04,200000
5-Jul-16,0.04,0.04,0.04,0.04,370000
4-Jul-16,0.04,0.04,0.04,0.04,1150000
1-Jul-16,0.04,0.04,0.04,0.04,100000
30-Jun-16,0.04,0.05,0.04,0.04,180500
29-Jun-16,0.04,0.04,0.04,0.04,88500
28-Jun-16,0.05,0.05,0.05,0.05,100
27-Jun-16,0.04,0.04,0.04,0.04,207000
24-Jun-16,0.04,0.04,0.04,0.04,137000
23-Jun-16,-,-,-,0.05,0
21-Jun-16,0.05,0.05,0.04,0.05,1851600
20-Jun-16,0.04,0.04,0.04,0.04,180000
17-Jun-16,0.05,0.05,0.05,0.05,1000000
16-Jun-16,0.04,0.05,0.04,0.05,141000
15-Jun-16,0.04,0.04,0.04,0.04,120000
14-Jun-16,0.04,0.05,0.04,0.05,129200
13-Jun-16,0.04,0.05,0.04,0.05,120000
10-Jun-16,0.04,0.05,0.04,0.05,76000
9-Jun-16,0.04,0.05,0.04,0.05,230500
8-Jun-16,0.04,0.04,0.04,0.04,157000
7-Jun-16,-,-,-,0.04,0
6-Jun-16,0.04,0.04,0.04,0.04,924900
3-Jun-16,0.04,0.04,0.04,0.04,360000
2-Jun-16,0.04,0.04,0.04,0.04,139100
1-Jun-16,0.05,0.05,0.05,0.05,100
31-May-16,0.04,0.04,0.04,0.04,20000
30-May-16,0.04,0.05,0.04,0.05,50100
27-May-16,0.04,0.05,0.04,0.05,4587400
26-May-16,0.04,0.04,0.04,0.04,22600
25-May-16,0.04,0.04,0.04,0.04,100000
24-May-16,0.04,0.04,0.04,0.04,676600
23-May-16,-,-,-,0.04,0
20-May-16,0.04,0.04,0.04,0.04,510000
19-May-16,-,-,-,0.04,0
18-May-16,0.04,0.04,0.04,0.04,38000
17-May-16,0.04,0.04,0.04,0.04,200000
16-May-16,-,-,-,0.04,0
13-May-16,0.04,0.04,0.04,0.04,693600
12-May-16,0.04,0.04,0.04,0.04,689300
11-May-16,0.04,0.04,0.04,0.04,176000
10-May-16,0.04,0.04,0.04,0.04,1283000
9-May-16,0.04,0.04,0.04,0.04,50000
6-May-16,0.04,0.05,0.04,0.04,8887100
5-May-16,0.04,0.04,0.04,0.04,6000
4-May-16,-,-,-,0.05,0
3-May-16,0.05,0.05,0.05,0.05,10000
29-Apr-16,-,-,-,0.06,0
28-Apr-16,0.06,0.06,0.06,0.06,100
27-Apr-16,0.04,0.04,0.04,0.04,10000
26-Apr-16,-,-,-,0.06,0
25-Apr-16,0.05,0.06,0.05,0.06,120500
22-Apr-16,0.05,0.06,0.05,0.06,106400
21-Apr-16,0.05,0.05,0.05,0.05,285000
20-Apr-16,0.05,0.05,0.05,0.05,500000
19-Apr-16,0.04,0.04,0.04,0.04,55000
18-Apr-16,-,-,-,0.05,0
15-Apr-16,-,-,-,0.05,0
14-Apr-16,0.05,0.05,0.04,0.05,777800
13-Apr-16,0.04,0.05,0.04,0.05,2145000
12-Apr-16,0.04,0.05,0.04,0.05,1030400
11-Apr-16,0.04,0.04,0.04,0.04,50000
8-Apr-16,-,-,-,0.05,0
7-Apr-16,0.05,0.05,0.05,0.05,1100000
6-Apr-16,0.04,0.05,0.04,0.05,487200
5-Apr-16,0.05,0.05,0.05,0.05,1000000
4-Apr-16,0.04,0.05,0.04,0.05,150100
1-Apr-16,0.04,0.05,0.04,0.05,20000
31-Mar-16,0.04,0.05,0.04,0.05,1583900
30-Mar-16,-,-,-,0.04,0
29-Mar-16,0.04,0.04,0.04,0.04,200000
28-Mar-16,0.05,0.05,0.04,0.04,60000
25-Mar-16,0.04,0.05,0.04,0.05,190000
24-Mar-16,0.04,0.04,0.04,0.04,10000
23-Mar-16,0.04,0.04,0.04,0.04,194000
22-Mar-16,0.04,0.05,0.04,0.05,667100
21-Mar-16,0.05,0.05,0.05,0.05,1000000
18-Mar-16,-,-,-,0.05,0
17-Mar-16,-,-,-,0.05,0
16-Mar-16,0.05,0.05,0.04,0.05,35200
15-Mar-16,0.04,0.05,0.04,0.05,2079300
14-Mar-16,0.05,0.05,0.04,0.04,96100
11-Mar-16,-,-,-,0.04,0
10-Mar-16,0.04,0.04,0.04,0.04,250000
9-Mar-16,-,-,-,0.04,0
8-Mar-16,0.04,0.05,0.04,0.04,119100
7-Mar-16,0.04,0.05,0.04,0.05,570200
4-Mar-16,0.05,0.05,0.04,0.04,514700
3-Mar-16,0.04,0.05,0.04,0.05,150000
