Date,Open,High,Low,Close,Volume
7-Oct-16,0.07,0.07,0.06,0.06,1490000
6-Oct-16,0.07,0.07,0.06,0.07,4407100
5-Oct-16,0.07,0.08,0.06,0.07,20145100
4-Oct-16,0.06,0.06,0.06,0.06,380000
30-Sep-16,0.08,0.08,0.06,0.07,9223600
29-Sep-16,0.06,0.08,0.06,0.07,25229900
28-Sep-16,0.06,0.06,0.06,0.06,137200
27-Sep-16,0.06,0.06,0.06,0.06,1509200
26-Sep-16,0.06,0.06,0.06,0.06,110000
23-Sep-16,0.06,0.06,0.06,0.06,1815300
22-Sep-16,0.06,0.06,0.06,0.06,24000
21-Sep-16,0.06,0.06,0.06,0.06,252500
20-Sep-16,-,-,-,0.06,0
19-Sep-16,0.06,0.06,0.06,0.06,177000
15-Sep-16,0.06,0.06,0.06,0.06,10000
14-Sep-16,0.06,0.06,0.06,0.06,171500
13-Sep-16,0.06,0.06,0.06,0.06,235000
9-Sep-16,0.06,0.06,0.06,0.06,431900
8-Sep-16,0.06,0.06,0.06,0.06,149900
7-Sep-16,0.06,0.06,0.06,0.06,167000
6-Sep-16,0.06,0.06,0.06,0.06,250000
5-Sep-16,0.06,0.06,0.06,0.06,588100
2-Sep-16,-,-,-,0.06,0
1-Sep-16,0.06,0.06,0.06,0.06,89900
30-Aug-16,0.06,0.06,0.06,0.06,65000
29-Aug-16,0.06,0.06,0.06,0.06,2060300
26-Aug-16,0.06,0.06,0.06,0.06,184400
25-Aug-16,0.06,0.06,0.06,0.06,243100
24-Aug-16,0.06,0.06,0.06,0.06,1207300
23-Aug-16,0.06,0.06,0.06,0.06,79000
22-Aug-16,0.06,0.06,0.06,0.06,1263000
19-Aug-16,0.06,0.06,0.06,0.06,430000
18-Aug-16,0.06,0.06,0.06,0.06,436800
17-Aug-16,0.06,0.06,0.06,0.06,3609500
16-Aug-16,0.06,0.06,0.06,0.06,235000
15-Aug-16,0.06,0.06,0.06,0.06,4739400
12-Aug-16,0.06,0.06,0.06,0.06,2838000
11-Aug-16,0.06,0.06,0.06,0.06,1613000
10-Aug-16,0.06,0.06,0.06,0.06,1330100
9-Aug-16,0.06,0.06,0.06,0.06,5933700
8-Aug-16,0.06,0.06,0.06,0.06,7512100
5-Aug-16,0.06,0.06,0.06,0.06,2811500
4-Aug-16,0.06,0.06,0.06,0.06,5260000
3-Aug-16,0.06,0.07,0.06,0.06,3228000
2-Aug-16,0.06,0.07,0.06,0.07,9105000
1-Aug-16,0.07,0.07,0.06,0.06,2087000
29-Jul-16,0.07,0.07,0.06,0.07,9353800
28-Jul-16,0.07,0.07,0.06,0.07,1684600
27-Jul-16,0.06,0.07,0.06,0.06,27376700
26-Jul-16,0.06,0.06,0.06,0.06,50000
25-Jul-16,0.06,0.06,0.06,0.06,273900
22-Jul-16,0.06,0.06,0.06,0.06,369900
21-Jul-16,0.06,0.06,0.06,0.06,394700
20-Jul-16,0.06,0.06,0.06,0.06,119800
19-Jul-16,0.06,0.06,0.06,0.06,100000
18-Jul-16,0.06,0.06,0.06,0.06,267000
15-Jul-16,0.06,0.06,0.06,0.06,10000
14-Jul-16,0.06,0.06,0.06,0.06,24000
13-Jul-16,0.06,0.06,0.06,0.06,93000
12-Jul-16,0.06,0.06,0.06,0.06,207500
11-Jul-16,0.06,0.06,0.06,0.06,300000
8-Jul-16,-,-,-,0.06,0
5-Jul-16,0.06,0.06,0.06,0.06,120000
4-Jul-16,-,-,-,0.06,0
1-Jul-16,-,-,-,0.06,0
30-Jun-16,0.06,0.06,0.06,0.06,121000
29-Jun-16,0.06,0.06,0.06,0.06,166000
28-Jun-16,0.06,0.06,0.06,0.06,79000
27-Jun-16,0.06,0.06,0.06,0.06,3925000
24-Jun-16,0.06,0.06,0.06,0.06,1920000
23-Jun-16,0.06,0.06,0.06,0.06,3771200
21-Jun-16,0.06,0.06,0.06,0.06,150000
20-Jun-16,0.06,0.06,0.06,0.06,560000
17-Jun-16,0.06,0.06,0.06,0.06,393900
16-Jun-16,0.06,0.06,0.06,0.06,140100
