Date,Open,High,Low,Close,Volume
7-Oct-16,2.35,2.35,2.35,2.35,5000
6-Oct-16,2.35,2.35,2.34,2.35,26800
5-Oct-16,-,-,-,2.34,0
4-Oct-16,2.31,2.34,2.31,2.34,4000
30-Sep-16,2.34,2.34,2.34,2.34,1000
29-Sep-16,2.38,2.38,2.38,2.38,2800
28-Sep-16,2.38,2.38,2.38,2.38,200
27-Sep-16,2.34,2.45,2.34,2.45,4500
26-Sep-16,2.44,2.49,2.44,2.44,4400
23-Sep-16,2.41,2.44,2.40,2.44,21000
22-Sep-16,2.31,2.40,2.31,2.40,12800
21-Sep-16,2.41,2.41,2.36,2.38,28600
20-Sep-16,2.40,2.43,2.40,2.43,1017000
19-Sep-16,-,-,-,2.45,0
15-Sep-16,2.45,2.45,2.45,2.45,4000
14-Sep-16,2.48,2.48,2.44,2.47,67600
13-Sep-16,2.44,2.52,2.43,2.52,78400
9-Sep-16,2.40,2.50,2.40,2.50,424700
8-Sep-16,2.30,2.39,2.30,2.38,382600
7-Sep-16,2.27,2.29,2.26,2.28,80400
6-Sep-16,2.28,2.28,2.27,2.27,71900
5-Sep-16,2.24,2.30,2.24,2.27,31900
2-Sep-16,2.16,2.24,2.16,2.24,9400
1-Sep-16,2.16,2.21,2.16,2.19,30000
30-Aug-16,2.17,2.17,2.17,2.17,18900
29-Aug-16,2.21,2.21,2.14,2.16,87700
26-Aug-16,2.22,2.23,2.22,2.23,110100
25-Aug-16,2.24,2.25,2.21,2.21,44000
24-Aug-16,2.32,2.32,2.25,2.25,121500
23-Aug-16,2.20,2.32,2.20,2.32,433300
22-Aug-16,2.31,2.31,2.20,2.21,446000
19-Aug-16,2.26,2.34,2.26,2.30,271200
18-Aug-16,2.46,2.47,2.00,2.20,1904600
17-Aug-16,2.80,2.80,2.45,2.48,441800
16-Aug-16,2.80,2.80,2.76,2.78,207000
15-Aug-16,2.90,2.90,2.76,2.79,705800
12-Aug-16,2.95,2.95,2.80,2.90,36400
11-Aug-16,3.00,3.00,3.00,3.00,100000
10-Aug-16,-,-,-,3.00,0
9-Aug-16,-,-,-,3.00,0
8-Aug-16,-,-,-,3.00,0
5-Aug-16,-,-,-,3.00,0
4-Aug-16,-,-,-,3.00,0
3-Aug-16,3.00,3.00,3.00,3.00,400
2-Aug-16,-,-,-,3.00,0
1-Aug-16,-,-,-,3.00,0
29-Jul-16,2.95,3.00,2.94,3.00,8500
28-Jul-16,2.95,2.95,2.95,2.95,100
27-Jul-16,-,-,-,3.00,0
26-Jul-16,-,-,-,3.00,0
25-Jul-16,-,-,-,3.00,0
22-Jul-16,3.09,3.09,3.00,3.00,1100
21-Jul-16,3.05,3.10,3.03,3.03,152600
20-Jul-16,3.05,3.08,3.05,3.05,96600
19-Jul-16,3.05,3.05,3.04,3.05,17300
18-Jul-16,3.07,3.08,3.02,3.05,5181300
15-Jul-16,2.92,3.10,2.92,3.05,1153900
14-Jul-16,3.01,3.01,2.90,2.90,3626200
13-Jul-16,2.98,3.02,2.98,3.00,5318900
12-Jul-16,-,-,-,3.02,0
11-Jul-16,2.95,3.05,2.95,3.02,136000
8-Jul-16,2.80,2.90,2.80,2.90,35700
5-Jul-16,2.78,2.78,2.78,2.78,200
4-Jul-16,2.76,2.76,2.76,2.76,100
1-Jul-16,2.85,2.85,2.72,2.72,20800
30-Jun-16,2.84,3.00,2.84,3.00,65700
29-Jun-16,3.00,3.00,2.84,2.84,31200
28-Jun-16,2.89,2.90,2.85,2.89,72400
27-Jun-16,2.79,2.85,2.79,2.85,36100
24-Jun-16,2.78,2.82,2.77,2.82,79100
23-Jun-16,2.79,2.82,2.79,2.82,75500
21-Jun-16,2.80,2.80,2.80,2.80,7000
20-Jun-16,-,-,-,2.71,0
17-Jun-16,2.80,2.80,2.71,2.71,1426100
16-Jun-16,2.79,2.80,2.62,2.79,905900
15-Jun-16,-,-,-,2.80,0
14-Jun-16,2.80,2.80,2.80,2.80,914700
13-Jun-16,-,-,-,2.80,0
10-Jun-16,2.78,2.80,2.60,2.80,64500
9-Jun-16,2.60,2.85,2.60,2.80,40500
8-Jun-16,2.45,2.59,2.45,2.59,639400
7-Jun-16,2.47,2.47,2.41,2.45,26000
6-Jun-16,2.49,2.49,2.46,2.47,96400
3-Jun-16,2.37,2.50,2.36,2.50,188900
2-Jun-16,2.50,2.50,2.36,2.50,7100
1-Jun-16,2.33,2.59,2.32,2.50,517200
31-May-16,2.44,2.45,2.40,2.45,630300
30-May-16,2.29,2.45,2.29,2.45,82200
27-May-16,2.33,2.34,2.12,2.29,515600
26-May-16,2.30,2.37,2.30,2.33,1255000
25-May-16,2.32,2.32,2.30,2.30,506000
24-May-16,2.30,2.35,2.29,2.30,218200
23-May-16,2.30,2.30,2.30,2.30,42000
20-May-16,2.30,2.32,2.30,2.30,37200
19-May-16,2.26,2.35,2.26,2.32,652500
18-May-16,2.26,2.28,2.26,2.28,31600
17-May-16,2.26,2.26,2.26,2.26,1000
16-May-16,2.32,2.32,2.26,2.26,178100
13-May-16,2.25,2.27,2.25,2.26,366700
12-May-16,2.15,2.28,2.09,2.28,1174400
11-May-16,2.09,2.15,2.07,2.15,282300
10-May-16,2.10,2.10,2.07,2.09,153200
9-May-16,2.11,2.11,2.09,2.09,327600
6-May-16,2.03,2.12,2.00,2.11,162300
5-May-16,2.00,2.01,2.00,2.00,1501900
4-May-16,2.00,2.01,2.00,2.01,2516500
3-May-16,-,-,-,2.03,0
29-Apr-16,-,-,-,2.03,0
28-Apr-16,2.03,2.03,2.03,2.03,25500
27-Apr-16,-,-,-,2.03,0
26-Apr-16,2.00,2.03,2.00,2.03,369500
25-Apr-16,1.99,2.05,1.95,2.00,100200
22-Apr-16,2.09,2.11,2.09,2.09,11800
21-Apr-16,2.09,2.11,2.09,2.11,12000
20-Apr-16,2.11,2.11,2.09,2.11,190800
19-Apr-16,2.19,2.19,2.12,2.12,66600
18-Apr-16,2.19,2.20,2.19,2.20,62900
15-Apr-16,2.20,2.20,2.03,2.20,539000
14-Apr-16,2.20,2.20,2.20,2.20,42900
13-Apr-16,2.20,2.20,2.20,2.20,543100
12-Apr-16,2.16,2.22,2.16,2.21,460400
11-Apr-16,-,-,-,2.20,0
8-Apr-16,-,-,-,2.20,0
7-Apr-16,2.19,2.21,2.19,2.20,60000
6-Apr-16,2.20,2.23,2.15,2.15,205800
5-Apr-16,2.20,2.20,2.20,2.20,40000
4-Apr-16,2.20,2.20,2.20,2.20,600
1-Apr-16,2.23,2.23,2.20,2.20,150700
31-Mar-16,2.18,2.22,2.18,2.20,197700
30-Mar-16,2.20,2.20,2.18,2.18,8500
29-Mar-16,-,-,-,2.23,0
28-Mar-16,-,-,-,2.23,0
25-Mar-16,2.11,2.23,2.11,2.23,700
24-Mar-16,2.20,2.25,2.20,2.24,600900
23-Mar-16,-,-,-,2.24,0
22-Mar-16,2.26,2.26,2.16,2.24,71000
21-Mar-16,2.24,2.26,2.23,2.26,73500
18-Mar-16,2.24,2.24,2.24,2.24,99200
17-Mar-16,2.24,2.24,2.24,2.24,104900
16-Mar-16,2.24,2.26,2.24,2.26,68200
15-Mar-16,2.24,2.28,2.23,2.26,89800
14-Mar-16,2.24,2.24,2.24,2.24,50400
11-Mar-16,2.18,2.24,2.18,2.24,772100
10-Mar-16,2.22,2.22,2.18,2.18,76000
9-Mar-16,2.20,2.23,2.20,2.22,27000
8-Mar-16,2.23,2.25,2.20,2.20,629700
7-Mar-16,2.22,2.30,2.22,2.24,479300
4-Mar-16,2.30,2.30,2.22,2.22,57900
3-Mar-16,-,-,-,2.35,0
2-Mar-16,2.36,2.40,2.35,2.35,78300
1-Mar-16,2.30,2.35,2.26,2.35,271200
29-Feb-16,2.20,2.30,2.19,2.25,378900
26-Feb-16,2.15,2.18,2.15,2.17,146000
25-Feb-16,2.15,2.16,2.15,2.16,23800
24-Feb-16,2.22,2.22,2.12,2.15,426800
23-Feb-16,2.17,2.23,2.17,2.22,58600
22-Feb-16,2.13,2.15,2.13,2.15,5000
19-Feb-16,2.08,2.14,2.08,2.12,165000
18-Feb-16,2.10,2.12,2.06,2.06,67400
17-Feb-16,2.10,2.14,2.10,2.10,55900
16-Feb-16,-,-,-,2.10,0
15-Feb-16,2.05,2.10,2.05,2.10,82200
12-Feb-16,2.05,2.05,2.03,2.05,135800
11-Feb-16,2.06,2.16,2.03,2.05,98000
10-Feb-16,-,-,-,2.12,0
5-Feb-16,2.12,2.15,2.12,2.12,14800
4-Feb-16,2.10,2.16,2.10,2.12,1031800
3-Feb-16,2.17,2.17,2.10,2.10,113800
2-Feb-16,2.10,2.10,2.10,2.10,7700
29-Jan-16,2.20,2.32,2.05,2.09,215900
28-Jan-16,2.14,2.22,2.14,2.19,79100
27-Jan-16,2.12,2.15,2.12,2.14,69500
