Date,Open,High,Low,Close,Volume
7-Oct-16,0.14,0.14,0.14,0.14,147700
6-Oct-16,0.14,0.14,0.14,0.14,62900
5-Oct-16,0.15,0.15,0.14,0.14,433700
4-Oct-16,0.15,0.15,0.14,0.15,150100
30-Sep-16,0.15,0.15,0.14,0.14,173800
29-Sep-16,0.15,0.15,0.15,0.15,256900
28-Sep-16,0.15,0.16,0.15,0.16,608800
27-Sep-16,0.15,0.16,0.15,0.16,126700
26-Sep-16,0.16,0.16,0.15,0.15,629800
23-Sep-16,0.16,0.16,0.16,0.16,193700
22-Sep-16,0.16,0.16,0.16,0.16,1215500
21-Sep-16,0.16,0.16,0.16,0.16,559500
20-Sep-16,0.16,0.16,0.15,0.15,2010600
19-Sep-16,0.14,0.16,0.14,0.16,1027800
15-Sep-16,0.14,0.14,0.14,0.14,100900
14-Sep-16,0.14,0.14,0.14,0.14,140900
13-Sep-16,0.14,0.14,0.14,0.14,22700
9-Sep-16,0.14,0.14,0.14,0.14,7000
8-Sep-16,0.14,0.14,0.14,0.14,39000
7-Sep-16,0.14,0.14,0.14,0.14,128800
6-Sep-16,0.14,0.14,0.14,0.14,16000
5-Sep-16,0.14,0.14,0.14,0.14,213800
2-Sep-16,0.14,0.14,0.14,0.14,270000
1-Sep-16,0.14,0.14,0.14,0.14,212900
30-Aug-16,0.14,0.14,0.14,0.14,50000
29-Aug-16,0.14,0.14,0.14,0.14,104000
26-Aug-16,0.16,0.16,0.14,0.14,984300
25-Aug-16,0.14,0.14,0.14,0.14,100000
24-Aug-16,0.14,0.14,0.14,0.14,230000
23-Aug-16,0.14,0.14,0.14,0.14,88300
22-Aug-16,0.15,0.16,0.15,0.15,745700
19-Aug-16,0.14,0.14,0.14,0.14,113100
18-Aug-16,0.14,0.15,0.14,0.14,923000
17-Aug-16,0.14,0.14,0.14,0.14,55000
16-Aug-16,0.14,0.14,0.14,0.14,120000
15-Aug-16,0.14,0.14,0.14,0.14,39300
12-Aug-16,0.14,0.14,0.14,0.14,202600
11-Aug-16,0.14,0.14,0.14,0.14,57400
10-Aug-16,0.14,0.14,0.14,0.14,86000
9-Aug-16,0.14,0.14,0.14,0.14,24200
8-Aug-16,0.14,0.16,0.14,0.14,964200
5-Aug-16,0.14,0.14,0.14,0.14,1000
4-Aug-16,0.14,0.14,0.14,0.14,6800
3-Aug-16,0.14,0.14,0.14,0.14,98000
2-Aug-16,-,-,-,0.14,0
1-Aug-16,-,-,-,0.14,0
29-Jul-16,0.14,0.14,0.13,0.14,185300
28-Jul-16,0.14,0.14,0.14,0.14,151900
27-Jul-16,0.14,0.14,0.14,0.14,119000
26-Jul-16,0.14,0.14,0.14,0.14,175200
25-Jul-16,0.14,0.14,0.14,0.14,2300
22-Jul-16,0.14,0.14,0.14,0.14,101300
21-Jul-16,0.14,0.14,0.14,0.14,410000
20-Jul-16,0.14,0.14,0.14,0.14,90100
19-Jul-16,-,-,-,0.14,0
18-Jul-16,0.14,0.14,0.14,0.14,791900
15-Jul-16,0.14,0.14,0.14,0.14,98800
14-Jul-16,0.15,0.15,0.14,0.14,112700
13-Jul-16,0.14,0.15,0.14,0.15,42500
12-Jul-16,0.14,0.14,0.14,0.14,327300
11-Jul-16,0.14,0.14,0.14,0.14,380700
8-Jul-16,0.14,0.14,0.14,0.14,42100
