Date,Open,High,Low,Close,Volume
7-Oct-16,0.06,0.06,0.06,0.06,11000
6-Oct-16,0.06,0.06,0.06,0.06,21000
5-Oct-16,0.06,0.06,0.06,0.06,182000
4-Oct-16,0.06,0.06,0.06,0.06,170000
30-Sep-16,0.06,0.06,0.06,0.06,270000
29-Sep-16,0.06,0.07,0.06,0.06,1000800
28-Sep-16,0.06,0.07,0.06,0.07,212000
27-Sep-16,0.06,0.07,0.06,0.07,520000
26-Sep-16,0.06,0.06,0.06,0.06,140000
23-Sep-16,0.06,0.07,0.06,0.07,101600
22-Sep-16,0.06,0.07,0.06,0.07,1419500
21-Sep-16,0.06,0.06,0.06,0.06,950000
20-Sep-16,0.06,0.06,0.06,0.06,310400
19-Sep-16,0.06,0.06,0.06,0.06,70000
15-Sep-16,0.06,0.06,0.06,0.06,218000
14-Sep-16,0.06,0.06,0.06,0.06,170000
13-Sep-16,0.06,0.06,0.06,0.06,170000
9-Sep-16,0.06,0.07,0.06,0.06,1593100
8-Sep-16,0.06,0.07,0.06,0.07,83000
7-Sep-16,0.06,0.07,0.06,0.07,70000
6-Sep-16,0.07,0.07,0.06,0.07,738000
5-Sep-16,0.07,0.07,0.06,0.06,337000
2-Sep-16,0.06,0.07,0.06,0.07,1455900
1-Sep-16,0.07,0.07,0.06,0.06,2657000
30-Aug-16,0.07,0.07,0.06,0.07,2389500
29-Aug-16,0.07,0.07,0.06,0.06,11004800
26-Aug-16,0.07,0.08,0.06,0.07,8993100
25-Aug-16,0.07,0.08,0.07,0.07,1874300
24-Aug-16,0.08,0.08,0.07,0.07,1680100
23-Aug-16,0.08,0.08,0.07,0.08,4278600
22-Aug-16,0.08,0.08,0.07,0.08,4582300
19-Aug-16,0.08,0.08,0.08,0.08,7192900
18-Aug-16,0.08,0.08,0.08,0.08,3429700
17-Aug-16,0.08,0.08,0.08,0.08,4658300
16-Aug-16,0.10,0.10,0.08,0.08,47530900
15-Aug-16,0.10,0.11,0.10,0.10,82637900
12-Aug-16,0.10,0.10,0.10,0.10,19371600
11-Aug-16,0.10,0.10,0.10,0.10,4782700
10-Aug-16,0.09,0.10,0.09,0.10,5841100
9-Aug-16,0.10,0.10,0.09,0.09,516000
8-Aug-16,0.09,0.10,0.09,0.10,13604000
5-Aug-16,0.08,0.09,0.08,0.08,6987000
4-Aug-16,0.08,0.08,0.08,0.08,100000
3-Aug-16,0.08,0.08,0.08,0.08,2914600
2-Aug-16,0.08,0.08,0.08,0.08,310000
1-Aug-16,0.08,0.08,0.08,0.08,533700
29-Jul-16,0.08,0.08,0.08,0.08,686600
28-Jul-16,0.08,0.08,0.08,0.08,2673600
27-Jul-16,0.08,0.08,0.08,0.08,120000
26-Jul-16,0.08,0.08,0.08,0.08,250000
25-Jul-16,0.08,0.08,0.08,0.08,267000
22-Jul-16,-,-,-,0.08,0
21-Jul-16,0.08,0.08,0.08,0.08,605000
20-Jul-16,0.08,0.08,0.08,0.08,115000
19-Jul-16,0.08,0.08,0.08,0.08,285000
18-Jul-16,0.08,0.08,0.08,0.08,401000
15-Jul-16,0.08,0.08,0.08,0.08,2508400
14-Jul-16,0.08,0.08,0.08,0.08,50000
13-Jul-16,0.07,0.08,0.07,0.08,5234000
12-Jul-16,-,-,-,0.07,0
11-Jul-16,0.07,0.08,0.07,0.07,292000
8-Jul-16,0.07,0.07,0.07,0.07,420000
5-Jul-16,-,-,-,0.07,0
4-Jul-16,0.07,0.08,0.07,0.07,1130000
1-Jul-16,0.07,0.08,0.07,0.08,208100
30-Jun-16,0.08,0.08,0.08,0.08,230000
29-Jun-16,0.08,0.08,0.08,0.08,260000
28-Jun-16,0.08,0.08,0.08,0.08,308000
27-Jun-16,0.08,0.08,0.07,0.08,335000
24-Jun-16,0.08,0.08,0.08,0.08,1890600
23-Jun-16,0.08,0.08,0.08,0.08,790200
21-Jun-16,0.08,0.08,0.08,0.08,1253900
20-Jun-16,0.08,0.08,0.08,0.08,109000
17-Jun-16,0.08,0.08,0.08,0.08,365000
16-Jun-16,0.08,0.08,0.08,0.08,2352500
15-Jun-16,0.08,0.08,0.08,0.08,280100
14-Jun-16,0.08,0.08,0.08,0.08,378800
13-Jun-16,0.08,0.08,0.08,0.08,902500
10-Jun-16,0.08,0.09,0.08,0.09,989900
9-Jun-16,0.08,0.09,0.08,0.09,406200
8-Jun-16,0.08,0.09,0.08,0.08,851100
7-Jun-16,0.08,0.08,0.08,0.08,2175300
6-Jun-16,0.08,0.08,0.08,0.08,749100
3-Jun-16,0.08,0.08,0.08,0.08,715100
2-Jun-16,0.08,0.08,0.08,0.08,1085500
1-Jun-16,0.08,0.08,0.08,0.08,1720500
31-May-16,0.08,0.08,0.08,0.08,2428500
30-May-16,0.08,0.08,0.08,0.08,2959100
27-May-16,0.08,0.08,0.08,0.08,2542500
26-May-16,0.08,0.08,0.08,0.08,755100
25-May-16,0.08,0.08,0.08,0.08,2294000
24-May-16,0.08,0.08,0.08,0.08,464600
23-May-16,0.08,0.08,0.08,0.08,1686400
20-May-16,0.08,0.08,0.08,0.08,3827800
19-May-16,0.08,0.08,0.08,0.08,3929000
18-May-16,0.08,0.08,0.08,0.08,3472200
17-May-16,0.08,0.08,0.08,0.08,4150200
16-May-16,0.07,0.08,0.07,0.08,14652800
13-May-16,0.06,0.07,0.06,0.07,862000
12-May-16,0.06,0.07,0.06,0.07,345000
11-May-16,0.06,0.07,0.06,0.07,75000
10-May-16,0.06,0.06,0.06,0.06,176000
9-May-16,0.07,0.07,0.06,0.06,450000
6-May-16,0.07,0.07,0.06,0.07,1270000
5-May-16,0.07,0.07,0.06,0.07,256000
4-May-16,0.07,0.07,0.07,0.07,356500
3-May-16,0.07,0.08,0.07,0.08,2602500
29-Apr-16,0.07,0.08,0.06,0.08,816000
28-Apr-16,0.07,0.07,0.07,0.07,4593400
27-Apr-16,0.08,0.08,0.07,0.08,1230000
26-Apr-16,0.08,0.08,0.08,0.08,3240000
25-Apr-16,0.07,0.08,0.07,0.07,660000
22-Apr-16,0.07,0.07,0.07,0.07,66000
21-Apr-16,0.07,0.08,0.07,0.08,3896700
20-Apr-16,0.08,0.08,0.07,0.07,3462200
19-Apr-16,0.08,0.08,0.07,0.08,10300
18-Apr-16,0.08,0.08,0.07,0.07,1430000
15-Apr-16,0.08,0.08,0.08,0.08,2909800
14-Apr-16,0.07,0.08,0.07,0.08,2016400
