Date,Open,High,Low,Close,Volume
7-Oct-16,0.23,0.25,0.23,0.24,381400
6-Oct-16,0.23,0.23,0.23,0.23,19000
5-Oct-16,0.25,0.25,0.25,0.25,10000
4-Oct-16,0.26,0.26,0.26,0.26,1000
30-Sep-16,0.24,0.24,0.22,0.22,31000
29-Sep-16,0.24,0.24,0.24,0.24,76000
28-Sep-16,0.24,0.24,0.24,0.24,19000
27-Sep-16,0.24,0.25,0.24,0.25,16000
26-Sep-16,0.24,0.24,0.24,0.24,30800
23-Sep-16,-,-,-,0.25,0
22-Sep-16,0.25,0.26,0.24,0.25,177000
21-Sep-16,-,-,-,0.24,0
20-Sep-16,-,-,-,0.24,0
19-Sep-16,0.24,0.24,0.24,0.24,1000
15-Sep-16,-,-,-,0.26,0
14-Sep-16,-,-,-,0.26,0
13-Sep-16,-,-,-,0.26,0
9-Sep-16,0.26,0.26,0.26,0.26,30000
8-Sep-16,0.26,0.26,0.26,0.26,65000
7-Sep-16,0.26,0.26,0.26,0.26,32200
6-Sep-16,0.26,0.27,0.26,0.27,53000
5-Sep-16,0.27,0.27,0.26,0.27,105000
2-Sep-16,0.28,0.28,0.28,0.28,15000
1-Sep-16,0.28,0.28,0.28,0.28,11000
30-Aug-16,0.30,0.30,0.30,0.30,30000
29-Aug-16,-,-,-,0.28,0
26-Aug-16,0.28,0.28,0.28,0.28,67500
25-Aug-16,0.28,0.28,0.28,0.28,17500
24-Aug-16,0.30,0.30,0.30,0.30,43500
23-Aug-16,0.28,0.28,0.28,0.28,58000
22-Aug-16,0.29,0.29,0.29,0.29,64400
19-Aug-16,0.30,0.30,0.30,0.30,163900
18-Aug-16,0.30,0.30,0.30,0.30,62000
17-Aug-16,-,-,-,0.30,0
16-Aug-16,0.30,0.30,0.30,0.30,38400
15-Aug-16,0.30,0.30,0.30,0.30,499100
12-Aug-16,0.29,0.30,0.29,0.30,50900
11-Aug-16,0.28,0.29,0.28,0.29,45000
10-Aug-16,0.28,0.29,0.28,0.29,67600
9-Aug-16,0.28,0.29,0.28,0.29,65000
8-Aug-16,0.28,0.28,0.28,0.28,74700
5-Aug-16,0.28,0.28,0.28,0.28,15000
4-Aug-16,0.29,0.29,0.28,0.28,76000
3-Aug-16,0.28,0.30,0.28,0.30,375700
2-Aug-16,0.28,0.28,0.28,0.28,56000
1-Aug-16,0.29,0.29,0.28,0.28,165100
29-Jul-16,0.29,0.29,0.28,0.28,129600
28-Jul-16,0.30,0.30,0.30,0.30,30000
27-Jul-16,0.30,0.30,0.30,0.30,93600
26-Jul-16,0.28,0.30,0.28,0.30,406700
25-Jul-16,0.29,0.30,0.29,0.29,79600
22-Jul-16,0.30,0.30,0.30,0.30,11000
21-Jul-16,0.30,0.30,0.29,0.30,104000
20-Jul-16,0.30,0.32,0.30,0.30,655200
19-Jul-16,0.28,0.32,0.28,0.30,670500
18-Jul-16,0.28,0.28,0.28,0.28,30600
15-Jul-16,0.28,0.28,0.28,0.28,104100
14-Jul-16,0.28,0.28,0.28,0.28,318000
13-Jul-16,0.28,0.28,0.28,0.28,89900
12-Jul-16,0.28,0.28,0.28,0.28,74200
11-Jul-16,0.28,0.30,0.28,0.28,62100
8-Jul-16,0.29,0.29,0.28,0.28,375400
5-Jul-16,0.29,0.29,0.29,0.29,56400
4-Jul-16,0.30,0.30,0.30,0.30,40000
1-Jul-16,0.32,0.32,0.30,0.31,133500
30-Jun-16,0.30,0.32,0.30,0.32,418000
29-Jun-16,0.30,0.32,0.30,0.30,286400
28-Jun-16,0.27,0.31,0.27,0.30,1285700
27-Jun-16,0.27,0.28,0.26,0.27,213000
24-Jun-16,0.30,0.30,0.28,0.28,245600
23-Jun-16,0.30,0.30,0.29,0.30,122100
21-Jun-16,0.30,0.30,0.30,0.30,187400
20-Jun-16,0.30,0.31,0.30,0.30,100100
17-Jun-16,0.30,0.31,0.30,0.31,193700
16-Jun-16,0.32,0.32,0.30,0.30,388000
15-Jun-16,0.31,0.32,0.30,0.32,237400
14-Jun-16,0.32,0.32,0.30,0.32,455400
13-Jun-16,0.33,0.33,0.32,0.32,183200
10-Jun-16,0.32,0.33,0.32,0.33,246100
9-Jun-16,0.32,0.33,0.32,0.32,393700
8-Jun-16,0.32,0.33,0.32,0.32,623300
7-Jun-16,0.34,0.34,0.32,0.33,475100
6-Jun-16,0.33,0.34,0.32,0.32,544900
3-Jun-16,0.34,0.34,0.32,0.33,442400
2-Jun-16,0.32,0.34,0.32,0.32,420300
1-Jun-16,0.34,0.34,0.32,0.32,307400
31-May-16,0.35,0.35,0.33,0.34,843500
30-May-16,0.32,0.35,0.32,0.34,2949300
27-May-16,0.32,0.34,0.31,0.32,919700
26-May-16,0.32,0.32,0.30,0.32,593900
25-May-16,0.34,0.34,0.32,0.32,999000
