Date,Open,High,Low,Close,Volume
7-Oct-16,0.24,0.24,0.24,0.24,679300
6-Oct-16,0.24,0.24,0.24,0.24,805400
5-Oct-16,0.24,0.24,0.24,0.24,785200
4-Oct-16,0.24,0.24,0.24,0.24,347200
30-Sep-16,0.24,0.24,0.24,0.24,620000
29-Sep-16,0.24,0.24,0.24,0.24,670500
28-Sep-16,0.24,0.24,0.24,0.24,340100
27-Sep-16,0.24,0.24,0.24,0.24,461400
26-Sep-16,0.24,0.25,0.24,0.24,1154900
23-Sep-16,0.24,0.24,0.24,0.24,858500
22-Sep-16,0.24,0.24,0.24,0.24,567100
21-Sep-16,0.24,0.24,0.24,0.24,314500
20-Sep-16,0.24,0.24,0.24,0.24,456000
19-Sep-16,0.24,0.24,0.24,0.24,350800
15-Sep-16,0.24,0.24,0.24,0.24,321500
14-Sep-16,0.24,0.24,0.24,0.24,536400
13-Sep-16,0.24,0.24,0.24,0.24,914300
9-Sep-16,0.24,0.25,0.24,0.24,673200
8-Sep-16,0.24,0.25,0.24,0.25,815800
7-Sep-16,0.24,0.25,0.24,0.24,411100
6-Sep-16,0.24,0.25,0.24,0.24,947600
5-Sep-16,0.24,0.24,0.24,0.24,195200
2-Sep-16,0.24,0.25,0.24,0.24,334200
1-Sep-16,0.24,0.25,0.24,0.24,974200
30-Aug-16,0.25,0.25,0.25,0.25,818400
29-Aug-16,0.25,0.26,0.25,0.25,896000
26-Aug-16,0.24,0.26,0.24,0.25,2294400
25-Aug-16,0.25,0.25,0.24,0.24,3028600
24-Aug-16,0.24,0.24,0.24,0.24,214200
23-Aug-16,0.24,0.24,0.24,0.24,402800
22-Aug-16,0.24,0.24,0.24,0.24,1037000
19-Aug-16,0.25,0.25,0.24,0.24,894000
18-Aug-16,0.25,0.25,0.24,0.25,1134300
17-Aug-16,0.25,0.25,0.24,0.24,978300
16-Aug-16,0.24,0.26,0.24,0.24,4526800
15-Aug-16,0.24,0.24,0.24,0.24,1223300
12-Aug-16,0.25,0.25,0.24,0.24,624000
11-Aug-16,0.24,0.25,0.24,0.25,1244200
10-Aug-16,0.24,0.24,0.24,0.24,427000
9-Aug-16,0.24,0.24,0.24,0.24,1077000
8-Aug-16,0.24,0.25,0.24,0.24,1420800
5-Aug-16,0.24,0.25,0.24,0.24,1378700
4-Aug-16,0.24,0.25,0.24,0.24,1270900
3-Aug-16,0.24,0.24,0.24,0.24,1118500
2-Aug-16,0.24,0.25,0.24,0.24,1712000
1-Aug-16,0.24,0.26,0.24,0.24,2338900
29-Jul-16,0.25,0.25,0.24,0.25,801800
28-Jul-16,0.24,0.25,0.24,0.25,436400
27-Jul-16,0.26,0.26,0.24,0.24,1038000
26-Jul-16,0.25,0.26,0.24,0.25,2865400
25-Jul-16,0.24,0.26,0.24,0.24,741900
22-Jul-16,0.24,0.25,0.24,0.24,244600
21-Jul-16,0.25,0.26,0.24,0.25,1164500
20-Jul-16,0.24,0.26,0.24,0.26,2512100
19-Jul-16,0.25,0.25,0.24,0.24,1238700
18-Jul-16,0.26,0.26,0.24,0.24,1502900
15-Jul-16,0.26,0.26,0.25,0.25,922000
14-Jul-16,0.26,0.26,0.25,0.26,2965300
13-Jul-16,0.26,0.27,0.26,0.26,7308800
12-Jul-16,0.26,0.26,0.25,0.26,2957200
11-Jul-16,0.24,0.26,0.24,0.25,4890700
8-Jul-16,0.26,0.26,0.26,0.26,1618800
5-Jul-16,0.26,0.26,0.26,0.26,636100
4-Jul-16,0.27,0.27,0.26,0.26,439000
1-Jul-16,0.26,0.27,0.26,0.27,671500
30-Jun-16,0.27,0.28,0.26,0.26,1415300
29-Jun-16,0.26,0.28,0.26,0.27,2825100
28-Jun-16,0.24,0.26,0.24,0.26,2778000
27-Jun-16,0.25,0.26,0.24,0.25,1876900
24-Jun-16,0.26,0.26,0.23,0.25,5081100
23-Jun-16,0.29,0.30,0.28,0.29,14206650
21-Jun-16,0.29,0.29,0.28,0.28,6796050
20-Jun-16,0.30,0.30,0.28,0.29,8331000
17-Jun-16,0.30,0.30,0.29,0.30,3890550
16-Jun-16,0.31,0.31,0.29,0.29,9434550
15-Jun-16,0.30,0.31,0.30,0.30,16264350
14-Jun-16,0.31,0.32,0.30,0.30,14595600
13-Jun-16,0.32,0.32,0.31,0.31,14353200
10-Jun-16,0.30,0.32,0.30,0.31,28314600
9-Jun-16,0.28,0.29,0.28,0.29,4564050
8-Jun-16,0.29,0.29,0.28,0.28,852750
7-Jun-16,0.28,0.29,0.28,0.29,2024100
6-Jun-16,0.28,0.29,0.28,0.28,1132800
3-Jun-16,0.29,0.29,0.28,0.29,3853650
2-Jun-16,0.29,0.29,0.28,0.29,5913000
1-Jun-16,0.28,0.29,0.28,0.29,5425050
31-May-16,0.28,0.28,0.28,0.28,676200
30-May-16,0.28,0.28,0.28,0.28,203250
27-May-16,0.28,0.28,0.28,0.28,2389800
26-May-16,0.29,0.29,0.28,0.28,4722900
25-May-16,0.29,0.29,0.29,0.29,1830000
24-May-16,0.29,0.29,0.29,0.29,1803300
23-May-16,0.28,0.30,0.28,0.29,8416650
20-May-16,0.28,0.28,0.28,0.28,641250
19-May-16,0.28,0.28,0.28,0.28,1005000
18-May-16,0.28,0.28,0.28,0.28,1615050
17-May-16,0.27,0.28,0.27,0.28,2393100
16-May-16,0.27,0.27,0.27,0.27,502050
13-May-16,0.27,0.27,0.27,0.27,1241700
12-May-16,0.27,0.27,0.27,0.27,1485000
11-May-16,0.27,0.28,0.27,0.27,606000
10-May-16,0.27,0.28,0.27,0.28,1037700
9-May-16,0.27,0.28,0.27,0.27,1282350
6-May-16,0.27,0.28,0.27,0.27,1384200
5-May-16,0.27,0.27,0.27,0.27,565500
4-May-16,0.26,0.27,0.26,0.27,1623000
3-May-16,0.27,0.27,0.27,0.27,439500
29-Apr-16,0.27,0.27,0.27,0.27,760950
28-Apr-16,0.27,0.28,0.26,0.27,3971100
27-Apr-16,0.26,0.27,0.26,0.27,3076500
26-Apr-16,0.27,0.27,0.26,0.26,5284050
25-Apr-16,0.27,0.28,0.27,0.28,2803650
