Date,Open,High,Low,Close,Volume
7-Oct-16,0.09,0.09,0.09,0.09,30000
6-Oct-16,0.09,0.09,0.08,0.08,49000
5-Oct-16,0.08,0.08,0.08,0.08,57300
4-Oct-16,-,-,-,0.09,0
30-Sep-16,-,-,-,0.09,0
29-Sep-16,-,-,-,0.09,0
28-Sep-16,0.09,0.09,0.09,0.09,30000
27-Sep-16,-,-,-,0.08,0
26-Sep-16,0.08,0.08,0.08,0.08,40000
23-Sep-16,-,-,-,0.08,0
22-Sep-16,0.09,0.09,0.08,0.08,412200
21-Sep-16,-,-,-,0.09,0
20-Sep-16,0.09,0.09,0.09,0.09,27200
19-Sep-16,-,-,-,0.10,0
15-Sep-16,0.10,0.12,0.10,0.10,534400
14-Sep-16,-,-,-,0.10,0
13-Sep-16,0.10,0.10,0.10,0.10,30000
9-Sep-16,0.09,0.09,0.09,0.09,87200
8-Sep-16,-,-,-,0.09,0
7-Sep-16,0.09,0.09,0.09,0.09,170000
6-Sep-16,-,-,-,0.11,0
5-Sep-16,0.10,0.11,0.10,0.11,180700
2-Sep-16,-,-,-,0.10,0
1-Sep-16,0.10,0.10,0.10,0.10,10000
30-Aug-16,0.11,0.12,0.11,0.12,101100
29-Aug-16,0.10,0.10,0.10,0.10,128900
26-Aug-16,0.11,0.11,0.11,0.11,130000
25-Aug-16,-,-,-,0.11,0
24-Aug-16,-,-,-,0.11,0
23-Aug-16,0.10,0.11,0.10,0.11,70000
22-Aug-16,-,-,-,0.10,0
19-Aug-16,-,-,-,0.10,0
18-Aug-16,-,-,-,0.10,0
17-Aug-16,0.10,0.10,0.10,0.10,20000
16-Aug-16,0.10,0.10,0.10,0.10,88300
15-Aug-16,0.10,0.10,0.10,0.10,20000
12-Aug-16,0.10,0.10,0.10,0.10,135000
11-Aug-16,0.10,0.10,0.10,0.10,30000
10-Aug-16,0.09,0.12,0.09,0.10,1035500
9-Aug-16,0.09,0.09,0.09,0.09,30000
8-Aug-16,-,-,-,0.10,0
5-Aug-16,0.09,0.10,0.09,0.10,224600
4-Aug-16,-,-,-,0.09,0
3-Aug-16,-,-,-,0.09,0
2-Aug-16,0.10,0.10,0.09,0.09,39000
1-Aug-16,0.08,0.08,0.08,0.08,19000
29-Jul-16,-,-,-,0.09,0
28-Jul-16,0.09,0.09,0.09,0.09,60000
27-Jul-16,-,-,-,0.09,0
26-Jul-16,-,-,-,0.09,0
25-Jul-16,0.09,0.09,0.09,0.09,10000
22-Jul-16,-,-,-,0.09,0
21-Jul-16,-,-,-,0.09,0
20-Jul-16,0.09,0.09,0.09,0.09,3100
19-Jul-16,-,-,-,0.09,0
18-Jul-16,0.09,0.09,0.09,0.09,10000
15-Jul-16,-,-,-,0.10,0
14-Jul-16,0.10,0.11,0.10,0.10,119900
13-Jul-16,-,-,-,0.09,0
12-Jul-16,0.09,0.09,0.09,0.09,6000
11-Jul-16,-,-,-,0.09,0
8-Jul-16,0.09,0.09,0.09,0.09,20000
5-Jul-16,0.10,0.10,0.10,0.10,205800
4-Jul-16,-,-,-,0.10,0
1-Jul-16,-,-,-,0.10,0
30-Jun-16,0.10,0.10,0.10,0.10,20000
29-Jun-16,-,-,-,0.11,0
28-Jun-16,0.10,0.11,0.10,0.11,50000
27-Jun-16,0.10,0.12,0.10,0.12,27200
24-Jun-16,0.11,0.12,0.11,0.12,196000
23-Jun-16,-,-,-,0.13,0
21-Jun-16,0.12,0.13,0.12,0.13,25000
20-Jun-16,0.12,0.12,0.12,0.12,100
17-Jun-16,0.11,0.12,0.11,0.11,16000
16-Jun-16,-,-,-,0.11,0
15-Jun-16,-,-,-,0.11,0
14-Jun-16,-,-,-,0.11,0
13-Jun-16,0.12,0.12,0.11,0.11,60000
10-Jun-16,0.12,0.12,0.12,0.12,57000
9-Jun-16,0.12,0.12,0.12,0.12,180000
8-Jun-16,-,-,-,0.13,0
7-Jun-16,0.13,0.13,0.13,0.13,10000
6-Jun-16,-,-,-,0.11,0
3-Jun-16,-,-,-,0.11,0
2-Jun-16,-,-,-,0.11,0
1-Jun-16,-,-,-,0.11,0
31-May-16,0.11,0.11,0.11,0.11,21000
30-May-16,0.12,0.13,0.11,0.13,119900
27-May-16,0.12,0.12,0.12,0.12,59700
26-May-16,0.13,0.13,0.13,0.13,20000
25-May-16,0.12,0.14,0.12,0.12,572700
24-May-16,0.11,0.11,0.11,0.11,15000
23-May-16,0.11,0.11,0.11,0.11,5000
20-May-16,0.11,0.11,0.11,0.11,50000
19-May-16,0.12,0.12,0.11,0.11,40000
18-May-16,0.12,0.12,0.12,0.12,352000
17-May-16,0.12,0.12,0.12,0.12,253000
16-May-16,0.12,0.12,0.12,0.12,55500
13-May-16,0.14,0.14,0.12,0.12,119300
12-May-16,0.14,0.14,0.13,0.14,158300
11-May-16,0.12,0.16,0.12,0.14,2038100
10-May-16,0.10,0.12,0.10,0.12,65100
9-May-16,0.10,0.10,0.10,0.10,3000
6-May-16,-,-,-,0.10,0
5-May-16,-,-,-,0.10,0
4-May-16,0.10,0.10,0.10,0.10,10000
3-May-16,-,-,-,0.12,0
29-Apr-16,0.12,0.12,0.12,0.12,21600
28-Apr-16,-,-,-,0.14,0
27-Apr-16,-,-,-,0.14,0
26-Apr-16,0.12,0.14,0.12,0.14,145300
25-Apr-16,-,-,-,0.12,0
22-Apr-16,-,-,-,0.12,0
21-Apr-16,-,-,-,0.12,0
20-Apr-16,0.10,0.12,0.10,0.12,189700
19-Apr-16,-,-,-,0.10,0
18-Apr-16,-,-,-,0.10,0
15-Apr-16,0.10,0.10,0.10,0.10,45000
14-Apr-16,-,-,-,0.11,0
13-Apr-16,0.11,0.11,0.11,0.11,10000
12-Apr-16,-,-,-,0.10,0
11-Apr-16,-,-,-,0.10,0
8-Apr-16,-,-,-,0.10,0
7-Apr-16,-,-,-,0.10,0
6-Apr-16,-,-,-,0.10,0
5-Apr-16,0.10,0.10,0.10,0.10,131700
4-Apr-16,0.11,0.11,0.10,0.11,121000
1-Apr-16,0.11,0.11,0.10,0.10,253300
31-Mar-16,0.10,0.11,0.10,0.11,48200
30-Mar-16,-,-,-,0.11,0
29-Mar-16,0.11,0.11,0.10,0.11,3000
28-Mar-16,-,-,-,0.10,0
25-Mar-16,0.11,0.11,0.10,0.10,233000
24-Mar-16,0.11,0.11,0.10,0.11,5500
23-Mar-16,0.10,0.11,0.10,0.11,154000
22-Mar-16,-,-,-,0.10,0
21-Mar-16,-,-,-,0.10,0
18-Mar-16,-,-,-,0.10,0
17-Mar-16,0.10,0.10,0.09,0.10,33000
16-Mar-16,0.10,0.10,0.08,0.10,10400
15-Mar-16,0.10,0.10,0.08,0.09,29000
14-Mar-16,0.10,0.10,0.08,0.08,335000
11-Mar-16,0.10,0.10,0.10,0.10,327400
10-Mar-16,0.10,0.10,0.10,0.10,73500
9-Mar-16,0.11,0.11,0.11,0.11,29000
8-Mar-16,-,-,-,0.11,0
7-Mar-16,-,-,-,0.11,0
4-Mar-16,-,-,-,0.11,0
3-Mar-16,-,-,-,0.11,0
2-Mar-16,-,-,-,0.11,0
1-Mar-16,0.12,0.13,0.11,0.11,20100
29-Feb-16,0.13,0.13,0.12,0.12,35100
26-Feb-16,0.12,0.13,0.12,0.12,38000
25-Feb-16,0.12,0.13,0.12,0.12,22600
24-Feb-16,-,-,-,0.13,0
23-Feb-16,-,-,-,0.13,0
22-Feb-16,0.13,0.13,0.13,0.13,12000
19-Feb-16,-,-,-,0.12,0
18-Feb-16,-,-,-,0.12,0
17-Feb-16,-,-,-,0.12,0
16-Feb-16,-,-,-,0.12,0
15-Feb-16,0.12,0.12,0.12,0.12,35000
12-Feb-16,-,-,-,0.12,0
11-Feb-16,-,-,-,0.12,0
10-Feb-16,0.12,0.12,0.12,0.12,5000
5-Feb-16,-,-,-,0.12,0
4-Feb-16,-,-,-,0.12,0
3-Feb-16,-,-,-,0.12,0
2-Feb-16,0.12,0.12,0.12,0.12,100000
29-Jan-16,-,-,-,0.14,0
28-Jan-16,0.12,0.14,0.12,0.14,60000
27-Jan-16,0.13,0.13,0.12,0.12,135000
26-Jan-16,0.12,0.16,0.12,0.16,60000
22-Jan-16,-,-,-,0.13,0
21-Jan-16,0.14,0.14,0.13,0.13,23000
20-Jan-16,0.16,0.16,0.14,0.14,96600
19-Jan-16,-,-,-,0.16,0
18-Jan-16,0.14,0.16,0.14,0.16,111700
15-Jan-16,0.15,0.15,0.15,0.15,21700
14-Jan-16,0.14,0.15,0.14,0.15,29900
13-Jan-16,0.14,0.18,0.14,0.14,176700
12-Jan-16,0.16,0.16,0.14,0.16,70900
11-Jan-16,0.16,0.16,0.16,0.16,3000
8-Jan-16,0.16,0.16,0.15,0.15,5400
7-Jan-16,0.16,0.16,0.14,0.14,11000
6-Jan-16,0.16,0.16,0.15,0.16,5800
5-Jan-16,0.14,0.14,0.14,0.14,98000
4-Jan-16,0.14,0.14,0.14,0.14,200
31-Dec-15,0.13,0.16,0.13,0.16,16200
30-Dec-15,-,-,-,0.13,0
29-Dec-15,-,-,-,0.13,0
28-Dec-15,-,-,-,0.13,0
23-Dec-15,-,-,-,0.13,0
22-Dec-15,0.13,0.15,0.13,0.13,142100
21-Dec-15,0.15,0.15,0.13,0.14,8000
18-Dec-15,0.15,0.15,0.13,0.14,47800
17-Dec-15,0.12,0.13,0.12,0.12,136000
16-Dec-15,0.12,0.12,0.12,0.12,47000
15-Dec-15,-,-,-,0.12,0
14-Dec-15,-,-,-,0.12,0
11-Dec-15,-,-,-,0.12,0
10-Dec-15,-,-,-,0.12,0
9-Dec-15,-,-,-,0.12,0
8-Dec-15,-,-,-,0.12,0
7-Dec-15,-,-,-,0.12,0
4-Dec-15,-,-,-,0.12,0
3-Dec-15,-,-,-,0.12,0
2-Dec-15,-,-,-,0.12,0
1-Dec-15,0.12,0.12,0.12,0.12,9000
30-Nov-15,-,-,-,0.14,0
27-Nov-15,-,-,-,0.14,0
26-Nov-15,-,-,-,0.14,0
25-Nov-15,-,-,-,0.14,0
24-Nov-15,-,-,-,0.14,0
23-Nov-15,0.14,0.14,0.14,0.14,30000
20-Nov-15,0.14,0.14,0.14,0.14,67000
19-Nov-15,0.12,0.15,0.12,0.14,215000
18-Nov-15,0.12,0.13,0.12,0.12,42000
17-Nov-15,-,-,-,0.12,0
16-Nov-15,-,-,-,0.12,0
13-Nov-15,0.12,0.12,0.12,0.12,30000
12-Nov-15,-,-,-,0.13,0
11-Nov-15,-,-,-,0.13,0
9-Nov-15,-,-,-,0.13,0
6-Nov-15,0.13,0.13,0.13,0.13,20000
5-Nov-15,-,-,-,0.14,0
4-Nov-15,-,-,-,0.14,0
3-Nov-15,-,-,-,0.14,0
2-Nov-15,-,-,-,0.14,0
30-Oct-15,0.12,0.14,0.12,0.14,44100
29-Oct-15,-,-,-,0.12,0
28-Oct-15,-,-,-,0.12,0
27-Oct-15,-,-,-,0.12,0
26-Oct-15,-,-,-,0.12,0
23-Oct-15,-,-,-,0.12,0
22-Oct-15,-,-,-,0.12,0
21-Oct-15,0.12,0.12,0.12,0.12,21000
20-Oct-15,0.13,0.13,0.12,0.12,51000
19-Oct-15,0.12,0.12,0.12,0.12,10000
16-Oct-15,0.12,0.12,0.12,0.12,5000
15-Oct-15,-,-,-,0.12,0
13-Oct-15,-,-,-,0.12,0
12-Oct-15,-,-,-,0.12,0
