Date,Open,High,Low,Close,Volume
7-Oct-16,0.04,0.04,0.04,0.04,591700
6-Oct-16,0.04,0.04,0.04,0.04,5100000
5-Oct-16,0.04,0.04,0.04,0.04,13607000
4-Oct-16,0.04,0.04,0.04,0.04,10000
30-Sep-16,0.04,0.04,0.04,0.04,150000
29-Sep-16,0.04,0.04,0.04,0.04,11416600
28-Sep-16,0.04,0.04,0.04,0.04,60000
27-Sep-16,0.04,0.04,0.04,0.04,1780000
26-Sep-16,0.04,0.04,0.04,0.04,1150000
23-Sep-16,0.04,0.04,0.04,0.04,190000
22-Sep-16,0.04,0.04,0.04,0.04,1125000
21-Sep-16,0.04,0.04,0.04,0.04,50000
20-Sep-16,0.04,0.04,0.04,0.04,385000
19-Sep-16,0.04,0.04,0.04,0.04,3880000
15-Sep-16,0.04,0.04,0.04,0.04,35978600
14-Sep-16,0.04,0.04,0.04,0.04,4385000
13-Sep-16,0.04,0.04,0.04,0.04,6849100
9-Sep-16,0.04,0.04,0.03,0.04,19010700
8-Sep-16,0.04,0.04,0.04,0.04,250000
7-Sep-16,0.04,0.04,0.04,0.04,75000
6-Sep-16,0.04,0.04,0.04,0.04,55000
5-Sep-16,0.04,0.04,0.04,0.04,20000
2-Sep-16,0.04,0.04,0.04,0.04,290000
1-Sep-16,0.04,0.04,0.04,0.04,567000
30-Aug-16,0.04,0.04,0.04,0.04,370000
29-Aug-16,0.04,0.04,0.04,0.04,670000
26-Aug-16,0.04,0.04,0.04,0.04,145000
25-Aug-16,0.04,0.04,0.04,0.04,211000
24-Aug-16,0.04,0.04,0.04,0.04,400000
23-Aug-16,0.04,0.04,0.04,0.04,82600
22-Aug-16,0.04,0.04,0.04,0.04,810000
19-Aug-16,0.04,0.04,0.04,0.04,160000
18-Aug-16,0.04,0.04,0.04,0.04,26903800
17-Aug-16,0.04,0.04,0.04,0.04,4600000
16-Aug-16,0.04,0.04,0.04,0.04,1410300
15-Aug-16,0.04,0.04,0.04,0.04,17998500
12-Aug-16,0.04,0.04,0.04,0.04,235200
11-Aug-16,0.04,0.04,0.04,0.04,100000
10-Aug-16,0.04,0.04,0.04,0.04,1983700
