Date,Open,High,Low,Close,Volume
7-Oct-16,0.27,0.27,0.27,0.27,1800
6-Oct-16,0.29,0.29,0.29,0.29,375500
5-Oct-16,-,-,-,0.28,0
4-Oct-16,-,-,-,0.28,0
30-Sep-16,0.28,0.28,0.28,0.28,11000
29-Sep-16,0.27,0.27,0.27,0.27,10000
28-Sep-16,0.27,0.27,0.27,0.27,11000
27-Sep-16,0.28,0.28,0.28,0.28,28000
26-Sep-16,0.28,0.28,0.28,0.28,25900
23-Sep-16,0.28,0.29,0.28,0.29,372500
22-Sep-16,0.28,0.28,0.28,0.28,149500
21-Sep-16,0.28,0.28,0.27,0.27,49500
20-Sep-16,-,-,-,0.29,0
19-Sep-16,0.28,0.29,0.28,0.29,419500
15-Sep-16,0.29,0.29,0.29,0.29,20000
14-Sep-16,0.30,0.30,0.30,0.30,41000
13-Sep-16,0.28,0.30,0.28,0.30,21000
9-Sep-16,-,-,-,0.29,0
8-Sep-16,0.29,0.29,0.29,0.29,55000
7-Sep-16,0.29,0.29,0.29,0.29,49500
6-Sep-16,0.30,0.30,0.30,0.30,7000
5-Sep-16,0.30,0.30,0.30,0.30,70000
2-Sep-16,0.30,0.30,0.28,0.30,192100
1-Sep-16,0.30,0.30,0.30,0.30,455000
30-Aug-16,0.30,0.30,0.30,0.30,375000
29-Aug-16,-,-,-,0.30,0
26-Aug-16,0.28,0.30,0.28,0.30,7000
25-Aug-16,0.30,0.30,0.30,0.30,98000
24-Aug-16,0.30,0.30,0.30,0.30,58000
23-Aug-16,-,-,-,0.30,0
22-Aug-16,0.30,0.30,0.30,0.30,141000
19-Aug-16,0.30,0.30,0.30,0.30,40500
18-Aug-16,0.30,0.31,0.30,0.31,86000
17-Aug-16,0.30,0.30,0.30,0.30,90000
16-Aug-16,-,-,-,0.30,0
15-Aug-16,0.30,0.30,0.30,0.30,10000
12-Aug-16,0.32,0.32,0.32,0.32,37000
11-Aug-16,0.30,0.30,0.30,0.30,100000
10-Aug-16,0.31,0.32,0.31,0.32,343300
9-Aug-16,0.30,0.31,0.30,0.31,105000
8-Aug-16,-,-,-,0.32,0
5-Aug-16,0.32,0.32,0.32,0.32,1500
4-Aug-16,0.30,0.30,0.30,0.30,1000
3-Aug-16,0.30,0.31,0.30,0.31,52000
2-Aug-16,0.31,0.31,0.30,0.30,100000
1-Aug-16,0.33,0.33,0.32,0.32,107000
29-Jul-16,-,-,-,0.32,0
28-Jul-16,0.32,0.32,0.32,0.32,10000
27-Jul-16,0.32,0.32,0.32,0.32,16300
26-Jul-16,0.32,0.32,0.32,0.32,25000
25-Jul-16,-,-,-,0.32,0
22-Jul-16,0.32,0.32,0.32,0.32,165000
21-Jul-16,0.33,0.33,0.33,0.33,50000
20-Jul-16,-,-,-,0.34,0
19-Jul-16,0.34,0.34,0.33,0.34,36100
18-Jul-16,0.34,0.34,0.34,0.34,273000
15-Jul-16,0.35,0.35,0.34,0.34,208800
14-Jul-16,-,-,-,0.34,0
13-Jul-16,0.34,0.35,0.34,0.34,76500
12-Jul-16,0.35,0.35,0.35,0.35,45000
11-Jul-16,0.34,0.35,0.34,0.35,92000
8-Jul-16,0.35,0.35,0.34,0.34,10000
5-Jul-16,-,-,-,0.35,0
4-Jul-16,0.35,0.35,0.35,0.35,73000
1-Jul-16,0.35,0.35,0.35,0.35,91500
30-Jun-16,0.35,0.35,0.35,0.35,140000
29-Jun-16,0.35,0.35,0.35,0.35,20000
28-Jun-16,-,-,-,0.35,0
27-Jun-16,0.35,0.35,0.35,0.35,127500
24-Jun-16,0.35,0.36,0.35,0.36,689500
23-Jun-16,0.35,0.35,0.34,0.35,100000
21-Jun-16,0.34,0.34,0.34,0.34,50000
20-Jun-16,0.34,0.34,0.34,0.34,86000
17-Jun-16,0.34,0.35,0.34,0.35,84900
16-Jun-16,0.34,0.36,0.34,0.35,24000
15-Jun-16,-,-,-,0.34,0
14-Jun-16,0.34,0.34,0.34,0.34,56000
13-Jun-16,0.36,0.36,0.35,0.35,34000
10-Jun-16,0.36,0.36,0.36,0.36,30000
9-Jun-16,0.34,0.36,0.34,0.36,281500
8-Jun-16,0.34,0.34,0.32,0.32,80000
7-Jun-16,0.34,0.34,0.34,0.34,10500
6-Jun-16,0.34,0.34,0.34,0.34,93600
3-Jun-16,0.34,0.35,0.34,0.35,62000
2-Jun-16,0.35,0.35,0.35,0.35,10000
1-Jun-16,0.34,0.35,0.34,0.35,213500
31-May-16,0.34,0.34,0.34,0.34,112600
30-May-16,0.33,0.34,0.33,0.34,50000
27-May-16,0.35,0.35,0.34,0.34,265400
26-May-16,0.36,0.36,0.35,0.35,170000
25-May-16,0.36,0.36,0.36,0.36,97000
24-May-16,-,-,-,0.36,0
23-May-16,0.36,0.36,0.36,0.36,40000
20-May-16,0.36,0.36,0.36,0.36,50000
19-May-16,0.36,0.36,0.35,0.35,45600
18-May-16,-,-,-,0.36,0
17-May-16,-,-,-,0.36,0
16-May-16,0.37,0.37,0.36,0.36,230000
13-May-16,0.36,0.36,0.36,0.36,67000
12-May-16,0.36,0.36,0.36,0.36,31000
11-May-16,0.37,0.37,0.36,0.36,104000
10-May-16,0.36,0.37,0.36,0.37,161500
9-May-16,0.36,0.37,0.36,0.36,155100
6-May-16,0.36,0.36,0.36,0.36,255000
5-May-16,0.36,0.36,0.36,0.36,207200
4-May-16,0.36,0.36,0.36,0.36,25000
3-May-16,0.36,0.36,0.35,0.36,106100
29-Apr-16,0.36,0.36,0.36,0.36,100000
28-Apr-16,0.36,0.37,0.36,0.37,15000
27-Apr-16,0.37,0.37,0.36,0.37,155400
26-Apr-16,0.36,0.37,0.36,0.37,109200
25-Apr-16,0.36,0.36,0.36,0.36,301600
22-Apr-16,0.36,0.36,0.36,0.36,197000
21-Apr-16,0.36,0.36,0.36,0.36,115000
20-Apr-16,0.36,0.36,0.35,0.36,520000
19-Apr-16,0.36,0.36,0.35,0.36,631000
18-Apr-16,0.35,0.36,0.35,0.36,110400
15-Apr-16,0.36,0.36,0.36,0.36,147200
14-Apr-16,0.36,0.36,0.36,0.36,38500
13-Apr-16,0.36,0.37,0.36,0.37,250500
12-Apr-16,0.38,0.38,0.37,0.37,10000
11-Apr-16,0.38,0.38,0.37,0.38,59600
8-Apr-16,0.36,0.40,0.36,0.38,1167500
7-Apr-16,0.37,0.37,0.36,0.36,130000
6-Apr-16,0.36,0.36,0.36,0.36,35000
