Date,Open,High,Low,Close,Volume
7-Oct-16,-,-,-,1.78,0
6-Oct-16,1.76,1.78,1.74,1.78,209800
5-Oct-16,1.78,1.79,1.76,1.76,123100
4-Oct-16,1.80,1.81,1.78,1.78,97700
30-Sep-16,1.80,1.82,1.80,1.80,90100
29-Sep-16,1.80,1.82,1.80,1.82,29000
28-Sep-16,1.80,1.82,1.80,1.82,25500
27-Sep-16,1.82,1.82,1.78,1.80,94100
26-Sep-16,1.79,1.83,1.79,1.82,121400
23-Sep-16,1.82,1.82,1.78,1.78,143700
22-Sep-16,1.76,1.81,1.76,1.81,70800
21-Sep-16,1.82,1.82,1.76,1.77,114200
20-Sep-16,1.87,1.87,1.81,1.81,166100
19-Sep-16,1.71,1.88,1.70,1.87,1033100
15-Sep-16,1.71,1.71,1.68,1.69,186900
14-Sep-16,1.69,1.70,1.68,1.70,145400
13-Sep-16,1.73,1.73,1.68,1.70,261600
9-Sep-16,1.72,1.74,1.71,1.73,92100
8-Sep-16,1.73,1.73,1.70,1.72,308700
7-Sep-16,1.69,1.71,1.69,1.70,381700
6-Sep-16,1.69,1.74,1.69,1.69,487400
5-Sep-16,1.67,1.77,1.67,1.70,494200
2-Sep-16,1.64,1.73,1.62,1.67,1125900
1-Sep-16,1.74,1.74,1.57,1.64,2295200
30-Aug-16,1.92,1.92,1.73,1.73,1090800
29-Aug-16,2.06,2.06,1.90,1.91,432000
26-Aug-16,2.06,2.16,2.06,2.16,7000
25-Aug-16,-,-,-,2.09,0
24-Aug-16,-,-,-,2.09,0
23-Aug-16,-,-,-,2.09,0
22-Aug-16,-,-,-,2.09,0
19-Aug-16,2.10,2.20,2.09,2.09,40100
18-Aug-16,2.10,2.10,2.10,2.10,10500
17-Aug-16,2.13,2.13,2.13,2.13,187000
16-Aug-16,2.15,2.15,2.13,2.13,155800
15-Aug-16,2.17,2.17,2.17,2.17,3000
12-Aug-16,2.13,2.13,2.13,2.13,5000
11-Aug-16,2.13,2.13,2.13,2.13,4500
10-Aug-16,-,-,-,2.18,0
9-Aug-16,-,-,-,2.18,0
8-Aug-16,-,-,-,2.18,0
5-Aug-16,2.18,2.18,2.14,2.18,15600
4-Aug-16,2.18,2.18,2.18,2.18,3700
3-Aug-16,-,-,-,2.21,0
2-Aug-16,-,-,-,2.21,0
1-Aug-16,2.21,2.21,2.21,2.21,10000
29-Jul-16,2.18,2.18,2.18,2.18,268400
28-Jul-16,2.18,2.22,2.18,2.18,106700
27-Jul-16,2.22,2.22,2.18,2.22,58000
26-Jul-16,2.19,2.20,2.16,2.19,1132100
25-Jul-16,2.13,2.16,2.13,2.16,46000
22-Jul-16,2.22,2.23,2.16,2.16,61600
21-Jul-16,2.22,2.25,2.15,2.25,128400
20-Jul-16,2.15,2.22,2.12,2.22,115900
19-Jul-16,2.23,2.23,2.12,2.12,36300
18-Jul-16,2.13,2.24,2.13,2.24,8200
15-Jul-16,2.16,2.16,2.15,2.15,3000
14-Jul-16,2.10,2.20,2.10,2.20,5100
13-Jul-16,2.24,2.26,2.16,2.26,145800
12-Jul-16,2.20,2.20,2.20,2.20,8000
11-Jul-16,2.25,2.25,2.25,2.25,10000
8-Jul-16,-,-,-,2.27,0
5-Jul-16,2.16,2.27,2.16,2.27,41000
4-Jul-16,2.26,2.26,2.26,2.26,235500
1-Jul-16,2.26,2.26,2.26,2.26,259400
30-Jun-16,2.26,2.26,2.25,2.26,219100
29-Jun-16,-,-,-,2.26,0
28-Jun-16,2.20,2.26,2.20,2.26,4500
27-Jun-16,2.20,2.28,2.18,2.28,656600
24-Jun-16,2.26,2.28,2.18,2.28,138100
23-Jun-16,2.20,2.28,2.20,2.28,31600
21-Jun-16,-,-,-,2.25,0
20-Jun-16,-,-,-,2.25,0
17-Jun-16,2.25,2.27,2.25,2.25,7500
16-Jun-16,-,-,-,2.27,0
15-Jun-16,2.21,2.27,2.21,2.27,1300
14-Jun-16,2.27,2.27,2.27,2.27,4500
13-Jun-16,2.28,2.28,2.24,2.28,52100
10-Jun-16,2.31,2.31,2.28,2.28,111500
9-Jun-16,2.20,2.32,2.20,2.29,650300
8-Jun-16,2.25,2.25,2.17,2.17,6200
7-Jun-16,2.19,2.25,2.19,2.25,32000
6-Jun-16,2.12,2.20,2.12,2.20,6500
3-Jun-16,2.17,2.20,2.17,2.20,30000
2-Jun-16,2.05,2.17,2.05,2.17,3500
1-Jun-16,-,-,-,2.20,0
31-May-16,-,-,-,2.20,0
30-May-16,2.22,2.23,2.19,2.20,93900
27-May-16,2.19,2.23,2.19,2.19,472700
26-May-16,-,-,-,2.19,0
25-May-16,-,-,-,2.19,0
24-May-16,2.19,2.20,2.18,2.19,203700
23-May-16,2.15,2.19,2.15,2.19,1500
20-May-16,2.19,2.19,2.17,2.17,7000
19-May-16,-,-,-,2.17,0
18-May-16,2.17,2.17,2.17,2.17,27700
17-May-16,2.18,2.18,2.17,2.18,41000
16-May-16,2.13,2.20,2.13,2.20,23000
13-May-16,2.20,2.20,2.19,2.19,20000
12-May-16,-,-,-,2.20,0
11-May-16,2.19,2.20,2.19,2.20,9400
10-May-16,2.15,2.23,2.15,2.17,306000
9-May-16,2.17,2.17,2.12,2.15,71600
6-May-16,2.29,2.29,2.29,2.29,6000
5-May-16,-,-,-,2.30,0
4-May-16,-,-,-,2.30,0
3-May-16,2.29,2.30,2.29,2.30,5600
