Date,Open,High,Low,Close,Volume
7-Oct-16,2.35,2.38,2.35,2.38,6300
6-Oct-16,-,-,-,2.31,0
5-Oct-16,-,-,-,2.31,0
4-Oct-16,2.31,2.31,2.31,2.31,1000
30-Sep-16,-,-,-,2.30,0
29-Sep-16,-,-,-,2.30,0
28-Sep-16,-,-,-,2.30,0
27-Sep-16,-,-,-,2.30,0
26-Sep-16,-,-,-,2.30,0
23-Sep-16,2.30,2.30,2.30,2.30,1800
22-Sep-16,2.30,2.30,2.30,2.30,2000
21-Sep-16,-,-,-,2.30,0
20-Sep-16,-,-,-,2.30,0
19-Sep-16,-,-,-,2.30,0
15-Sep-16,-,-,-,2.30,0
14-Sep-16,-,-,-,2.30,0
13-Sep-16,-,-,-,2.30,0
9-Sep-16,-,-,-,2.30,0
8-Sep-16,-,-,-,2.30,0
7-Sep-16,2.30,2.30,2.30,2.30,3000
6-Sep-16,-,-,-,2.30,0
5-Sep-16,-,-,-,2.30,0
2-Sep-16,-,-,-,2.30,0
1-Sep-16,2.30,2.30,2.30,2.30,300
30-Aug-16,-,-,-,2.32,0
29-Aug-16,2.35,2.35,2.32,2.32,4000
26-Aug-16,-,-,-,2.35,0
25-Aug-16,2.35,2.35,2.35,2.35,6500
24-Aug-16,2.35,2.35,2.35,2.35,1000
23-Aug-16,-,-,-,2.35,0
22-Aug-16,-,-,-,2.35,0
19-Aug-16,-,-,-,2.35,0
18-Aug-16,2.35,2.35,2.35,2.35,3500
17-Aug-16,-,-,-,2.33,0
16-Aug-16,2.40,2.40,2.32,2.33,11300
15-Aug-16,-,-,-,2.36,0
12-Aug-16,-,-,-,2.36,0
11-Aug-16,-,-,-,2.36,0
10-Aug-16,2.42,2.42,2.36,2.36,5800
9-Aug-16,-,-,-,2.40,0
8-Aug-16,-,-,-,2.40,0
5-Aug-16,2.40,2.40,2.40,2.40,3000
4-Aug-16,-,-,-,2.45,0
3-Aug-16,-,-,-,2.45,0
2-Aug-16,-,-,-,2.45,0
1-Aug-16,2.37,2.45,2.37,2.45,3000
29-Jul-16,2.35,2.35,2.35,2.35,20000
28-Jul-16,2.30,2.35,2.30,2.35,15400
27-Jul-16,-,-,-,2.35,0
26-Jul-16,2.28,2.35,2.28,2.35,2200
25-Jul-16,2.34,2.35,2.32,2.35,11000
22-Jul-16,-,-,-,2.40,0
21-Jul-16,2.47,2.47,2.30,2.40,19900
20-Jul-16,2.48,2.48,2.47,2.47,3000
19-Jul-16,2.50,2.56,2.50,2.56,1000
18-Jul-16,-,-,-,2.50,0
15-Jul-16,-,-,-,2.50,0
14-Jul-16,2.35,2.50,2.35,2.50,4200
13-Jul-16,-,-,-,2.40,0
12-Jul-16,-,-,-,2.40,0
11-Jul-16,-,-,-,2.40,0
8-Jul-16,-,-,-,2.40,0
5-Jul-16,-,-,-,2.40,0
4-Jul-16,-,-,-,2.40,0
1-Jul-16,2.40,2.40,2.40,2.40,1200
30-Jun-16,-,-,-,2.40,0
29-Jun-16,-,-,-,2.40,0
28-Jun-16,-,-,-,2.40,0
27-Jun-16,-,-,-,2.40,0
24-Jun-16,-,-,-,2.40,0
23-Jun-16,2.40,2.40,2.40,2.40,4900
21-Jun-16,-,-,-,2.38,0
20-Jun-16,-,-,-,2.38,0
17-Jun-16,-,-,-,2.38,0
16-Jun-16,2.38,2.38,2.38,2.38,3200
15-Jun-16,-,-,-,2.39,0
14-Jun-16,-,-,-,2.39,0
13-Jun-16,2.40,2.40,2.39,2.39,7000
10-Jun-16,2.38,2.42,2.38,2.42,5400
9-Jun-16,-,-,-,2.42,0
8-Jun-16,2.42,2.42,2.42,2.42,3600
7-Jun-16,-,-,-,2.42,0
6-Jun-16,-,-,-,2.42,0
3-Jun-16,2.42,2.42,2.42,2.42,400
2-Jun-16,-,-,-,2.40,0
1-Jun-16,-,-,-,2.40,0
31-May-16,-,-,-,2.40,0
30-May-16,-,-,-,2.40,0
27-May-16,2.40,2.40,2.40,2.40,8200
26-May-16,-,-,-,2.40,0
25-May-16,2.40,2.40,2.40,2.40,1000
24-May-16,2.40,2.40,2.40,2.40,100
23-May-16,2.40,2.40,2.40,2.40,2400
20-May-16,-,-,-,2.50,0
19-May-16,-,-,-,2.50,0
18-May-16,2.50,2.50,2.50,2.50,2000
17-May-16,-,-,-,2.39,0
16-May-16,2.38,2.39,2.38,2.39,5700
13-May-16,2.40,2.40,2.40,2.40,3000
12-May-16,2.40,2.41,2.40,2.40,8300
11-May-16,2.45,2.45,2.45,2.45,5000
10-May-16,-,-,-,2.50,0
9-May-16,-,-,-,2.50,0
6-May-16,-,-,-,2.50,0
5-May-16,2.50,2.50,2.50,2.50,1000
4-May-16,-,-,-,2.50,0
3-May-16,-,-,-,2.50,0
29-Apr-16,-,-,-,2.50,0
28-Apr-16,-,-,-,2.50,0
27-Apr-16,2.50,2.50,2.50,2.50,4000
26-Apr-16,2.50,2.50,2.45,2.45,6000
25-Apr-16,2.50,2.50,2.50,2.50,8000
22-Apr-16,-,-,-,2.50,0
21-Apr-16,-,-,-,2.50,0
20-Apr-16,-,-,-,2.50,0
19-Apr-16,2.51,2.51,2.50,2.50,3300
18-Apr-16,2.52,2.60,2.52,2.52,14300
15-Apr-16,2.51,2.51,2.51,2.51,2400
14-Apr-16,2.51,2.51,2.51,2.51,2000
13-Apr-16,-,-,-,2.52,0
12-Apr-16,-,-,-,2.52,0
11-Apr-16,-,-,-,2.52,0
8-Apr-16,2.52,2.52,2.52,2.52,1000
7-Apr-16,-,-,-,2.52,0
6-Apr-16,-,-,-,2.52,0
5-Apr-16,-,-,-,2.52,0
4-Apr-16,-,-,-,2.52,0
1-Apr-16,-,-,-,2.52,0
31-Mar-16,-,-,-,2.52,0
30-Mar-16,-,-,-,2.52,0
29-Mar-16,2.51,2.52,2.51,2.52,4000
28-Mar-16,-,-,-,2.51,0
25-Mar-16,-,-,-,2.51,0
24-Mar-16,-,-,-,2.51,0
23-Mar-16,2.51,2.51,2.51,2.51,100
22-Mar-16,-,-,-,2.52,0
21-Mar-16,-,-,-,2.52,0
18-Mar-16,-,-,-,2.52,0
17-Mar-16,-,-,-,2.52,0
16-Mar-16,2.52,2.52,2.52,2.52,5200
15-Mar-16,-,-,-,2.52,0
14-Mar-16,-,-,-,2.52,0
11-Mar-16,-,-,-,2.52,0
10-Mar-16,2.52,2.52,2.52,2.52,1200
9-Mar-16,-,-,-,2.50,0
8-Mar-16,2.50,2.50,2.50,2.50,5000
7-Mar-16,-,-,-,2.57,0
4-Mar-16,-,-,-,2.57,0
3-Mar-16,-,-,-,2.57,0
2-Mar-16,-,-,-,2.57,0
1-Mar-16,-,-,-,2.57,0
29-Feb-16,-,-,-,2.57,0
26-Feb-16,-,-,-,2.57,0
25-Feb-16,-,-,-,2.57,0
24-Feb-16,-,-,-,2.57,0
23-Feb-16,-,-,-,2.57,0
22-Feb-16,2.56,2.60,2.56,2.57,51000
19-Feb-16,-,-,-,2.60,0
18-Feb-16,2.60,2.60,2.60,2.60,2000
17-Feb-16,2.51,2.51,2.46,2.46,3700
16-Feb-16,-,-,-,2.60,0
15-Feb-16,-,-,-,2.60,0
12-Feb-16,-,-,-,2.60,0
11-Feb-16,-,-,-,2.60,0
10-Feb-16,-,-,-,2.60,0
5-Feb-16,-,-,-,2.60,0
4-Feb-16,2.55,2.60,2.52,2.60,59500
3-Feb-16,-,-,-,2.50,0
2-Feb-16,-,-,-,2.50,0
29-Jan-16,2.50,2.51,2.50,2.50,38300
28-Jan-16,2.54,2.62,2.54,2.56,8000
27-Jan-16,-,-,-,2.62,0
26-Jan-16,-,-,-,2.62,0
22-Jan-16,-,-,-,2.62,0
21-Jan-16,-,-,-,2.62,0
20-Jan-16,-,-,-,2.62,0
19-Jan-16,2.62,2.62,2.62,2.62,1000
18-Jan-16,-,-,-,2.62,0
15-Jan-16,-,-,-,2.62,0
14-Jan-16,2.62,2.62,2.62,2.62,1500
13-Jan-16,-,-,-,2.75,0
12-Jan-16,2.71,2.75,2.71,2.75,4000
11-Jan-16,2.71,2.71,2.65,2.65,2000
8-Jan-16,2.70,2.70,2.70,2.70,18000
7-Jan-16,2.70,2.70,2.70,2.70,5000
6-Jan-16,-,-,-,2.88,0
5-Jan-16,-,-,-,2.88,0
4-Jan-16,-,-,-,2.88,0
