Date,Open,High,Low,Close,Volume
7-Oct-16,2.30,2.35,2.30,2.35,118500
6-Oct-16,2.34,2.34,2.29,2.31,424100
5-Oct-16,2.32,2.37,2.32,2.34,477800
4-Oct-16,2.36,2.36,2.32,2.32,176700
30-Sep-16,2.39,2.39,2.34,2.36,145100
29-Sep-16,2.40,2.43,2.33,2.38,1254300
28-Sep-16,2.50,2.57,2.37,2.38,2658000
27-Sep-16,2.45,2.45,2.36,2.38,188400
26-Sep-16,2.46,2.49,2.36,2.46,382400
23-Sep-16,2.33,2.46,2.33,2.46,672800
22-Sep-16,2.26,2.33,2.25,2.32,225300
21-Sep-16,2.24,2.26,2.21,2.26,311600
20-Sep-16,2.20,2.25,2.19,2.25,195100
19-Sep-16,2.18,2.20,2.17,2.20,38600
15-Sep-16,2.18,2.18,2.16,2.18,24400
14-Sep-16,2.16,2.18,2.15,2.18,83700
13-Sep-16,2.19,2.20,2.17,2.20,87700
9-Sep-16,2.19,2.23,2.19,2.21,62000
8-Sep-16,2.21,2.21,2.19,2.20,37400
7-Sep-16,2.23,2.23,2.21,2.23,125800
6-Sep-16,2.22,2.24,2.17,2.24,160500
5-Sep-16,2.14,2.21,2.14,2.21,318000
2-Sep-16,2.11,2.20,2.10,2.14,273600
1-Sep-16,2.08,2.12,2.07,2.11,135400
30-Aug-16,2.11,2.11,2.09,2.09,103600
29-Aug-16,2.09,2.11,2.08,2.11,44700
26-Aug-16,2.08,2.09,2.08,2.09,25300
25-Aug-16,2.04,2.12,2.04,2.09,153600
24-Aug-16,2.01,2.06,2.00,2.04,173300
23-Aug-16,2.03,2.03,2.02,2.02,50700
22-Aug-16,2.09,2.15,2.03,2.03,275200
19-Aug-16,2.08,2.10,2.07,2.10,56000
18-Aug-16,2.13,2.14,2.07,2.11,194900
17-Aug-16,2.14,2.15,2.14,2.15,124700
16-Aug-16,2.16,2.16,2.14,2.14,103500
15-Aug-16,2.17,2.17,2.13,2.16,1067100
12-Aug-16,2.16,2.17,2.13,2.17,112900
11-Aug-16,2.16,2.16,2.15,2.15,65000
10-Aug-16,2.15,2.18,2.15,2.16,104500
9-Aug-16,2.17,2.17,2.15,2.15,57000
8-Aug-16,2.21,2.21,2.17,2.18,43300
5-Aug-16,2.16,2.22,2.15,2.21,244600
4-Aug-16,2.16,2.20,2.16,2.18,223000
3-Aug-16,2.17,2.18,2.13,2.18,87300
2-Aug-16,2.13,2.18,2.12,2.16,57600
1-Aug-16,2.12,2.18,2.12,2.18,552100
29-Jul-16,2.16,2.17,2.13,2.14,314100
28-Jul-16,2.19,2.19,2.16,2.16,84900
27-Jul-16,2.21,2.22,2.18,2.22,132000
26-Jul-16,2.22,2.23,2.20,2.23,217300
25-Jul-16,2.22,2.22,2.18,2.22,201800
22-Jul-16,2.14,2.22,2.14,2.22,285900
21-Jul-16,2.20,2.20,2.15,2.15,112400
20-Jul-16,2.20,2.24,2.15,2.23,295700
19-Jul-16,2.21,2.21,2.16,2.20,307400
18-Jul-16,2.21,2.25,2.20,2.21,190900
15-Jul-16,2.26,2.26,2.24,2.24,52100
14-Jul-16,2.26,2.26,2.23,2.25,208000
13-Jul-16,2.28,2.28,2.26,2.28,100600
12-Jul-16,2.29,2.33,2.27,2.28,436100
11-Jul-16,2.33,2.34,2.28,2.34,221900
8-Jul-16,2.25,2.32,2.25,2.32,357400
5-Jul-16,2.23,2.25,2.21,2.25,124500
4-Jul-16,2.20,2.23,2.20,2.23,214300
1-Jul-16,2.17,2.20,2.17,2.20,77000
30-Jun-16,2.25,2.25,2.16,2.19,418500
29-Jun-16,2.21,2.26,2.20,2.23,519700
28-Jun-16,2.20,2.24,2.18,2.22,761400
