Date,Open,High,Low,Close,Volume
7-Oct-16,-,-,-,1.70,0
6-Oct-16,1.70,1.70,1.70,1.70,6000
5-Oct-16,-,-,-,1.78,0
4-Oct-16,-,-,-,1.78,0
30-Sep-16,-,-,-,1.78,0
29-Sep-16,-,-,-,1.78,0
28-Sep-16,-,-,-,1.78,0
27-Sep-16,-,-,-,1.78,0
26-Sep-16,-,-,-,1.78,0
23-Sep-16,1.78,1.78,1.78,1.78,5000
22-Sep-16,1.80,1.80,1.80,1.80,28000
21-Sep-16,1.80,1.80,1.80,1.80,18000
20-Sep-16,-,-,-,1.76,0
19-Sep-16,-,-,-,1.76,0
15-Sep-16,1.76,1.76,1.76,1.76,1500
14-Sep-16,-,-,-,1.76,0
13-Sep-16,1.76,1.76,1.76,1.76,2000
9-Sep-16,-,-,-,1.76,0
8-Sep-16,1.76,1.76,1.76,1.76,4300
7-Sep-16,1.80,1.80,1.80,1.80,23400
6-Sep-16,1.72,1.78,1.72,1.77,7000
5-Sep-16,-,-,-,1.79,0
2-Sep-16,-,-,-,1.79,0
1-Sep-16,1.79,1.79,1.79,1.79,3000
30-Aug-16,1.80,1.80,1.79,1.79,5000
29-Aug-16,-,-,-,1.78,0
26-Aug-16,-,-,-,1.78,0
25-Aug-16,-,-,-,1.78,0
24-Aug-16,-,-,-,1.78,0
23-Aug-16,1.78,1.78,1.78,1.78,33400
22-Aug-16,1.90,1.90,1.80,1.80,24000
19-Aug-16,1.80,1.80,1.78,1.78,15900
18-Aug-16,1.79,1.79,1.79,1.79,11000
17-Aug-16,1.80,1.80,1.80,1.80,3200
16-Aug-16,1.80,1.80,1.80,1.80,396000
15-Aug-16,1.80,1.86,1.75,1.75,22400
12-Aug-16,1.80,1.80,1.80,1.80,2000
11-Aug-16,-,-,-,1.80,0
10-Aug-16,1.80,1.80,1.77,1.80,61500
9-Aug-16,1.77,1.77,1.77,1.77,2000
8-Aug-16,-,-,-,1.80,0
5-Aug-16,1.80,1.80,1.80,1.80,3500
4-Aug-16,1.80,1.80,1.80,1.80,17500
3-Aug-16,1.80,1.80,1.80,1.80,22100
2-Aug-16,1.81,1.81,1.80,1.80,34600
1-Aug-16,-,-,-,1.89,0
29-Jul-16,1.89,1.89,1.89,1.89,100
28-Jul-16,1.90,1.90,1.90,1.90,100
27-Jul-16,-,-,-,1.80,0
26-Jul-16,-,-,-,1.80,0
25-Jul-16,1.90,1.90,1.80,1.80,3500
22-Jul-16,-,-,-,1.80,0
