Date,Open,High,Low,Close,Volume
7-Oct-16,0.26,0.26,0.26,0.26,224800
6-Oct-16,0.25,0.26,0.25,0.26,219000
5-Oct-16,0.25,0.25,0.24,0.24,188800
4-Oct-16,0.25,0.26,0.24,0.24,431000
30-Sep-16,0.26,0.26,0.25,0.26,379800
29-Sep-16,0.27,0.27,0.26,0.26,594500
28-Sep-16,0.28,0.28,0.27,0.27,532700
27-Sep-16,0.28,0.28,0.27,0.28,335200
26-Sep-16,0.28,0.28,0.28,0.28,369000
23-Sep-16,0.28,0.28,0.28,0.28,273900
22-Sep-16,0.28,0.30,0.28,0.28,100000
21-Sep-16,0.28,0.29,0.28,0.28,297000
20-Sep-16,0.30,0.30,0.28,0.28,486500
19-Sep-16,0.30,0.30,0.30,0.30,185200
15-Sep-16,0.30,0.30,0.30,0.30,75000
14-Sep-16,0.30,0.30,0.30,0.30,316000
13-Sep-16,0.30,0.30,0.30,0.30,20000
9-Sep-16,0.31,0.31,0.30,0.30,238000
8-Sep-16,0.32,0.32,0.30,0.31,207000
7-Sep-16,0.32,0.32,0.31,0.31,322800
6-Sep-16,-,-,-,0.31,0
5-Sep-16,0.31,0.31,0.31,0.31,40000
2-Sep-16,0.31,0.31,0.31,0.31,56000
1-Sep-16,0.31,0.31,0.30,0.30,114000
30-Aug-16,0.32,0.32,0.30,0.30,115000
29-Aug-16,0.30,0.30,0.30,0.30,15000
26-Aug-16,0.31,0.31,0.30,0.30,194900
25-Aug-16,0.32,0.32,0.30,0.30,156000
24-Aug-16,0.32,0.32,0.32,0.32,75000
23-Aug-16,-,-,-,0.32,0
22-Aug-16,0.33,0.33,0.32,0.32,18000
19-Aug-16,0.32,0.32,0.32,0.32,10000
18-Aug-16,0.33,0.33,0.33,0.33,22000
17-Aug-16,-,-,-,0.33,0
16-Aug-16,0.33,0.33,0.33,0.33,11500
15-Aug-16,0.32,0.33,0.32,0.32,56000
12-Aug-16,0.33,0.33,0.32,0.32,155900
11-Aug-16,0.33,0.33,0.33,0.33,21100
10-Aug-16,0.34,0.34,0.32,0.33,955100
9-Aug-16,0.34,0.34,0.34,0.34,2000
8-Aug-16,0.34,0.34,0.34,0.34,23000
5-Aug-16,0.34,0.34,0.34,0.34,2000
4-Aug-16,0.34,0.34,0.34,0.34,28300
3-Aug-16,0.34,0.34,0.34,0.34,11400
2-Aug-16,0.33,0.34,0.33,0.33,60700
1-Aug-16,0.33,0.33,0.33,0.33,3000
29-Jul-16,-,-,-,0.34,0
28-Jul-16,0.34,0.34,0.34,0.34,26000
27-Jul-16,0.34,0.34,0.34,0.34,148600
26-Jul-16,0.34,0.34,0.33,0.34,134900
25-Jul-16,-,-,-,0.34,0
22-Jul-16,0.34,0.34,0.34,0.34,15000
21-Jul-16,0.34,0.34,0.34,0.34,46500
20-Jul-16,0.34,0.34,0.33,0.34,266000
19-Jul-16,0.35,0.35,0.35,0.35,10000
18-Jul-16,0.34,0.35,0.34,0.35,50000
15-Jul-16,0.34,0.34,0.34,0.34,62100
14-Jul-16,0.33,0.33,0.33,0.33,14900
13-Jul-16,0.34,0.34,0.34,0.34,38000
12-Jul-16,0.34,0.34,0.34,0.34,85000
11-Jul-16,0.33,0.36,0.30,0.36,83100
8-Jul-16,-,-,-,0.33,0
5-Jul-16,0.33,0.33,0.33,0.33,14000
4-Jul-16,-,-,-,0.34,0
1-Jul-16,0.34,0.34,0.34,0.34,20000
30-Jun-16,0.34,0.34,0.33,0.33,63000
29-Jun-16,-,-,-,0.34,0
28-Jun-16,0.34,0.34,0.34,0.34,20000
27-Jun-16,0.34,0.34,0.34,0.34,2000
24-Jun-16,0.34,0.35,0.34,0.34,336300
23-Jun-16,0.34,0.36,0.34,0.34,448200
21-Jun-16,0.34,0.36,0.34,0.36,61900
20-Jun-16,0.33,0.34,0.33,0.34,10100
17-Jun-16,-,-,-,0.34,0
16-Jun-16,0.34,0.34,0.34,0.34,21100
15-Jun-16,0.33,0.36,0.33,0.34,82200
14-Jun-16,0.34,0.34,0.34,0.34,14000
13-Jun-16,0.34,0.34,0.34,0.34,56000
10-Jun-16,0.34,0.34,0.34,0.34,162800
9-Jun-16,0.34,0.34,0.34,0.34,16000
8-Jun-16,0.34,0.34,0.34,0.34,40000
7-Jun-16,0.34,0.34,0.34,0.34,50000
6-Jun-16,0.34,0.34,0.34,0.34,10000
3-Jun-16,0.34,0.34,0.34,0.34,5000
2-Jun-16,0.34,0.34,0.34,0.34,18000
1-Jun-16,0.34,0.34,0.34,0.34,201000
31-May-16,0.34,0.34,0.34,0.34,19000
30-May-16,0.34,0.34,0.34,0.34,16900
27-May-16,-,-,-,0.34,0
26-May-16,0.34,0.34,0.34,0.34,2200
25-May-16,0.34,0.35,0.34,0.34,69300
24-May-16,0.34,0.35,0.34,0.35,29800
23-May-16,0.35,0.35,0.34,0.34,60000
20-May-16,0.36,0.36,0.36,0.36,40000
19-May-16,0.35,0.36,0.35,0.36,41800
18-May-16,0.35,0.36,0.35,0.36,50000
17-May-16,0.36,0.36,0.36,0.36,20000
16-May-16,0.35,0.35,0.35,0.35,19600
13-May-16,0.36,0.36,0.34,0.34,80000
12-May-16,0.36,0.36,0.36,0.36,20000
11-May-16,0.36,0.36,0.35,0.35,56000
10-May-16,-,-,-,0.36,0
9-May-16,0.36,0.36,0.36,0.36,263000
6-May-16,0.36,0.36,0.36,0.36,170000
5-May-16,0.36,0.36,0.36,0.36,25000
4-May-16,0.36,0.36,0.36,0.36,197600
3-May-16,0.36,0.36,0.35,0.36,251300
29-Apr-16,-,-,-,0.37,0
28-Apr-16,0.38,0.38,0.37,0.37,89500
27-Apr-16,0.38,0.38,0.38,0.38,99300
26-Apr-16,0.38,0.38,0.38,0.38,859600
25-Apr-16,0.38,0.40,0.38,0.40,259600
22-Apr-16,0.38,0.39,0.38,0.38,124500
21-Apr-16,0.38,0.38,0.38,0.38,56000
20-Apr-16,0.39,0.39,0.38,0.38,335000
19-Apr-16,0.39,0.40,0.38,0.40,144100
