Date,Open,High,Low,Close,Volume
7-Oct-16,0.22,0.22,0.22,0.22,555000
6-Oct-16,0.22,0.23,0.22,0.23,342500
5-Oct-16,0.22,0.22,0.22,0.22,167700
4-Oct-16,0.22,0.23,0.22,0.22,125600
30-Sep-16,0.22,0.23,0.22,0.22,730900
29-Sep-16,0.22,0.23,0.22,0.22,212000
28-Sep-16,0.22,0.23,0.22,0.22,158000
27-Sep-16,0.22,0.23,0.22,0.23,1074500
26-Sep-16,0.22,0.23,0.22,0.22,214700
23-Sep-16,0.23,0.23,0.23,0.23,319400
22-Sep-16,0.23,0.24,0.23,0.24,177400
21-Sep-16,0.23,0.23,0.22,0.23,794500
20-Sep-16,0.23,0.23,0.22,0.22,625000
19-Sep-16,0.23,0.23,0.23,0.23,128300
15-Sep-16,0.24,0.24,0.23,0.24,36000
14-Sep-16,0.23,0.24,0.23,0.24,133700
13-Sep-16,0.23,0.24,0.23,0.24,259400
9-Sep-16,0.23,0.24,0.23,0.24,46000
8-Sep-16,0.24,0.24,0.23,0.23,918400
7-Sep-16,0.24,0.24,0.24,0.24,166400
6-Sep-16,0.24,0.24,0.24,0.24,103900
5-Sep-16,0.24,0.24,0.24,0.24,71400
2-Sep-16,0.24,0.24,0.23,0.24,196100
1-Sep-16,0.24,0.24,0.24,0.24,562600
30-Aug-16,0.24,0.24,0.24,0.24,494600
29-Aug-16,0.24,0.24,0.24,0.24,756600
26-Aug-16,0.24,0.24,0.24,0.24,208200
25-Aug-16,0.24,0.24,0.24,0.24,645500
24-Aug-16,0.24,0.24,0.24,0.24,1079900
23-Aug-16,0.24,0.24,0.24,0.24,728600
22-Aug-16,0.24,0.25,0.24,0.24,265400
19-Aug-16,0.25,0.26,0.24,0.24,148300
18-Aug-16,0.25,0.26,0.24,0.25,784100
17-Aug-16,0.24,0.26,0.24,0.26,1730100
16-Aug-16,0.25,0.25,0.24,0.24,1015500
15-Aug-16,0.24,0.25,0.24,0.25,1059200
12-Aug-16,0.24,0.24,0.24,0.24,340800
11-Aug-16,0.24,0.24,0.24,0.24,963600
10-Aug-16,0.24,0.24,0.24,0.24,431900
9-Aug-16,0.24,0.24,0.24,0.24,282300
8-Aug-16,0.24,0.24,0.24,0.24,267000
5-Aug-16,0.24,0.24,0.24,0.24,289900
4-Aug-16,0.24,0.24,0.24,0.24,114700
3-Aug-16,0.24,0.24,0.24,0.24,316100
2-Aug-16,0.24,0.24,0.24,0.24,272300
1-Aug-16,0.24,0.24,0.24,0.24,384600
29-Jul-16,0.24,0.24,0.24,0.24,8361500
28-Jul-16,0.24,0.24,0.24,0.24,281000
27-Jul-16,0.24,0.24,0.24,0.24,510400
26-Jul-16,0.24,0.24,0.23,0.24,682400
25-Jul-16,0.24,0.24,0.23,0.24,183300
22-Jul-16,0.23,0.24,0.23,0.24,523500
21-Jul-16,0.24,0.24,0.23,0.23,503500
