Date,Open,High,Low,Close,Volume
7-Oct-16,4.30,4.32,4.30,4.30,140200
6-Oct-16,4.34,4.34,4.21,4.32,34300
5-Oct-16,4.30,4.34,4.29,4.34,107300
4-Oct-16,4.20,4.35,4.20,4.35,129200
30-Sep-16,4.16,4.27,4.15,4.17,22300
29-Sep-16,4.26,4.26,4.16,4.16,1600
28-Sep-16,4.26,4.30,4.20,4.21,198400
27-Sep-16,4.25,4.26,4.17,4.26,880000
26-Sep-16,4.16,4.26,4.16,4.25,676600
23-Sep-16,4.16,4.16,4.15,4.16,36700
22-Sep-16,4.12,4.15,4.12,4.15,140300
21-Sep-16,4.13,4.15,4.10,4.10,717100
20-Sep-16,4.10,4.20,4.10,4.13,29100
19-Sep-16,4.20,4.20,4.08,4.08,187000
15-Sep-16,4.20,4.20,4.15,4.18,167300
14-Sep-16,4.20,4.20,4.16,4.16,136200
13-Sep-16,4.30,4.30,4.20,4.23,55200
9-Sep-16,4.35,4.35,4.35,4.35,2200
8-Sep-16,4.36,4.36,4.36,4.36,22400
7-Sep-16,4.26,4.37,4.26,4.36,748500
6-Sep-16,4.21,4.30,4.21,4.30,86600
5-Sep-16,4.25,4.25,4.17,4.24,118500
2-Sep-16,4.25,4.25,4.23,4.24,39400
1-Sep-16,4.26,4.36,4.20,4.23,275400
30-Aug-16,4.30,4.30,4.15,4.15,44300
29-Aug-16,4.32,4.32,4.32,4.32,5200
26-Aug-16,4.30,4.33,4.30,4.31,769900
25-Aug-16,4.30,4.30,4.27,4.30,511600
24-Aug-16,4.28,4.31,4.28,4.30,238800
23-Aug-16,4.25,4.31,4.25,4.30,225900
22-Aug-16,4.26,4.30,4.26,4.27,296900
19-Aug-16,4.12,4.26,4.12,4.26,153900
18-Aug-16,4.20,4.30,4.20,4.25,870100
17-Aug-16,4.14,4.24,4.06,4.19,334700
16-Aug-16,4.15,4.15,4.10,4.14,251500
15-Aug-16,4.20,4.26,3.97,4.04,951300
12-Aug-16,4.20,4.20,4.14,4.20,18400
11-Aug-16,4.19,4.20,4.16,4.20,441800
10-Aug-16,4.18,4.20,4.18,4.20,850000
9-Aug-16,4.10,4.18,4.10,4.17,284100
8-Aug-16,4.06,4.10,4.05,4.10,235300
5-Aug-16,4.10,4.10,4.06,4.06,100100
4-Aug-16,4.01,4.10,4.01,4.09,528900
3-Aug-16,3.99,4.01,3.99,4.01,9000
2-Aug-16,3.99,4.00,3.99,3.99,9800
1-Aug-16,3.99,4.01,3.99,4.01,24400
29-Jul-16,4.05,4.05,4.01,4.01,16900
28-Jul-16,4.02,4.03,4.00,4.00,17800
27-Jul-16,4.00,4.02,4.00,4.00,162600
26-Jul-16,4.00,4.00,3.99,4.00,128200
25-Jul-16,4.00,4.00,4.00,4.00,8100
22-Jul-16,3.97,4.02,3.96,4.00,61600
