Date,Open,High,Low,Close,Volume
7-Oct-16,1.50,1.51,1.49,1.50,2960200
6-Oct-16,1.51,1.53,1.49,1.50,2655900
5-Oct-16,1.49,1.51,1.49,1.51,12753400
4-Oct-16,1.50,1.50,1.47,1.48,280400
30-Sep-16,1.49,1.50,1.47,1.48,379700
29-Sep-16,1.49,1.50,1.46,1.50,426100
28-Sep-16,1.46,1.50,1.46,1.49,525700
27-Sep-16,1.45,1.46,1.45,1.46,141200
26-Sep-16,1.46,1.46,1.45,1.45,106000
23-Sep-16,1.47,1.47,1.45,1.46,101100
22-Sep-16,1.47,1.47,1.45,1.47,204000
21-Sep-16,1.47,1.48,1.45,1.47,357400
20-Sep-16,1.47,1.47,1.46,1.47,95600
19-Sep-16,1.47,1.48,1.46,1.47,236100
15-Sep-16,1.45,1.47,1.45,1.47,207800
14-Sep-16,1.46,1.47,1.45,1.45,109400
13-Sep-16,1.46,1.48,1.45,1.46,156500
9-Sep-16,1.46,1.46,1.45,1.46,177600
8-Sep-16,1.46,1.46,1.45,1.45,366700
7-Sep-16,1.46,1.48,1.45,1.46,902500
6-Sep-16,1.45,1.46,1.44,1.46,1128800
5-Sep-16,1.46,1.46,1.45,1.46,541100
2-Sep-16,1.47,1.50,1.46,1.48,1028400
1-Sep-16,1.47,1.48,1.44,1.47,320000
30-Aug-16,1.46,1.48,1.44,1.48,761000
29-Aug-16,1.47,1.47,1.45,1.46,650000
26-Aug-16,1.45,1.47,1.45,1.46,285100
25-Aug-16,1.43,1.45,1.43,1.45,255800
24-Aug-16,1.45,1.45,1.44,1.45,488500
23-Aug-16,1.43,1.46,1.41,1.46,1263500
22-Aug-16,1.46,1.46,1.44,1.44,932600
19-Aug-16,1.45,1.46,1.44,1.45,594600
18-Aug-16,1.47,1.48,1.45,1.45,462100
17-Aug-16,1.49,1.49,1.47,1.48,559700
16-Aug-16,1.48,1.50,1.48,1.49,1629800
15-Aug-16,1.48,1.49,1.46,1.48,2077900
12-Aug-16,1.47,1.50,1.46,1.47,3272200
11-Aug-16,1.48,1.48,1.45,1.47,490000
10-Aug-16,1.47,1.49,1.46,1.47,1946900
