Date,Open,High,Low,Close,Volume
7-Oct-16,0.31,0.35,0.30,0.34,611900
6-Oct-16,0.30,0.30,0.30,0.30,38500
5-Oct-16,0.30,0.31,0.30,0.30,98000
4-Oct-16,0.31,0.31,0.30,0.30,23000
30-Sep-16,0.30,0.32,0.30,0.31,82800
29-Sep-16,0.30,0.32,0.30,0.31,171600
28-Sep-16,0.30,0.31,0.30,0.30,30500
27-Sep-16,0.31,0.32,0.31,0.31,97300
26-Sep-16,0.32,0.32,0.32,0.32,131200
23-Sep-16,0.34,0.34,0.32,0.32,142900
22-Sep-16,0.33,0.34,0.33,0.34,144000
21-Sep-16,0.33,0.33,0.32,0.32,293500
20-Sep-16,-,-,-,0.34,0
19-Sep-16,0.35,0.35,0.34,0.34,11000
15-Sep-16,0.34,0.34,0.34,0.34,9900
14-Sep-16,0.33,0.34,0.33,0.33,22000
13-Sep-16,0.34,0.34,0.33,0.33,38500
9-Sep-16,0.34,0.35,0.34,0.35,75000
8-Sep-16,0.34,0.35,0.34,0.34,33000
7-Sep-16,0.34,0.34,0.34,0.34,29000
6-Sep-16,0.34,0.34,0.34,0.34,4000
5-Sep-16,0.34,0.34,0.34,0.34,34000
2-Sep-16,0.34,0.34,0.34,0.34,27000
1-Sep-16,0.34,0.34,0.34,0.34,18000
30-Aug-16,0.34,0.34,0.34,0.34,35000
29-Aug-16,0.34,0.34,0.34,0.34,51100
26-Aug-16,0.35,0.35,0.34,0.34,121000
25-Aug-16,-,-,-,0.35,0
24-Aug-16,0.36,0.36,0.34,0.35,97000
23-Aug-16,0.36,0.36,0.35,0.36,112500
22-Aug-16,0.38,0.38,0.36,0.36,170000
19-Aug-16,0.38,0.38,0.38,0.38,160000
18-Aug-16,0.40,0.40,0.38,0.38,211000
17-Aug-16,0.39,0.40,0.38,0.40,107000
16-Aug-16,0.40,0.40,0.38,0.39,272600
15-Aug-16,0.40,0.40,0.39,0.39,170000
12-Aug-16,0.40,0.40,0.39,0.40,329400
11-Aug-16,0.38,0.40,0.38,0.40,280600
10-Aug-16,0.39,0.40,0.38,0.38,885700
9-Aug-16,0.38,0.38,0.37,0.37,20400
8-Aug-16,0.38,0.40,0.38,0.38,925100
5-Aug-16,0.35,0.39,0.34,0.38,1171600
4-Aug-16,0.34,0.37,0.33,0.36,411400
3-Aug-16,0.34,0.34,0.34,0.34,180500
2-Aug-16,0.38,0.38,0.35,0.35,162800
1-Aug-16,0.36,0.38,0.36,0.38,516500
29-Jul-16,0.32,0.38,0.32,0.36,1344000
28-Jul-16,0.32,0.34,0.31,0.34,533400
27-Jul-16,0.34,0.34,0.34,0.34,72000
26-Jul-16,0.35,0.36,0.34,0.34,80000
25-Jul-16,0.36,0.36,0.34,0.34,38900
22-Jul-16,0.34,0.35,0.34,0.35,24400
21-Jul-16,0.35,0.35,0.34,0.34,18000
20-Jul-16,0.34,0.35,0.34,0.35,73900
19-Jul-16,0.35,0.35,0.34,0.35,114000
18-Jul-16,0.36,0.36,0.35,0.35,155100
15-Jul-16,0.34,0.34,0.34,0.34,59000
14-Jul-16,-,-,-,0.34,0
13-Jul-16,0.35,0.35,0.34,0.34,36000
12-Jul-16,0.34,0.35,0.34,0.34,14000
11-Jul-16,0.35,0.35,0.34,0.35,40000
8-Jul-16,-,-,-,0.36,0
5-Jul-16,0.36,0.36,0.36,0.36,500
4-Jul-16,0.35,0.35,0.35,0.35,13900
1-Jul-16,0.35,0.35,0.35,0.35,5000
30-Jun-16,0.36,0.36,0.35,0.35,42900
29-Jun-16,0.34,0.36,0.34,0.36,10100
28-Jun-16,0.36,0.36,0.36,0.36,15000
27-Jun-16,0.34,0.34,0.34,0.34,71100
24-Jun-16,0.36,0.36,0.35,0.35,70000
23-Jun-16,-,-,-,0.36,0
21-Jun-16,0.36,0.36,0.36,0.36,60000
20-Jun-16,0.36,0.36,0.36,0.36,90800
17-Jun-16,0.37,0.37,0.36,0.36,60000
16-Jun-16,0.37,0.37,0.36,0.36,47000
15-Jun-16,0.38,0.38,0.37,0.37,11000
14-Jun-16,0.38,0.38,0.38,0.38,36200
13-Jun-16,0.40,0.40,0.38,0.38,107600
10-Jun-16,0.39,0.39,0.39,0.39,66000
9-Jun-16,0.38,0.39,0.38,0.39,91500
8-Jun-16,0.38,0.38,0.38,0.38,10000
7-Jun-16,0.36,0.38,0.36,0.37,109400
6-Jun-16,0.36,0.36,0.36,0.36,42000
3-Jun-16,-,-,-,0.37,0
2-Jun-16,0.37,0.37,0.37,0.37,10000
1-Jun-16,0.36,0.37,0.36,0.36,181000
31-May-16,0.38,0.38,0.36,0.37,270700
30-May-16,0.37,0.37,0.37,0.37,10700
27-May-16,0.38,0.38,0.37,0.37,320200
26-May-16,0.38,0.38,0.38,0.38,30000
25-May-16,0.38,0.38,0.38,0.38,51000
24-May-16,0.38,0.38,0.38,0.38,58000
23-May-16,0.39,0.39,0.38,0.38,158000
20-May-16,0.39,0.39,0.38,0.39,97000
19-May-16,-,-,-,0.40,0
18-May-16,0.42,0.42,0.38,0.40,91700
17-May-16,0.38,0.42,0.38,0.40,846600
16-May-16,0.38,0.38,0.38,0.38,10700
13-May-16,0.40,0.40,0.40,0.40,10000
12-May-16,0.38,0.40,0.38,0.40,188100
11-May-16,0.38,0.38,0.38,0.38,5000
10-May-16,0.38,0.38,0.38,0.38,155000
9-May-16,0.39,0.39,0.38,0.38,178500
6-May-16,0.38,0.39,0.38,0.39,56900
5-May-16,0.38,0.38,0.38,0.38,70000
4-May-16,0.38,0.39,0.38,0.38,54000
3-May-16,0.39,0.39,0.38,0.39,173600
29-Apr-16,0.40,0.40,0.40,0.40,99000
28-Apr-16,0.40,0.40,0.40,0.40,73000
27-Apr-16,0.40,0.40,0.40,0.40,173000
26-Apr-16,0.40,0.40,0.39,0.40,423000
25-Apr-16,0.40,0.41,0.40,0.40,130000
22-Apr-16,0.40,0.41,0.40,0.41,142500
21-Apr-16,0.41,0.42,0.40,0.40,912900
20-Apr-16,0.41,0.42,0.41,0.42,224600
19-Apr-16,0.42,0.42,0.41,0.42,115400
18-Apr-16,0.42,0.42,0.42,0.42,154900
