Date,Open,High,Low,Close,Volume
7-Oct-16,14.82,14.82,14.82,14.82,2000
6-Oct-16,14.90,14.92,14.80,14.92,1900
5-Oct-16,14.76,14.94,14.76,14.94,7400
4-Oct-16,14.80,14.80,14.76,14.80,21300
30-Sep-16,14.78,14.78,14.70,14.76,10000
29-Sep-16,-,-,-,14.90,0
28-Sep-16,14.82,14.90,14.80,14.90,3600
27-Sep-16,14.84,14.88,14.80,14.80,20700
26-Sep-16,14.80,14.82,14.80,14.80,12000
23-Sep-16,14.80,14.82,14.76,14.80,28900
22-Sep-16,14.82,14.82,14.80,14.80,17600
21-Sep-16,14.78,14.86,14.78,14.84,3200
20-Sep-16,14.80,14.80,14.78,14.80,800
19-Sep-16,14.80,14.80,14.76,14.80,18800
15-Sep-16,14.80,14.82,14.80,14.80,10900
14-Sep-16,14.80,14.82,14.80,14.82,10500
13-Sep-16,14.80,14.82,14.80,14.82,13400
9-Sep-16,14.80,14.90,14.80,14.80,10600
8-Sep-16,14.80,14.80,14.80,14.80,300
7-Sep-16,14.90,14.90,14.76,14.80,9200
6-Sep-16,14.80,14.80,14.80,14.80,8900
5-Sep-16,14.80,14.80,14.80,14.80,2200
2-Sep-16,14.84,14.86,14.80,14.80,14000
1-Sep-16,14.80,14.80,14.80,14.80,13100
30-Aug-16,14.86,14.86,14.80,14.80,6100
29-Aug-16,-,-,-,14.90,0
26-Aug-16,14.78,14.90,14.76,14.90,2200
25-Aug-16,14.74,14.74,14.74,14.74,200
24-Aug-16,14.88,14.88,14.74,14.74,14000
23-Aug-16,-,-,-,14.90,0
22-Aug-16,14.92,14.92,14.90,14.90,1600
19-Aug-16,14.92,14.92,14.92,14.92,1000
18-Aug-16,15.10,15.10,14.90,15.00,10200
17-Aug-16,15.26,15.30,15.26,15.30,24600
16-Aug-16,15.26,15.28,15.24,15.28,17300
15-Aug-16,15.24,15.24,15.12,15.24,9800
12-Aug-16,15.20,15.20,15.16,15.20,19300
11-Aug-16,15.16,15.20,15.16,15.16,10000
10-Aug-16,15.18,15.20,15.16,15.16,6600
9-Aug-16,15.20,15.20,15.10,15.18,3900
8-Aug-16,15.10,15.20,15.02,15.20,17500
5-Aug-16,15.22,15.22,15.10,15.20,8600
4-Aug-16,15.22,15.24,15.20,15.20,8200
3-Aug-16,15.10,15.16,15.00,15.00,15000
2-Aug-16,15.10,15.10,15.06,15.08,1500
1-Aug-16,15.04,15.04,14.96,15.00,31700
29-Jul-16,15.04,15.04,15.02,15.04,18500
28-Jul-16,14.92,15.04,14.90,15.04,9000
27-Jul-16,15.12,15.24,14.80,14.94,13900
26-Jul-16,14.90,15.10,14.90,15.10,7800
25-Jul-16,14.80,14.90,14.80,14.90,6700
22-Jul-16,14.80,14.82,14.80,14.82,9900
21-Jul-16,14.74,14.82,14.70,14.70,36800
20-Jul-16,14.62,14.70,14.60,14.70,7700
19-Jul-16,14.70,14.76,14.64,14.64,19400
18-Jul-16,14.72,14.74,14.70,14.70,13300
15-Jul-16,14.70,14.74,14.70,14.70,13000
14-Jul-16,14.72,14.72,14.68,14.70,9200
13-Jul-16,14.76,14.76,14.70,14.70,7100
12-Jul-16,14.70,14.74,14.70,14.70,9100
11-Jul-16,14.74,14.74,14.70,14.72,10600
8-Jul-16,14.82,14.86,14.70,14.70,4700
5-Jul-16,14.84,14.84,14.80,14.80,2500
4-Jul-16,14.88,14.88,14.84,14.84,1500
1-Jul-16,14.88,14.88,14.80,14.88,1800
30-Jun-16,14.82,14.88,14.80,14.88,1400
29-Jun-16,14.70,14.80,14.68,14.68,5600
28-Jun-16,14.60,14.82,14.60,14.70,3100
27-Jun-16,14.60,14.60,14.60,14.60,6800
24-Jun-16,14.76,14.76,14.60,14.60,9200
23-Jun-16,-,-,-,14.76,0
21-Jun-16,14.78,14.78,14.76,14.76,2300
20-Jun-16,14.74,14.80,14.60,14.80,3600
17-Jun-16,14.70,14.72,14.70,14.72,2600
16-Jun-16,14.62,14.70,14.62,14.62,7600
15-Jun-16,14.70,14.70,14.64,14.68,2800
14-Jun-16,14.70,14.70,14.70,14.70,2000
13-Jun-16,14.76,14.76,14.68,14.68,13200
10-Jun-16,14.70,14.70,14.68,14.68,2800
9-Jun-16,14.70,14.70,14.70,14.70,3000
