Date,Open,High,Low,Close,Volume
7-Oct-16,0.12,0.12,0.12,0.12,90500
6-Oct-16,0.12,0.12,0.12,0.12,307500
5-Oct-16,0.12,0.12,0.12,0.12,125000
4-Oct-16,0.12,0.12,0.12,0.12,41100
30-Sep-16,0.12,0.12,0.12,0.12,298000
29-Sep-16,0.13,0.13,0.12,0.12,262300
28-Sep-16,0.12,0.12,0.12,0.12,245000
27-Sep-16,0.14,0.14,0.13,0.13,512100
26-Sep-16,0.13,0.15,0.13,0.14,3996200
23-Sep-16,0.13,0.14,0.13,0.13,1514900
22-Sep-16,0.12,0.13,0.12,0.12,422600
21-Sep-16,0.12,0.14,0.12,0.13,409700
20-Sep-16,0.12,0.12,0.12,0.12,279400
19-Sep-16,0.14,0.14,0.12,0.13,1253700
15-Sep-16,0.12,0.13,0.12,0.13,2020000
14-Sep-16,0.12,0.12,0.11,0.12,109500
13-Sep-16,0.11,0.13,0.11,0.12,1047000
9-Sep-16,0.10,0.11,0.10,0.11,681400
8-Sep-16,0.10,0.10,0.10,0.10,63000
7-Sep-16,0.11,0.11,0.10,0.10,85000
6-Sep-16,0.10,0.11,0.10,0.11,1111200
5-Sep-16,-,-,-,0.10,0
2-Sep-16,-,-,-,0.10,0
1-Sep-16,0.10,0.10,0.10,0.10,18900
30-Aug-16,0.10,0.10,0.10,0.10,13000
29-Aug-16,0.10,0.10,0.10,0.10,10000
26-Aug-16,0.10,0.10,0.10,0.10,126100
25-Aug-16,0.10,0.11,0.10,0.10,63000
24-Aug-16,-,-,-,0.11,0
23-Aug-16,-,-,-,0.11,0
22-Aug-16,0.10,0.11,0.10,0.11,144600
19-Aug-16,0.12,0.12,0.11,0.12,149000
18-Aug-16,0.11,0.11,0.10,0.11,175000
17-Aug-16,0.11,0.12,0.10,0.12,71600
16-Aug-16,0.11,0.12,0.10,0.11,675900
15-Aug-16,0.10,0.10,0.10,0.10,100400
12-Aug-16,0.11,0.11,0.10,0.11,33500
11-Aug-16,0.10,0.10,0.10,0.10,40200
10-Aug-16,0.10,0.12,0.10,0.10,551800
9-Aug-16,0.10,0.10,0.10,0.10,40400
8-Aug-16,0.10,0.11,0.10,0.11,117300
5-Aug-16,0.10,0.12,0.10,0.11,849900
4-Aug-16,0.10,0.10,0.10,0.10,310200
3-Aug-16,-,-,-,0.10,0
2-Aug-16,0.10,0.10,0.10,0.10,147700
1-Aug-16,0.12,0.12,0.09,0.10,1309000
29-Jul-16,0.12,0.12,0.11,0.12,151700
28-Jul-16,-,-,-,0.12,0
27-Jul-16,0.12,0.12,0.12,0.12,95600
26-Jul-16,0.12,0.12,0.12,0.12,65000
25-Jul-16,0.12,0.12,0.12,0.12,80000
22-Jul-16,0.12,0.12,0.12,0.12,30000
21-Jul-16,0.12,0.12,0.12,0.12,108600
20-Jul-16,-,-,-,0.12,0
19-Jul-16,-,-,-,0.12,0
18-Jul-16,0.12,0.12,0.12,0.12,178400
15-Jul-16,0.12,0.12,0.12,0.12,195100
14-Jul-16,0.12,0.12,0.11,0.11,87800
13-Jul-16,0.12,0.12,0.12,0.12,52500
12-Jul-16,0.12,0.12,0.12,0.12,165500
11-Jul-16,0.10,0.15,0.10,0.12,4719500
8-Jul-16,0.10,0.10,0.10,0.10,23000
5-Jul-16,0.10,0.10,0.10,0.10,70000
4-Jul-16,-,-,-,0.11,0
1-Jul-16,0.11,0.11,0.11,0.11,150000
30-Jun-16,-,-,-,0.11,0
29-Jun-16,-,-,-,0.11,0
28-Jun-16,0.10,0.11,0.10,0.11,140100
27-Jun-16,0.11,0.11,0.11,0.11,113000
24-Jun-16,0.12,0.12,0.12,0.12,300000
23-Jun-16,0.11,0.11,0.11,0.11,68000
21-Jun-16,0.12,0.12,0.12,0.12,50000
20-Jun-16,0.12,0.12,0.12,0.12,50000
17-Jun-16,0.12,0.12,0.12,0.12,55000
16-Jun-16,0.12,0.12,0.12,0.12,241000
