Date,Open,High,Low,Close,Volume
7-Oct-16,0.66,0.66,0.66,0.66,215900
6-Oct-16,0.66,0.66,0.66,0.66,641800
5-Oct-16,0.66,0.66,0.66,0.66,1015200
4-Oct-16,0.66,0.66,0.66,0.66,1385200
30-Sep-16,0.66,0.66,0.66,0.66,890100
29-Sep-16,0.66,0.66,0.65,0.66,1062000
28-Sep-16,0.66,0.66,0.65,0.66,4103400
27-Sep-16,0.68,0.68,0.66,0.66,2922600
26-Sep-16,0.68,0.68,0.68,0.68,3525000
23-Sep-16,0.67,0.68,0.67,0.67,1809800
22-Sep-16,0.66,0.67,0.66,0.66,1264400
21-Sep-16,0.66,0.68,0.66,0.66,3851000
20-Sep-16,0.66,0.67,0.66,0.66,1455500
19-Sep-16,0.66,0.66,0.65,0.66,1793000
15-Sep-16,0.66,0.66,0.65,0.66,2006600
14-Sep-16,0.66,0.66,0.66,0.66,574300
13-Sep-16,0.66,0.66,0.66,0.66,820800
9-Sep-16,0.68,0.68,0.66,0.67,932000
8-Sep-16,0.68,0.68,0.68,0.68,1533100
7-Sep-16,0.66,0.68,0.66,0.68,1186100
6-Sep-16,0.67,0.68,0.66,0.66,990300
5-Sep-16,0.67,0.68,0.67,0.68,480800
2-Sep-16,0.67,0.67,0.66,0.66,291100
1-Sep-16,0.68,0.68,0.66,0.66,467000
30-Aug-16,0.68,0.68,0.68,0.68,973900
29-Aug-16,0.67,0.68,0.66,0.66,310300
26-Aug-16,0.66,0.67,0.66,0.67,456100
25-Aug-16,0.66,0.66,0.66,0.66,501200
24-Aug-16,0.66,0.67,0.66,0.66,334200
23-Aug-16,0.66,0.67,0.66,0.66,699500
22-Aug-16,0.68,0.68,0.66,0.66,1946500
19-Aug-16,0.68,0.68,0.68,0.68,1311500
18-Aug-16,0.68,0.68,0.68,0.68,2752700
17-Aug-16,0.68,0.69,0.68,0.68,4228800
16-Aug-16,0.68,0.70,0.68,0.68,6494500
15-Aug-16,0.68,0.68,0.68,0.68,1075100
12-Aug-16,0.68,0.68,0.68,0.68,1822900
11-Aug-16,0.69,0.69,0.68,0.68,2619400
10-Aug-16,0.70,0.70,0.68,0.69,673400
9-Aug-16,0.70,0.70,0.69,0.69,1468700
8-Aug-16,0.68,0.70,0.68,0.70,1326500
5-Aug-16,0.68,0.69,0.68,0.68,317000
4-Aug-16,0.68,0.68,0.67,0.68,308400
3-Aug-16,0.68,0.68,0.68,0.68,175400
2-Aug-16,0.68,0.68,0.68,0.68,223000
1-Aug-16,0.68,0.69,0.68,0.69,75000
29-Jul-16,0.68,0.68,0.68,0.68,421000
28-Jul-16,0.68,0.68,0.68,0.68,82900
27-Jul-16,0.70,0.70,0.68,0.69,102200
26-Jul-16,0.69,0.70,0.69,0.70,118800
25-Jul-16,0.68,0.71,0.68,0.69,361200
22-Jul-16,0.68,0.68,0.68,0.68,123800
21-Jul-16,0.68,0.68,0.68,0.68,113700
20-Jul-16,0.68,0.68,0.68,0.68,65300
19-Jul-16,0.69,0.70,0.68,0.68,444500
18-Jul-16,0.68,0.69,0.68,0.68,142900
15-Jul-16,0.69,0.70,0.68,0.69,172000
14-Jul-16,0.70,0.70,0.68,0.70,200100
13-Jul-16,0.69,0.70,0.68,0.70,307900
12-Jul-16,0.69,0.70,0.69,0.70,227000
11-Jul-16,0.70,0.70,0.69,0.69,70300
8-Jul-16,0.69,0.70,0.69,0.69,76000
5-Jul-16,0.70,0.70,0.70,0.70,32000
4-Jul-16,0.70,0.70,0.69,0.70,100100
1-Jul-16,0.69,0.70,0.68,0.70,716500
30-Jun-16,0.68,0.70,0.68,0.69,341400
29-Jun-16,0.68,0.68,0.68,0.68,152400
28-Jun-16,0.69,0.69,0.68,0.68,114000
27-Jun-16,0.68,0.68,0.68,0.68,79400
24-Jun-16,0.69,0.69,0.68,0.69,538600
23-Jun-16,0.68,0.72,0.68,0.72,424900
21-Jun-16,0.69,0.69,0.68,0.68,140000
20-Jun-16,0.69,0.69,0.68,0.69,211300
17-Jun-16,0.70,0.70,0.69,0.69,620100
16-Jun-16,0.70,0.70,0.68,0.69,230400
15-Jun-16,0.70,0.70,0.70,0.70,196000
14-Jun-16,0.70,0.70,0.70,0.70,410000
13-Jun-16,0.72,0.72,0.70,0.71,339300
10-Jun-16,0.70,0.72,0.70,0.72,1844100
9-Jun-16,0.68,0.70,0.68,0.70,1751600
8-Jun-16,0.68,0.68,0.67,0.67,397900
7-Jun-16,0.66,0.70,0.66,0.69,1268000
6-Jun-16,0.66,0.66,0.66,0.66,577800
3-Jun-16,0.67,0.68,0.66,0.67,723600
2-Jun-16,0.67,0.68,0.66,0.67,361800
1-Jun-16,0.68,0.68,0.66,0.66,843700
31-May-16,0.69,0.69,0.68,0.68,183200
30-May-16,0.70,0.70,0.68,0.69,59600
