Date,Open,High,Low,Close,Volume
7-Oct-16,-,-,-,0.32,0
6-Oct-16,0.32,0.33,0.32,0.32,42000
5-Oct-16,0.32,0.32,0.32,0.32,6500
4-Oct-16,-,-,-,0.34,0
30-Sep-16,0.32,0.36,0.32,0.34,85800
29-Sep-16,0.32,0.33,0.31,0.32,102000
28-Sep-16,0.32,0.32,0.32,0.32,31100
27-Sep-16,0.32,0.32,0.32,0.32,1000
26-Sep-16,0.34,0.34,0.34,0.34,100
23-Sep-16,0.33,0.33,0.32,0.33,10200
22-Sep-16,0.32,0.33,0.32,0.32,49100
21-Sep-16,0.32,0.32,0.32,0.32,1000
20-Sep-16,0.32,0.32,0.32,0.32,1000
19-Sep-16,0.32,0.34,0.32,0.34,12000
15-Sep-16,0.33,0.33,0.32,0.32,11000
14-Sep-16,0.32,0.34,0.32,0.34,30000
13-Sep-16,-,-,-,0.32,0
9-Sep-16,0.32,0.32,0.32,0.32,5900
8-Sep-16,0.32,0.33,0.32,0.32,46300
7-Sep-16,0.32,0.32,0.32,0.32,7000
6-Sep-16,0.32,0.34,0.32,0.34,21100
5-Sep-16,-,-,-,0.32,0
2-Sep-16,0.32,0.32,0.32,0.32,14000
1-Sep-16,0.32,0.34,0.32,0.34,74200
30-Aug-16,0.32,0.36,0.32,0.32,63200
29-Aug-16,0.32,0.32,0.32,0.32,110900
26-Aug-16,-,-,-,0.32,0
25-Aug-16,0.32,0.32,0.31,0.32,85100
24-Aug-16,0.33,0.34,0.32,0.32,101000
23-Aug-16,-,-,-,0.34,0
22-Aug-16,0.33,0.34,0.33,0.34,37000
19-Aug-16,0.33,0.35,0.33,0.34,90800
18-Aug-16,0.33,0.34,0.33,0.34,11000
17-Aug-16,0.33,0.34,0.32,0.32,2400
16-Aug-16,0.33,0.33,0.32,0.32,5200
15-Aug-16,0.32,0.34,0.32,0.32,33100
12-Aug-16,0.34,0.34,0.34,0.34,3800
11-Aug-16,-,-,-,0.34,0
10-Aug-16,0.32,0.34,0.32,0.34,12000
9-Aug-16,0.34,0.34,0.34,0.34,25000
8-Aug-16,0.32,0.34,0.32,0.34,28100
5-Aug-16,0.32,0.32,0.32,0.32,8000
4-Aug-16,0.32,0.34,0.32,0.34,14000
3-Aug-16,0.32,0.34,0.32,0.32,17000
2-Aug-16,0.32,0.32,0.32,0.32,14000
1-Aug-16,0.33,0.33,0.32,0.32,25900
29-Jul-16,0.35,0.36,0.32,0.36,15100
28-Jul-16,0.34,0.34,0.34,0.34,3000
27-Jul-16,0.34,0.35,0.34,0.34,11200
26-Jul-16,0.34,0.36,0.34,0.36,434800
25-Jul-16,0.32,0.32,0.32,0.32,3000
22-Jul-16,0.32,0.34,0.32,0.34,127000
21-Jul-16,0.31,0.32,0.31,0.32,27000
20-Jul-16,0.31,0.31,0.30,0.31,66000
19-Jul-16,0.29,0.32,0.29,0.32,117000
18-Jul-16,0.28,0.30,0.28,0.28,5000
15-Jul-16,0.28,0.28,0.28,0.28,1000
14-Jul-16,0.29,0.30,0.29,0.29,29100
13-Jul-16,0.29,0.29,0.29,0.29,27800
12-Jul-16,0.30,0.32,0.28,0.29,325300
11-Jul-16,0.30,0.30,0.30,0.30,19800
8-Jul-16,0.30,0.30,0.30,0.30,1000
5-Jul-16,0.31,0.31,0.31,0.31,4000
4-Jul-16,0.30,0.30,0.30,0.30,17100
1-Jul-16,-,-,-,0.31,0
30-Jun-16,0.30,0.31,0.30,0.31,6000
29-Jun-16,0.30,0.30,0.30,0.30,4900
28-Jun-16,0.30,0.34,0.30,0.34,43500
27-Jun-16,0.30,0.30,0.30,0.30,36000
24-Jun-16,0.32,0.32,0.30,0.30,133000
23-Jun-16,0.32,0.32,0.32,0.32,57000
21-Jun-16,0.32,0.32,0.32,0.32,101000
20-Jun-16,0.32,0.32,0.32,0.32,15000
17-Jun-16,0.32,0.32,0.32,0.32,23000
16-Jun-16,0.32,0.33,0.32,0.32,40000
15-Jun-16,0.32,0.32,0.32,0.32,61600
14-Jun-16,0.33,0.34,0.31,0.32,156800
13-Jun-16,0.34,0.34,0.34,0.34,7000
10-Jun-16,0.34,0.34,0.34,0.34,10000
9-Jun-16,0.32,0.34,0.32,0.34,60000
8-Jun-16,-,-,-,0.32,0
7-Jun-16,0.32,0.32,0.32,0.32,11000
6-Jun-16,0.32,0.32,0.32,0.32,20000
