Date,Open,High,Low,Close,Volume
7-Oct-16,14.44,14.44,14.32,14.36,8804600
6-Oct-16,14.34,14.40,14.32,14.36,10148900
5-Oct-16,14.34,14.38,14.30,14.34,13120000
4-Oct-16,14.44,14.48,14.30,14.34,11582500
30-Sep-16,14.34,14.40,14.28,14.30,15348100
29-Sep-16,14.42,14.42,14.34,14.36,7378600
28-Sep-16,14.44,14.54,14.36,14.42,10240900
27-Sep-16,14.38,14.40,14.36,14.40,10221700
26-Sep-16,14.36,14.42,14.34,14.40,8619900
23-Sep-16,14.44,14.44,14.30,14.40,6783000
22-Sep-16,14.36,14.48,14.36,14.40,9370700
21-Sep-16,14.40,14.42,14.32,14.40,7056100
20-Sep-16,14.66,14.66,14.34,14.40,5691000
19-Sep-16,14.60,14.70,14.34,14.42,5281600
15-Sep-16,14.34,14.50,14.34,14.36,13228600
14-Sep-16,14.50,14.50,14.32,14.40,9009600
13-Sep-16,14.44,14.54,14.30,14.54,10602400
9-Sep-16,14.50,14.50,14.30,14.44,7211200
8-Sep-16,14.62,14.62,14.52,14.56,5388900
7-Sep-16,14.64,14.72,14.52,14.56,7160200
6-Sep-16,14.70,14.74,14.64,14.68,10053600
5-Sep-16,14.60,14.70,14.60,14.68,8468800
2-Sep-16,14.74,14.74,14.60,14.66,6307700
1-Sep-16,14.82,14.82,14.64,14.70,15159600
30-Aug-16,14.80,14.86,14.70,14.74,8493600
29-Aug-16,14.90,14.90,14.76,14.78,9064800
26-Aug-16,14.76,14.90,14.74,14.90,3385400
25-Aug-16,14.76,14.78,14.60,14.74,9558400
24-Aug-16,14.80,14.80,14.60,14.74,10435600
23-Aug-16,14.80,14.82,14.76,14.82,7407900
22-Aug-16,14.74,14.82,14.74,14.80,5412700
19-Aug-16,14.82,14.82,14.76,14.80,7922500
18-Aug-16,14.80,14.82,14.76,14.80,8533000
17-Aug-16,14.84,14.84,14.76,14.80,7603400
16-Aug-16,14.72,14.84,14.68,14.80,13429000
15-Aug-16,14.60,14.76,14.56,14.76,9074200
