Date,Open,High,Low,Close,Volume
7-Oct-16,0.30,0.32,0.30,0.31,1443000
6-Oct-16,0.29,0.31,0.29,0.31,205100
5-Oct-16,0.29,0.30,0.29,0.30,169000
4-Oct-16,0.30,0.30,0.30,0.30,20000
30-Sep-16,0.30,0.31,0.29,0.31,985500
29-Sep-16,0.30,0.30,0.30,0.30,10000
28-Sep-16,0.30,0.31,0.30,0.31,18000
27-Sep-16,0.30,0.30,0.30,0.30,40000
26-Sep-16,0.30,0.30,0.30,0.30,43000
23-Sep-16,0.31,0.31,0.31,0.31,25000
22-Sep-16,0.31,0.34,0.31,0.31,709700
21-Sep-16,0.29,0.32,0.29,0.31,738800
20-Sep-16,0.29,0.30,0.29,0.30,597900
19-Sep-16,0.29,0.31,0.29,0.31,553800
15-Sep-16,0.30,0.30,0.30,0.30,12400
14-Sep-16,-,-,-,0.30,0
13-Sep-16,0.31,0.31,0.30,0.30,59000
9-Sep-16,-,-,-,0.30,0
8-Sep-16,-,-,-,0.30,0
7-Sep-16,0.30,0.30,0.30,0.30,25200
6-Sep-16,0.31,0.31,0.31,0.31,65000
5-Sep-16,0.30,0.30,0.30,0.30,35000
2-Sep-16,0.31,0.32,0.30,0.32,806400
1-Sep-16,0.30,0.32,0.29,0.32,704100
30-Aug-16,0.30,0.30,0.28,0.30,684400
29-Aug-16,0.30,0.30,0.30,0.30,42000
26-Aug-16,-,-,-,0.32,0
25-Aug-16,-,-,-,0.32,0
24-Aug-16,0.32,0.32,0.30,0.32,631000
23-Aug-16,0.31,0.32,0.31,0.32,303300
22-Aug-16,0.31,0.31,0.30,0.31,291400
19-Aug-16,0.30,0.31,0.30,0.31,51700
18-Aug-16,0.30,0.30,0.30,0.30,29000
17-Aug-16,0.30,0.32,0.30,0.32,479100
16-Aug-16,0.30,0.31,0.30,0.30,545500
15-Aug-16,0.30,0.30,0.29,0.30,85000
12-Aug-16,-,-,-,0.31,0
11-Aug-16,-,-,-,0.31,0
10-Aug-16,0.30,0.31,0.30,0.31,270000
9-Aug-16,0.28,0.31,0.28,0.31,456800
8-Aug-16,0.28,0.31,0.28,0.30,915100
5-Aug-16,0.28,0.28,0.28,0.28,137500
4-Aug-16,0.29,0.31,0.28,0.31,419700
3-Aug-16,0.30,0.30,0.30,0.30,161700
2-Aug-16,0.30,0.30,0.29,0.30,241500
1-Aug-16,0.29,0.32,0.29,0.30,1489400
29-Jul-16,0.28,0.28,0.28,0.28,6000
28-Jul-16,0.28,0.28,0.28,0.28,9800
27-Jul-16,0.28,0.30,0.28,0.30,78100
26-Jul-16,0.28,0.28,0.28,0.28,59000
25-Jul-16,0.28,0.28,0.28,0.28,10000
22-Jul-16,-,-,-,0.30,0
21-Jul-16,0.28,0.30,0.28,0.30,194100
20-Jul-16,0.29,0.30,0.28,0.30,75000
19-Jul-16,0.28,0.30,0.28,0.30,85100
18-Jul-16,0.28,0.28,0.28,0.28,42000
15-Jul-16,0.28,0.28,0.28,0.28,53000
14-Jul-16,0.28,0.30,0.28,0.30,128100
13-Jul-16,0.28,0.29,0.28,0.29,25000
12-Jul-16,0.28,0.30,0.28,0.30,890900
11-Jul-16,0.28,0.28,0.28,0.28,50000
8-Jul-16,0.28,0.28,0.28,0.28,18000
5-Jul-16,0.29,0.30,0.29,0.30,20000
4-Jul-16,-,-,-,0.30,0
1-Jul-16,0.30,0.30,0.30,0.30,237500
30-Jun-16,0.29,0.30,0.29,0.30,282000
29-Jun-16,0.30,0.30,0.28,0.30,281300
28-Jun-16,0.30,0.30,0.30,0.30,100000
27-Jun-16,0.28,0.30,0.28,0.30,78500
24-Jun-16,0.28,0.30,0.28,0.28,181000
23-Jun-16,0.29,0.30,0.29,0.30,56000
21-Jun-16,0.29,0.30,0.29,0.30,62000
20-Jun-16,-,-,-,0.31,0
17-Jun-16,0.29,0.31,0.28,0.31,523000
16-Jun-16,0.30,0.32,0.30,0.30,400000
15-Jun-16,0.29,0.30,0.29,0.30,13000
14-Jun-16,0.30,0.30,0.29,0.30,1351900
13-Jun-16,0.30,0.30,0.30,0.30,353000
10-Jun-16,0.30,0.30,0.30,0.30,495000
