Date,Open,High,Low,Close,Volume
7-Oct-16,8.09,8.09,7.95,7.96,947500
6-Oct-16,8.09,8.09,7.92,8.06,1093900
5-Oct-16,8.09,8.11,8.00,8.10,52200
4-Oct-16,8.07,8.20,8.07,8.10,387500
30-Sep-16,8.00,8.10,7.99,8.07,1964900
29-Sep-16,7.89,8.01,7.88,8.00,623900
28-Sep-16,7.80,7.88,7.72,7.87,651400
27-Sep-16,7.71,7.78,7.71,7.78,78700
26-Sep-16,7.80,7.80,7.68,7.71,84900
23-Sep-16,7.81,7.82,7.74,7.80,369700
22-Sep-16,7.72,7.83,7.69,7.81,495700
21-Sep-16,7.66,7.74,7.66,7.72,379200
20-Sep-16,7.76,7.79,7.60,7.70,512800
19-Sep-16,7.81,7.81,7.76,7.80,90100
15-Sep-16,7.60,8.42,7.52,8.42,261700
14-Sep-16,7.52,7.58,7.50,7.58,28900
13-Sep-16,7.84,7.84,7.44,7.57,334200
9-Sep-16,-,-,-,7.81,0
8-Sep-16,7.80,7.90,7.80,7.81,326400
7-Sep-16,7.78,7.91,7.73,7.90,1849200
6-Sep-16,7.99,7.99,7.70,7.90,1184900
5-Sep-16,8.00,8.00,7.91,7.91,21700
2-Sep-16,8.06,8.06,7.98,8.03,399800
1-Sep-16,7.90,8.07,7.89,8.06,200300
30-Aug-16,8.01,8.11,8.01,8.07,523700
29-Aug-16,7.90,8.03,7.90,8.03,5300
26-Aug-16,7.90,8.03,7.90,8.02,471900
25-Aug-16,7.89,8.02,7.89,8.02,493600
24-Aug-16,7.89,7.96,7.89,7.93,1202200
23-Aug-16,7.90,7.90,7.84,7.89,1100200
22-Aug-16,7.93,7.93,7.80,7.84,319000
19-Aug-16,7.95,7.98,7.93,7.93,50300
18-Aug-16,7.98,7.99,7.90,7.98,605400
17-Aug-16,8.00,8.01,7.98,7.99,318200
16-Aug-16,7.90,8.03,7.90,8.00,2165100
15-Aug-16,7.80,7.90,7.80,7.90,419200
12-Aug-16,7.70,7.84,7.70,7.79,227900
11-Aug-16,7.82,7.90,7.76,7.77,1282800
10-Aug-16,7.65,7.92,7.64,7.80,1411500
9-Aug-16,7.60,7.65,7.60,7.65,58800
8-Aug-16,7.49,7.61,7.49,7.60,187300
5-Aug-16,7.48,7.55,7.43,7.55,397200
4-Aug-16,7.55,7.55,7.41,7.50,112100
3-Aug-16,7.50,7.58,7.40,7.55,240400
2-Aug-16,7.50,7.56,7.40,7.50,128900
1-Aug-16,7.31,7.70,7.31,7.63,496300
29-Jul-16,7.50,7.52,7.49,7.52,1202100
28-Jul-16,7.48,7.50,7.47,7.49,22900
27-Jul-16,7.50,7.50,7.40,7.48,18400
26-Jul-16,7.50,7.51,7.40,7.40,75400
25-Jul-16,7.40,7.51,7.40,7.50,184500
22-Jul-16,7.36,7.49,7.36,7.49,281500
21-Jul-16,7.35,7.36,7.26,7.36,388300
20-Jul-16,7.50,7.53,7.35,7.35,424600
19-Jul-16,7.40,7.55,7.31,7.55,469000
18-Jul-16,7.32,7.46,7.30,7.40,246900
15-Jul-16,7.21,7.45,7.21,7.33,61000
14-Jul-16,7.22,7.45,7.22,7.23,55600
13-Jul-16,7.36,7.36,7.21,7.22,168700
12-Jul-16,7.20,7.32,7.20,7.21,103300
11-Jul-16,7.25,7.25,7.19,7.20,144600
8-Jul-16,7.25,7.25,7.25,7.25,200
5-Jul-16,7.40,7.40,7.21,7.21,6000
4-Jul-16,7.40,7.40,7.40,7.40,4700
1-Jul-16,7.42,7.45,7.40,7.41,104700
30-Jun-16,7.40,7.60,7.38,7.60,778800
29-Jun-16,7.17,7.55,7.17,7.55,177000
28-Jun-16,7.10,7.15,7.10,7.15,15000
27-Jun-16,7.09,7.18,7.09,7.12,20400
24-Jun-16,7.15,7.22,7.12,7.22,14100
