Date,Open,High,Low,Close,Volume
7-Oct-16,-,-,-,2.02,0
6-Oct-16,2.03,2.03,2.02,2.02,12000
5-Oct-16,2.02,2.02,2.02,2.02,3000
4-Oct-16,2.02,2.02,2.02,2.02,13000
30-Sep-16,2.04,2.04,2.03,2.03,12500
29-Sep-16,2.05,2.05,2.04,2.04,14000
28-Sep-16,2.04,2.05,2.04,2.05,16000
27-Sep-16,2.05,2.05,2.05,2.05,10000
26-Sep-16,2.04,2.05,2.03,2.05,33000
23-Sep-16,2.04,2.04,2.04,2.04,5000
22-Sep-16,-,-,-,2.04,0
21-Sep-16,2.04,2.04,2.04,2.04,6500
20-Sep-16,2.04,2.06,2.04,2.06,4300
19-Sep-16,2.03,2.04,2.03,2.04,54700
15-Sep-16,-,-,-,2.04,0
14-Sep-16,2.04,2.04,2.04,2.04,4000
13-Sep-16,2.02,2.03,2.02,2.03,4000
9-Sep-16,2.06,2.08,2.06,2.08,9600
8-Sep-16,2.06,2.06,2.06,2.06,12500
7-Sep-16,-,-,-,2.06,0
6-Sep-16,2.02,2.06,2.02,2.06,8500
5-Sep-16,2.06,2.06,2.04,2.06,25000
2-Sep-16,2.06,2.06,2.06,2.06,4000
1-Sep-16,2.03,2.06,1.99,2.06,13500
30-Aug-16,2.04,2.09,2.03,2.08,131100
29-Aug-16,1.99,2.00,1.99,2.00,15000
26-Aug-16,1.99,2.01,1.99,2.01,41500
25-Aug-16,1.97,1.99,1.97,1.99,5000
24-Aug-16,1.99,2.01,1.98,1.98,69700
23-Aug-16,2.00,2.00,2.00,2.00,7000
22-Aug-16,1.98,1.99,1.97,1.98,62500
19-Aug-16,1.98,1.98,1.98,1.98,3500
18-Aug-16,2.00,2.00,1.98,1.98,17200
17-Aug-16,1.98,1.98,1.97,1.97,14000
16-Aug-16,1.96,1.99,1.96,1.99,18000
15-Aug-16,1.96,1.96,1.95,1.95,40000
12-Aug-16,1.96,1.96,1.96,1.96,40000
11-Aug-16,1.92,1.92,1.92,1.92,1500
10-Aug-16,-,-,-,1.95,0
9-Aug-16,1.95,1.95,1.95,1.95,26500
8-Aug-16,1.95,1.95,1.94,1.95,106500
5-Aug-16,1.95,1.95,1.95,1.95,76000
4-Aug-16,1.95,1.95,1.94,1.94,25000
3-Aug-16,1.96,1.96,1.95,1.95,73000
2-Aug-16,1.91,1.95,1.91,1.95,33000
1-Aug-16,1.95,1.95,1.90,1.90,87000
29-Jul-16,1.95,1.95,1.95,1.95,24800
28-Jul-16,1.95,1.95,1.95,1.95,34000
27-Jul-16,1.95,1.95,1.95,1.95,21000
26-Jul-16,1.95,1.95,1.95,1.95,3900
25-Jul-16,1.96,1.96,1.92,1.96,116400
22-Jul-16,1.96,1.96,1.96,1.96,100000
21-Jul-16,1.97,1.97,1.96,1.96,103500
20-Jul-16,1.97,1.97,1.97,1.97,7000
19-Jul-16,1.97,1.99,1.97,1.97,37000
