Date,Open,High,Low,Close,Volume
7-Oct-16,1.81,1.85,1.81,1.85,7600
6-Oct-16,1.79,1.81,1.78,1.81,40300
5-Oct-16,1.80,1.80,1.79,1.79,24000
4-Oct-16,1.83,1.83,1.80,1.80,19100
30-Sep-16,1.84,1.84,1.79,1.82,44500
29-Sep-16,1.81,1.81,1.80,1.81,11000
28-Sep-16,1.79,1.85,1.79,1.84,7100
27-Sep-16,1.81,1.81,1.81,1.81,50000
26-Sep-16,1.87,1.87,1.83,1.83,7900
23-Sep-16,1.81,1.90,1.79,1.87,23600
22-Sep-16,1.81,1.81,1.79,1.79,21800
21-Sep-16,1.79,1.79,1.78,1.78,6000
20-Sep-16,1.79,1.80,1.79,1.80,23000
19-Sep-16,1.80,1.80,1.75,1.77,21400
15-Sep-16,1.78,1.80,1.78,1.80,20100
14-Sep-16,1.80,1.84,1.71,1.79,30400
13-Sep-16,1.81,1.81,1.80,1.80,35000
9-Sep-16,1.89,1.91,1.85,1.85,19000
8-Sep-16,1.90,1.90,1.86,1.88,10700
7-Sep-16,1.92,1.92,1.85,1.88,69100
6-Sep-16,1.83,1.83,1.83,1.83,4600
5-Sep-16,1.94,1.94,1.82,1.82,6000
2-Sep-16,1.81,1.82,1.81,1.82,3000
1-Sep-16,1.80,1.86,1.80,1.86,10600
30-Aug-16,1.78,1.87,1.78,1.87,43600
29-Aug-16,1.82,1.82,1.80,1.82,25500
26-Aug-16,1.80,1.83,1.80,1.82,42100
25-Aug-16,1.75,1.82,1.72,1.82,97100
24-Aug-16,1.74,1.76,1.73,1.75,37400
23-Aug-16,1.73,1.76,1.73,1.76,123600
22-Aug-16,1.70,1.77,1.68,1.76,422000
19-Aug-16,1.85,1.88,1.84,1.86,83700
18-Aug-16,1.90,1.91,1.80,1.89,415900
17-Aug-16,1.96,2.03,1.96,1.97,99000
16-Aug-16,1.95,2.08,1.95,2.00,99000
15-Aug-16,2.04,2.04,1.98,2.00,116000
12-Aug-16,2.04,2.05,2.03,2.04,177600
11-Aug-16,2.08,2.08,2.02,2.08,127200
10-Aug-16,2.12,2.12,2.08,2.10,74700
9-Aug-16,2.16,2.16,2.12,2.14,38000
8-Aug-16,2.16,2.18,2.15,2.18,21500
5-Aug-16,2.20,2.20,2.17,2.19,31300
4-Aug-16,2.24,2.24,2.20,2.23,31100
3-Aug-16,2.21,2.25,2.21,2.24,16400
2-Aug-16,2.25,2.25,2.21,2.21,38600
1-Aug-16,2.40,2.40,2.24,2.24,232600
29-Jul-16,2.22,2.23,2.20,2.23,37600
28-Jul-16,2.20,2.22,2.19,2.22,29000
27-Jul-16,2.22,2.24,2.20,2.23,57400
26-Jul-16,2.24,2.24,2.20,2.21,26600
25-Jul-16,2.15,2.27,2.15,2.24,97400
22-Jul-16,2.10,2.15,2.10,2.15,151400
21-Jul-16,2.12,2.15,2.12,2.13,180200
20-Jul-16,2.13,2.15,2.11,2.14,99800
19-Jul-16,2.18,2.19,2.13,2.13,59000
18-Jul-16,2.20,2.20,2.12,2.18,174400
15-Jul-16,2.24,2.24,2.17,2.21,85300
14-Jul-16,2.25,2.28,2.21,2.27,83600
13-Jul-16,2.13,2.26,2.13,2.24,101800
12-Jul-16,2.25,2.30,2.10,2.13,295500
11-Jul-16,2.25,2.31,2.23,2.25,399600
8-Jul-16,2.26,2.26,2.22,2.25,40200
5-Jul-16,2.21,2.26,2.21,2.22,62000
4-Jul-16,2.28,2.30,2.20,2.26,238400
