Date,Open,High,Low,Close,Volume
7-Oct-16,1.88,1.89,1.87,1.87,84500
6-Oct-16,1.86,1.87,1.86,1.87,33900
5-Oct-16,1.89,1.89,1.89,1.89,124700
4-Oct-16,1.91,1.91,1.89,1.89,97300
30-Sep-16,1.89,1.92,1.89,1.91,262800
29-Sep-16,1.89,1.91,1.88,1.89,180200
28-Sep-16,1.88,1.89,1.87,1.88,60200
27-Sep-16,1.86,1.86,1.86,1.86,54200
26-Sep-16,1.88,1.91,1.85,1.86,259500
23-Sep-16,1.89,1.91,1.88,1.88,159400
22-Sep-16,1.88,1.90,1.88,1.89,53700
21-Sep-16,1.87,1.88,1.85,1.87,304800
20-Sep-16,1.87,1.88,1.85,1.87,151800
19-Sep-16,1.89,1.90,1.85,1.89,88900
15-Sep-16,1.85,1.92,1.85,1.92,164400
14-Sep-16,1.87,1.87,1.83,1.85,188800
13-Sep-16,1.87,1.90,1.87,1.87,75400
9-Sep-16,1.90,1.91,1.87,1.87,231400
8-Sep-16,1.90,1.90,1.89,1.90,224900
7-Sep-16,1.88,1.90,1.88,1.88,74400
6-Sep-16,1.88,1.89,1.87,1.87,12200
5-Sep-16,1.88,1.91,1.88,1.89,418600
2-Sep-16,1.86,1.86,1.86,1.86,1000
1-Sep-16,1.90,1.90,1.88,1.89,26600
30-Aug-16,1.90,1.93,1.90,1.90,31200
29-Aug-16,1.90,1.91,1.90,1.91,32900
26-Aug-16,1.91,1.94,1.90,1.91,36300
25-Aug-16,1.94,1.95,1.91,1.91,21400
24-Aug-16,1.94,1.94,1.94,1.94,12200
23-Aug-16,1.95,1.97,1.94,1.94,27400
22-Aug-16,1.99,2.00,1.95,1.95,33600
19-Aug-16,1.95,1.99,1.95,1.99,650900
18-Aug-16,1.91,1.95,1.91,1.94,89000
17-Aug-16,1.93,1.93,1.90,1.91,90700
16-Aug-16,1.90,1.96,1.89,1.95,659800
15-Aug-16,1.88,1.90,1.87,1.90,166100
12-Aug-16,1.88,1.88,1.86,1.87,50700
11-Aug-16,1.86,1.86,1.85,1.85,12200
10-Aug-16,1.85,1.86,1.85,1.86,87200
9-Aug-16,1.87,1.87,1.86,1.87,9300
8-Aug-16,1.86,1.87,1.86,1.87,5000
5-Aug-16,1.86,1.86,1.86,1.86,9700
4-Aug-16,1.90,1.92,1.86,1.86,68100
3-Aug-16,1.86,1.91,1.85,1.90,172100
2-Aug-16,1.84,1.84,1.82,1.84,111600
1-Aug-16,1.86,1.87,1.80,1.85,31000
29-Jul-16,1.89,1.89,1.87,1.87,6200
28-Jul-16,1.85,1.90,1.85,1.90,210500
27-Jul-16,1.83,1.86,1.83,1.85,106000
26-Jul-16,1.84,1.84,1.80,1.84,148300
25-Jul-16,1.84,1.84,1.82,1.84,90800
22-Jul-16,1.84,1.85,1.82,1.83,319800
21-Jul-16,1.85,1.86,1.82,1.85,160800
20-Jul-16,1.86,1.86,1.83,1.85,61500
19-Jul-16,1.85,1.86,1.85,1.85,97700
18-Jul-16,1.85,1.87,1.85,1.87,104300
15-Jul-16,1.84,1.85,1.83,1.85,209800
14-Jul-16,1.82,1.84,1.82,1.83,31100
13-Jul-16,1.82,1.83,1.80,1.82,660100
12-Jul-16,1.81,1.87,1.80,1.82,105900
11-Jul-16,1.84,1.84,1.81,1.84,63600
8-Jul-16,1.88,1.89,1.84,1.84,18100
5-Jul-16,1.88,1.89,1.87,1.89,113200
4-Jul-16,1.86,1.89,1.86,1.89,36100
1-Jul-16,1.88,1.90,1.86,1.90,24800
30-Jun-16,1.86,1.86,1.82,1.85,69000
29-Jun-16,1.89,1.89,1.86,1.86,56800
28-Jun-16,1.88,1.97,1.88,1.88,33600
27-Jun-16,1.88,1.89,1.88,1.89,71900
24-Jun-16,1.87,1.90,1.85,1.90,79100
23-Jun-16,1.89,1.89,1.85,1.87,141200
