Date,Open,High,Low,Close,Volume
7-Oct-16,0.17,0.18,0.17,0.17,124100
6-Oct-16,0.18,0.18,0.18,0.18,40000
5-Oct-16,0.18,0.18,0.18,0.18,70100
4-Oct-16,0.18,0.19,0.18,0.18,430200
30-Sep-16,0.18,0.18,0.18,0.18,40000
29-Sep-16,0.18,0.18,0.18,0.18,15100
28-Sep-16,0.18,0.18,0.18,0.18,99000
27-Sep-16,0.18,0.18,0.18,0.18,72600
26-Sep-16,0.18,0.18,0.18,0.18,510200
23-Sep-16,0.20,0.20,0.19,0.19,13000
22-Sep-16,0.19,0.19,0.19,0.19,32000
21-Sep-16,0.18,0.20,0.18,0.20,60200
20-Sep-16,0.18,0.19,0.18,0.19,15800
19-Sep-16,0.18,0.18,0.18,0.18,48700
15-Sep-16,0.18,0.18,0.18,0.18,32000
14-Sep-16,0.18,0.18,0.18,0.18,20000
13-Sep-16,-,-,-,0.18,0
9-Sep-16,0.18,0.18,0.18,0.18,59000
8-Sep-16,0.18,0.18,0.18,0.18,20000
7-Sep-16,0.18,0.18,0.18,0.18,60000
6-Sep-16,0.18,0.18,0.18,0.18,2000
5-Sep-16,0.18,0.18,0.18,0.18,21000
2-Sep-16,0.18,0.18,0.18,0.18,30000
1-Sep-16,0.18,0.18,0.18,0.18,26000
30-Aug-16,0.18,0.18,0.18,0.18,3500
29-Aug-16,0.18,0.18,0.18,0.18,74000
26-Aug-16,0.18,0.18,0.18,0.18,30000
25-Aug-16,0.18,0.18,0.18,0.18,32000
24-Aug-16,0.18,0.18,0.18,0.18,62000
23-Aug-16,0.18,0.20,0.18,0.18,341600
22-Aug-16,0.18,0.18,0.18,0.18,191400
19-Aug-16,0.18,0.18,0.18,0.18,12000
18-Aug-16,0.18,0.19,0.18,0.18,144400
17-Aug-16,0.20,0.20,0.19,0.19,399900
16-Aug-16,0.22,0.22,0.20,0.20,102500
15-Aug-16,0.20,0.22,0.20,0.21,56900
12-Aug-16,0.20,0.22,0.20,0.20,727100
