Date,Open,High,Low,Close,Volume
7-Oct-16,4.03,4.07,3.96,3.98,130900
6-Oct-16,4.10,4.15,4.09,4.09,10400
5-Oct-16,4.15,4.23,4.15,4.23,11000
4-Oct-16,4.17,4.25,4.15,4.25,61300
30-Sep-16,4.20,4.30,4.10,4.30,57400
29-Sep-16,4.35,4.35,4.24,4.25,55600
28-Sep-16,4.35,4.35,4.28,4.35,9000
27-Sep-16,4.35,4.35,4.23,4.23,9500
26-Sep-16,4.35,4.39,4.32,4.32,36500
23-Sep-16,4.40,4.40,4.33,4.35,105900
22-Sep-16,4.45,4.46,4.40,4.43,43900
21-Sep-16,4.38,4.44,4.36,4.44,74700
20-Sep-16,4.39,4.41,4.35,4.38,99300
19-Sep-16,4.40,4.40,4.26,4.34,38600
15-Sep-16,4.18,4.34,4.18,4.34,96900
14-Sep-16,4.25,4.30,4.22,4.22,77400
13-Sep-16,4.33,4.33,4.21,4.22,114800
9-Sep-16,4.45,4.54,4.36,4.39,412700
8-Sep-16,4.21,4.40,4.21,4.38,642800
7-Sep-16,4.06,4.22,4.06,4.18,593600
6-Sep-16,4.10,4.18,4.03,4.05,200900
5-Sep-16,3.95,4.07,3.95,4.06,235300
2-Sep-16,3.80,3.96,3.80,3.93,177900
1-Sep-16,3.70,3.96,3.57,3.80,651600
30-Aug-16,3.97,3.97,3.73,3.73,287900
29-Aug-16,4.05,4.05,3.96,3.97,109100
26-Aug-16,4.26,4.28,3.99,4.02,575200
25-Aug-16,4.17,4.28,4.12,4.12,155400
24-Aug-16,4.30,4.30,4.17,4.17,176700
23-Aug-16,4.29,4.39,4.19,4.30,470900
22-Aug-16,4.10,4.40,4.00,4.29,507200
19-Aug-16,4.40,4.42,3.90,4.00,1811000
18-Aug-16,5.10,5.15,3.61,4.40,2904300
17-Aug-16,5.85,5.85,5.15,5.15,1081800
16-Aug-16,6.00,6.00,5.80,5.90,377900
15-Aug-16,6.09,6.09,6.05,6.05,480000
12-Aug-16,6.05,6.19,6.00,6.09,22200
11-Aug-16,6.10,6.10,6.05,6.10,157800
10-Aug-16,6.24,6.27,6.10,6.19,273700
9-Aug-16,6.30,6.37,6.25,6.27,143400
8-Aug-16,6.40,6.40,6.33,6.37,131300
5-Aug-16,6.40,6.40,6.24,6.29,181500
4-Aug-16,6.45,6.45,6.30,6.30,14400
3-Aug-16,6.39,6.44,6.30,6.35,287000
2-Aug-16,-,-,-,6.50,0
1-Aug-16,6.40,6.50,6.40,6.50,27800
29-Jul-16,6.45,6.50,6.40,6.50,118500
28-Jul-16,6.45,6.45,6.45,6.45,24000
27-Jul-16,6.45,6.50,6.45,6.50,20300
26-Jul-16,6.45,6.45,6.45,6.45,5000
25-Jul-16,6.51,6.51,6.50,6.50,14100
22-Jul-16,6.60,6.60,6.50,6.50,12000
21-Jul-16,6.30,6.50,6.30,6.50,182500
20-Jul-16,6.55,6.55,6.50,6.50,74100
19-Jul-16,6.55,6.55,6.55,6.55,2200
18-Jul-16,6.60,6.60,6.55,6.60,4500
15-Jul-16,6.60,6.60,6.58,6.60,17500
14-Jul-16,6.60,6.60,6.60,6.60,702300
13-Jul-16,6.60,6.71,6.54,6.60,299400
12-Jul-16,6.54,6.60,6.54,6.60,3300
11-Jul-16,6.60,6.60,6.54,6.54,21200
8-Jul-16,6.62,6.62,6.60,6.60,16800
5-Jul-16,6.60,6.60,6.60,6.60,2000
4-Jul-16,6.60,6.70,6.50,6.69,113900
1-Jul-16,6.68,6.72,6.65,6.65,27500
30-Jun-16,6.60,6.65,6.60,6.60,51600
29-Jun-16,6.69,6.69,6.60,6.65,41400
28-Jun-16,6.55,6.69,6.55,6.69,175500
27-Jun-16,6.50,6.70,6.50,6.58,96500
24-Jun-16,6.75,6.75,6.70,6.70,407500
23-Jun-16,6.49,6.86,6.49,6.86,179800
21-Jun-16,6.38,6.50,6.37,6.50,310000
20-Jun-16,6.35,6.40,6.35,6.38,24000
17-Jun-16,6.35,6.37,6.32,6.37,45100
16-Jun-16,6.28,6.36,6.20,6.35,103200
15-Jun-16,6.20,6.31,6.20,6.28,237700
14-Jun-16,6.13,6.13,6.00,6.12,116900
13-Jun-16,6.10,6.13,6.10,6.13,17000
10-Jun-16,5.91,6.13,5.90,6.10,321200
9-Jun-16,5.86,5.93,5.86,5.93,49400
8-Jun-16,5.62,5.87,5.62,5.87,134700
7-Jun-16,5.52,5.62,5.52,5.62,138300
6-Jun-16,5.49,5.52,5.49,5.52,473200
3-Jun-16,5.45,5.49,5.45,5.49,15000
2-Jun-16,5.48,5.48,5.40,5.48,2100
1-Jun-16,5.48,5.49,5.48,5.48,12000
31-May-16,5.45,5.47,5.45,5.47,104100
30-May-16,5.45,5.45,5.45,5.45,134000
27-May-16,-,-,-,5.50,0
26-May-16,5.35,5.50,5.35,5.50,193200
25-May-16,-,-,-,5.40,0
24-May-16,5.35,5.45,5.35,5.40,206300
23-May-16,5.30,5.35,5.30,5.35,79600
20-May-16,5.18,5.30,5.18,5.25,151200
19-May-16,5.15,5.18,5.10,5.18,280000
18-May-16,5.19,5.19,5.02,5.18,277000
17-May-16,5.20,5.20,5.19,5.19,8400
16-May-16,5.20,5.20,5.11,5.19,123000
13-May-16,5.25,5.25,5.23,5.25,41000
12-May-16,5.29,5.29,5.20,5.25,112000
11-May-16,5.30,5.30,5.15,5.29,25000
10-May-16,-,-,-,5.32,0
9-May-16,5.35,5.35,5.30,5.32,54600
6-May-16,5.38,5.38,5.35,5.35,3100
5-May-16,5.38,5.38,5.38,5.38,56600
4-May-16,5.38,5.38,5.38,5.38,400
3-May-16,-,-,-,5.38,0
29-Apr-16,5.35,5.38,5.35,5.38,30300
28-Apr-16,-,-,-,5.40,0
27-Apr-16,-,-,-,5.40,0
26-Apr-16,-,-,-,5.40,0
25-Apr-16,-,-,-,5.40,0
22-Apr-16,5.40,5.40,5.38,5.40,14500
21-Apr-16,5.45,5.45,5.45,5.45,5000
20-Apr-16,-,-,-,5.48,0
19-Apr-16,5.35,5.49,5.35,5.48,310100
18-Apr-16,-,-,-,5.49,0
15-Apr-16,5.48,5.49,5.48,5.49,32300
14-Apr-16,5.49,5.49,5.49,5.49,100
13-Apr-16,-,-,-,5.49,0
12-Apr-16,-,-,-,5.49,0
11-Apr-16,-,-,-,5.49,0
8-Apr-16,5.49,5.49,5.49,5.49,900
7-Apr-16,5.49,5.49,5.49,5.49,26800
6-Apr-16,5.50,5.50,5.48,5.49,85300
5-Apr-16,5.53,5.53,5.53,5.53,11000
4-Apr-16,5.50,5.50,5.50,5.50,35100
1-Apr-16,5.53,5.53,5.51,5.53,19000
31-Mar-16,5.46,5.55,5.45,5.50,274700
30-Mar-16,5.40,5.47,5.40,5.46,54200
29-Mar-16,5.50,5.50,5.20,5.45,11300
28-Mar-16,5.45,5.45,5.45,5.45,500
25-Mar-16,5.49,5.49,5.45,5.45,174000
24-Mar-16,5.50,5.51,5.47,5.48,71300
23-Mar-16,5.50,5.50,5.49,5.49,50500
22-Mar-16,5.60,5.60,5.52,5.52,36400
21-Mar-16,5.36,5.54,5.36,5.52,413900
18-Mar-16,5.08,5.38,5.08,5.38,35500
17-Mar-16,-,-,-,5.08,0
16-Mar-16,5.09,5.09,5.04,5.08,8100
15-Mar-16,5.03,5.08,5.02,5.08,18000
14-Mar-16,5.03,5.08,5.03,5.08,15500
11-Mar-16,5.02,5.02,5.02,5.02,5000
10-Mar-16,-,-,-,5.09,0
9-Mar-16,5.03,5.10,5.00,5.09,29400
8-Mar-16,5.03,5.03,5.01,5.02,8200
7-Mar-16,5.15,5.17,5.02,5.02,22500
4-Mar-16,5.10,5.15,5.10,5.14,4100
3-Mar-16,-,-,-,5.18,0
2-Mar-16,5.17,5.18,5.05,5.18,13000
1-Mar-16,5.30,5.30,5.02,5.12,404900
29-Feb-16,5.30,5.30,5.30,5.30,200
26-Feb-16,5.02,5.02,5.02,5.02,2100
25-Feb-16,-,-,-,5.32,0
24-Feb-16,-,-,-,5.32,0
23-Feb-16,5.16,5.32,5.16,5.32,6900
22-Feb-16,5.14,5.16,5.14,5.16,55700
19-Feb-16,5.03,5.15,4.98,5.15,154100
18-Feb-16,5.03,5.05,5.00,5.05,14800
17-Feb-16,5.05,5.05,4.91,5.03,37300
16-Feb-16,5.05,5.08,5.00,5.07,32300
15-Feb-16,5.00,5.05,5.00,5.04,19000
12-Feb-16,-,-,-,5.05,0
11-Feb-16,5.05,5.05,5.05,5.05,3100
10-Feb-16,5.05,5.05,5.05,5.05,2000
5-Feb-16,5.00,5.01,4.99,5.00,193100
4-Feb-16,5.00,5.01,4.91,5.00,307100
3-Feb-16,5.04,5.04,5.00,5.00,8400
2-Feb-16,5.04,5.05,4.95,5.03,42400
29-Jan-16,5.02,5.12,5.01,5.06,118100
28-Jan-16,5.04,5.05,4.80,5.02,21800
27-Jan-16,5.04,5.05,5.02,5.05,81500
26-Jan-16,5.06,5.06,5.00,5.03,46000
22-Jan-16,5.05,5.08,5.05,5.06,568900
21-Jan-16,5.05,5.06,5.05,5.05,141000
20-Jan-16,5.05,5.07,5.03,5.06,873700
19-Jan-16,5.14,5.14,5.05,5.05,8800
