Date,Open,High,Low,Close,Volume
7-Oct-16,0.22,0.22,0.22,0.22,267900
6-Oct-16,0.22,0.22,0.22,0.22,970300
5-Oct-16,0.22,0.22,0.22,0.22,219500
4-Oct-16,0.22,0.22,0.22,0.22,526000
30-Sep-16,0.22,0.22,0.22,0.22,1006500
29-Sep-16,0.22,0.22,0.22,0.22,909000
28-Sep-16,0.22,0.22,0.22,0.22,1029400
27-Sep-16,0.22,0.22,0.22,0.22,1436600
26-Sep-16,0.22,0.22,0.22,0.22,1417800
23-Sep-16,0.22,0.24,0.22,0.22,4632100
22-Sep-16,0.19,0.20,0.19,0.20,21000
21-Sep-16,0.19,0.20,0.19,0.20,24900
20-Sep-16,0.20,0.20,0.20,0.20,20000
19-Sep-16,0.20,0.20,0.20,0.20,10000
15-Sep-16,-,-,-,0.20,0
14-Sep-16,0.20,0.20,0.20,0.20,122100
13-Sep-16,0.20,0.20,0.20,0.20,74000
9-Sep-16,0.19,0.19,0.19,0.19,100000
8-Sep-16,0.20,0.20,0.20,0.20,60000
7-Sep-16,0.20,0.20,0.20,0.20,177300
6-Sep-16,0.20,0.20,0.20,0.20,49400
5-Sep-16,0.20,0.20,0.20,0.20,132000
2-Sep-16,-,-,-,0.21,0
1-Sep-16,0.20,0.21,0.20,0.21,77400
30-Aug-16,0.20,0.20,0.20,0.20,30000
29-Aug-16,0.20,0.20,0.20,0.20,36000
26-Aug-16,0.20,0.21,0.20,0.20,25000
25-Aug-16,0.20,0.20,0.20,0.20,50000
24-Aug-16,0.20,0.21,0.20,0.20,179300
23-Aug-16,0.20,0.21,0.20,0.21,62800
22-Aug-16,0.21,0.21,0.20,0.21,295500
19-Aug-16,0.21,0.21,0.20,0.21,120000
18-Aug-16,0.21,0.22,0.20,0.21,304000
17-Aug-16,0.20,0.22,0.20,0.21,543100
16-Aug-16,0.20,0.21,0.20,0.20,179900
15-Aug-16,0.20,0.21,0.20,0.21,62100
12-Aug-16,0.20,0.21,0.20,0.21,255700
11-Aug-16,0.20,0.21,0.20,0.21,171000
10-Aug-16,0.21,0.21,0.20,0.21,246000
9-Aug-16,0.20,0.21,0.20,0.21,32000
8-Aug-16,0.20,0.20,0.20,0.20,46000
5-Aug-16,0.20,0.21,0.20,0.21,310900
4-Aug-16,0.20,0.20,0.20,0.20,29800
3-Aug-16,0.20,0.20,0.20,0.20,83000
2-Aug-16,0.21,0.22,0.20,0.20,272800
1-Aug-16,0.21,0.21,0.20,0.20,509300
29-Jul-16,0.20,0.20,0.20,0.20,33000
28-Jul-16,0.20,0.20,0.20,0.20,30000
27-Jul-16,0.21,0.21,0.20,0.20,547800
26-Jul-16,0.20,0.21,0.20,0.20,258900
25-Jul-16,0.21,0.21,0.20,0.21,289500
22-Jul-16,0.20,0.21,0.20,0.21,57000
21-Jul-16,0.20,0.21,0.20,0.21,300000
20-Jul-16,0.20,0.21,0.20,0.21,1128500
19-Jul-16,0.20,0.21,0.20,0.20,526000
18-Jul-16,0.20,0.20,0.20,0.20,160700
15-Jul-16,0.21,0.22,0.20,0.21,1366200
14-Jul-16,0.20,0.21,0.20,0.21,357000
13-Jul-16,0.20,0.20,0.20,0.20,94000
12-Jul-16,0.20,0.20,0.20,0.20,51000
11-Jul-16,0.20,0.21,0.20,0.20,349000
8-Jul-16,0.20,0.20,0.20,0.20,1048200
5-Jul-16,0.20,0.20,0.20,0.20,44000
4-Jul-16,0.20,0.20,0.20,0.20,15000
1-Jul-16,0.20,0.20,0.20,0.20,201000
30-Jun-16,0.20,0.21,0.20,0.20,1585200
29-Jun-16,0.20,0.20,0.20,0.20,270000
28-Jun-16,0.20,0.20,0.20,0.20,947400
27-Jun-16,0.20,0.20,0.20,0.20,25000
24-Jun-16,0.20,0.20,0.20,0.20,723000
23-Jun-16,-,-,-,0.20,0
21-Jun-16,0.20,0.21,0.20,0.20,556900
20-Jun-16,0.20,0.20,0.20,0.20,430000
17-Jun-16,0.20,0.20,0.20,0.20,109100
16-Jun-16,0.20,0.20,0.20,0.20,148000
15-Jun-16,0.20,0.20,0.20,0.20,192500
14-Jun-16,0.20,0.20,0.20,0.20,589000
13-Jun-16,0.20,0.20,0.20,0.20,50000
10-Jun-16,0.20,0.20,0.20,0.20,116000
9-Jun-16,0.20,0.20,0.20,0.20,670100
8-Jun-16,0.20,0.20,0.20,0.20,233000
7-Jun-16,0.20,0.21,0.20,0.21,254000
6-Jun-16,0.21,0.22,0.20,0.20,2260200
3-Jun-16,0.20,0.22,0.20,0.21,1241000
2-Jun-16,0.19,0.22,0.19,0.21,2630800
1-Jun-16,0.20,0.20,0.20,0.20,424600
31-May-16,0.20,0.20,0.20,0.20,402500
30-May-16,0.21,0.21,0.20,0.20,40200
27-May-16,0.20,0.20,0.20,0.20,334700
26-May-16,0.20,0.20,0.20,0.20,544300
25-May-16,0.20,0.20,0.20,0.20,140700
24-May-16,0.20,0.20,0.20,0.20,20000
23-May-16,0.20,0.20,0.20,0.20,28000
20-May-16,0.20,0.21,0.20,0.20,795800
19-May-16,0.20,0.20,0.20,0.20,364000
18-May-16,0.20,0.20,0.20,0.20,1500200
17-May-16,0.20,0.21,0.20,0.21,495700
16-May-16,0.21,0.21,0.21,0.21,131000
13-May-16,0.21,0.22,0.21,0.21,1282200
12-May-16,0.22,0.22,0.21,0.22,4879200
11-May-16,0.20,0.21,0.20,0.20,2318100
10-May-16,0.20,0.20,0.19,0.20,333000
9-May-16,0.20,0.20,0.19,0.20,893100
6-May-16,0.18,0.20,0.18,0.20,485000
5-May-16,0.18,0.19,0.18,0.19,185000
4-May-16,0.19,0.19,0.18,0.18,336100
3-May-16,0.18,0.21,0.18,0.19,2699800
29-Apr-16,0.19,0.19,0.18,0.18,50000
28-Apr-16,0.18,0.18,0.18,0.18,30000
27-Apr-16,0.18,0.19,0.18,0.19,110000
26-Apr-16,0.18,0.18,0.18,0.18,105000
25-Apr-16,0.19,0.19,0.19,0.19,27000
22-Apr-16,0.18,0.20,0.18,0.19,190100
21-Apr-16,0.18,0.18,0.18,0.18,50000
20-Apr-16,0.18,0.18,0.18,0.18,10000
19-Apr-16,0.18,0.19,0.18,0.19,83000
18-Apr-16,0.19,0.19,0.19,0.19,20000
15-Apr-16,0.19,0.19,0.19,0.19,50000
14-Apr-16,0.19,0.19,0.19,0.19,74000
13-Apr-16,0.19,0.19,0.19,0.19,96700
12-Apr-16,0.19,0.19,0.19,0.19,210300
11-Apr-16,0.19,0.19,0.19,0.19,120000
8-Apr-16,0.19,0.19,0.19,0.19,245700
7-Apr-16,0.19,0.19,0.18,0.19,282600
6-Apr-16,0.19,0.20,0.19,0.20,151900
5-Apr-16,0.19,0.19,0.19,0.19,20000
4-Apr-16,0.20,0.20,0.20,0.20,46000
1-Apr-16,0.20,0.20,0.19,0.20,147500
31-Mar-16,0.18,0.20,0.18,0.20,734000
30-Mar-16,0.19,0.19,0.18,0.19,432600
29-Mar-16,0.18,0.19,0.18,0.19,614400
28-Mar-16,0.18,0.18,0.18,0.18,26500
25-Mar-16,0.18,0.18,0.18,0.18,196500
24-Mar-16,0.18,0.18,0.18,0.18,131100
23-Mar-16,0.18,0.18,0.18,0.18,86500
22-Mar-16,0.18,0.19,0.18,0.19,63000
21-Mar-16,0.19,0.19,0.19,0.19,113000
18-Mar-16,0.18,0.19,0.18,0.19,50000
17-Mar-16,0.19,0.19,0.18,0.19,43500
16-Mar-16,0.19,0.20,0.19,0.19,131000
15-Mar-16,0.19,0.19,0.19,0.19,17700
14-Mar-16,0.20,0.20,0.20,0.20,7000
11-Mar-16,0.19,0.20,0.18,0.19,410400
10-Mar-16,0.20,0.20,0.19,0.20,249300
9-Mar-16,-,-,-,0.20,0
8-Mar-16,0.20,0.20,0.20,0.20,243700
7-Mar-16,0.19,0.20,0.18,0.20,1631200
4-Mar-16,0.19,0.20,0.18,0.18,68000
3-Mar-16,0.20,0.20,0.18,0.18,22000
2-Mar-16,0.18,0.20,0.18,0.19,1481900
1-Mar-16,0.18,0.18,0.18,0.18,225000
29-Feb-16,0.18,0.19,0.18,0.19,137000
26-Feb-16,0.18,0.18,0.18,0.18,232000
25-Feb-16,0.18,0.19,0.18,0.19,62000
24-Feb-16,0.18,0.19,0.18,0.19,50000
23-Feb-16,0.18,0.19,0.18,0.19,122500
22-Feb-16,0.18,0.18,0.18,0.18,124000
19-Feb-16,0.18,0.19,0.18,0.18,227000
18-Feb-16,0.18,0.18,0.18,0.18,21000
17-Feb-16,-,-,-,0.19,0
16-Feb-16,0.18,0.19,0.18,0.19,126000
15-Feb-16,0.18,0.19,0.18,0.18,110100
12-Feb-16,0.18,0.18,0.18,0.18,564500
11-Feb-16,0.18,0.18,0.18,0.18,105000
10-Feb-16,0.18,0.18,0.18,0.18,195500
5-Feb-16,0.18,0.18,0.18,0.18,125200
4-Feb-16,0.19,0.19,0.19,0.19,200
3-Feb-16,-,-,-,0.18,0
2-Feb-16,0.18,0.18,0.18,0.18,30000
29-Jan-16,0.18,0.19,0.18,0.18,642300
28-Jan-16,0.18,0.18,0.18,0.18,128100
27-Jan-16,0.18,0.19,0.18,0.19,125000
26-Jan-16,0.18,0.18,0.18,0.18,174000
22-Jan-16,0.18,0.19,0.18,0.18,319000
21-Jan-16,0.18,0.18,0.18,0.18,454200
20-Jan-16,0.18,0.18,0.18,0.18,125000
19-Jan-16,0.18,0.18,0.18,0.18,20000
18-Jan-16,0.18,0.18,0.18,0.18,404700
15-Jan-16,0.18,0.20,0.18,0.19,557900
14-Jan-16,0.18,0.18,0.18,0.18,121000
13-Jan-16,0.19,0.19,0.18,0.18,220000
12-Jan-16,0.20,0.20,0.19,0.19,339500
11-Jan-16,0.18,0.20,0.18,0.20,2713800
8-Jan-16,0.17,0.18,0.17,0.18,391700
7-Jan-16,0.18,0.18,0.18,0.18,400000
6-Jan-16,0.17,0.18,0.17,0.18,279000
5-Jan-16,0.16,0.17,0.16,0.17,410400
4-Jan-16,0.17,0.17,0.16,0.16,154600
31-Dec-15,0.17,0.17,0.16,0.16,207600
