Date,Open,High,Low,Close,Volume
7-Oct-16,3.72,3.72,3.68,3.68,33100
6-Oct-16,3.73,3.73,3.60,3.70,57400
5-Oct-16,3.76,3.76,3.72,3.72,49700
4-Oct-16,3.76,3.76,3.75,3.75,21200
30-Sep-16,3.76,3.77,3.76,3.76,19500
29-Sep-16,3.77,3.77,3.76,3.76,12200
28-Sep-16,3.79,3.79,3.75,3.78,77600
27-Sep-16,3.80,3.81,3.79,3.79,65000
26-Sep-16,3.81,3.81,3.80,3.81,25200
23-Sep-16,-,-,-,3.81,0
22-Sep-16,3.81,3.81,3.81,3.81,4900
21-Sep-16,3.81,3.81,3.80,3.80,4300
20-Sep-16,3.81,3.81,3.81,3.81,69300
19-Sep-16,3.83,3.83,3.81,3.81,65000
15-Sep-16,3.82,3.83,3.82,3.82,20600
14-Sep-16,3.86,3.86,3.84,3.85,8800
13-Sep-16,3.82,3.86,3.82,3.86,15500
9-Sep-16,3.86,3.86,3.85,3.86,62700
8-Sep-16,3.86,3.86,3.85,3.86,1600
7-Sep-16,3.84,3.85,3.83,3.85,161400
6-Sep-16,3.83,3.84,3.83,3.84,9900
5-Sep-16,3.83,3.84,3.83,3.83,139900
2-Sep-16,3.85,3.85,3.83,3.83,138500
1-Sep-16,3.85,3.86,3.85,3.85,70000
30-Aug-16,3.86,3.86,3.85,3.85,80300
29-Aug-16,3.86,3.88,3.85,3.86,73700
26-Aug-16,3.88,3.88,3.86,3.88,40500
25-Aug-16,3.90,3.90,3.87,3.89,7100
24-Aug-16,3.90,3.91,3.85,3.85,242600
23-Aug-16,3.86,3.91,3.85,3.89,151500
22-Aug-16,3.89,3.89,3.85,3.85,206800
19-Aug-16,3.94,3.94,3.89,3.89,319700
18-Aug-16,3.92,3.93,3.89,3.92,233200
17-Aug-16,3.94,3.95,3.91,3.93,91000
16-Aug-16,3.91,3.95,3.91,3.95,26900
15-Aug-16,3.94,3.96,3.94,3.95,201300
12-Aug-16,3.90,3.91,3.90,3.90,20000
11-Aug-16,3.90,3.91,3.90,3.91,49400
10-Aug-16,3.87,3.91,3.87,3.90,30200
9-Aug-16,3.87,3.87,3.87,3.87,1800
8-Aug-16,3.91,3.91,3.87,3.91,49500
5-Aug-16,3.88,3.91,3.88,3.91,31800
4-Aug-16,3.86,3.87,3.86,3.86,16900
3-Aug-16,3.89,3.89,3.87,3.87,1000
2-Aug-16,3.97,3.97,3.90,3.90,61600
1-Aug-16,3.96,3.98,3.96,3.97,87400
29-Jul-16,3.99,4.00,3.95,3.95,265000
28-Jul-16,3.88,3.99,3.88,3.99,87600
27-Jul-16,3.84,3.90,3.84,3.86,143100
26-Jul-16,-,-,-,3.80,0
25-Jul-16,3.80,3.81,3.80,3.80,48900
22-Jul-16,3.79,3.80,3.79,3.80,9300
21-Jul-16,3.81,3.81,3.76,3.80,11000
20-Jul-16,3.82,3.84,3.82,3.82,4500
19-Jul-16,3.82,3.83,3.81,3.82,18500
18-Jul-16,3.80,3.84,3.80,3.84,15300
15-Jul-16,3.70,3.83,3.70,3.80,262300
14-Jul-16,3.70,3.70,3.68,3.70,21700
13-Jul-16,3.70,3.70,3.70,3.70,336200
12-Jul-16,3.68,3.70,3.68,3.70,500200
11-Jul-16,3.71,3.72,3.70,3.70,261800
8-Jul-16,3.70,3.75,3.70,3.75,3800
5-Jul-16,-,-,-,3.75,0
4-Jul-16,3.75,3.77,3.75,3.75,60900
1-Jul-16,-,-,-,3.77,0
30-Jun-16,3.60,3.77,3.60,3.77,31800
29-Jun-16,3.60,3.61,3.60,3.60,135200
28-Jun-16,3.62,3.62,3.59,3.60,487300
27-Jun-16,3.55,3.60,3.55,3.60,461600
24-Jun-16,3.59,3.59,3.58,3.58,20700
23-Jun-16,3.60,3.60,3.58,3.59,14600
21-Jun-16,3.60,3.60,3.60,3.60,10400
20-Jun-16,3.62,3.68,3.62,3.65,4151700
17-Jun-16,-,-,-,3.62,0
16-Jun-16,3.65,3.65,3.62,3.62,55000
15-Jun-16,3.65,3.65,3.65,3.65,71500
14-Jun-16,3.70,3.73,3.65,3.65,101500
13-Jun-16,-,-,-,3.73,0
10-Jun-16,3.71,3.73,3.70,3.73,49300
9-Jun-16,3.72,3.73,3.70,3.70,241100
8-Jun-16,3.71,3.72,3.71,3.72,23300
7-Jun-16,3.67,3.71,3.67,3.71,66900
6-Jun-16,3.67,3.67,3.67,3.67,1000
3-Jun-16,3.68,3.68,3.67,3.67,15900
2-Jun-16,3.66,3.70,3.66,3.67,42000
1-Jun-16,3.67,3.67,3.67,3.67,2600
31-May-16,3.65,3.65,3.65,3.65,100
30-May-16,3.71,3.79,3.71,3.78,67700
27-May-16,3.66,3.71,3.66,3.71,34300
26-May-16,3.64,3.65,3.64,3.65,3200
25-May-16,3.64,3.69,3.64,3.64,11200
24-May-16,3.65,3.65,3.65,3.65,5000
23-May-16,3.56,3.64,3.56,3.64,13300
20-May-16,3.55,3.56,3.51,3.56,8000
19-May-16,3.56,3.60,3.51,3.51,6100
18-May-16,3.65,3.65,3.54,3.54,87200
17-May-16,3.65,3.65,3.65,3.65,2300
16-May-16,3.78,3.78,3.75,3.77,40000
13-May-16,3.72,3.78,3.70,3.78,44400
12-May-16,-,-,-,3.78,0
11-May-16,3.71,3.78,3.71,3.78,6800
10-May-16,3.71,3.72,3.71,3.71,24000
9-May-16,3.66,3.71,3.65,3.71,25000
6-May-16,3.60,3.72,3.60,3.72,27500
5-May-16,3.60,3.62,3.60,3.60,535600
4-May-16,3.55,3.61,3.55,3.60,64000
3-May-16,3.55,3.55,3.53,3.55,82500
29-Apr-16,3.53,3.59,3.53,3.56,79600
28-Apr-16,3.56,3.56,3.51,3.52,253600
27-Apr-16,3.65,3.65,3.55,3.58,279500
26-Apr-16,3.70,3.70,3.68,3.70,190000
25-Apr-16,3.71,3.75,3.71,3.71,67800
22-Apr-16,3.73,3.73,3.71,3.71,14700
21-Apr-16,3.79,3.79,3.75,3.76,185900
20-Apr-16,3.81,3.81,3.75,3.75,210700
19-Apr-16,3.80,3.80,3.80,3.80,265600
18-Apr-16,3.82,3.84,3.80,3.80,430900
15-Apr-16,3.72,3.81,3.72,3.81,123000
14-Apr-16,3.69,3.74,3.68,3.72,154900
13-Apr-16,3.65,3.70,3.65,3.68,45100
12-Apr-16,3.60,3.65,3.59,3.64,38200
11-Apr-16,3.55,3.58,3.53,3.58,115400
8-Apr-16,3.50,3.55,3.50,3.55,9000
7-Apr-16,3.55,3.55,3.55,3.55,1000
6-Apr-16,3.55,3.56,3.55,3.56,16500
5-Apr-16,-,-,-,3.55,0
4-Apr-16,3.55,3.55,3.55,3.55,14100
1-Apr-16,3.52,3.56,3.52,3.55,298900
31-Mar-16,3.50,3.52,3.50,3.52,103600
30-Mar-16,3.50,3.50,3.50,3.50,93500
29-Mar-16,3.50,3.51,3.49,3.50,116100
28-Mar-16,3.54,3.54,3.51,3.51,40900
25-Mar-16,-,-,-,3.56,0
24-Mar-16,3.56,3.57,3.55,3.56,468800
23-Mar-16,3.58,3.59,3.56,3.57,52300
22-Mar-16,3.55,3.61,3.55,3.61,79500
21-Mar-16,3.53,3.60,3.53,3.60,74300
18-Mar-16,3.52,3.55,3.52,3.55,199900
17-Mar-16,3.49,3.55,3.49,3.52,525700
16-Mar-16,3.48,3.50,3.48,3.49,326800
15-Mar-16,3.45,3.49,3.45,3.47,42700
14-Mar-16,3.43,3.46,3.41,3.45,330400
11-Mar-16,3.42,3.44,3.42,3.44,8200
10-Mar-16,3.40,3.43,3.40,3.42,510600
9-Mar-16,3.42,3.49,3.40,3.40,379400
8-Mar-16,3.46,3.46,3.40,3.43,617700
7-Mar-16,3.45,3.48,3.43,3.46,1183800
4-Mar-16,3.50,3.50,3.40,3.43,556500
3-Mar-16,3.40,3.54,3.40,3.50,576800
2-Mar-16,3.33,3.40,3.33,3.38,86500
1-Mar-16,3.33,3.33,3.33,3.33,8200
29-Feb-16,3.34,3.41,3.32,3.35,873500
26-Feb-16,3.23,3.31,3.23,3.29,320200
25-Feb-16,3.26,3.26,3.23,3.23,6500
24-Feb-16,3.26,3.26,3.26,3.26,5900
23-Feb-16,3.24,3.26,3.24,3.26,5300
22-Feb-16,3.30,3.30,3.28,3.28,3700
19-Feb-16,3.21,3.39,3.21,3.39,27300
18-Feb-16,3.20,3.21,3.20,3.20,251400
17-Feb-16,3.25,3.25,3.20,3.20,96100
16-Feb-16,3.28,3.29,3.20,3.20,99000
15-Feb-16,3.28,3.28,3.28,3.28,2000
12-Feb-16,3.25,3.28,3.25,3.26,40900
11-Feb-16,3.30,3.30,3.30,3.30,7600
10-Feb-16,-,-,-,3.30,0
5-Feb-16,3.26,3.30,3.26,3.30,54600
4-Feb-16,3.29,3.30,3.26,3.26,53900
3-Feb-16,3.34,3.34,3.34,3.34,57100
2-Feb-16,3.38,3.38,3.27,3.30,50100
29-Jan-16,3.27,3.28,3.26,3.26,27900
28-Jan-16,3.20,3.37,3.20,3.37,92100
27-Jan-16,3.30,3.38,3.28,3.38,16600
26-Jan-16,3.40,3.40,3.40,3.40,700
22-Jan-16,3.40,3.40,3.39,3.40,298900
21-Jan-16,3.35,3.39,3.34,3.39,494100
20-Jan-16,3.30,3.36,3.30,3.35,909800
19-Jan-16,3.30,3.32,3.30,3.30,703700
18-Jan-16,3.20,3.30,3.15,3.30,267400
15-Jan-16,3.29,3.29,3.29,3.29,700
14-Jan-16,3.28,3.28,3.13,3.20,388200
13-Jan-16,3.33,3.34,3.32,3.32,13000
12-Jan-16,3.39,3.39,3.30,3.34,139600
11-Jan-16,3.35,3.40,3.35,3.39,76000
8-Jan-16,3.39,3.39,3.38,3.38,60400
7-Jan-16,3.33,3.40,3.30,3.40,129400
6-Jan-16,3.45,3.45,3.31,3.45,54400
5-Jan-16,3.45,3.45,3.44,3.45,195900
4-Jan-16,3.44,3.46,3.44,3.45,52300
31-Dec-15,3.50,3.50,3.44,3.44,16300
30-Dec-15,3.41,3.49,3.40,3.49,136200
29-Dec-15,3.35,3.41,3.35,3.41,97800
