Date,Open,High,Low,Close,Volume
7-Oct-16,0.20,0.20,0.20,0.20,8253900
6-Oct-16,0.20,0.20,0.20,0.20,5149700
5-Oct-16,0.20,0.20,0.20,0.20,10493100
4-Oct-16,0.20,0.20,0.20,0.20,15517100
30-Sep-16,0.20,0.20,0.20,0.20,16845900
29-Sep-16,0.21,0.21,0.20,0.20,5499400
28-Sep-16,0.20,0.21,0.20,0.20,4828800
27-Sep-16,0.21,0.21,0.20,0.21,31544000
26-Sep-16,0.20,0.22,0.20,0.21,34821700
23-Sep-16,0.20,0.21,0.20,0.20,15879600
22-Sep-16,0.20,0.21,0.20,0.21,11180400
21-Sep-16,0.20,0.21,0.20,0.20,8723000
20-Sep-16,0.20,0.21,0.20,0.21,12280000
19-Sep-16,0.20,0.21,0.20,0.20,12032200
15-Sep-16,0.20,0.21,0.20,0.20,8664400
14-Sep-16,0.20,0.20,0.20,0.20,32745100
13-Sep-16,0.22,0.22,0.20,0.20,24163700
9-Sep-16,0.22,0.22,0.22,0.22,21966000
8-Sep-16,0.22,0.22,0.22,0.22,19248500
7-Sep-16,0.22,0.23,0.22,0.22,21801000
6-Sep-16,0.23,0.23,0.22,0.22,18907000
5-Sep-16,0.22,0.24,0.22,0.23,62807800
2-Sep-16,0.22,0.23,0.22,0.22,31039125
1-Sep-16,0.23,0.23,0.22,0.22,51504875
30-Aug-16,0.23,0.23,0.22,0.22,39033625
29-Aug-16,0.23,0.24,0.22,0.23,45576000
26-Aug-16,0.22,0.23,0.22,0.22,43880250
25-Aug-16,0.23,0.23,0.21,0.22,50556000
24-Aug-16,0.24,0.24,0.22,0.23,63637875
23-Aug-16,0.24,0.24,0.24,0.24,25413875
22-Aug-16,0.24,0.25,0.24,0.24,38027000
19-Aug-16,0.24,0.25,0.24,0.24,74962875
18-Aug-16,0.24,0.25,0.24,0.25,114527875
17-Aug-16,0.23,0.24,0.23,0.24,49874375
16-Aug-16,0.23,0.23,0.23,0.23,10771750
15-Aug-16,0.23,0.24,0.23,0.23,37240375
12-Aug-16,0.23,0.23,0.23,0.23,23783625
11-Aug-16,0.23,0.23,0.22,0.23,25219750
10-Aug-16,0.23,0.23,0.22,0.23,38043750
9-Aug-16,0.23,0.23,0.22,0.22,29934625
8-Aug-16,0.22,0.23,0.22,0.23,41361125
5-Aug-16,0.23,0.23,0.22,0.22,49194625
4-Aug-16,0.22,0.23,0.22,0.22,22474000
3-Aug-16,0.22,0.23,0.22,0.22,50878875
2-Aug-16,0.23,0.23,0.22,0.22,56124875
1-Aug-16,0.22,0.24,0.22,0.23,86370000
29-Jul-16,0.21,0.22,0.21,0.22,55341625
28-Jul-16,0.22,0.22,0.21,0.21,14161750
27-Jul-16,0.22,0.22,0.21,0.21,14232875
26-Jul-16,0.21,0.22,0.21,0.22,31851375
25-Jul-16,0.22,0.22,0.21,0.21,26300250
22-Jul-16,0.21,0.22,0.21,0.22,36581125
21-Jul-16,0.22,0.22,0.21,0.21,35472125
20-Jul-16,0.22,0.23,0.22,0.22,91270000
19-Jul-16,0.21,0.22,0.21,0.22,105978375
18-Jul-16,0.21,0.21,0.20,0.20,20899000
15-Jul-16,0.21,0.22,0.20,0.21,40729250
14-Jul-16,0.22,0.22,0.21,0.21,19507875
13-Jul-16,0.21,0.22,0.20,0.22,98988375
12-Jul-16,0.20,0.21,0.20,0.20,33628000
11-Jul-16,0.20,0.21,0.19,0.20,37730125
8-Jul-16,0.18,0.20,0.18,0.19,28691250
5-Jul-16,0.18,0.19,0.18,0.18,6855375
4-Jul-16,0.19,0.19,0.18,0.18,26766250
1-Jul-16,0.19,0.19,0.18,0.18,13486000
30-Jun-16,0.19,0.19,0.18,0.19,47391375
29-Jun-16,0.20,0.20,0.19,0.19,87671625
28-Jun-16,0.18,0.20,0.18,0.20,66754375
27-Jun-16,0.19,0.19,0.18,0.18,82777125
24-Jun-16,0.20,0.20,0.19,0.20,53067375
23-Jun-16,0.20,0.20,0.19,0.19,17947375
21-Jun-16,0.19,0.20,0.19,0.19,62316375
20-Jun-16,0.20,0.20,0.18,0.19,73040875
17-Jun-16,0.20,0.21,0.20,0.20,14469250
16-Jun-16,0.21,0.21,0.20,0.20,23256875
15-Jun-16,0.20,0.21,0.20,0.21,28091375
14-Jun-16,0.22,0.22,0.20,0.20,69227375
