Date,Open,High,Low,Close,Volume
7-Oct-16,-,-,-,0.13,0
6-Oct-16,0.13,0.13,0.13,0.13,292500
5-Oct-16,0.13,0.13,0.13,0.13,49100
4-Oct-16,0.13,0.13,0.12,0.12,293900
30-Sep-16,0.12,0.12,0.12,0.12,13000
29-Sep-16,0.13,0.13,0.12,0.12,312700
28-Sep-16,-,-,-,0.12,0
27-Sep-16,0.13,0.13,0.12,0.12,204400
26-Sep-16,0.13,0.14,0.13,0.14,270000
23-Sep-16,0.14,0.14,0.13,0.13,233000
22-Sep-16,-,-,-,0.13,0
21-Sep-16,0.12,0.13,0.12,0.13,341000
20-Sep-16,0.13,0.13,0.12,0.12,50500
19-Sep-16,0.12,0.12,0.12,0.12,71400
15-Sep-16,0.12,0.13,0.12,0.13,1222000
14-Sep-16,0.13,0.13,0.12,0.13,44000
13-Sep-16,0.13,0.13,0.12,0.13,373500
9-Sep-16,0.13,0.14,0.12,0.14,990300
8-Sep-16,0.14,0.14,0.13,0.13,1853300
7-Sep-16,0.13,0.14,0.13,0.14,237000
6-Sep-16,0.13,0.13,0.13,0.13,206000
5-Sep-16,0.13,0.14,0.12,0.14,961100
2-Sep-16,0.13,0.13,0.13,0.13,40000
1-Sep-16,0.13,0.13,0.13,0.13,40000
30-Aug-16,0.14,0.14,0.13,0.13,459900
29-Aug-16,0.14,0.14,0.13,0.13,467100
26-Aug-16,0.14,0.14,0.14,0.14,101100
25-Aug-16,0.14,0.14,0.14,0.14,651700
24-Aug-16,0.14,0.14,0.14,0.14,1894300
23-Aug-16,0.14,0.14,0.14,0.14,412000
22-Aug-16,0.14,0.14,0.14,0.14,340000
19-Aug-16,0.14,0.14,0.14,0.14,518000
18-Aug-16,0.14,0.15,0.14,0.14,558000
17-Aug-16,0.14,0.14,0.14,0.14,6876900
16-Aug-16,0.14,0.14,0.14,0.14,1032200
15-Aug-16,0.14,0.14,0.14,0.14,471000
12-Aug-16,0.14,0.14,0.14,0.14,3174300
11-Aug-16,0.14,0.14,0.14,0.14,370200
10-Aug-16,0.13,0.14,0.13,0.14,8475700
9-Aug-16,0.14,0.14,0.13,0.13,391000
8-Aug-16,0.13,0.14,0.13,0.14,110000
5-Aug-16,0.14,0.14,0.14,0.14,336000
4-Aug-16,0.12,0.14,0.12,0.14,5240900
3-Aug-16,0.12,0.12,0.12,0.12,47900
2-Aug-16,-,-,-,0.14,0
1-Aug-16,0.12,0.14,0.12,0.14,1014000
29-Jul-16,0.12,0.12,0.12,0.12,12500
28-Jul-16,0.12,0.13,0.12,0.13,655000
