Date,Open,High,Low,Close,Volume
7-Oct-16,0.84,0.84,0.84,0.84,14100
6-Oct-16,0.84,0.84,0.84,0.84,5000
5-Oct-16,0.84,0.84,0.84,0.84,4900
4-Oct-16,-,-,-,0.86,0
30-Sep-16,-,-,-,0.86,0
29-Sep-16,0.86,0.86,0.86,0.86,3300
28-Sep-16,0.86,0.86,0.86,0.86,10000
27-Sep-16,0.87,0.87,0.86,0.86,9000
26-Sep-16,0.87,0.87,0.87,0.87,10000
23-Sep-16,-,-,-,0.87,0
22-Sep-16,0.87,0.87,0.87,0.87,3000
21-Sep-16,0.88,0.88,0.87,0.87,60000
20-Sep-16,-,-,-,0.88,0
19-Sep-16,-,-,-,0.88,0
15-Sep-16,-,-,-,0.88,0
14-Sep-16,-,-,-,0.88,0
13-Sep-16,0.88,0.88,0.88,0.88,31600
9-Sep-16,-,-,-,0.88,0
8-Sep-16,-,-,-,0.88,0
7-Sep-16,0.88,0.88,0.88,0.88,43000
6-Sep-16,0.88,0.89,0.88,0.89,27100
5-Sep-16,0.88,0.89,0.88,0.89,7000
2-Sep-16,0.90,0.90,0.90,0.90,14400
1-Sep-16,0.92,0.92,0.89,0.89,91200
30-Aug-16,0.88,0.88,0.88,0.88,1000
29-Aug-16,-,-,-,0.88,0
26-Aug-16,-,-,-,0.88,0
25-Aug-16,0.88,0.88,0.88,0.88,500
24-Aug-16,0.87,0.87,0.87,0.87,5000
23-Aug-16,-,-,-,0.92,0
22-Aug-16,-,-,-,0.92,0
19-Aug-16,0.87,0.92,0.87,0.92,39800
18-Aug-16,-,-,-,0.89,0
17-Aug-16,0.87,0.89,0.87,0.89,8500
16-Aug-16,0.88,0.88,0.88,0.88,70000
15-Aug-16,-,-,-,0.89,0
12-Aug-16,0.88,0.89,0.88,0.89,63000
11-Aug-16,0.87,0.87,0.87,0.87,3000
10-Aug-16,0.89,0.90,0.89,0.89,96000
9-Aug-16,0.88,0.88,0.88,0.88,195600
8-Aug-16,0.88,0.88,0.88,0.88,5000
5-Aug-16,0.89,0.89,0.88,0.88,14500
4-Aug-16,-,-,-,0.93,0
3-Aug-16,-,-,-,0.93,0
2-Aug-16,0.91,0.93,0.91,0.93,13700
1-Aug-16,0.91,0.91,0.90,0.90,538200
29-Jul-16,0.90,0.90,0.90,0.90,5000
28-Jul-16,0.90,0.90,0.90,0.90,23700
27-Jul-16,0.90,0.92,0.90,0.91,106000
26-Jul-16,0.90,0.90,0.90,0.90,34500
25-Jul-16,0.92,0.92,0.92,0.92,4000
22-Jul-16,0.92,0.92,0.92,0.92,10700
21-Jul-16,0.94,0.94,0.91,0.91,12000
20-Jul-16,0.94,0.94,0.94,0.94,10000
19-Jul-16,0.94,0.94,0.94,0.94,12200
18-Jul-16,0.93,0.94,0.93,0.94,77200
15-Jul-16,0.93,0.93,0.93,0.93,8000
14-Jul-16,0.96,0.96,0.96,0.96,6000
13-Jul-16,0.95,0.96,0.95,0.96,28500
12-Jul-16,0.94,0.95,0.94,0.95,35000
11-Jul-16,0.92,0.94,0.92,0.94,150000
8-Jul-16,0.93,0.93,0.93,0.93,30000
5-Jul-16,0.94,0.94,0.94,0.94,14700
4-Jul-16,-,-,-,0.97,0
1-Jul-16,0.96,0.97,0.96,0.97,16500
30-Jun-16,0.96,0.98,0.96,0.97,22000
29-Jun-16,-,-,-,0.98,0
28-Jun-16,0.95,0.98,0.95,0.98,67500
27-Jun-16,0.98,1.00,0.98,0.99,131000
24-Jun-16,1.00,1.00,0.95,0.98,127600
23-Jun-16,1.00,1.01,0.99,1.01,185600
21-Jun-16,1.00,1.01,1.00,1.00,110500
20-Jun-16,0.98,1.01,0.98,1.00,225200
17-Jun-16,0.97,0.98,0.97,0.98,197900
16-Jun-16,0.99,0.99,0.96,0.96,88000
15-Jun-16,0.98,1.00,0.98,1.00,129000
14-Jun-16,0.98,0.99,0.96,0.99,184400
13-Jun-16,1.01,1.02,0.99,0.99,32000
10-Jun-16,1.03,1.04,1.01,1.01,306600
9-Jun-16,1.00,1.03,0.99,1.03,468900
8-Jun-16,0.95,1.00,0.95,1.00,305900
7-Jun-16,0.95,0.96,0.95,0.96,400000
6-Jun-16,0.96,0.96,0.94,0.95,539700
3-Jun-16,0.96,0.96,0.96,0.96,86900
2-Jun-16,0.98,0.98,0.96,0.96,230500
1-Jun-16,0.97,0.98,0.96,0.97,183000
31-May-16,0.93,0.98,0.93,0.97,613600
30-May-16,0.92,0.92,0.92,0.92,30000
27-May-16,0.92,0.96,0.92,0.95,591700
26-May-16,0.94,0.94,0.94,0.94,445800
25-May-16,0.92,0.96,0.92,0.94,249600
24-May-16,0.94,0.94,0.90,0.93,824400
23-May-16,0.98,1.01,0.95,0.97,700100
20-May-16,0.90,0.98,0.90,0.98,393600
19-May-16,0.93,0.94,0.90,0.90,240700
18-May-16,0.94,0.94,0.92,0.93,688700
17-May-16,0.83,0.94,0.83,0.94,1162500
16-May-16,0.82,0.86,0.82,0.86,197700
13-May-16,0.82,0.84,0.82,0.84,51000
12-May-16,0.83,0.84,0.83,0.83,221300
11-May-16,0.88,0.88,0.84,0.84,91300
10-May-16,0.83,0.88,0.83,0.88,207900
9-May-16,0.80,0.83,0.80,0.83,9000
6-May-16,0.79,0.84,0.79,0.82,385000
5-May-16,0.79,0.79,0.78,0.78,230600
4-May-16,0.80,0.80,0.78,0.78,144600
3-May-16,0.79,0.80,0.78,0.78,133200
29-Apr-16,0.80,0.80,0.78,0.78,65000
28-Apr-16,0.80,0.80,0.78,0.78,388800
27-Apr-16,0.81,0.82,0.79,0.81,177900
26-Apr-16,0.83,0.86,0.80,0.82,355000
25-Apr-16,0.80,0.84,0.80,0.84,939900
22-Apr-16,0.77,0.80,0.77,0.80,570800
21-Apr-16,0.76,0.76,0.76,0.76,100000
20-Apr-16,0.75,0.77,0.75,0.76,89300
19-Apr-16,0.74,0.76,0.74,0.74,123000
18-Apr-16,0.74,0.74,0.74,0.74,12400
15-Apr-16,-,-,-,0.74,0
14-Apr-16,0.74,0.74,0.74,0.74,10100
13-Apr-16,0.75,0.75,0.74,0.74,40000
12-Apr-16,0.76,0.76,0.74,0.74,25000
11-Apr-16,-,-,-,0.74,0
8-Apr-16,0.74,0.74,0.74,0.74,81000
7-Apr-16,-,-,-,0.73,0
6-Apr-16,0.74,0.74,0.73,0.73,57000
5-Apr-16,0.74,0.74,0.74,0.74,15000
4-Apr-16,0.74,0.74,0.74,0.74,33200
1-Apr-16,-,-,-,0.73,0
31-Mar-16,0.74,0.75,0.73,0.73,40100
30-Mar-16,0.74,0.75,0.74,0.74,45000
29-Mar-16,0.74,0.74,0.74,0.74,12900
28-Mar-16,0.75,0.75,0.73,0.73,10000
25-Mar-16,-,-,-,0.75,0
24-Mar-16,0.74,0.75,0.74,0.75,10000
23-Mar-16,0.74,0.75,0.74,0.74,45000
22-Mar-16,-,-,-,0.74,0
21-Mar-16,0.71,0.74,0.71,0.74,175400
18-Mar-16,0.70,0.70,0.70,0.70,8000
17-Mar-16,0.70,0.70,0.70,0.70,5000
16-Mar-16,0.68,0.68,0.68,0.68,6000
15-Mar-16,0.68,0.68,0.68,0.68,7000
14-Mar-16,0.68,0.68,0.68,0.68,4000
11-Mar-16,0.68,0.68,0.67,0.67,295300
10-Mar-16,0.68,0.68,0.68,0.68,546000
9-Mar-16,0.68,0.68,0.68,0.68,839500
8-Mar-16,0.68,0.68,0.68,0.68,146300
7-Mar-16,0.68,0.68,0.68,0.68,1000000
4-Mar-16,0.68,0.68,0.68,0.68,1054000
3-Mar-16,0.69,0.69,0.68,0.68,146500
2-Mar-16,0.69,0.69,0.68,0.69,418100
1-Mar-16,0.70,0.70,0.68,0.68,478900
29-Feb-16,0.70,0.70,0.68,0.69,228000
26-Feb-16,0.69,0.72,0.68,0.68,140100
25-Feb-16,0.70,0.70,0.69,0.70,47600
24-Feb-16,0.72,0.72,0.70,0.70,643400
23-Feb-16,0.71,0.72,0.71,0.71,758000
22-Feb-16,0.70,0.71,0.70,0.71,113000
19-Feb-16,0.71,0.72,0.70,0.70,242000
18-Feb-16,0.71,0.74,0.71,0.72,444100
17-Feb-16,0.73,0.73,0.73,0.73,20000
16-Feb-16,0.70,0.74,0.70,0.74,111900
15-Feb-16,0.71,0.71,0.70,0.70,18900
12-Feb-16,0.70,0.70,0.70,0.70,3000
11-Feb-16,0.70,0.70,0.70,0.70,15000
10-Feb-16,-,-,-,0.71,0
5-Feb-16,0.70,0.71,0.70,0.71,100000
4-Feb-16,0.72,0.72,0.72,0.72,22000
3-Feb-16,0.70,0.70,0.69,0.69,21000
2-Feb-16,-,-,-,0.70,0
29-Jan-16,0.68,0.71,0.68,0.70,169500
28-Jan-16,0.70,0.70,0.68,0.68,14000
27-Jan-16,0.73,0.74,0.72,0.73,60900
26-Jan-16,0.74,0.74,0.74,0.74,20000
22-Jan-16,0.72,0.74,0.72,0.74,274100
21-Jan-16,0.71,0.71,0.70,0.70,77500
20-Jan-16,0.76,0.76,0.73,0.74,375600
19-Jan-16,0.72,0.84,0.72,0.75,1616200
18-Jan-16,0.71,0.76,0.70,0.72,329600
